TRAINBALACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_pb,CAWPE_eq
abalone,0.007471933300962944,0.007754870471317782,0.007598488216865921,0.0074152526883156595,0.00742466061892321,0.007342510107943432,0.007601542834121357,0.007895560468345265,0.008264445457428025,0.007958650384531177,0.00788653143651372,0.007935028175704554,0.007748355893133478,0.007901407666111207,0.008363123749839885,0.00853873514068224,0.009296881168333626
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008051557998728986,0.0
adult,0.004009526072462079,0.0039316551216010244,0.003935685666537508,0.0039515069006234626,0.003961120226665202,0.003985164433360446,0.004041196314489862,0.003979044885049571,0.004002300535930791,0.0040030256496390035,0.004070988793795954,0.004015330653911552,0.004043690613827418,0.00401220385032625,0.004024224293651069,0.003298342269794707,0.004067980510852324
annealing,0.044808262571011365,0.044230924721052535,0.04387437356808101,0.04245203574750802,0.0448181722681544,0.04912728324614238,0.04939996973880037,0.04955403766881789,0.048976732185227724,0.04901662743270316,0.04950917396374241,0.047142505068417516,0.04780569807410676,0.04747596325731758,0.04905674591432973,0.05935040699524015,0.04837030558964427
arrhythmia,0.054467280012108,0.054296483221038,0.054670380905204846,0.05490168024764168,0.055599609296992036,0.056017449331003194,0.05721973440600141,0.05595901102342737,0.05409085133807077,0.05322667061708545,0.05060550436535664,0.04995831776992852,0.04019556868862323,0.03302106528716183,0.03192594945687296,0.032035115084968466,0.03138647721082973
audiology-std,0.03928244070667224,0.03830784231134746,0.038477114632702786,0.03907148646968918,0.034633926124911604,0.03547194595592635,0.03471408088074009,0.0350315453485185,0.03448397183254318,0.03508259214390418,0.033954460847501984,0.033935196657827786,0.03440786231613394,0.03404285944095138,0.03425045846797782,0.036021237590373525,0.03473455343061967
balance-scale,0.06248354086921398,0.06143727581943911,0.061509613220746384,0.06051462053911004,0.060391751809954805,0.05966904629185151,0.058049690246978994,0.05395925749580367,0.052937889170406136,0.0522658042444226,0.050300508206710975,0.04765002764751706,0.04170101996620745,0.03724465541227476,0.027346048986212432,0.0787633122627046,0.02446297770661704
balloons,0.24961656419150938,0.24961656419150938,0.24961656419150938,0.24961656419150938,0.24831809719518233,0.24831809719518233,0.24831809719518233,0.24831809719518233,0.2463170609363091,0.24064969665602856,0.24190271204454966,0.2452819486938342,0.24312464808879705,0.24387450973941208,0.24460983607152312,0.24261111527855636,0.246624724610636
bank,0.015987686496157654,0.016378238081362698,0.0161976990049142,0.01623889205939254,0.01592989391624928,0.015571118175338634,0.015003030835404987,0.014633874667407988,0.014690710668754967,0.014546721724125074,0.014670194182800815,0.01464269088131222,0.014934740675180495,0.014912916637472245,0.014928724764604875,0.017517726821496746,0.014317314201876248
