TRAINTESTDIFFSACCSTDDEVS:,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,CAWPE-A,MV-A,PB-A
pittsburg-bridges-T-OR-D,0.07715034527971373,0.05586030508997851,0.05631335634699647,0.06487537645455173,0.04538472926300184,0.06823513868470633,0.3387063806777173,0.07178572572230979,0.06823513868470633,0.07586807477722225
pittsburg-bridges-TYPE,0.10273819953758728,0.0842543334844341,0.10295950249584641,0.09521097429336829,0.06620276069675057,0.09397561959862208,0.08126294351070787,0.08763933914676761,0.09096403000795475,0.08897272759231979
planning,0.10200319385491344,0.07078292746135363,0.059503936597641666,0.044628244030330756,0.0020063097344511505,0.032487779993995124,0.0824407360849977,0.04838866611493128,0.032487779993995124,0.083487227546327
plant-margin,0.05709422351863106,0.0302805369757577,0.04605736131835167,0.01956623734084203,0.020362245673072866,0.01777639893778834,0.013624756140388609,0.021652335556643105,0.018954583120300173,0.026784849466060842
plant-shape,0.05720829618419737,0.03972553103599692,0.04542179397399547,0.02165163050322715,0.025540704497074792,0.02157817916535021,0.02029930495384498,0.02403470461358052,0.022080581589562647,0.024232804366627978
plant-texture,0.05763760444417722,0.028328306945306473,0.02695445568621865,0.02671860269644597,0.017448469472471827,0.017369605074860246,0.014408616227174266,0.019410189320010495,0.019338067189773316,0.02392456955550281
post-operative,0.2517327492398936,0.113783943798438,0.2250698770448886,0.10564055191892288,0.019074663036946108,0.07520842804263905,0.14424487638089584,0.09016013063249789,0.07520842804263905,0.09980540168913171
primary-tumor,0.045679114034805346,0.049889577871997035,0.047144562932486936,0.039152020510464,0.0417027327016783,0.039397315868694514,0.04606971446800073,0.041853544459623214,0.042019519795353365,0.04539329547034951
ringnorm,0.0031589969369218308,0.0035263821496514486,0.0033694632292106557,0.0036308692031197395,0.0031903105110076342,0.0031903105110076342,0.0031903105110076342,0.003385658511960109,0.0031903105110076342,0.004164297874974415
seeds,0.05042525132587243,0.04306523705719014,0.04167124065910027,0.04055547789884775,0.0391067143300199,0.03901463089174694,0.03906270150728642,0.03673544683172576,0.03901463089174694,0.036543377766309025
semeion,0.014217729574481622,0.012827185502084396,0.015120491206449193,0.013708746386056738,0.013526230985673874,0.013413666985364971,0.014980392447162063,0.012945140563445106,0.013601858708759655,0.018975931428988332
soybean,0.027336794258330046,0.02143282839125383,0.027504418417525753,0.02317351619216983,0.023171018697763744,0.02131712348313824,0.024584946093215224,0.023382359010664575,0.022397613500998233,0.026883960270982738
spambase,0.0057922704821479236,0.006398845742704374,0.00610445784615448,0.006852360147077662,0.0062392970746653585,0.0062392970746653585,0.0064618566740607085,0.006043750757263527,0.0062392970746653585,0.00541170623371198
spect,0.07404986646421448,0.0798664983691054,0.05857592952053062,0.07330739259969202,0.052896875877698896,0.056825787982853274,0.05248091250762071,0.05241558444974736,0.056825787982853274,0.06162230611677758
spectf,0.04444045638619002,0.06453153050623298,0.046997659075420806,0.037963235273603575,0.035988747951359264,0.03955921958332392,0.049091739104804986,0.042259786623080955,0.03955921958332392,0.04872115658527182
statlog-australian-credit,0.1014164293225729,0.03327338183315959,0.03389234950258966,0.03383246091792197,0.007463998579674572,0.021367809961519765,0.05858915814700927,0.0249296281213768,0.021367809961519765,0.031811132205787414
statlog-german-credit,0.024541871327913505,0.030276579469415255,0.030330364892014728,0.0289538673890313,0.020281354326901695,0.026104035888252487,0.036246664531445844,0.02593191793554987,0.026104035888252487,0.02578924305735369
statlog-heart,0.04938867567274344,0.05833084995423373,0.057443444380569496,0.05643772425857213,0.05607954959030002,0.05607954959030002,0.05582254561860228,0.057129126809913916,0.05607954959030002,0.05050554071772104
statlog-image,0.007099397189878738,0.007837357379513262,0.008316082499361136,0.007508333089271856,0.008385470155273144,0.008341737987238407,0.008034685224758866,0.007848068997150605,0.008203263969427999,0.007783688874118872
statlog-landsat,0.006674500733771221,0.010047198553941443,0.007005780646360574,0.006920354509330706,0.006434166749025741,0.006575555460807797,0.006785670077575646,0.0060744861032367235,0.0065919087971260506,0.006156398305206489
statlog-shuttle,3.5211721682992076E-4,1.8149215812191026E-4,2.4224324318612183E-4,1.1406856851417685E-4,2.0310799485552736E-4,1.866143877310647E-4,0.0035701655851180978,2.3145945645827373E-4,1.9211229409674943E-4,1.0640992720528612E-4
statlog-vehicle,0.02370341370339856,0.030074827421897557,0.020812563359107382,0.01939881470123049,0.019928889224350457,0.01855447312682214,0.017180263350964172,0.021774916924953883,0.01875878701040477,0.027258279708181784
steel-plates,0.017289845015671074,0.03617268720965092,0.02025138307155516,0.018056127836783623,0.020387236427269858,0.020923606715324578,0.021258336897248053,0.02013025692413845,0.01951365773621275,0.018412183398520934
synthetic-control,0.042655919383984414,0.0105409255338946,0.01089600205542503,0.010174091252906947,0.011703554164296774,0.011332657180641541,0.011035759823928891,0.011768303859705323,0.0117357016070387,0.01968980391048133
teaching,0.1080686034460088,0.08362476185281223,0.07410968966504289,0.08077388979103362,0.0837364748989458,0.08852291722635273,0.06800760393265239,0.08512201656683295,0.0872425244394303,0.11089971144184464
thyroid,0.0015723640324332062,0.0017558362208354079,0.0018637231246462762,0.001670626415741545,0.001971869178553513,0.0019587595661255727,0.001759368484879781,0.001680155082478337,0.0020228228094996497,0.0017759259592194441
tic-tac-toe,0.008470158410151186,0.007345012661215473,0.008428358027763597,0.007225361127129718,0.00763102121470147,0.00763102121470147,0.006945371068489031,0.008225307721173853,0.00763102121470147,0.007913340747170176
titanic,0.030580967187250088,0.013949151507405793,0.012650852823385697,0.01661069119587382,0.01385317185058981,0.01369224303275397,0.015329443780572322,0.014827433126257,0.01369224303275397,0.012938150907530008
trains,0.20223843141639145,0.10795320872760075,0.18090520227304369,0.3694512861982797,0.21745362536097415,0.23436076478694085,0.17877474285968528,0.28983414467178387,0.20128894996822444,0.10795320872760074
twonorm,0.004099368189887917,0.004803044134240703,0.004376675457078346,0.003874994605425973,0.0039598197746435046,0.0039598197746435046,0.0039598197746435046,0.004115025904527106,0.0039598197746435046,0.004227907736043379
vertebral-column-2clases,0.04549166724758546,0.05696398653813261,0.04857385784367404,0.05008156539164107,0.05834645020651567,0.05834645020651567,0.058734241704375786,0.05360852728005689,0.05834645020651567,0.05460549331785952
vertebral-column-3clases,0.03391446260078179,0.03591506640240889,0.03303115149240316,0.04409678192383082,0.04481833869567659,0.04390378061430337,0.03974875344201078,0.04650318481872863,0.044687915813471715,0.04223474974356897
wall-following,0.0018347372847252385,0.0015288060922241016,0.0020485255845841053,0.0077655946869592,0.003793309165154212,0.0037688119635222533,0.002695373518412463,0.002882104183729468,0.004017261882729275,0.0020366256150979767
waveform,0.011710797681238415,0.010514187672787428,0.009588985704890892,0.010080956855125955,0.009943984995121734,0.009943984995121734,0.009943984995121734,0.009995457061478476,0.009943984995121734,0.010570877777853163
waveform-noise,0.012725289384401145,0.01395521101683866,0.013892913984436537,0.012296755183039451,0.009563174371555575,0.00955194880444655,0.009519780509585773,0.010098339798527683,0.009516828782830267,0.008939406792172231
wine,0.05966474569863501,0.01784964024524439,0.01925742881582034,0.02588910993998116,0.024856586294097746,0.025068599026441808,0.024853671210377914,0.025453319023510165,0.025068599026441808,0.0276945718237995
wine-quality-red,0.02854628336061089,0.07054151806048295,0.027344295963609416,0.02360924280566163,0.021076105279914187,0.020198186235484285,0.05169065780238153,0.022933685266455464,0.02039616332587804,0.02353511648739985
wine-quality-white,0.009659439835214955,0.04012687171670146,0.01294568397700956,0.013155207310406068,0.01180845509715537,0.014230203137507114,0.0645432470029687,0.013123308972886525,0.014109418785143291,0.01478081787823793
yeast,0.029786879050054116,0.04501458273693089,0.02655158279627521,0.02673413631684346,0.02553625086328955,0.024810785815587075,0.04156327688407238,0.029634681764991542,0.02533411840162119,0.0294122615288531
zoo,0.029400182281778337,0.053405113611239514,0.05142928576187148,0.049061330844085795,0.04492889876858455,0.04659674949690454,0.03853417434680519,0.050936378938747695,0.04651566413968296,0.043458134008602226
