TRAINTESTDIFFSACCSTDDEVS:,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,CAWPE-A,MV-A,PB-A
abalone,0.013755276620058618,0.012131968933067071,0.011500861088700123,0.013388179694043387,0.012711073700422498,0.013611375350215133,0.01262547271930525,0.013227821523819468,0.01336372559673997,0.01595437780911769
acute-inflammation,0.0,0.0071175817287754935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061335621976729
acute-nephritis,0.0,0.016800231099791032,0.006085806194501847,0.013239613148496414,0.012171612389003694,0.012171612389003694,0.010170952554312152,0.006085806194501847,0.012171612389003694,0.024759378423606936
adult,0.003018148372729671,0.002794664645816525,0.0027967556852164996,0.003003436723149438,0.0036990819666248807,0.0033426128129738137,0.004961791692117938,0.0031256840441935417,0.0033426128129738137,0.0028975190111139655
annealing,0.01947982552670055,0.013621823037590495,0.015187429150074469,0.013639355515930051,0.01637677126238872,0.014533082059179178,0.03042681455451099,0.01578881918157495,0.014536258605149887,0.013436127603411898
arrhythmia,0.038139602822046696,0.02985382897833874,0.026682601132755092,0.03338366900960405,0.029164119964165187,0.03202445228393383,0.02791331565066636,0.0314538183428052,0.029505389987926227,0.037034859197953976
audiology-std,0.05160076442155572,0.05115131412253574,0.04569411108660384,0.05645353767222043,0.04550265814376287,0.05163832687416108,0.03834509647934425,0.05602233977868484,0.044770204472315896,0.04736311736629986
balance-scale,0.02306887977110886,0.02299908813730222,0.021886012320072968,0.020912342076419458,0.010279138222857765,0.018264862990559943,0.022068076331727717,0.019012284193772887,0.01935841506091031,0.022337460492643974
balloons,0.20269525304367253,0.2480174238229202,0.0,0.3346560666275804,0.2266328012941103,0.2966759368363536,0.16591039613587807,0.31486073021710076,0.31415216681292973,0.23602211238477439
bank,0.007191892934884504,0.008402524719818661,0.007503494400082838,0.0059785815223399015,0.005029484476675134,0.0065399470273510745,0.004157663368915792,0.006608535675843155,0.0065399470273510745,0.006968519851484452
blood,0.02246388070522009,0.022460222331033695,0.02498395848226349,0.024458929425405968,0.015548821807892368,0.027199441379138684,0.2666309666081517,0.023837555843054685,0.027199441379138684,0.026934095364459006
breast-cancer,0.10506698836648616,0.045560075797040224,0.04322246132276229,0.04597653565575884,0.038833355016304076,0.04079768595485983,0.11884098720257588,0.04942507684506989,0.04079768595485983,0.058470165727651395
breast-cancer-wisc,0.012199194583913168,0.013879591973511773,0.011920722345845966,0.013218538156271565,0.014147427965181102,0.014147427965181102,0.014018515323217604,0.014270760361783473,0.014147427965181102,0.01567390593056491
breast-cancer-wisc-diag,0.013029320415545997,0.013181139462475107,0.01323475785851392,0.011724073731289088,0.012807201957671734,0.012807201957671734,0.012205237404696223,0.012796037570328135,0.012807201957671734,0.018774440366624175
breast-cancer-wisc-prog,0.057141763419042715,0.05810420679866774,0.054275863379840056,0.049431657631808144,0.03540531274080038,0.04731997501202443,0.21980336218195748,0.044327212736709934,0.04731997501202443,0.058583570533762445
breast-tissue,0.10909947012770292,0.0911828166066058,0.08339441798403403,0.08815626208998187,0.08164597368671231,0.08005869096122754,0.07677346186608852,0.08548655638633465,0.07685916688219838,0.07438160535005824
car,0.009750349080379929,0.006780257462249901,0.006883692028842339,0.009563251672692884,0.010649690453449687,0.01047068515375752,0.00970204887723025,0.00791955895067908,0.010580075274313129,0.007845539664280473
cardiotocography-3clases,0.009789902130917112,0.0126281154840332,0.01099854074360584,0.010192921360718551,0.01040661267894268,0.010011207182576351,0.010274368719121785,0.010381330372344642,0.010166230357956151,0.010579954292667074
cardiotocography-10clases,0.01648656338157273,0.013718350187012958,0.015565342266033264,0.015508179466708369,0.01598406310708427,0.015107697937885108,0.01784133151395649,0.01702807889435897,0.015592299798398658,0.01710094939574298
chess-krvk,0.004850014356706005,0.0052147404602359395,0.005096694395171312,0.018697005553360284,0.0064660840913219435,0.0062447762707259205,0.006128147169544427,0.00596157294682686,0.006337861591169246,0.005274387860885565
chess-krvkp,0.0032520177852626035,0.0038759003923237324,0.0033764610896003106,0.0032465945257317973,0.003163153591121977,0.003163153591121977,0.003163153591121977,0.003486006362557751,0.003163153591121977,0.004076030181374012
congressional-voting,0.05730233597161377,0.03685150512736381,0.029073722428154328,0.024313422186242058,0.017433465988085227,0.020856277153144365,0.09731127629686856,0.026374560754015314,0.020856277153144365,0.023541643417673907
conn-bench-sonar-mines-rocks,0.057858024060228906,0.04503019641809138,0.042881517705376446,0.04748684143954425,0.049360229675062456,0.049360229675062456,0.04907081817003299,0.04920341301994753,0.049360229675062456,0.05126204944461713
conn-bench-vowel-deterding,0.011566915130796775,0.013653660697481682,0.014868915288075298,0.016964416200231733,0.017964567612298653,0.01841434448280505,0.017071232620171867,0.018250062206551537,0.018920951584309138,0.021008515690084786
connect-4,0.0027451892499219645,0.0027264957297702588,0.002975575903496346,0.003709177158988585,0.0024263845674656714,0.002791426730627105,0.0030681506660396045,0.0027739182222248494,0.002791426730627105,0.0026325861577811685
contrac,0.020742692668253328,0.026783383906583472,0.024302203607223204,0.027740848794085792,0.024944149593193403,0.025371822693720635,0.02433438660214038,0.02429419580548884,0.026811734941759622,0.027795112624295834
credit-approval,0.07638879273473588,0.0330339308142534,0.03499235581258041,0.028961289789974504,0.02394433791473153,0.02394433791473153,0.02394433791473153,0.027625680591407766,0.02394433791473153,0.02815242053560144
cylinder-bands,0.039810766083179926,0.044796469603494225,0.04005211953311369,0.03441788281623498,0.03794860273551512,0.040690095186780614,0.04160544622440203,0.042765405079195074,0.040690095186780614,0.04190472526679662
dermatology,0.02827085963657539,0.01919645573294357,0.016154442635680572,0.01602000765615353,0.01941068971665141,0.01976607402141458,0.018782240613534854,0.021957461259702812,0.019191880507604786,0.02279596381005792
echocardiogram,0.06445202622172082,0.09559833213487424,0.06439346881513837,0.071113801702934,0.064100203340745,0.0679429374181786,0.0831302534573852,0.07734473148104037,0.0679429374181786,0.08197260230422172
ecoli,0.03799043151498067,0.03410819488353783,0.03620591201573189,0.03892975355338132,0.03306710257226255,0.03555974183479758,0.03294541545117206,0.03834448317028556,0.03493487313762844,0.03838629611877613
energy-y1,0.015566934918761915,0.01724756634800236,0.01720206483033126,0.01976383184401361,0.018488429777885753,0.018264605378079335,0.01944516389130899,0.019156456356111715,0.01857014552408921,0.019960976102228915
energy-y2,0.01788989925530885,0.020450497178756705,0.018943004236521233,0.023172471145911533,0.021530621575425263,0.021411229446028437,0.021000405849488018,0.023046331322705824,0.021282186609343487,0.019582727932959565
fertility,0.04731406439585563,0.04155594484215393,0.033930286880839856,0.04606841489105865,0.008051557998728984,0.041848110683949565,0.21244066108623985,0.04290593828632449,0.041848110683949565,0.05817531964752711
flags,0.07856986328388542,0.06556579671349284,0.065702414631177,0.07226275530866387,0.06428352357725921,0.06851215283934887,0.06205234434776045,0.07387960909722373,0.06082151228231242,0.07471378535884188
glass,0.079972934116482,0.051266851905179475,0.054904307513790426,0.05950858968124221,0.04474343089196673,0.04702103381953997,0.05008465570939145,0.05453069178932536,0.04859283023464823,0.05494037927015369
haberman-survival,0.07780268220930296,0.04770769735123106,0.037277980868561496,0.038472253120246006,0.028008977526840482,0.03058074167708536,0.25361849492194577,0.03555340099648851,0.03058074167708536,0.05701719135007528
hayes-roth,0.1368610920201458,0.07384843745244424,0.1005458240174649,0.0728988953327344,0.06921692039177292,0.07084729805494654,0.07780501348962243,0.06698565167143865,0.07674304383691345,0.0687273704850323
heart-cleveland,0.04553404239099933,0.06169565510146638,0.03901258325978224,0.046570358660736645,0.03621108646038277,0.04054403663268201,0.04518388709062265,0.04563362459676153,0.04576748408061258,0.043205057320363435
heart-hungarian,0.0440317399996151,0.054338136537062307,0.04608292768878854,0.044616771493327545,0.041143423101529054,0.041143423101529054,0.042461688933469105,0.03869222151263778,0.041143423101529054,0.05393874312980884
heart-switzerland,0.1084826933285369,0.09711061988481351,0.08121246233280503,0.10571622553591106,0.08645254791867071,0.07962741068756711,0.11877413697121351,0.1027467827184646,0.09077866533445192,0.09421611457679284
heart-va,0.08195069691821608,0.07469873857837012,0.06659984117866057,0.08894539060975927,0.06532322757106954,0.08169466218046072,0.07177130866405394,0.08135637958399233,0.07651211438227205,0.07203535384331332
hepatitis,0.045896339658726144,0.05303639663015965,0.049693164451294215,0.05629999477704665,0.04983461328145272,0.04967180692208114,0.06397011344336571,0.05487647189318535,0.04967180692208114,0.057879001756354576
hill-valley,0.03471095215304073,0.028340030071681323,0.028349471310259677,0.04039897417781044,0.03170406509637495,0.03543805357702833,0.028402416489094605,0.03949985843827416,0.03543805357702833,0.03388304347500645
horse-colic,0.03582780040952828,0.04233729051581167,0.03321933660978383,0.03345966110395588,0.02933151026279298,0.02933151026279298,0.029915430270989904,0.023714734715682657,0.02933151026279298,0.03594133250240045
ilpd-indian-liver,0.0366101024478712,0.033402518556550596,0.032381705592745065,0.0349361024686951,0.017550896205659763,0.029254751413541367,0.2082203793251214,0.03487633099952963,0.029254751413541367,0.03006128195792645
image-segmentation,0.007911326288113855,0.009917322702012886,0.008416802288662255,0.008018422238522338,0.008001210918074578,0.007822611839945209,0.008407635245929156,0.008536945306859745,0.00835768112848654,0.009056082395982835
ionosphere,0.024794685521160976,0.02733426177552341,0.026260414447848674,0.02606008705318443,0.02319870739784943,0.02319870739784943,0.027233249159569182,0.026257386403945787,0.02319870739784943,0.025970660165002674
iris,0.044068911553579816,0.031646192211409595,0.039449597634350256,0.03967685564108147,0.03119092116655729,0.03119092116655729,0.03188741369223234,0.03443838780022109,0.03119092116655729,0.036064367034568716
led-display,0.029189253860597127,0.027395282012507714,0.029713605722919825,0.03333404825391938,0.03409435183260587,0.033568893024798895,0.03323290684811338,0.033854747093008765,0.034026571487670236,0.03507415406699484
lenses,0.1768980876520414,0.20033413849064036,0.1866123637342743,0.1803318894944482,0.12190903202274685,0.1863828517780099,0.20084959869381977,0.19099720819438132,0.1860512710622581,0.18749582757931663
letter,0.0026185226454374304,0.0024227320629664852,0.002957229253209735,0.0060466345402540944,0.0036364546846544394,0.00354471137180024,0.0034795161978098377,0.0032151973845144003,0.003717463380379851,0.002927542198440416
libras,0.03970409923365251,0.039131699561867433,0.03424467260489398,0.04730910045895267,0.051182969088136805,0.04863286322303394,0.04627802960196049,0.05133246531363219,0.049124952540552505,0.04761071507708991
low-res-spect,0.021769013681032748,0.021739336789404876,0.021096742697754373,0.025346704778599318,0.023962627953196324,0.024948119732473715,0.0238846771754973,0.026325879048119366,0.024750491228461912,0.024650406102933568
lung-cancer,0.18879925471728165,0.12810301130992482,0.17037601528210938,0.23603070042671212,0.18232999000101613,0.19510889440820764,0.15934862570866273,0.22281235196193014,0.22969662297920457,0.23803883324966985
lymphography,0.06876245689775524,0.0507151080233083,0.06608288293353135,0.052432830689099444,0.0539626594802409,0.05437944362729014,0.0497500479968251,0.06312538121174745,0.05564688745123104,0.06727523229387651
magic,0.005076850414693332,0.005397259774358167,0.005134025901766094,0.0054189494373605455,0.004642317921349247,0.004642317921349247,0.004966867573448059,0.004585043859621509,0.004642317921349247,0.005143335216367617
mammographic,0.02387166689768927,0.026414184548839013,0.02599404940022904,0.027346192943281045,0.02649723137820891,0.02649723137820891,0.025977765075470928,0.027344361651379403,0.02649723137820891,0.02993969344835279
miniboone,0.0011325000711010235,0.001131523398110861,0.0011385610773885597,0.002672289122354261,0.0014391219598124808,0.0014391219598124808,0.0012667455459363975,0.0013677378859063517,0.0014391219598124808,0.0011325472344614728
molec-biol-promoter,0.11825218254136502,0.0871668107796555,0.06357500599042562,0.07224423923164397,0.06721003622868492,0.06721003622868492,0.06490168950533284,0.06165717298528581,0.06721003622868492,0.08009896931652825
molec-biol-splice,0.008453810368718737,0.008102301083840274,0.008539388674907571,0.0118329684686596,0.00920707323957359,0.00941379833952658,0.009605027141347198,0.00959881204751943,0.009892690629126141,0.00852175857057925
monks-1,0.010590343534107425,0.009481079879920121,0.012350501246943521,0.029380506580806036,0.018426337513151182,0.018426337513151182,0.015503497833465604,0.013230168005914901,0.018426337513151182,0.013105927719396027
monks-2,0.05820511248045812,0.05896578698429063,0.05661829209929797,0.03953519492143819,0.020267849412069373,0.034747391619647246,0.05854791403085717,0.04471807028013061,0.034747391619647246,0.04928341849791259
monks-3,0.013024484252082733,0.013995810724793589,0.013194178499947109,0.014646952629828177,0.016241567872568984,0.016241567872568984,0.01582106934676911,0.015792638026298163,0.016241567872568984,0.013684627561267005
mushroom,0.0,0.0,0.0,4.494686997417423E-5,0.0,0.0,0.0,0.0,0.0,0.0
musk-1,0.03034100770729388,0.03125484046591076,0.028875348412168086,0.02801258129149672,0.026565963838065823,0.026565963838065823,0.026565963838065823,0.03134508438216197,0.026565963838065823,0.03940866921316989
musk-2,0.003333726066429357,0.0035089708599734424,0.004459119967817989,0.004579239640916836,0.0037087450354714394,0.0037087450354714394,0.0032417960891995357,0.004185466983238402,0.0037087450354714394,0.004621570747680937
nursery,4.5623271287861285E-4,4.40853752872961E-4,4.573413481700696E-4,0.001927468518024186,0.0010719286863352284,0.0010719286863352284,0.004287331677669423,0.0013268593254107234,0.0010719286863352284,6.029265455559984E-4
oocytes_merluccius_nucleus_4d,0.02139392135545398,0.029784864646528297,0.02730947943987518,0.024613963061054258,0.02172152005780757,0.02414117192212125,0.025394883606911736,0.023388603506768753,0.02414117192212125,0.02576384220995476
oocytes_merluccius_states_2f,0.015602983304008299,0.014542097690061356,0.016379331921711617,0.016429766762383266,0.017664250974707522,0.01777918929880677,0.01652905256776687,0.015516117708537044,0.01790891175820172,0.01701406285570186
oocytes_trisopterus_nucleus_2f,0.021512235867181526,0.0276082183378924,0.02423562350703238,0.020303406033156595,0.018946129424579784,0.018946129424579784,0.0181958894933324,0.020262535967721134,0.018946129424579784,0.02807060148886203
oocytes_trisopterus_states_5b,0.0176865326301487,0.018579943949699633,0.014892423369480644,0.01568040259216871,0.015665791723936645,0.015698390105423014,0.02107324994459504,0.013547167501752349,0.015828221223576952,0.017733582190511826
optical,0.007205060178862389,0.002865484363179653,0.003080483166081473,0.002488374150786842,0.0029031407311331144,0.0029438657678377933,0.0028510661699869106,0.00287979079370482,0.0029684541085149567,0.003200829071058671
ozone,0.004847503718477834,0.005066620586777984,0.004888294287754002,0.0019622997489689015,2.000854684795711E-4,0.002283027938376281,0.004280972471102842,0.0026278169783737313,0.002283027938376281,0.0030608617701314875
page-blocks,0.004535795829160309,0.004147365620324214,0.00454154857270651,0.00424638396996058,0.0044350919785814714,0.004515186886190774,0.2662248875880138,0.004387274306674447,0.004473941091813723,0.005102993809980352
parkinsons,0.03330605211488952,0.0410382512297185,0.04217333648807665,0.0465455507723591,0.04616763302439615,0.047726608976733954,0.049264746358199295,0.04536179892816239,0.047726608976733954,0.04959097680124057
pendigits,0.0014708557448150817,0.0015893834217203028,0.001569664192690116,0.0020437274485872185,0.001629106849913388,0.0017398094152770824,0.0017139766358770616,0.0015368205097549346,0.0016546057549811375,0.0017595380309683366
pima,0.03196031797850823,0.036996258225733325,0.02829744498749105,0.025732116165653914,0.030863975111613436,0.03205481049138444,0.02875528766828278,0.028730879935105806,0.03205481049138444,0.041394887097824476
pittsburg-bridges-MATERIAL,0.06644884396429612,0.04897992657982695,0.0698261112532108,0.06162966528938641,0.04741580604411504,0.058250683667813594,0.06304585891083818,0.05872934977152378,0.058653445636031934,0.06733162683194245
pittsburg-bridges-REL-L,0.1050350364368962,0.08499550994264037,0.07516177963413356,0.08388606924805125,0.08300830062277637,0.09949253150681388,0.15816918650729223,0.08827575161854796,0.10261043213429946,0.11493848821990331
pittsburg-bridges-SPAN,0.11611603010273847,0.07631329225957204,0.10520636318232483,0.09002880948433227,0.07889960896872372,0.09249303568166618,0.09509914637575191,0.07432273205777853,0.09164342929112934,0.08834781526559489
