CAWPE(ConTie),CAWPE(RandTie),CAWPE(alpha=4)
-1.5535763628629895,-1.6401215110497185,-1.5653667965704772
-0.7811340152771074,-0.7607294223638168,-0.7489698353912074
-1.3153363947633028,-1.3154920596333226,-1.298278003620471
-0.783670329999722,-0.6862703415037593,-0.7103792131836614
-0.9800813911035219,-0.9507767574269388,-0.9735532369785206
-1.1141994817606335,-1.1222990479148605,-1.0945458496017386
-0.49912445245019577,-0.5109695029875697,-0.49821828997758
-0.6391368644819071,-0.7647052216477154,-0.6944185054674852
-0.9053863050696495,-1.097006695529579,-0.8321326925239698
-0.12131154150968695,-0.11970298959344901,-0.10625073331628379
-1.1355477145171988,-1.0880423087101747,-1.0838762258339538
-2.433355315724888,-2.413349019499471,-2.425958002997389
-2.327768086408271,-2.3253768323222244,-2.3530000570894827
-2.3843056289901963,-2.357982252213156,-2.378896596946652
-0.3947955423807023,-0.37641154551244926,-0.3453402368244764
-0.8108814298376316,-0.7738395470006483,-0.7732496956593088
-0.6746626527952941,-0.6702796730075504,-0.6689437682111277
-1.2640068319156907,-1.2351353704614512,-1.2319655601391035
-1.7460568937294922,-1.2970273794690987,-1.279926815953584
-0.613062987399174,-0.5909471302871034,-0.5828960638398658
-0.35700106846232355,-0.33873633062422825,-0.3369238844730822
-0.3775793738235119,-0.36552516759242815,-0.33846781468027337
-1.2920853294555779,-1.2763137542843934,-1.2547300559957457
-0.7101057527819861,-0.735280382931074,-0.6899432933704762
-0.6495713839074985,-0.6596739795186004,-0.6475078031388449
-1.3628544951208748,-1.3781027250578388,-1.3256851425909453
-2.2607704275518627,-2.288030443144168,-2.2173725161782243
-0.7535178814677868,-0.7826129262737492,-0.7229042364646308
-0.7739785779669806,-0.787948839170818,-0.7476449819993677
-0.8232612327430188,-0.833519950303992,-0.8006325315148654
-0.3026629987236463,-0.31617451731344726,-0.30951896240272864
-0.6738330277777138,-0.6345139413042059,-0.6277542908355567
-0.42654598667166255,-0.4536573647722955,-0.43247388749925286
-2.3823569789586156,-2.3590637688474763,-2.3574264402499736
-1.2646507013675863,-1.169317753365362,-1.1848570912022491
-3.6078536944835244,-3.505109017701599,-3.598808760107214
-1.6293447929198301,-1.6087117516052418,-1.5884277237664925
-0.19249202322732975,-0.17965874221088635,-0.17946118604285516
-2.022726240875419,-1.8018853231247158,-1.8155690112100191
-1.0436467242459933,-1.0274140904272944,-1.0096820196220613
-1.575906432197971,-1.5409154830458651,-1.5488846722964793
-0.595640238004394,-0.6137828329457871,-0.5955298108005027
-0.06729044933764881,-0.06676710177737447,-0.06459166046552202
-1.2112836935014744,-1.205456286282088,-1.2104610697805769
-1.2026845093594796,-1.2244523032929655,-1.2127396678703322
-0.6117995300449909,-0.6208494811606946,-0.6132948426366218
-1.5609315089445452,-1.6339972127109814,-1.5995310405025962
-0.4916690540820761,-0.48148431129939684,-0.4835448538059864
-0.3909519479877585,-0.4807201302575693,-0.423412862876428
-0.3435202872587342,-0.387356216051119,-0.36385929190336724
-0.4826400038626359,-0.4877426738834159,-0.46698825438132235
-2.1935621678424417,-2.1054754283476935,-2.089267731711679
-0.6011077557547889,-0.6194513845321279,-0.6079316380663958
-6.984812111017089,-6.782327514506112,-6.873394723793367
-0.14880632819913586,-0.13669991406619406,-0.13392245128926927
-0.5631666273736112,-0.5610237982308114,-0.5577574731516772
-0.472177453104897,-0.4815307332011917,-0.47630485787459464
-0.772976132973627,-0.7648005902044657,-0.7631920607042787
-2.299744890984281,-2.2116185259082086,-2.232641564012927
-1.8698482749894871,-1.8313080090589404,-1.8218386043182049
-1.3433218445067319,-1.2794505577358948,-1.4654141549999016
-1.6952010331657477,-1.7220191338782358,-1.6498877702279569
-1.5452407369405092,-1.53057868813894,-1.4900524941791988
-0.6650615274208852,-0.6718618497568334,-0.6654919667547522
-0.5601696363708443,-0.5429726298546708,-0.5373621773316889
-0.27218324125722215,-0.27994149932660756,-0.2761171536635943
-0.12342669193645261,-0.12437422137609572,-0.12352478680396567
-0.640267103217756,-0.6716117791042338,-0.6300074976005203
-0.7128683070396674,-0.7264122673417606,-0.7085008168553538
-0.25948921838786376,-0.27245089771013287,-0.2545287031561194
-1.5390995653802297,-1.4940265888014401,-1.4792064917992247
-1.0065326168351538,-1.2331339673473265,-1.0648395085759204
-0.7837221799505343,-0.6872327770940728,-0.6910359882381462
-0.39132464433382563,-0.4099520033974902,-0.3698395738678089
-0.3083167248010695,-0.37053263570586636,-0.3165589423916977
-0.3157699712799072,-0.34115933904454254,-0.31732074025036106
-1.1247698349822453,-1.1116988329811657,-1.1043472385047493
-1.2821352078044128,-1.2867840157278034,-1.275825664099941
-1.3362652281031702,-1.3292013962842981,-1.3238429030190677
-0.054882727298328673,-0.08587404051057797,-0.08284581602374243
-0.39842296681907513,-0.3998729714173298,-0.391702488952588
-2.5907552273007037,-2.640735690533646,-2.5623686448551886
-2.5388896684655964,-2.5245395915617124,-2.536589330187893
-1.2337328839170785,-1.1735449629503993,-1.1926070377543683
-0.5824577832188539,-0.5779578480509201,-0.5624668436493984
