TRAINBALACCSTDDEVS:,SMLRE-S,SMM5-S,SMLR-S,NBC-S,ES-S,CAWPE-S,WMV-S,RC-S,MV-S,PB-S
car,0.014241599706506455,0.013527623348324556,0.018125650716066054,0.01866821381972192,0.02165688252232984,0.022938496132868986,0.02455223573755478,0.02922588872062339,0.025143362443762564,0.03309459814120944
cardiotocography-3clases,0.01531493207152099,0.01863607988951051,0.01877075199746793,0.014063457988116862,0.0219439993152413,0.018702633445896986,0.016118762501008424,0.021799828116689558,0.017610354756922103,0.020295273066085077
cardiotocography-10clases,0.012371191954161849,0.014997385783499809,0.013779037288626646,0.011302231777097074,0.014582626796305781,0.015314207233024676,0.015262720997694611,0.016465193701067263,0.013714711519571106,0.01207340012267113
chess-krvk,0.00851592692777966,0.006916217502591757,0.009212360818790252,0.0075202503322857215,0.028489189259534354,0.008635438770619916,0.013451001630911648,0.01375394534794907,0.013517159590841817,0.00985525088886531
chess-krvkp,0.0017866687695352373,0.0015640315577229909,0.0019108463171305947,0.002778722946110892,0.0024340784710398114,0.002219718281849008,0.0024993776399234962,0.0024993776399234962,0.0024993776399234962,0.0060583880052313055
congressional-voting,0.043292182801852916,0.05201484806923434,0.02422486530149069,0.03606745639834355,0.021837869111177265,0.018542251122311535,0.01394744344886453,0.00819895217611088,0.01394744344886453,0.017210497594113444
conn-bench-sonar-mines-rocks,0.036834526418726726,0.04100362272247563,0.035300641192032946,0.03150567424436013,0.0348977630635891,0.032018295079118304,0.0340594625707571,0.0340594625707571,0.0340594625707571,0.042099987855630586
conn-bench-vowel-deterding,0.004506392004354538,0.004472956684130892,0.0052875964779081795,0.0074450979512243895,0.022063224827331147,0.007565107262697704,0.010856459335080951,0.010845867770356616,0.012048234199229128,0.020449087142053367
connect-4,0.0030280725136913045,0.0038066734337411728,0.003198125320175741,0.003032634866151627,0.007046164638000688,0.005121994278156928,0.00396074131361883,5.169380658533475E-4,0.00396074131361883,1.0975964039612676E-5
contrac,0.013497642122751442,0.028384008241418023,0.0195953756288857,0.01738344592645224,0.01906652176746371,0.01941090933499271,0.020796500843236327,0.025499732012911797,0.02157486627134065,0.022836466925096447
credit-approval,0.014521892240400278,0.018822630645665785,0.01334065310659577,0.014315103014878617,0.014141596462764352,0.015536847238736507,0.014315103014878617,0.014315103014878617,0.014315103014878617,0.011758276460077238
cylinder-bands,0.03573626506979986,0.04052322686599923,0.04076631794438654,0.02792856701293682,0.03367814134345644,0.03423209684476697,0.031089066475773995,0.03505966862073495,0.031089066475773995,0.02707212612350501
dermatology,0.008520279608619266,0.011387545477256927,0.009382639028609982,0.01186910995408501,0.014990225338060962,0.015842592736673624,0.013646430963713445,0.012953656651521516,0.013072020796995192,0.013228248647313567
echocardiogram,0.05466345192482349,0.051469446822382206,0.05283967155879284,0.06285230304469133,0.0528442734425507,0.052323333253918525,0.054927893008331743,0.05019111945257462,0.054927893008331743,0.05123919520147969
ecoli,0.05913992385360949,0.05473099402395441,0.04574010190477411,0.0646984008592851,0.04105676788742043,0.04109223059701155,0.05137812264262711,0.05163298422439923,0.044540930635923445,0.02806259213146974
energy-y1,0.015067907933871645,0.012957587475184428,0.016648263998306736,0.022706728051883285,0.03342626473663208,0.02806649585490685,0.018068234558469187,0.02334252538366847,0.01980934779678935,0.01924693129139383
energy-y2,0.01571038390921911,0.015169308151954147,0.014513043430279643,0.015015727849133022,0.015372136526889612,0.014036911160075011,0.01588675497541973,0.015812086336738442,0.01591042893873614,0.01961176821184555
fertility,0.12490985529746776,0.10316373039745409,0.10381828795833874,0.0757859795237769,0.08122105268083846,0.06836009434119886,0.07328335098705256,0.030982509647821378,0.07328335098705256,0.10674135909608853
flags,0.08452171533769051,0.07803803343733404,0.08088682484167972,0.07323866649242379,0.0511089152230274,0.05255368037450768,0.0428641756752934,0.03790584813535707,0.03992166374156928,0.034039868338373976
glass,0.037987563297063355,0.06452826362770368,0.042937607322031675,0.0453315305266427,0.04940545862136014,0.06559653637238747,0.06054598022149206,0.054045217714017206,0.059878641748001546,0.06608888268620744
haberman-survival,0.04214133727534019,0.06414658932936128,0.05132967801154553,0.08863416312924638,0.05411940085342118,0.045888222709140815,0.03965563495087163,0.04524318242829231,0.03965563495087163,0.04159281221454753
hayes-roth,0.0335642147742199,0.055187462921849686,0.047896180630101697,0.05377756837040862,0.06759881808617826,0.06614225751925282,0.09486294534483021,0.08029249018360968,0.07023703191373139,0.043857506168800665
heart-cleveland,0.043003281830933264,0.08362843038831584,0.05405711967421594,0.03562068221308327,0.05213418040915575,0.04852320252833174,0.04062924203216171,0.040256662078087445,0.038235584558774294,0.045903914070253383
heart-hungarian,0.025774003889708495,0.039310784426139264,0.03342932056214962,0.027312508494524167,0.021695032476262973,0.025143264931825043,0.021774184900202168,0.021184369707824318,0.021774184900202168,0.02889126006490016
heart-switzerland,0.13601071440027457,0.09651349090776411,0.08760443958641048,0.07694623045909801,0.06427026766115317,0.06078851416724674,0.06724459746040383,0.06081240126938047,0.06698656486405374,0.06103924501231197
heart-va,0.06953086647196606,0.1022626971479942,0.07482414583932002,0.04539621374381734,0.04952282808172387,0.05518707078490131,0.04599579261413048,0.051989116211439194,0.044952125833050055,0.05481709420026847
hepatitis,0.07404757909038515,0.09084956682165576,0.09164980624902969,0.05940391266386637,0.05984441418719885,0.0635172671703165,0.06510369858153711,0.07546942347076174,0.06510369858153711,0.07688025388208536
hill-valley,0.015980934966363165,0.03183018034138667,0.020548882607165284,0.022691950124669787,0.02488904323004067,0.02406223735651649,0.02040880700001141,0.034159776520269,0.02040880700001141,0.016030604793329826
horse-colic,0.029255871479798003,0.030034872928591205,0.02479872495140684,0.024851541118279714,0.027066661564514923,0.026269184242116123,0.02481177722364122,0.02481177722364122,0.02481177722364122,0.026237244997739065
ilpd-indian-liver,0.048242981711502146,0.04993828565779376,0.03917219617437664,0.05701206940851368,0.03488751661173331,0.03386258303564122,0.02907249153951229,0.02044860068252432,0.02907249153951229,0.038570802752462864
image-segmentation,0.004794677941022296,0.004899468225743558,0.0053407861107123335,0.0060410976977781,0.006315006936384578,0.006437769783004001,0.006204894633111562,0.006309273837666277,0.006595637430364309,0.007875468112029237
ionosphere,0.019016248248436268,0.02007310731200449,0.017665437773419078,0.01920728857854162,0.02111467002431432,0.019139429724791653,0.022419822566266904,0.022623928388930268,0.022419822566266904,0.024506869622081196
iris,0.013598888092176908,0.01985387229763325,0.02029665053619702,0.02582582389928014,0.024493854625837766,0.024531367570754064,0.024989397496310486,0.024989397496310486,0.024989397496310486,0.019620928696467897
led-display,0.014111003522865383,0.015003210051526604,0.01893159060386812,0.018413944610338295,0.01872252802548285,0.018844502782433412,0.01883993158950677,0.017832935509755826,0.018619753851577388,0.018126553270628426
lenses,0.10170952554312156,0.20987058927517352,0.2757203499318448,0.14889844086797277,0.2622702331367707,0.2480355219364956,0.2580120726330782,0.2549954425807674,0.2663637442023713,0.24073522712529083
letter,0.0020639990547326246,0.0015298585050327735,0.0020148689917742504,0.0026116251814667195,0.011498095495159495,0.0022088124721443346,0.0031747607157973233,0.003388670867092906,0.003672358028796801,0.004064033710356469
libras,0.017196763616170382,0.023585272466899225,0.01970856919541297,0.018986114439427135,0.024575291272123108,0.02471348518966822,0.027453406223418905,0.029140275720710672,0.02650667736516799,0.03351589004885582
low-res-spect,0.05677856672557013,0.08041938699111575,0.055991444635179785,0.07469629365798454,0.05241411824751348,0.05243271446670585,0.048373016561565486,0.055423422031176686,0.04548625414974123,0.057886584761446785
lung-cancer,0.1915117277765923,0.09468191915693579,0.18112470469008504,0.09672954898992028,0.16344361226154344,0.15126928559552555,0.14613426046043368,0.1407072538638666,0.15283436778473639,0.15712366432803457
lymphography,0.0607074108080018,0.07457069687896209,0.06495808803243935,0.13968219321793002,0.08864264863533876,0.07799435116633102,0.07086308395958428,0.06273359921116617,0.06599809182242915,0.0919058454445841
magic,0.0041032824854401115,0.004252879003422808,0.004105974681749829,0.0036446291559125875,0.005365873264963096,0.004165652119118485,0.0037748967808727443,0.0038348963086369072,0.0037748967808727443,0.0035884325334122986
mammographic,0.015582608697321807,0.016381044665813634,0.014104033498216364,0.01601478363846892,0.015596002510259622,0.015452452069253771,0.01571251923141648,0.01571251923141648,0.01571251923141648,0.018449614085628518
miniboone,0.0040253716959908785,0.003570944797051312,0.004323846975105097,0.004737851587571762,0.005996677654528476,0.005268099221697403,0.006197737976619386,0.006197737976619386,0.006197737976619386,0.0017183021878231992
molec-biol-promoter,0.042097177408702516,0.05117556362082526,0.04714616273981981,0.05478606845363276,0.06641283377661344,0.061373147760239055,0.05250395515006515,0.05143654888149012,0.05250395515006515,0.06675757251730868
molec-biol-splice,0.007772330983008668,0.009117770158432386,0.008257673048049028,0.00891421291394333,0.01604585198173673,0.00843429311597171,0.00965764814920033,0.009885395921558272,0.009629743796650811,0.011402468566659395
monks-1,0.03881525503625958,0.04380521130466444,0.039060283619131976,0.06018346138383582,0.04810442441384142,0.04918476738627899,0.021301469479519,0.027601476980195817,0.021301469479519,0.020618500583171384
monks-2,0.028120528139441235,0.03598238698925762,0.0345870559458764,0.031215295665659473,0.03688518427048015,0.041115332690202455,0.027567908953519616,0.006268040782611848,0.027567908953519616,0.002433394971977466
monks-3,0.010027796955397952,0.009909792327826628,0.010642465933965778,0.012614473052998445,0.01694824250257556,0.01131203154526926,0.021348871881309427,0.021348871881309427,0.021348871881309427,0.0232987309123018
mushroom,7.791843121278726E-5,9.5496960708544E-5,7.791843121278726E-5,8.680570877398866E-5,0.0020698791173599635,0.002069051727985669,0.0028324737078489564,0.0028324737078489564,0.0028324737078489564,0.005678181622712011
musk-1,0.020097837351379523,0.0298040978938704,0.0229262905208191,0.021093635340515463,0.020042890350703897,0.020802857491426942,0.019581015531783538,0.019581015531783538,0.019581015531783538,0.024601413192591876
musk-2,0.005048302046203696,0.005623115715102349,0.005593593055032364,0.007110762304398739,0.011073945622271278,0.005664880843914612,0.006317989931108776,0.006317989931108776,0.006317989931108776,0.009519959960465297
nursery,0.00282007760334685,0.0025905878442319015,0.0029959554812949963,0.03904723354589632,0.025935604003256646,0.0061719664653276775,0.005119001349978388,0.01361469843776512,0.005341973188717459,0.006257969757258795
oocytes_merluccius_nucleus_4d,0.014267676816867494,0.02270791160969665,0.017415292032170772,0.01471736995757057,0.0167171156879808,0.018665645815634554,0.020185824226018254,0.023371425957480617,0.020185824226018254,0.023433802412624754
oocytes_merluccius_states_2f,0.0157595196439121,0.015895840497604074,0.021107279806302462,0.012143015700674482,0.020743340819814594,0.02160992493145761,0.01923556054899783,0.019869127475936724,0.019248450808220102,0.019972272428237722
oocytes_trisopterus_nucleus_2f,0.01785780413271439,0.016651887305552584,0.016557283669984955,0.016637818306836822,0.01586354185720881,0.016492180165988198,0.017140558486833855,0.017140558486833855,0.017140558486833855,0.013050195035406706
oocytes_trisopterus_states_5b,0.024959388316415945,0.03057152541562951,0.024625193295920264,0.03512419715407295,0.03462237894499996,0.031138322783639847,0.035920557223357893,0.03698959569385415,0.03569148816935061,0.028136248435496475
optical,0.0012803756598301825,0.0012767321444978501,0.0010218325827329624,0.0016067542605752983,0.0024572687023482653,0.0015414170700368095,0.0017619383831292408,0.0017531602253118201,0.0013831275669152195,0.002335406044646563
ozone,0.04420342284896962,0.046113210459614404,0.03761751328137794,0.0,0.03652554271589893,0.027173659297102592,0.028325777965177382,0.013210233018561435,0.028325777965177382,0.0383151445181858
page-blocks,0.027189606510046302,0.02787626798532862,0.030519206226501342,0.09097897684981501,0.026137637061721626,0.025464063427453266,0.025528327399123918,0.031327502574871005,0.027253138350826153,0.023610013213185312
parkinsons,0.02799309801724589,0.035177794891512605,0.03896630001221518,0.035594183030634455,0.04350189819506538,0.047975093967253274,0.04643885953162157,0.04724315396248049,0.04643885953162157,0.041082380775793494
pendigits,7.131740400392545E-4,7.802599079636752E-4,6.863789181065567E-4,0.0011864499956538868,0.0024264183314983228,0.0011086875996717872,0.0010247161838991237,0.00100678262307695,0.0011903544795406934,0.001397644324612886
pima,0.01920589225829298,0.0144224430407867,0.014670995745393175,0.017492654884530626,0.015555529139321175,0.017275465021119422,0.017121217658358143,0.025830995835960453,0.017121217658358143,0.016370128663242875
pittsburg-bridges-MATERIAL,0.08488344948797251,0.11660658084871252,0.0895932435239751,0.0753139880148066,0.0947475298450533,0.08878887930461578,0.08371948645375324,0.05488588428794317,0.07770018667268565,0.08846195046967416
pittsburg-bridges-REL-L,0.10631735283890613,0.101121185611715,0.08760517134242835,0.06620339300246017,0.07794694171589156,0.06986763960218857,0.06460792587956601,0.06207695223797639,0.06106361468414974,0.06892107981555734
pittsburg-bridges-SPAN,0.09033613039211166,0.09360873807545307,0.08642495300946688,0.06386179039816998,0.061514236882982305,0.060761814161935115,0.05821291494370124,0.05797573079906847,0.056943081627152364,0.06566555190403835
pittsburg-bridges-T-OR-D,0.11528721375828932,0.11098314309703088,0.1182452152880598,0.14992883670213392,0.13114295472362408,0.11184175662081043,0.11517000831896655,0.11455067950980179,0.11517000831896655,0.10215308839545
pittsburg-bridges-TYPE,0.08190678475991406,0.0646289509313241,0.06419266050684193,0.08623542583584543,0.05933005020000606,0.06022815064759062,0.06636308933709675,0.06652215143910893,0.06806367666611925,0.06745705448818795
planning,0.05395719257162591,0.048550540701216366,0.0409653624363343,0.028574464719512523,0.02053532695459252,0.01624265093656363,0.01394758505567404,0.0014044168141158055,0.01394758505567404,0.017274011830811255
plant-margin,0.2098420485623117,0.0077427199770932,0.004011477785428766,0.008020716710601623,0.010759585408412329,0.009136182331050917,0.009083741950104696,0.00909362224403683,0.010310899823604818,0.01454753405654844
plant-shape,0.024138013136149373,0.012224257493376354,0.004646250496708182,0.006889548347807834,0.020101439946706174,0.016378306457439165,0.014193412042292679,0.01298042292494142,0.015919212801105986,0.01506713901711004
plant-texture,0.0197497362851592,0.008806397283918903,0.0032285988562707206,0.008722364286823405,0.012632799439815602,0.011354796065018555,0.010929537624846683,0.011837542160855856,0.010909544003467499,0.014151344928205072
post-operative,0.07229588495219001,0.07141995726719504,0.051882194628975996,0.1694048645359953,0.02768683228270133,0.028657108882299734,0.027281699382952596,0.007928379115701942,0.027281699382952596,0.04518890293364969
primary-tumor,0.05194662636373037,0.04150228426648383,0.04532943906748854,0.03478786451009128,0.021767999112237278,0.02573412207262439,0.023451634032623774,0.024800581381684148,0.024270850089415638,0.031561208942781686
ringnorm,0.0044373062688915525,0.004724605047917538,0.003984562581408627,0.005195101301888911,0.00693902521802686,0.005222406753961229,0.004270064289461733,0.004270064289461733,0.004270064289461733,0.004352462680268823
seeds,0.014236367974926861,0.017629177992726966,0.018290936127234245,0.023586254756833933,0.020370074185654955,0.024454323098604947,0.02195871606559115,0.021861168873408627,0.02195871606559115,0.020060637350345502
semeion,0.006660859290209782,0.006350030097061383,0.008188241544785844,0.009767922704413616,0.010071126518390917,0.010613040295841942,0.009353522904711104,0.00943596492272777,0.010527301879584363,0.009270096512787285
soybean,0.004684181837344375,0.010304062345043857,0.008258408397360195,0.01177740210642665,0.01454698155699677,0.01337216064037005,0.014341529747615229,0.015054260002453277,0.015408541189756864,0.018039726771102146
spambase,0.00434767925185792,0.005923339043964459,0.004670690214187645,0.005918320117760771,0.006068518715278817,0.006270180501738378,0.0070122830483050815,0.0070122830483050815,0.0070122830483050815,0.006365527749775635
spect,0.040406965397149254,0.04676114527498992,0.04243222337047858,0.04283902234680041,0.0417412756779496,0.04642568237811564,0.046360598476372666,0.04520671139109407,0.046360598476372666,0.049642465767730036
spectf,0.05296550530303701,0.0685510052155158,0.060937458251892285,0.04442552025565849,0.04870065132711017,0.04890521499475595,0.049335513425149295,0.05731401491199371,0.049335513425149295,0.05378452750489726
statlog-australian-credit,0.02913962119522529,0.034922103055625923,0.022375259688945326,0.01192234361321676,0.02198791839292361,0.019337029409189452,0.01031245493678902,0.0013744530478800067,0.01031245493678902,0.0072652256268608325
statlog-german-credit,0.02427014214684326,0.021540176435576208,0.022338632851731738,0.017875688235283644,0.01905684642396136,0.01956399138487324,0.02216617178684671,0.020637461424140646,0.02216617178684671,0.023268628939193674
statlog-heart,0.028869780742190796,0.028571849340087236,0.028637927766666998,0.02756282733737852,0.027332679181033145,0.029132848484002154,0.02641530236877323,0.02641530236877323,0.02641530236877323,0.028630735746295485
statlog-image,0.003986986864976101,0.0039144713093963324,0.004461813116808633,0.0040619206861859745,0.005394640362598566,0.004796833902284356,0.004144965942219296,0.003940358920691851,0.003867971612158342,0.009076609998586649
statlog-landsat,0.0059366510702241575,0.008015437204423003,0.006061524301453436,0.005390350814919282,0.006585702920925197,0.006106768533993957,0.005230713691966525,0.010573375078640658,0.005031973073593447,0.006905372809392873
statlog-shuttle,0.02829933246899902,0.030085117746468357,0.028271414484778865,0.06424741618949259,0.05304985531751883,0.03889840229559232,0.0393793036954746,0.05550945340514873,0.03789353790063366,0.025744993675005712
statlog-vehicle,0.012869811815930034,0.02737758827751346,0.013022525202264462,0.015600707961514014,0.014132358296633089,0.013161274184069163,0.015005776687021775,0.014105661995909092,0.01599303639930213,0.017951426158673137
steel-plates,0.016540507753737815,0.027473347198489505,0.018006313668519944,0.01598657802535785,0.013593129576205032,0.014617213916046942,0.015170425062753937,0.014409259236183409,0.015565137031048108,0.015339398597713896
synthetic-control,0.002413245696001981,0.004192068165532405,0.005301870799246521,0.005367705332485991,0.0068778802163714636,0.006189844605901733,0.006473247826259906,0.006413786237104777,0.006546815395771378,0.008438796255851018
teaching,0.05198477218211882,0.07368806356845747,0.050174565706943126,0.055133586537496705,0.06573958398240135,0.06924307896090265,0.07404647051463373,0.06650850044908985,0.07114305634163702,0.06913443023652953
thyroid,0.007685310138760271,0.005107932892684934,0.008091588697119121,0.007945539893329865,0.07090330331702284,0.028692898949173352,0.030546997943009746,0.04763217948819705,0.03052062591332795,0.0367601130495901
tic-tac-toe,0.0028274689159629874,0.0016388264484022408,0.0028274689159629874,0.004211671081621121,0.00808366987358854,0.005648888508885387,0.005182928519904522,0.005182928519904522,0.005182928519904522,0.005533250291981403
titanic,0.015988076568427753,0.01609689170713944,0.014957494334324048,0.009999918268581461,0.01570353417912516,0.011448094687197477,0.0173788186996607,0.014922351460527257,0.0173788186996607,0.010290700338548824
trains,0.0,0.04564354645876383,0.15256428831468238,0.08643647591044011,0.3432434878537726,0.2856732318616829,0.27543069720987384,0.3057166068079405,0.34956869977454935,0.35314677356328905
twonorm,0.0017715106362030878,0.001927067735045869,0.001693188592847805,0.0017278569620312481,0.0017256614554898165,0.001962915803237032,0.0017278569620312481,0.0017278569620312481,0.0017278569620312481,0.0016398172479952014
vertebral-column-2clases,0.032275178186310045,0.034437286592411576,0.03485248861525184,0.04068832334313636,0.03638405363375541,0.04130012362110954,0.04836050018299854,0.048185779175766365,0.04836050018299854,0.042753154873934336
vertebral-column-3clases,0.02506118523801838,0.03638558621300667,0.030052789276927356,0.02966192365259279,0.030338986369697403,0.028244106116083422,0.031896757676552555,0.03131668987243837,0.031923439704303155,0.03577962601224715
wall-following,0.0028791457547983814,0.002322375160308688,0.0029188316722679217,0.0038375103207588,0.025116125698967012,0.005068324843666265,0.006737284035939657,0.006916175694966099,0.008023150774398548,0.013352661015514158
waveform,0.005154003259443669,0.0050111174950037895,0.004784131807549956,0.005113170932409508,0.005121438361213233,0.0056842215599251095,0.0051315439949501385,0.005095585146548583,0.005087782348007172,0.005358246758999076
waveform-noise,0.005170728779397197,0.005769515662505523,0.005191668319826658,0.0053177563008049615,0.00552691712963621,0.005547686724550558,0.005328074023113771,0.005321979404099656,0.005349486902842018,0.00573965784504013
wine,0.010858411221102381,0.010594266377780525,0.011588329716226912,0.012946301825033828,0.016256564613773124,0.01525405375438382,0.013090498642940014,0.013573518265650819,0.012873760650032942,0.017407258550736847
wine-quality-red,0.04301253088122484,0.040196670245250185,0.02781649532974552,0.04068191167317465,0.025504873363969102,0.017943179420399368,0.02121914210732587,0.015306791471578061,0.021146884376403063,0.02376199930850628
wine-quality-white,0.02486624283959014,0.031069724879853114,0.02226093605661744,0.04576598262957516,0.031439899749627395,0.014967386734766164,0.012278396432816353,0.005347146690464237,0.011308778305864468,0.019657872475437398
yeast,0.01955202078310016,0.052373757655130734,0.024874943740151277,0.024023570445680813,0.04349110916493779,0.04762059464404138,0.04341092247655818,0.040308321717809084,0.04537613068325145,0.023866005049084895
zoo,0.027157113186458116,0.07783427904294861,0.03714301503061049,0.051360221868051226,0.07518996194751204,0.07067293246069828,0.07950298636944908,0.07629598093310477,0.0822297320284021,0.07655802152067553
