TRAINBALACCSTDDEVS:,SMLRE-S,SMM5-S,SMLR-S,NBC-S,ES-S,CAWPE-S,WMV-S,RC-S,MV-S,PB-S
abalone,0.005605809740449984,0.006196111683465435,0.006445858428886131,0.0061084777507378705,0.0063878098956272325,0.007935028175704554,0.006955929156789321,0.008457159952497687,0.007212076679112848,0.00853873514068224
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008051557998728986
adult,0.00412210876394456,0.005453131487528958,0.003787997556911508,0.0034800044155517008,0.006124413407035026,0.004015330653911552,0.004677277979188155,0.00340688242483255,0.004677277979188155,0.003298342269794707
annealing,0.05125192545192605,0.05180092715190518,0.05481375785766354,0.0439689537900622,0.062154917084635275,0.047142505068417516,0.05228071906498176,0.07086751151738023,0.04782259193713934,0.05935040699524015
arrhythmia,0.05838048817790233,0.05799127609793941,0.059055646262119135,0.04410896607934909,0.050294282733555545,0.04995831776992852,0.03686971286066742,0.039023113266401836,0.033622119680467716,0.032035115084968466
audiology-std,0.11015067887561276,0.06040518649588208,0.0446810191049972,0.08461923034624387,0.03823795693925616,0.033935196657827786,0.034210405792427165,0.037851441896518824,0.03554607658041984,0.036021237590373525
balance-scale,0.03155074018345627,0.040591543566295823,0.05087201808339997,0.03251782866693075,0.07154569870741247,0.04765002764751706,0.06445385409595054,0.048739795008040966,0.06331137325010258,0.0787633122627046
balloons,0.12685406585123124,0.22255572436358206,0.21509153357603814,0.15758291620263667,0.25216574679555587,0.2452819486938342,0.2358884458300523,0.23282305999819283,0.23938178678993793,0.24261111527855636
bank,0.016460623598221657,0.033908108718314324,0.01604980903978492,0.0,0.02103863882698791,0.01464269088131222,0.015892423092338747,0.017412909330282042,0.015892423092338747,0.017517726821496746
blood,0.02877233619495796,0.0451806172254318,0.04339270999738178,0.0855523118100619,0.03956295589606685,0.04133178039031926,0.03757028509859053,0.03178400958959346,0.03757028509859053,0.02662829454890381
breast-cancer,0.04152928324447213,0.06362108538274062,0.05981096852675196,0.0743883478337115,0.0414925402179332,0.03678506198240874,0.04068211326131254,0.03957404517124688,0.04068211326131254,0.051069879330864175
breast-cancer-wisc,0.006901091074161213,0.00884080731176472,0.008637251189584904,0.007638140930925121,0.007800410029049179,0.00802870201187105,0.00734117297385893,0.00734117297385893,0.00734117297385893,0.00842648610260369
breast-cancer-wisc-diag,0.008907967658790896,0.008334554012648755,0.008044915365655193,0.009241201944521993,0.010305119957633615,0.009256827946143412,0.0088587774219712,0.0088587774219712,0.0088587774219712,0.00859045370883364
breast-cancer-wisc-prog,0.0770140649773627,0.07523437735997889,0.07510375048238367,0.0948728294930142,0.05940815728373668,0.054008541930894424,0.04737916564060831,0.0481800890619877,0.04737916564060831,0.04815137411191669
breast-tissue,0.06328169428216641,0.0441099986192973,0.03908539267179058,0.05517444655937209,0.054331278626684534,0.05842827992742375,0.060404441417498914,0.056416590516182585,0.06354497857711754,0.0590157243625106
