ES-A,RC-A,PB-A,SMM5-A,SMLRE-A,SMLR-A,CAWPE-A,MV-A,NBC-A,WMV-A
656.0 ,182.0,182.0,2339.0,549.0,273.0,403.0,174.0,178.0,200.0
656.0 ,175.0,173.0,2304.0,467.0,267.0,330.0,167.0,174.0,194.0
561.0 ,172.0,185.0,2018.0,684.0,266.0,304.0,195.0,183.0,183.0
596.0 ,183.0,176.0,2003.0,475.0,243.0,317.0,191.0,184.0,181.0
79.0 ,9.0,8.0,41.0,60.0,23.0,74.0,10.0,9.0,12.0
78.0 ,11.0,7.0,42.0,56.0,19.0,77.0,8.0,13.0,9.0
78.0 ,9.0,10.0,55.0,56.0,21.0,78.0,8.0,9.0,9.0
93.0 ,9.0,8.0,34.0,49.0,21.0,82.0,8.0,10.0,10.0
78.0 ,13.0,10.0,41.0,50.0,22.0,75.0,8.0,11.0,9.0
78.0 ,8.0,8.0,36.0,52.0,21.0,77.0,9.0,11.0,9.0
94.0 ,12.0,9.0,46.0,52.0,22.0,98.0,9.0,9.0,8.0
110.0 ,12.0,8.0,41.0,247.0,27.0,111.0,9.0,10.0,10.0
78.0 ,11.0,9.0,37.0,82.0,25.0,70.0,10.0,10.0,8.0
61.0 ,8.0,8.0,31.0,73.0,31.0,63.0,10.0,9.0,8.0
62.0 ,9.0,8.0,38.0,71.0,112.0,54.0,8.0,8.0,9.0
93.0 ,10.0,8.0,33.0,84.0,50.0,60.0,9.0,8.0,10.0
79.0 ,9.0,8.0,37.0,64.0,41.0,52.0,9.0,9.0,11.0
71.0 ,9.0,9.0,42.0,76.0,37.0,72.0,11.0,9.0,8.0
78.0 ,9.0,8.0,43.0,56.0,25.0,63.0,10.0,9.0,8.0
70.0 ,9.0,10.0,37.0,57.0,24.0,62.0,8.0,8.0,10.0
78.0 ,10.0,7.0,34.0,50.0,36.0,57.0,9.0,10.0,9.0
62.0 ,8.0,8.0,39.0,57.0,23.0,66.0,10.0,9.0,10.0
77.0 ,12.0,8.0,36.0,71.0,26.0,54.0,8.0,10.0,9.0
71.0 ,8.0,9.0,37.0,61.0,22.0,57.0,8.0,8.0,8.0
70.0 ,11.0,8.0,46.0,52.0,21.0,60.0,11.0,8.0,9.0
78.0 ,12.0,8.0,35.0,82.0,22.0,66.0,8.0,8.0,8.0
81.0 ,11.0,8.0,42.0,55.0,20.0,60.0,13.0,8.0,9.0
97.0 ,9.0,8.0,41.0,54.0,19.0,79.0,12.0,8.0,10.0
109.0 ,9.0,8.0,33.0,54.0,21.0,96.0,8.0,9.0,8.0
78.0 ,8.0,9.0,36.0,48.0,21.0,64.0,8.0,8.0,9.0
65.0 ,8.0,9.0,40.0,49.0,20.0,61.0,7.0,9.0,8.0
94.0 ,8.0,9.0,42.0,59.0,21.0,75.0,9.0,8.0,9.0
62.0 ,8.0,8.0,36.0,51.0,19.0,58.0,7.0,12.0,9.0
79.0 ,8.0,10.0,43.0,56.0,20.0,57.0,8.0,8.0,10.0
110.0 ,8.0,12.0,94.0,909.0,141.0,88.0,9.0,8.0,9.0
63.0 ,8.0,9.0,105.0,958.0,137.0,58.0,10.0,10.0,9.0
93.0 ,9.0,10.0,91.0,986.0,141.0,80.0,10.0,10.0,11.0
78.0 ,9.0,9.0,97.0,1121.0,156.0,63.0,8.0,10.0,10.0
78.0 ,13.0,9.0,110.0,1272.0,142.0,63.0,8.0,10.0,12.0
92.0 ,8.0,11.0,104.0,1054.0,136.0,76.0,9.0,12.0,10.0
140.0 ,9.0,9.0,109.0,1134.0,133.0,99.0,9.0,9.0,10.0
78.0 ,9.0,10.0,118.0,1192.0,134.0,61.0,11.0,9.0,10.0
60.0 ,9.0,9.0,125.0,990.0,136.0,61.0,10.0,12.0,9.0
78.0 ,9.0,8.0,97.0,999.0,135.0,58.0,8.0,8.0,9.0
102.0 ,12.0,12.0,94.0,1128.0,140.0,80.0,9.0,10.0,11.0
78.0 ,9.0,10.0,97.0,1162.0,137.0,68.0,9.0,9.0,9.0
67.0 ,8.0,13.0,92.0,1113.0,138.0,57.0,9.0,9.0,8.0
79.0 ,9.0,13.0,98.0,1212.0,137.0,62.0,12.0,11.0,9.0
110.0 ,12.0,13.0,95.0,1174.0,130.0,93.0,8.0,10.0,10.0
78.0 ,9.0,11.0,92.0,1115.0,132.0,62.0,8.0,10.0,9.0
78.0 ,11.0,9.0,92.0,949.0,148.0,60.0,8.0,10.0,9.0
383.0 ,9.0,16.0,87.0,1005.0,150.0,278.0,10.0,11.0,11.0
93.0 ,8.0,8.0,91.0,984.0,148.0,71.0,12.0,10.0,9.0
109.0 ,9.0,10.0,99.0,963.0,144.0,81.0,12.0,11.0,9.0
109.0 ,10.0,9.0,94.0,1018.0,150.0,80.0,9.0,9.0,9.0
79.0 ,8.0,9.0,97.0,1041.0,146.0,55.0,9.0,9.0,9.0
78.0 ,8.0,10.0,89.0,1027.0,139.0,65.0,8.0,10.0,9.0
94.0 ,8.0,11.0,103.0,989.0,202.0,67.0,8.0,12.0,9.0
63.0 ,8.0,9.0,117.0,958.0,222.0,61.0,8.0,9.0,10.0
87.0 ,9.0,9.0,105.0,1010.0,194.0,62.0,9.0,12.0,8.0
74.0 ,9.0,8.0,88.0,991.0,153.0,56.0,8.0,12.0,10.0
109.0 ,9.0,8.0,87.0,936.0,164.0,87.0,9.0,11.0,10.0
78.0 ,10.0,10.0,92.0,957.0,146.0,57.0,10.0,9.0,8.0
79.0 ,9.0,12.0,93.0,1066.0,149.0,64.0,9.0,10.0,9.0
62.0 ,8.0,7.0,51.0,1445.0,217.0,63.0,5.0,8.0,8.0
47.0 ,9.0,6.0,57.0,1331.0,206.0,49.0,11.0,7.0,6.0
39.0 ,6.0,10.0,48.0,1480.0,220.0,56.0,6.0,6.0,7.0
47.0 ,6.0,11.0,55.0,1190.0,227.0,51.0,7.0,6.0,5.0
62.0 ,5.0,7.0,55.0,1370.0,212.0,53.0,6.0,7.0,6.0
62.0 ,6.0,8.0,56.0,1617.0,226.0,59.0,8.0,7.0,5.0
53.0 ,6.0,8.0,56.0,1567.0,214.0,59.0,5.0,6.0,5.0
94.0 ,6.0,8.0,53.0,1266.0,198.0,81.0,6.0,6.0,8.0
70.0 ,7.0,8.0,59.0,1286.0,216.0,72.0,5.0,8.0,6.0
62.0 ,6.0,8.0,51.0,1483.0,206.0,67.0,5.0,7.0,6.0
62.0 ,7.0,9.0,58.0,1700.0,224.0,66.0,7.0,6.0,6.0
63.0 ,5.0,7.0,51.0,1121.0,206.0,59.0,6.0,6.0,6.0
71.0 ,7.0,7.0,54.0,1007.0,275.0,57.0,5.0,6.0,6.0
43.0 ,6.0,5.0,57.0,1407.0,200.0,53.0,6.0,7.0,6.0
78.0 ,6.0,6.0,55.0,1373.0,266.0,88.0,7.0,9.0,10.0
89.0 ,6.0,7.0,56.0,1580.0,230.0,75.0,6.0,7.0,7.0
125.0 ,6.0,7.0,56.0,1232.0,288.0,86.0,6.0,9.0,7.0
62.0 ,8.0,9.0,51.0,1359.0,250.0,49.0,6.0,7.0,6.0
70.0 ,6.0,6.0,56.0,1234.0,256.0,67.0,5.0,7.0,6.0
85.0 ,6.0,8.0,53.0,1221.0,260.0,65.0,5.0,5.0,6.0
108.0 ,5.0,9.0,56.0,1335.0,253.0,79.0,7.0,6.0,5.0
78.0 ,6.0,6.0,53.0,1238.0,218.0,68.0,5.0,6.0,6.0
81.0 ,6.0,6.0,49.0,1453.0,259.0,60.0,6.0,7.0,6.0
59.0 ,6.0,6.0,54.0,1200.0,367.0,60.0,7.0,6.0,5.0
78.0 ,5.0,6.0,51.0,1150.0,299.0,69.0,7.0,8.0,7.0
62.0 ,6.0,9.0,50.0,1569.0,246.0,64.0,6.0,6.0,5.0
63.0 ,8.0,8.0,54.0,1285.0,245.0,66.0,6.0,6.0,6.0
125.0 ,6.0,7.0,52.0,1284.0,289.0,100.0,6.0,8.0,5.0
55.0 ,5.0,7.0,49.0,1350.0,318.0,60.0,5.0,9.0,7.0
68.0 ,6.0,6.0,50.0,1386.0,283.0,67.0,7.0,6.0,6.0
47.0 ,5.0,5.0,15.0,18.0,12.0,37.0,5.0,6.0,6.0
42.0 ,5.0,6.0,17.0,21.0,11.0,51.0,6.0,5.0,5.0
46.0 ,5.0,5.0,19.0,15.0,11.0,47.0,6.0,5.0,5.0
63.0 ,6.0,5.0,16.0,14.0,11.0,45.0,5.0,7.0,5.0
62.0 ,5.0,6.0,18.0,14.0,12.0,52.0,6.0,6.0,6.0
