NN,MLP1,SVML,C4.5,Logistic,CAWPE-S
0.246744 ,33.263835,6.679471,1.368183,2.501214,691.580357
0.195217 ,48.267102,24.807947,1.034169,2.587614,680.297872
0.197082 ,32.281986,16.844395,0.793964,2.405943,657.159098
0.21329 ,32.65426,12.755455,1.08303,2.255146,643.628353
0.232252 ,33.825515,14.642339,0.862981,4.68802,680.554999
0.199035 ,35.733599,17.267698,0.834291,14.665567,700.427843
1.52286 ,44.808765,7.200271,1.081393,10.495627,692.468777
0.207612 ,38.309712,6.358014,0.920162,14.586547,777.152506
0.199129 ,35.713674,7.427386,0.962073,6.780602,685.091796
0.212651 ,36.622623,14.945194,0.838349,5.922824,627.024885
0.219712 ,40.775814,14.96372,0.726384,1.484937,642.817895
0.241245 ,37.093765,7.489524,0.865798,2.772447,740.807769
0.215686 ,42.848434,8.922469,1.244326,4.035536,623.860325
0.216055 ,34.080956,29.082274,1.023536,2.57605,713.744909
0.268486 ,34.8679,11.90906,0.881202,13.887677,723.405474
0.195508 ,48.91404,12.713628,0.776385,1.659109,666.93292
0.219556 ,42.004905,11.654677,0.916118,9.384055,655.851862
0.195254 ,32.15862,17.69406,4.426812,12.029894,653.624219
2.347589 ,33.48413,16.725092,0.904312,1.412378,640.575136
0.214104 ,35.568183,22.255116,2.8975239999999998,1.954854,641.289462
0.227324 ,36.111099,27.520023,0.717658,3.6818239999999998,668.937431
0.207812 ,33.584296,6.907569,0.812291,1.5371860000000002,675.253765
0.223542 ,33.671913,13.023382,1.811712,3.173483,717.508118
0.224884 ,47.94041,8.132408,0.793184,1.6638199999999999,704.67605
0.21323 ,41.040576,10.410477,0.810757,2.322134,666.986555
0.204475 ,33.163243,9.690884,1.85468,3.873093,657.131823
0.200404 ,33.159815,7.318957,0.781344,7.308469,655.901796
0.274607 ,33.719677,6.830852,0.869647,3.318002,649.028975
0.23114 ,32.955941,7.19094,0.895511,1.887839,663.917172
0.19641 ,35.045683,10.904104,1.0482879999999999,1.617394,678.776356
0.205928 ,49.913845,19.859952,0.876752,2.402224,655.006555
0.26567 ,38.686207,7.694298,0.741216,5.631546,622.925262
0.195177 ,33.928814,7.203549,0.931971,3.309576,676.093297
0.201057 ,33.972466,14.692981,0.807695,1.467942,706.985093
0.450307 ,32.842384,17.582917,0.817942,1.5823779999999998,750.273587
0.275082 ,36.530473,10.21415,1.004829,1.617145,732.113837
0.221915 ,39.358039,7.042792,11.386651,1.422957,771.922408
0.299861 ,38.574535,7.954718,0.970831,2.454366,826.525563
0.208606 ,33.276976,6.608716,0.885776,1.607686,735.839654
4.046923 ,29680.122461,8506.507549,1245.518262,1039.13456,896239.205497
6.348047 ,29013.025885,9683.041472,1197.77014,820.01345,942060.68798
22.432095 ,32247.151852,9939.108971,1088.342711,777.581455,997732.09081
8.768464 ,32180.024309,8899.50762,1001.420754,789.143159,1059908.159366
3.375515 ,33443.94941,9574.775251,1168.79036,879.551193,1047947.230095
5.670536 ,35943.096163,9813.674626,1107.699192,819.43714,991420.506122
4.252371 ,36082.681062,11407.149194,1078.63116,773.899119,946613.34639
3.494551 ,32455.526404,8696.048022,1086.626986,786.966835,982459.569923
7.771864 ,32370.172314,10486.117076,1451.07391,753.198851,976403.339025
8.40032 ,34989.695287,8308.607613,1280.924789,734.147483,1036679.483286
4.016285 ,35725.917467,8925.430561,1098.32238,791.313908,929307.113186
3.724752 ,35325.6144,13401.569137,1811.176021,808.275327,927483.053714
7.692029 ,33110.83453,6825.83965,1376.995756,823.413406,925879.013275
3.620333 ,36093.368765,8830.345238,1082.538908,784.301141,934789.495371
65.899031 ,34516.374428,9781.044717,1129.466928,715.709917,907540.67856
2.7926830000000002 ,32853.527364,11144.068707,1174.603829,798.955757,971853.635426
2.335001 ,33319.380894,10160.187789,1112.411086,782.665093,968299.973809
4.22528 ,32956.981846,8886.163191,844.77856,787.04618,979168.898446
2.322596 ,32957.943954,9258.629927,1381.293389,738.694576,976186.571501
37.219171 ,32948.32266,12944.317833,1549.169507,750.010858,962473.35857
5.157226 ,32726.723744,8259.988771,1370.664403,793.804106,968440.625206
2.389862 ,32881.989245,6853.141693,1189.451803,775.106548,971289.795976
6.479768 ,32406.940321,13611.770506,1275.393258,763.090479,940409.152381
10.289663000000001 ,33265.080529,12617.154451,1315.086974,781.755802,992975.54692
17.462411 ,32251.011628,9451.900195,1139.476412,731.540368,1002506.532615
8.606957 ,32857.231357,7984.387786,1063.989494,791.350741,987280.666097
2.12755 ,31762.04738,6234.355675,1047.385363,785.672556,975872.300128
2.117767 ,32205.692632,5041.666155,1209.562625,765.573229,964057.102276
2.344855 ,37666.991588,5932.766071,1100.43031,784.567745,960247.452603
2.5262539999999998 ,33910.145526,6863.726022,1027.595237,785.232151,940006.64106
0.521904 ,2390.578237,120.75996,20.464333,84.932116,32443.859298
0.88882 ,2275.176001,114.565161,17.651586,441.412523,28325.055391
0.468086 ,2475.094922,169.713767,30.266334,82.654936,35008.227384
0.501862 ,2501.583386,95.762965,18.695503,129.079788,29972.917072
0.513111 ,2465.737787,94.148562,19.036895,126.507827,25283.235965
0.503103 ,2201.861316,161.287284,14.005243,100.794341,29018.091316
0.503238 ,2587.008838,182.444046,18.395761,118.467036,31348.232839
0.503714 ,2651.834325,240.235963,22.20355,83.789065,33028.954225
0.538867 ,2383.667813,103.362763,18.890018,804.103434,37064.778144
0.619421 ,2466.942037,124.467844,18.576746,126.20729,31023.364302
0.504474 ,2565.332296,112.875091,15.092226,101.657899,27084.269408
0.519149 ,2124.114192,125.163335,24.890357,425.262204,29476.38045
0.473139 ,2179.157695,146.158575,15.137547,83.91943,31625.930301
0.519052 ,2295.556186,87.935969,10.098621,119.382207,27422.709629
0.494212 ,2277.253624,73.263673,22.148753,115.464769,26680.812708
0.609644 ,2212.560331,107.861918,19.174945,531.041546,30373.043567
0.522717 ,2292.603901,228.689428,32.123076,364.094074,28150.381014
0.846483 ,2406.208122,104.994853,19.329841,167.070296,28108.697462
0.486451 ,2345.038471,116.28057,30.678669,333.022814,31411.330492
0.473139 ,2339.752568,102.410109,16.948852,103.541087,35341.369575
0.539888 ,2290.568497,112.453026,17.827955,573.872687,32179.648314
0.511868 ,2337.861949,99.638416,23.661236,122.643181,26214.106108
0.46706 ,2204.445231,83.921309,24.446945,109.410163,32371.726333
0.489813 ,2165.892678,92.279054,18.859572,84.921505,29309.889595
0.573369 ,2446.891382,101.186369,19.004172,367.633032,33927.814313
0.503287 ,2240.881771,119.939839,18.404923,582.491551,32725.87656
0.52633 ,2239.918545,98.960314,21.002258,74.454195,29890.543879
0.495364 ,2221.32453,104.658795,28.749598,169.524939,25350.474911
0.518116 ,2198.382909,89.447281,34.302627,151.109478,28209.922626
0.561252 ,2208.933772,128.933891,50.446759,86.222431,27391.198779
0.416983 ,51997.908962,294.24833,136.572736,42159.300272,962645.74891
0.430153 ,47523.757687,355.757075,129.800244,40776.968328,895983.559552
0.38799 ,52126.373819,239.651348,135.840067,41254.852261,955486.594868
0.818766 ,54228.364128,359.537614,142.409357,45798.772805,989591.661677
0.440832 ,54234.584576,351.58415,178.394127,36162.709203,857192.505011
0.529552 ,54652.667841,516.120173,135.494335,49007.431147,1084293.149004
0.482159 ,54187.772107,926.258558,137.323397,42706.356027,1101037.550274
0.509002 ,53892.748554,557.543737,161.666024,42726.677174,1037028.700973
0.414163 ,53279.663067,247.569841,120.873499,41946.986776,854741.375074
0.412142 ,53069.269965,286.4751,167.162914,37410.214265,914340.749718
0.472183 ,54930.229917,428.039457,131.522274,43206.216322,847061.52233
0.471254 ,53189.677421,252.77164,140.402934,43403.874293,828157.394912
0.50909 ,52805.982062,343.928942,169.358592,38451.664252,868270.119979
0.695941 ,54602.705479,412.023416,137.330134,47221.250323,973586.45838
0.441771 ,52458.269473,248.177406,133.160259,44261.901756,805810.264681
0.464846 ,55489.830999,272.798742,199.973542,41738.891093,971237.52221
0.446196 ,54537.077977,477.186597,173.293007,49981.623266,880267.687609
0.456735 ,51402.582776,561.95624,218.726443,41550.321852,932928.350825
0.68252 ,52995.029127,366.265169,149.219945,41480.61564,967291.135405
0.48258 ,51929.176705,410.545364,121.197157,47128.419903,921662.400238
0.513042 ,51426.483582,360.278274,144.825747,41797.005323,905375.323076
0.420434 ,54285.346886,298.954752,136.493422,51783.715044,954614.942129
0.553751 ,54480.402571,318.457324,117.430094,41139.39202,1003171.983486
0.423389 ,54852.63197,415.772221,148.275144,45947.364067,875259.977618
0.579956 ,54880.808921,528.867917,128.763164,48680.51953,955081.962321
0.494966 ,55140.993501,397.013635,120.361462,43194.884586,864495.435518
0.407978 ,54309.231822,452.898253,107.555571,42844.228064,905496.858101
0.445159 ,52744.87869,513.12086,148.028345,43180.453339,866875.312244
0.772691 ,54075.342376,250.856135,184.736716,47861.706992,856297.769884
0.470791 ,55264.875869,286.219553,150.259188,36293.748001,925538.529944
0.228385 ,2173.550365,310.554818,6.128721,3901.382387,48887.41482
0.250225 ,2368.243633,694.0278,22.395483,4757.216379,43450.827746
0.257561 ,2293.436262,1324.531222,19.946875,3865.487856,48874.98822
0.263713 ,2167.361691,794.758642,7.964105,3850.534992,58965.079792
0.261306 ,2203.33966,478.150455,9.248401,4924.522616,43764.12881
0.259846 ,2384.235959,756.687411,6.101708,3533.069418,50471.488881
0.369901 ,2373.298213,1044.450519,7.35398,3810.509533,55425.658047
0.250869 ,2189.244678,965.629436,16.33711,2590.108109,49537.195948
0.320071 ,2140.223177,1201.883658,11.628773,3938.117199,51278.395944
0.274991 ,2179.910083,1097.560967,7.468491,1424.661413,49211.689455
0.27275 ,2389.812043,704.666061,7.877487,2451.81978,56047.154799
0.236527 ,2389.830518,586.355659,7.7159510000000004,1909.632024,53005.80526
0.238402 ,2119.502565,1288.430786,7.298875,3282.6276,50035.939336
0.266402 ,2136.318814,665.001909,11.030546,4365.367043,56252.587449
0.258744 ,2384.120273,604.480512,6.829779,3008.20926,52232.074847
0.259285 ,2073.217382,617.331746,7.944546,2397.516561,56404.719486
0.302291 ,2436.599344,821.489133,6.378364,3077.940834,58039.108965
0.242855 ,2199.116536,1017.497852,8.614687,2712.632835,58898.891401
0.271373 ,2157.714208,513.814227,6.333535,3342.435264,54834.586579
0.233067 ,2277.24756,1130.235634,6.109716,3288.811534,44930.18771
2.35128 ,2204.367819,573.899016,13.385126,3082.121305,54343.372574
2.508288 ,2297.916795,436.25784,15.147038,4067.54929,46954.81284
0.246957 ,2191.607923,854.662139,6.772465,2842.588917,45585.924611
0.573353 ,2470.498841,534.220877,7.878901,2936.990868,49825.48629
0.23605 ,2003.019525,720.284872,6.956963,2947.066427,49695.564455
0.236881 ,2203.215893,425.029614,13.389247,3351.002507,36772.45021
0.247412 ,2117.361993,549.886259,17.870552,2811.360568,48031.646486
0.23195 ,2011.223098,509.689752,5.8593720000000005,1466.330437,44212.534016
0.309014 ,1936.267663,488.490705,19.610323,2432.199798,61506.301471
0.231634 ,1988.961615,1146.557034,12.927412,2632.032333,42246.7853
0.39276 ,161.672394,19.326247,2.7691470000000002,43.785658,2426.658298
0.375192 ,156.860649,25.919458,12.664227,12.697407,2358.179054
0.403316 ,154.181816,37.244869,12.38133,15.71661,2509.975005
0.37681 ,163.828766,19.002672,14.306641,17.764773,2538.756162
0.336425 ,163.138217,65.213917,2.8805680000000002,13.791736,2576.56058
0.39482 ,158.984953,28.13714,25.915903,13.425474,2513.196348
0.545061 ,160.060374,30.905689,13.491328,10.307621,2505.064976
0.368808 ,168.948611,27.206621,4.585051,12.48437,2675.997645
0.365923 ,168.326703,34.963451,2.924999,26.878766,2511.595594
0.397577 ,143.920762,18.956888,2.6143650000000003,18.399615,2494.314545
0.362838 ,158.036378,29.432954,2.370263,14.297198999999999,2701.553919
0.35415 ,154.036109,41.907242,2.262107,10.348442,2658.855081
0.350792 ,161.889296,19.94407,12.566712,18.137143,2513.71683
0.363843 ,150.465998,21.109988,12.57869,13.152183,2735.573869
0.349966 ,146.594793,45.080438,18.081045,57.208892,2620.70939
0.365576 ,158.5632,30.562298,3.334668,16.768225,2693.815897
0.426536 ,157.614188,19.837376,3.649601,13.358005,2991.975339
0.395654 ,145.292483,26.071096,4.220649,27.05063,2473.324331
0.395883 ,148.622678,36.243346,2.508189,16.940094,2553.350928
0.358807 ,157.527156,64.738599,3.030409,21.162781,2642.493261
0.35989 ,173.346665,122.80423,2.7960599999999998,27.236221,2711.591647
0.363175 ,155.696338,61.955663,2.587142,10.558216999999999,2524.145588
0.380546 ,154.161629,28.348961,2.801826,17.037478,2681.20836
0.370866 ,153.210769,85.567102,3.284874,14.59631,2746.674261
0.573269 ,163.114378,41.795845,2.305459,17.31674,2523.229464
0.38521 ,168.715307,81.558103,3.160938,11.870948,3006.720343
0.36631 ,159.883119,86.449795,5.784963,10.887025,2571.90832
0.398999 ,177.317099,70.374459,4.036786,13.313565,2488.285662
0.376941 ,185.141167,88.496907,11.738768,10.888574,2573.504528
0.428239 ,173.943991,24.539716,3.208456,10.907689,2770.451028
0.228437 ,5.078086,5.814542,0.685625,1.084945,179.879897
0.270416 ,4.854705,5.7481,0.469675,6.5452580000000005,226.608961
0.300677 ,9.20121,6.390446,0.427953,1.283904,248.436176
0.294946 ,4.9182749999999995,6.018823,0.528699,1.240619,256.702716
0.284981 ,9.14939,9.108095,0.894902,1.309212,237.900453
0.302884 ,7.778489,8.385791,0.527782,3.3286160000000002,226.889525
0.286774 ,16.844894,7.880275,0.360654,1.34084,181.059464
0.36321 ,14.549791,5.7188870000000005,0.505948,1.210269,172.084282
0.267061 ,5.359031,8.751267,0.430862,1.191822,182.403537
0.30572 ,5.789093,5.831752,0.491251,1.4279709999999999,166.411047
0.295507 ,6.263747,9.631226,0.623492,2.061278,171.330132
0.288094 ,4.579245,6.410311,0.513754,1.262226,218.705343
0.248683 ,4.67412,5.779087,0.401174,15.355155,268.354544
0.328441 ,7.803517,5.909637,0.504226,1.1530960000000001,240.922045
0.665078 ,10.863273,9.85656,1.260909,1.437796,260.68974
0.436096 ,7.6276209999999995,6.928162,0.930288,1.287329,199.43587
0.346163 ,8.760879,5.822283,1.7416800000000001,1.609223,173.545671
0.307288 ,4.454478,6.147777,0.445512,1.4005480000000001,172.407538
0.253976 ,5.052168,5.807364,0.354346,1.674374,187.113096
0.377591 ,4.436582,5.6425149999999995,0.462056,1.368147,178.113232
0.575104 ,4.98971,5.793797,0.408207,5.440669,172.490905
0.570794 ,12.250069,10.115604,0.422355,1.256396,184.006959
0.38523 ,10.753645,6.153756,0.960683,3.372861,257.485446
0.345319 ,5.221344,5.701485,0.805272,1.228311,248.180137
0.505328 ,7.414105,5.682418,0.455329,1.434853,172.633655
0.265446 ,5.810111,5.824043,0.548009,1.102064,175.445271
0.284256 ,7.668246,12.261248,0.530613,1.140248,187.888154
0.332062 ,4.960691,7.724382,0.530569,1.347575,173.205624
0.499513 ,4.740999,10.289222,0.303703,1.9319570000000001,175.661947
0.152785 ,4.854739,5.555652,0.608351,3.091815,184.272207
1.889364 ,3567.660554,223.065213,39.141198,65.279827,48017.565018
1.8680379999999999 ,3577.02903,244.242759,40.223553,64.37018,52656.127148
1.894762 ,3662.742451,244.408961,42.024351,104.981196,51164.082014
1.933973 ,3514.388277,142.124943,66.606562,138.410464,48768.835571
2.002608 ,3199.898921,143.937286,93.417841,81.500299,48652.327667
1.947342 ,3339.517298,200.523076,45.278824,53.48192,49815.298233
1.973989 ,3573.278236,260.62491,42.547029,59.011188,51835.309397
1.9072580000000001 ,3627.55589,197.159633,43.644869,61.326134,47673.609599
1.729995 ,3530.482687,295.296238,43.453285,62.614326,48470.098524
1.873016 ,3791.813347,172.820105,49.006436,61.397342,50779.083782
1.7887659999999999 ,3626.597925,252.729798,99.484683,66.755319,48837.357159
2.713 ,3610.718496,237.796139,48.717018,64.23085,48627.057491
1.8059910000000001 ,3711.895452,215.209516,56.299294,67.405359,49884.040409
2.178679 ,3679.972301,223.30068,141.621805,61.185746,50979.205289
1.766411 ,3680.580682,214.654021,42.413185,64.733093,49558.850366
2.035818 ,3605.458067,184.545136,47.736638,61.526097,53549.279578
5.429994 ,3532.741469,143.930608,41.611852,83.245528,52060.079864
1.931335 ,3672.596708,305.931793,46.664187,64.23827,53000.820399
1.770502 ,3916.170066,223.980373,46.276208,60.643,55154.889629
1.865027 ,3655.536974,270.666874,43.551343,65.264662,50653.194044
1.886299 ,3761.119047,216.432739,40.358897,73.7399,47323.377617
1.712545 ,3706.033852,188.879239,45.018088,60.538373,48228.771221
1.619505 ,3676.603858,270.077686,42.76227,68.890812,49268.941417
2.004207 ,3407.165567,389.548907,43.729699,59.460789,48624.813952
2.094571 ,3595.798668,195.004539,100.379816,60.180531,50493.907131
2.007035 ,3309.170836,303.332255,39.187925,62.357021,50590.128161
1.7252969999999999 ,3220.694749,166.711105,40.019408,59.380314,49029.568196
1.967054 ,4001.782775,263.758456,57.029187,53.998574,51040.507998
1.861053 ,3919.574827,174.339616,59.025928,51.304151,51164.262692
1.933135 ,3764.001703,310.201403,63.790736,58.242524,51809.689737
1.354925 ,149.308765,13.4576,3.368109,8.112624,2402.40867
0.905712 ,156.853509,15.960215999999999,3.72029,18.373409,2564.941091
1.13964 ,156.080443,13.174968,21.556365,6.563534,2286.488008
0.695373 ,160.092595,23.261702,13.484794,28.494501,2404.639609
1.108202 ,160.761461,13.546108,17.167407,11.653788,2268.140356
0.421052 ,174.579421,19.214598,3.021995,8.720647,2447.865268
0.884656 ,160.629088,31.526677,11.211606,5.77215,2442.416449
0.416862 ,171.376121,19.71853,3.963489,17.225466,2292.96609
0.775448 ,198.130408,13.903897,2.415565,11.035062,2541.80134
0.942305 ,159.34753,10.738024,10.940541,22.34989,2406.843909
0.938907 ,176.431131,10.155488,15.995252,31.865089,2387.63255
1.678056 ,157.123524,11.265379,12.480305,11.065354,2424.357487
0.43694 ,158.469504,10.671041,1.944935,5.979925,2490.34565
0.439089 ,144.052538,14.360092999999999,2.319135,16.144078,2243.287282
0.438652 ,132.507863,21.234244,3.997897,12.127787,2559.189085
0.643947 ,142.736818,13.479521,17.460619,21.419863,2446.218137
0.436199 ,154.787616,26.880877,4.125377,31.465041,2342.641715
0.416457 ,154.314591,25.104713,10.519033,9.391673,2465.7611
0.431835 ,137.928106,12.71528,3.523146,5.81668,2362.970739
0.490898 ,146.758627,16.817996,11.28924,8.938163,2389.440765
1.093187 ,153.57521500000001,16.63206,2.439742,6.457177,2359.69919
0.454094 ,146.251153,14.296445,2.521026,9.282423,2441.609186
0.438404 ,153.541467,16.396556,11.026528,6.980878,2604.571806
0.591073 ,153.957983,17.881319,2.768279,11.872441,2277.52534
0.422251 ,161.723879,20.322437,3.683709,7.151064,2438.925077
0.414699 ,149.277836,15.866996,2.810495,9.890763,2442.545622
0.405802 ,153.34689,17.623763,2.524625,6.331126,2412.729413
0.543589 ,160.326806,17.245776,9.735311,16.832868,2383.687807
0.404953 ,153.264659,19.960638,13.516093,5.583311,2505.283012
0.670409 ,165.265589,13.693811,2.48389,8.713878,2394.005858
0.240199 ,103.16536,21.681767,14.068595,4.901232,1617.299803
0.566242 ,110.277927,18.023841,20.879748,4.883235,1608.454945
0.275064 ,114.332932,23.148708,16.745547,6.27186,1682.72414
0.268905 ,118.069014,27.406603,2.5875909999999998,7.44234,1511.050981
0.254291 ,96.257019,14.036354,2.399525,3.840659,1728.444301
0.261126 ,107.85548,11.325386,3.139779,4.864479,1716.996049
0.293156 ,105.301856,21.643507,3.11111,5.434718,1708.257415
0.269109 ,120.49155,52.017082,2.380919,8.03157,1639.156548
0.23411 ,125.032256,13.479247,4.818007,5.574786,1631.951568
0.270682 ,95.524433,10.3858,9.134804,11.631043,1614.050871
0.487163 ,106.260504,11.647986,3.8322659999999997,9.9824,1628.346192
0.252147 ,105.442043,15.880487,23.777863,16.413459,1725.574036
0.26237 ,110.412693,13.112061,4.222734,7.063879,1807.365904
0.276889 ,106.751088,12.181277,7.227497,10.291438,1520.503588
0.266187 ,104.053578,14.278182,2.923613,8.391965,1621.922952
0.308774 ,108.160533,26.68873,2.486926,5.7296,1593.911847
0.306832 ,104.763457,12.319477,2.961879,5.2390740000000005,1600.515576
0.271634 ,116.810079,9.261064,3.030345,16.936023,1617.072999
0.276108 ,99.268208,19.074798,7.237773,4.570866,1641.432615
0.300732 ,108.104017,16.327797,18.989829,16.170864,1631.34291
0.308009 ,100.529003,9.691718,8.158414,9.285311,1535.162861
0.279026 ,103.926471,11.179862,2.785647,5.014093,1773.684151
0.305465 ,99.810918,17.337625,8.276787,4.997451,1852.569439
0.260455 ,104.972765,8.763461,3.200832,6.498137,1559.507002
0.276478 ,106.44475,28.537745,6.327723,4.741291,1518.721791
0.280847 ,103.492472,19.919986,2.7014240000000003,5.686141,1600.418575
0.269178 ,101.589984,14.786176,5.776142,9.420248,1594.140155
0.363176 ,104.176865,38.615965,2.130414,19.626879,1607.099271
0.348918 ,95.712718,8.588385,3.130269,15.112923,1842.904942
0.257344 ,108.813385,11.120233,2.132636,9.973267,1733.134374
0.400619 ,266.632783,39.971613,16.199376,11.355239,3541.796032
0.494094 ,263.833046,19.161835,32.109134,13.484985,3715.822915
0.410087 ,266.889034,18.596937,15.212463,18.470476,3747.63694
0.57921 ,263.938688,13.011598,9.468317,12.531898,3258.057654
0.536264 ,266.434441,48.034773,3.12658,14.631287,3236.21096
0.426617 ,288.214514,22.995574,11.11673,16.597814,3566.225992
0.422563 ,274.483747,14.940864,4.496869,19.384489,3463.888624
0.507783 ,270.31225,28.182536,17.124622,20.422939,3532.916323
0.407149 ,253.698991,13.164969,3.807009,12.500818,3943.507858
0.495607 ,257.749655,12.587816,4.242061,14.260604,3707.749947
0.402754 ,271.469576,26.162502,18.47588,20.183967,3554.039982
0.418628 ,262.17074,23.234918,3.123595,11.440894,3644.554524
0.401178 ,273.859331,40.790907,3.610999,19.687536,3732.705308
0.538107 ,282.888962,28.366077,2.6190480000000003,12.848634,3262.362378
0.412225 ,260.104142,17.585639,3.8379529999999997,17.317247,3460.985081
0.406637 ,284.96998,24.834813,13.349106,12.926959,3417.107236
2.4594139999999998 ,270.174225,13.94944,4.14874,35.038775,3620.635173
0.414812 ,255.584234,21.264759,16.597546,10.655067,3712.902629
0.408782 ,257.203026,13.608012,3.670766,10.059193,3657.106478
3.617914 ,263.194324,17.200624,6.009747,12.467376,3662.550488
0.400293 ,288.684697,32.069541,2.594891,18.277441,3447.750416
0.41339 ,273.006431,13.777595999999999,3.362469,15.599412,3674.343887
0.41378 ,257.562914,31.5558,3.156125,11.909366,3832.090134
0.418984 ,254.816353,14.505071000000001,6.5834019999999995,45.203674,3250.764416
0.41841 ,262.971244,20.601205,3.983174,32.239585,3270.528133
0.76746 ,261.69169,15.236753,2.991811,25.55825,3442.741913
0.578774 ,262.422165,30.940083,11.174211,33.54082,3651.524923
0.399875 ,286.072842,13.789529,3.406133,14.30204,3525.936387
0.440331 ,259.580671,20.182192,13.656191,19.503523,3430.861869
0.534974 ,247.934305,30.426803,5.053686,13.058968,3497.977719
0.349951 ,1238.616525,31.801003,16.893504,33.453236,13785.119582
0.338561 ,1179.860145,16.178076,37.416136,20.490799,13340.637637
0.670739 ,1185.415013,24.639963,12.666995,50.999516,13633.697756
0.349255 ,1160.473762,35.647572,23.151453,66.111774,13088.480828
0.485612 ,1093.718547,25.58492,24.997408,49.406315,13756.175912
0.365531 ,1132.199444,72.555328,24.179842,68.434937,13332.316383
0.346211 ,1215.783983,26.486717,16.825988,42.085625,13787.743854
0.35175 ,1159.686405,23.533514,12.351051,37.488216,11850.3736
0.34737 ,1191.541787,15.411126,11.480782,115.536801,13174.410417
0.36287 ,1131.656999,27.290599,12.377408,47.158178,13878.185549
0.349036 ,1182.163528,35.042126,10.115884,16.891242,13566.922305
0.352721 ,1179.26371,56.362169,23.436931,46.334786,14373.57076
0.349061 ,1079.617361,47.646846,16.720777,68.042538,12817.659519
0.363915 ,1276.284596,21.396944,7.0769,116.232786,12942.884385
0.35469 ,1335.347992,15.697487,7.521602,46.29355,13791.401321
0.625952 ,1181.418394,74.646035,11.521136,73.934447,14170.567176
0.389738 ,1194.970631,22.756241,10.17186,61.20165,14514.925035
0.356919 ,1382.767181,47.285661,12.051208,42.48449,13101.876385
0.389641 ,1164.007763,23.492946,14.740536,46.933115,14021.823919
