NN,MLP1,SVML,C4.5,Logistic,CAWPE-S
10.856845 ,1788.68968,136.30919,109.570512,76.208186,24542.904588
1.630868 ,1715.878868,84.539769,119.1033,103.573462,24397.105036
1.63563 ,1689.226907,206.020347,47.197227,132.704382,21965.109466
1.596214 ,1750.586652,204.525198,81.943554,119.432517,22462.592756
1.634321 ,1736.250246,142.185398,67.889295,82.411267,22306.674048
1.637922 ,1807.371035,96.480898,43.74334,77.613605,21680.0399
2.099993 ,1788.47387,92.501781,55.521087,81.600996,22333.87901
1.7118790000000002 ,1741.614895,141.9805,82.596549,140.632287,22590.305988
1.699937 ,1734.769698,105.390303,44.248029,158.575901,24520.406696
2.041638 ,1722.391158,98.680773,90.561187,108.609932,21665.167872
1.678156 ,1761.967025,105.536449,43.693045,145.454219,22023.789193
1.610892 ,1707.575073,132.835926,50.168581,102.877332,22729.557094
1.7516 ,1728.707482,112.394842,53.089244,107.21965,23802.862474
1.8197640000000002 ,1814.099173,107.250819,59.51563,128.531821,23406.040086
1.884736 ,1777.606914,104.198218,43.316182,243.203965,23223.640676
5.113169 ,1805.650563,105.802719,59.026036,73.005983,23918.78747
2.00939 ,1683.364454,115.00241,95.034105,74.114297,23375.668755
7.720831 ,1779.348331,150.785197,61.430683,81.651344,23619.463956
3.249623 ,1827.768178,223.133172,93.805582,91.542726,24454.920387
5.778697 ,1780.764004,73.91383,61.108832,89.18621,21959.594233
13.858261 ,1872.127034,114.49119,97.770179,103.72513000000001,24303.838928
1.609528 ,1706.051937,121.804421,221.293217,148.419724,22073.82006
3.384829 ,1818.881248,122.854043,62.708114,73.801481,22369.649044
1.724426 ,1766.128156,159.216734,128.569011,116.638663,22101.333279
1.627761 ,1725.416439,112.115903,78.4113,74.982397,22714.012612
1.992192 ,1703.601999,146.207365,52.724954,127.737339,22706.972762
5.117697 ,1753.78526,104.894164,91.124988,104.951291,22150.712405
1.776865 ,1712.925286,103.264217,53.78797,75.273674,22348.975736
3.589967 ,1744.574783,123.275206,71.395143,86.836418,23102.292457
1.656874 ,1700.43231,89.127086,99.61393699999999,75.470339,22706.770626
0.192791 ,31.985797,13.141479,0.761954,8.504482,742.433577
0.183456 ,35.351654,15.604929,0.816645,2.550734,756.123107
0.192628 ,34.309841,17.3835,10.317913,6.167298,652.279636
0.209773 ,34.12911,6.876177,1.7222,6.310675,649.219091
0.23717 ,39.797632,8.743389,0.95026,7.29809,683.586919
0.21771 ,37.785426,9.289329,0.829771,5.3361979999999996,678.486341
0.248973 ,33.547829,9.905271,4.512005,1.732132,755.468021
0.260781 ,34.039816,6.861639,1.26992,5.970817,619.928174
0.230453 ,42.781299,9.90569,1.994205,15.636435,628.418201
0.192845 ,34.248786,15.85438,1.931152,3.984877,680.026371
0.214627 ,33.829122,13.217088,1.062501,3.9164060000000003,664.951401
0.238495 ,37.917507,10.97386,4.970313,2.416708,766.558756
0.236321 ,34.197988,6.785518,1.808837,3.922077,639.14663
0.325409 ,36.60999,14.257603,8.35398,2.123776,636.949939
0.186351 ,35.999781,8.510374,1.100831,2.292156,651.286163
0.209895 ,64.240038,14.493859,1.095239,4.030275,655.31164
0.199476 ,31.83717,8.72218,1.213954,2.840665,636.924602
0.272881 ,34.697081,19.681853,1.000113,4.217086,631.975248
0.192978 ,34.271879,9.191775,0.903805,2.359718,636.615728
0.202504 ,35.385191,10.726741,0.911223,1.53553,623.238264
0.209271 ,33.714963,8.597405,0.933568,3.488037,658.154646
