TRAINBALACC:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
Adiac,0.7276027576027578,0.7188103338103339,0.7152442502442504
ArrowHead,0.8231481481481482,0.7972222222222223,0.7833333333333334
Beef,0.7644444444444446,0.7388888888888892,0.718888888888889
BeetleFly,0.86,0.7966666666666667,0.7716666666666666
BirdChicken,0.8616666666666667,0.8000000000000002,0.7850000000000003
Car,0.8283338903743315,0.8004985516934047,0.7982230392156863
CBF,0.9105555555555556,0.8861111111111111,0.8698148148148148
ChlorineConcentration,0.863348844807262,0.8175119160856404,0.7811672048915921
CinCECGtorso,0.7812820512820513,0.7451068376068376,0.7091452991452992
Coffee,0.9940476190476191,0.9928571428571428,0.9892857142857142
Computers,0.6465333333333333,0.618,0.6094666666666665
CricketX,0.630132427134453,0.6020756718624128,0.5819543036209408
CricketY,0.6098602295335969,0.5725675864526868,0.5491443706705013
CricketZ,0.6274802329809546,0.5941355783923312,0.5781021195052803
DiatomSizeReduction,0.741111111111111,0.741111111111111,0.741111111111111
DistalPhalanxOutlineAgeGroup,0.7812853220287537,0.7745847696806685,0.7730581795596773
DistalPhalanxOutlineCorrect,0.8031805615138948,0.798757090423757,0.7980897564230898
DistalPhalanxTW,0.542746642090757,0.5362780060107084,0.536176307604215
Earthquakes,0.5176593521421109,0.5106082375478928,0.5168342911877395
ECG200,0.85525167523765,0.8464703132304814,0.8420913199314322
ECG5000,0.5392362901681881,0.5331095157210416,0.5359184816774543
ECGFiveDays,0.9011904761904762,0.889021164021164,0.8731481481481481
ElectricDevices,0.7394734898289169,0.7270079243717714,0.7173828769823387
FaceAll,0.9015476190476189,0.8992857142857144,0.8987499999999999
FaceFour,0.8418055555555556,0.7973611111111112,0.7933333333333333
FacesUCR,0.6874684860994386,0.6779016574254669,0.6762481874386636
FiftyWords,0.48903613238613225,0.4809406004048861,0.47867367077367073
Fish,0.8704489161632019,0.8636373943516801,0.8624856096284669
FordA,0.8288214089857281,0.8265460187525914,0.8261206077872745
FordB,0.8115513900997772,0.8064815218444251,0.8048499103942652
GunPoint,0.9488782051282051,0.9396901709401709,0.9344017094017094
Ham,0.8541160593792173,0.8397941970310391,0.835295771479982
HandOutlines,0.8925164677831855,0.8915920492792279,0.8916518009202331
Haptics,0.4961933056050703,0.47748266983561105,0.47289859378094673
Herring,0.6264102564102564,0.5957606837606836,0.583931623931624
InlineSkate,0.3791713907785336,0.3505999622071051,0.33997844087129814
InsectWingbeatSound,0.6612121212121213,0.646969696969697,0.6442424242424243
ItalyPowerDemand,0.974123588829471,0.9711229946524063,0.9701277480689245
LargeKitchenAppliances,0.6428444444444446,0.6341333333333333,0.6236444444444446
Lightning2,0.7675000000000001,0.7520833333333333,0.7462500000000002
Lightning7,0.674296157059315,0.6446846282372597,0.625812447786132
Mallat,0.9081228956228959,0.8659962722462724,0.8490139490139491
Meat,0.9944444444444447,0.9933333333333336,0.9933333333333336
MedicalImages,0.6269910009281073,0.6178870604380349,0.619743632945432
MiddlePhalanxOutlineAgeGroup,0.6623747081693637,0.651875174624823,0.6476404693915242
MiddlePhalanxOutlineCorrect,0.8104616481877716,0.8046359333463009,0.8029136678985925
MiddlePhalanxTW,0.401359531338035,0.3929211764877309,0.3929567863457092
MoteStrain,0.9183333333333332,0.9016666666666667,0.8849999999999999
NonInvasiveFetalECGThorax1,0.926887795726716,0.9240426991770413,0.9226926852055924
NonInvasiveFetalECGThorax2,0.9423301012433807,0.9407689069582628,0.9404530589813321
OliveOil,0.8392628205128202,0.7879807692307691,0.7790224358974357
OSULeaf,0.5718576613254304,0.5594201653550143,0.5565666636126664
PhalangesOutlinesCorrect,0.8033501083309785,0.79905554589393,0.7973257827728382
Phoneme,0.05457686899994593,0.04511734704042395,0.03522633349556426
Plane,0.9769405197976623,0.9759201116343971,0.975262515262515
ProximalPhalanxOutlineAgeGroup,0.824030669644179,0.8187345361805795,0.818931891523818
ProximalPhalanxOutlineCorrect,0.8469343016268007,0.8418511841281126,0.8409023580993007
ProximalPhalanxTW,0.6052139199558344,0.5948954075197517,0.6020574625915842
RefrigerationDevices,0.5780444444444447,0.5633777777777778,0.5393777777777778
ScreenType,0.4816000000000001,0.45991111111111105,0.45297777777777776
ShapeletSim,0.7883333333333334,0.7166666666666666,0.6383333333333334
ShapesAll,0.7434999999999997,0.7382222222222222,0.736722222222222
SmallKitchenAppliances,0.7019555555555556,0.6813333333333336,0.6791111111111111
SonyAIBORobotSurface1,0.8392857142857143,0.7698412698412701,0.7503968253968256
SonyAIBORobotSurface2,0.8853219696969695,0.8569128787878788,0.8543560606060606
StarlightCurves,0.938478049067881,0.9366446953228433,0.9374353937092982
Strawberry,0.9743985119254571,0.9729776557031268,0.9726647428319772
SwedishLeaf,0.8853989741730898,0.880657190573277,0.8791185338414425
Symbols,0.8403703703703702,0.8233796296296295,0.8222685185185185
SyntheticControl,0.9586666666666666,0.9573333333333333,0.9567777777777776
ToeSegmentation1,0.6741666666666668,0.5683333333333334,0.5425000000000001
ToeSegmentation2,0.7675925925925926,0.6787037037037037,0.65
Trace,0.8996607782898107,0.8811123911930364,0.8711272598369374
TwoLeadECG,0.9000000000000001,0.8784090909090908,0.8592171717171715
TwoPatterns,0.9024125959616115,0.9002259407822658,0.8997012945260743
UWaveGestureLibraryAll,0.9519823164080943,0.9512360517679832,0.9510056486104966
UWaveGestureLibraryX,0.7727041667379205,0.7686439292155623,0.7674358034080767
UWaveGestureLibraryY,0.710754113206263,0.705584992814755,0.7042832471033331
