TRAINTrainTimesSTDDEVS:,CAWPE_alpha=9,CAWPE_alpha=15,CAWPE_alpha=4,CAWPE_alpha=10,CAWPE_alpha=14,CAWPE_alpha=5,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=13,CAWPE_alpha=2,CAWPE_alpha=12,CAWPE_pb,CAWPE_eq,CAWPE_alpha=11,CAWPE_alpha=6,CAWPE_alpha=1
abalone,3.6077821378269213,2.6444476641211607,2.9720924166878344,2.159182476197239,2.7436446939967554,3.081461065606797,4.049265578365778,3.3487002110443207,2.947822106643105,4.206726960968341,3.106537415297566,3.5977323637146137,4.530991619664648,22.070550410044127,20.073457055547745,21.95661867064863,20.75428220597035
acute-inflammation,0.5477225575051661,0.6432675209026769,0.6149478998583783,0.8087168778415269,0.6686751354593718,0.9071871393197363,0.5560534167675356,0.59209349991676,1.1325893433586836,3.3356313917471754,0.6746646676632054,0.6102571532587294,0.5832922809856746,0.8366600265340757,0.7302967433402211,0.6396838299494921,1.9783308882611816
acute-nephritis,0.899552890217607,0.4025778999364489,0.6260623155792925,0.6948083337796512,0.8866830868758715,0.8583598366625752,1.5554871358790008,0.6064784348631228,0.7143842296595069,0.7760791522613609,0.8610338613230188,0.6260623155792927,0.5306686305052323,0.7239737088005909,0.6432675209026769,0.6477192523656046,2.469119625319504
adult,19.291025845219313,13.776917226864,23.009343429517305,12.79947017581623,16.868524726151417,8.93115430621257,15.95831495152148,20.555615615527874,20.58972514651897,22.163161938821744,18.68677078306604,29.374787844672856,16.098261489630044,45.022867752839275,18.89973544788392,25.94115799575878,30.960412245911414
annealing,0.8583598366625752,1.2525835370311151,2.192987779787852,1.7515182248421,1.174440439029407,1.1244411127720089,1.6887048699909155,1.720732268608305,2.230664042155501,1.8448436995751347,1.6525841832592436,1.6333450621206846,2.656806483290638,2.45160046247063,2.173243775039313,1.9815238534040396,17.565804031252537
arrhythmia,1.186126701378962,3.3072543044771687,1.9025089303036284,1.7991057804352142,2.2966742571984735,2.049950938577485,2.6094435043316895,1.8585001986832679,2.581098402912458,1.6914252984479938,2.4457328544635244,2.171921126401773,3.317664321736624,0.9444331755018487,1.01483252680985,1.0806553992619587,15.812987532804913
audiology-std,0.7302967433402213,1.8557149999176976,1.5070714541175851,2.528231402183848,1.3746472901853015,1.2726115785600325,1.507071454117585,1.569830505529802,1.8370390969378312,1.1551981469084385,1.3390681268239724,1.1651056880677462,1.8742048122232848,1.4700066463216708,0.5466722735905339,17.88150653222678,15.33743073689969
balance-scale,0.8583598366625748,0.9732042112432561,1.0553639672872464,0.5683207771559353,1.5120207989811927,1.0933445471810679,0.9071871393197365,1.2726115785600318,0.8976341829703132,1.356550730734929,1.0531834608931394,0.9965457582448796,1.156689688067962,0.784915252764901,0.563241847975046,2.8000410506021995,2.712465901051627
balloons,0.9942362632324557,0.5683207771559355,0.5560534167675355,1.1547005383792517,0.5683207771559353,0.6686751354593717,0.4301830671520762,0.5208304597621878,0.718395402284138,0.49827287912243995,0.461133037377414,0.3790490217894516,0.5683207771559353,0.49827287912243995,0.34574590364176044,1.524135330522564,1.529780992514115
bank,2.0733669657618843,3.7906418344709616,2.0956989342433,1.1665845619713493,2.5063138660994353,3.298205712132012,2.6703996859568835,3.234334481810731,3.244092774726778,2.119694187442109,2.5607559946952803,2.1644993581113314,2.8705800607294463,2.5418338931232083,1.0806553992619587,2.609443504331688,2.4562844569254043
blood,0.8051557998728979,1.174440439029407,1.2340942045675147,0.8469010445797932,1.275768868916526,1.0199166069132668,0.8769067893689609,1.330888563259934,1.4287684593190138,1.7798359733284477,0.9153857298880942,0.691491807283521,1.1244411127720093,0.8502873077655143,0.466091599699399,1.6386144974533718,1.622046387363389
breast-cancer,1.0333518722845685,0.7466399831028446,0.5872202195147035,0.5560534167675355,0.922266074754828,0.6814453874610596,0.547722557505166,0.6989318615762463,1.9596504497122624,0.4806604651504226,0.889917986664224,0.6149478998583783,0.6608945522512666,0.7396799556440673,8.913118318575128,1.634400308313754,1.5833182092441611
breast-cancer-wisc,0.8276819867946675,1.1043279539543753,0.7279320417946066,0.889917986664224,1.2077336998093466,0.572351471472339,0.8030115728972382,0.808716877841527,1.0333518722845683,1.1249521062602226,0.7588557629520364,0.9595257449242385,1.9815238534040394,0.8502873077655143,1.4162440207947153,1.4307782626184986,1.4319827906241327
breast-cancer-wisc-diag,0.9613209303008454,0.9965457582448795,0.889917986664224,0.8709883407113854,1.0148325268098497,0.3790490217894515,1.0199166069132668,0.682288239221013,0.8193072487266858,1.0333518722845685,0.8550055454548938,0.7302967433402215,1.165105688067746,0.7427813527082074,1.8879533405494826,1.4641305136221776,1.484014437454943
breast-cancer-wisc-prog,0.7943767889097848,0.6686751354593717,0.43018306715207627,0.8441822541139556,1.1366415543118706,0.7302967433402217,1.6417680405132065,0.7119666788018509,0.7310832774866962,0.9855274566525745,0.773854362727667,0.5306686305052323,0.6608945522512668,0.7760791522613608,1.6060231457944771,1.5554871358790008,1.5789564428051406
breast-tissue,1.1121068335350708,1.144702942944678,0.7611243951073874,0.6102571532587293,0.8022955570857537,0.5959634332684376,0.6149478998583782,1.357821107848726,1.0954451150103324,0.6260623155792926,0.6789105539243626,0.6686751354593717,0.8448627719625692,0.7279320417946061,1.9640446187314113,1.9780403631273356,1.9722208731310484
car,1.7888543819998322,3.0926312124293056,1.279367659898984,2.211776214491083,1.9945327571990963,3.017192117824463,2.412610547761991,2.0296650536197,2.159182476197239,2.431829168228779,1.991072026846832,2.6226248148639613,3.546732347503485,1.4227220146727477,22.643184252738134,14.834566654138973,14.19976525627566
cardiotocography-3clases,1.8827712516944,1.471569652235092,2.5200346649686547,1.7250687142735845,2.116166562333936,1.6709141279516748,3.0255615988615645,2.284631311587289,1.159171325093724,6.501635514839023,2.635085987386282,2.6843522731632636,3.1330643073551787,1.0531834608931394,15.971814254326672,13.561439587232652,16.325743017010627
cardiotocography-10clases,2.635085987386282,5.565183228593295,4.07247559492557,3.362401987632767,5.5766343411337855,3.9879127718472067,7.753456774498909,6.33372654556723,5.979274549469278,6.828355349687742,5.531622779502651,7.365967096340291,4.254679641356647,3.317664321736625,34.00170719175764,30.552310520825092,31.363937120905884
chess-krvk,50.04256808647669,89.8173369845071,44.06885938864418,74.53325262677347,58.08519308027145,92.67990271799,38.01959567344732,70.98959774858389,49.29368941448747,48.18050352103255,70.46372670820921,65.05686283781944,76.92301719714746,66.56546341414766,63.477355904634834,50.15584906471327,65.12415198997829
chess-krvkp,3.910051885477537,2.3044185443591205,1.971346467912661,3.274597457054398,3.9770895613891266,2.4765567494675618,3.2179453714743365,2.411895806064256,4.139659600642957,2.8719811736968204,3.609693208220231,4.080229878581471,1.8925139881655557,1.8210139906170375,30.336825616826612,24.578843346054448,33.094014460374076
congressional-voting,0.8583598366625752,0.651258728182957,0.7466399831028446,0.6643638388299201,0.8441822541139561,0.6789105539243627,0.8995528902176074,0.8366600265340757,0.68144538746106,0.802295557085754,0.9222660747548282,0.8742813140471173,1.1366415543118709,0.8087168778415269,11.10327693164003,6.688899708498015,6.625360541046093
conn-bench-sonar-mines-rocks,0.5683207771559355,0.8193072487266858,0.571346463723366,0.8976341829703134,1.2780193008453875,0.9732042112432558,0.8847364696279088,0.571346463723366,0.6789105539243628,1.0635010497214474,0.6789105539243627,0.6789105539243627,0.5683207771559355,1.2015315896469558,6.686751354593717,6.679871978950825,6.572320921778741
conn-bench-vowel-deterding,2.123757243092112,3.644551909451922,2.7478309104898866,5.790301046309816,3.2555875928490456,2.7883171705668923,3.6096932082202304,4.615814892999587,4.042305021279006,5.030481798638852,2.5988503205274727,4.704607670500626,2.8294429003669226,2.9182343898362566,14.335712178966238,13.205232331145872,16.318982670568005
connect-4,26.96093384923802,13.998398923226654,23.10020649755939,47.91928078826276,28.77570814611423,30.581359358764367,35.01200122650886,32.41108083541091,34.2641698182421,31.44884552821409,32.379999503027975,47.48308833849079,34.378906256632106,46.892895817606735,68.95405766860655,65.05301993219722,67.66177718589736
contrac,0.7648904962570572,2.0535923108811898,1.7485626280942344,0.59209349991676,3.77545003787704,2.7561842689011073,2.920596695449624,3.2582344841989173,4.88970299735054,1.4840144374549438,3.0730568105584286,2.9353180328582775,2.4173700918393823,3.5583801041368863,16.48506813041329,19.76656878113423,19.352269759064082
credit-approval,0.6288102248298566,2.2702473408212036,0.7310832774866962,2.4869775775556096,0.7111590022187594,1.1121068335350712,1.124441112772009,0.9071871393197363,1.136641554311871,0.884736469627909,0.9802650357071222,1.2129568697262456,1.6333450621206844,1.250746903290971,21.000383138267335,20.576183084936513,22.986352772745473
cylinder-bands,1.0482607379429238,0.6064784348631226,0.7701320979389588,0.6297235299224025,0.6297235299224025,0.563241847975046,0.7119666788018508,1.184672222963833,0.9878573120474016,0.7914775938769181,1.0283342182227608,0.7119666788018508,2.3879486700041754,1.696514344041992,8.983061966771162,7.911071828220521,8.15115815760833
dermatology,0.7648904962570576,1.0613372610104648,1.1591713250937241,0.5920934999167601,0.68144538746106,1.425949975747163,2.417607823077783,1.126483695950092,1.2617266038997932,0.9153857298880942,1.2228664272317622,1.11674815279973,1.2415229801920011,1.892513988165556,25.148775706587188,24.196537227320427,23.761651709298807
echocardiogram,0.6074253182419871,0.5306686305052324,0.5477225575051661,0.5560534167675356,0.6686751354593718,0.41384099339733377,2.7226170641794107,1.8925139881655557,0.5040069329937307,0.9732042112432564,0.7396799556440674,0.44977644510880355,0.6608945522512667,0.6214554662658655,2.435371528690976,2.2306640421555013,2.5152408993194255
ecoli,1.132589343358684,0.7022132498578064,1.302517456365914,0.6989318615762462,1.1325893433586842,1.2205143065174588,0.9855274566525745,0.9523111632886271,1.4259499757471628,1.45625878715715,1.3982747990981972,1.2148506364839742,1.542128697463422,1.6887048699909155,9.981649830230138,11.094992139461507,9.083520508458502
energy-y1,1.2847469449832045,0.99942512211403,0.8603661343041528,0.833907847936794,1.1492126240049811,1.0080138659874616,1.1651056880677462,0.8469010445797934,1.1351236704106018,0.9444331755018489,2.008316044185609,1.1768846465411842,1.5465943304527228,1.4781939897267768,11.801081189508837,11.505171251104496,12.968086380334459
energy-y2,0.6789105539243625,1.938419785383913,0.7183954022841381,0.8976341829703134,0.8603661343041522,1.0400044208570938,2.2182627561162396,1.0742546199601597,3.537808919942256,0.8193072487266859,1.9384197853839125,1.1121068335350712,1.8643663987975967,1.8096167118144546,11.869791658786117,9.594299073545898,9.432153372447848
fertility,0.5306686305052323,0.5832922809856749,0.889917986664224,0.5920934999167601,0.4341724854553048,1.7952683659406266,1.5742175578808129,0.454858826147342,1.8888663510036978,0.5560534167675356,0.5872202195147035,0.5306686305052325,0.7611243951073873,0.5208304597621877,3.6528999659064776,3.5389458785116354,3.6717310897453137
flags,0.7111590022187594,0.8683449709106095,0.7239737088005909,1.4419813954512688,0.7279320417946064,0.6789105539243625,0.9352607356658149,0.7279320417946061,0.9589266029707685,0.691491807283521,0.9278574999588489,1.0333518722845685,1.460593486680443,1.3060425438846859,12.016463801753435,11.814466098618349,17.30324532712216
glass,1.4142135623730951,1.2077336998093464,1.0938700673013826,0.5466722735905339,0.7849152527649012,0.924755326447544,0.8276819867946675,0.8339078479367938,0.8583598366625752,0.889917986664224,0.7611243951073875,1.8631329442141513,1.1043279539543758,0.8683449709106095,10.915611513453733,9.272440936427701,9.188010678590064
haberman-survival,0.5508613944197479,0.9278574999588488,0.8087168778415269,0.5832922809856748,0.884736469627909,0.5508613944197478,0.4611330373774139,0.8276819867946673,0.7849152527649012,0.7497125886079554,0.6288102248298565,0.6914918072835208,0.9001915504970077,1.3683617186633983,2.885556580905873,2.8357325879470423,2.9407951071213647
hayes-roth,0.6149478998583783,1.822275954725961,1.2205143065174584,0.6288102248298566,0.6989318615762461,1.3628907749221197,0.8683449709106098,0.6989318615762461,0.5306686305052324,0.651258728182957,0.5872202195147035,0.6608945522512666,0.8448627719625691,0.7760791522613608,8.035839261936376,7.694153624668537,10.393908472433907
heart-cleveland,0.7310832774866962,1.1957780134587126,0.8899179866642241,2.4011491501735813,0.6746646676632053,0.8995528902176071,0.8469010445797933,0.727932041794606,1.708666213713216,0.7878385971583354,2.1066397495734197,0.7914775938769181,1.041660919524376,1.1724814044061256,7.7969195213871805,8.207369830842879,8.443252083594711
heart-hungarian,0.6102571532587294,0.8583598366625749,0.9643054793328018,0.7111590022187596,0.7648904962570577,0.6396838299494922,1.69549775690744,0.5560534167675356,0.6686751354593718,0.7914775938769181,0.9228890171255882,0.5920934999167599,0.7302967433402217,1.1591713250937241,4.446488993331266,3.8484210824162948,10.15987148076919
heart-switzerland,1.2689936278745477,0.6260623155792926,1.0148325268098497,0.6260623155792926,0.6746646676632054,0.5632418479750461,0.5920934999167601,0.6102571532587294,0.691491807283521,1.0199166069132668,0.6814453874610596,1.0980651740387641,0.7143842296595069,0.8339078479367938,4.428356899300937,4.561709701668756,4.460426246318908
heart-va,0.5040069329937308,1.5312829869775528,0.718395402284138,0.6064784348631226,0.718395402284138,1.68017514139066,0.6814453874610599,0.7914775938769181,0.8683449709106097,0.9071871393197364,0.7239737088005909,0.8193072487266861,0.9153857298880942,1.203443335628631,7.351987767803414,7.970419449871916,7.306114586072928
hepatitis,0.5252257314388902,1.6678156958735877,0.7648904962570575,0.48423419811150226,0.6789105539243625,0.5560534167675356,0.504006932993731,0.7310832774866962,0.5632418479750461,0.7760791522613608,0.4794633014853843,0.6260623155792926,0.571346463723366,0.572351471472339,2.8639655812482645,4.898510212181922,2.40593136791689
hill-valley,1.1665845619713497,1.4015590662158885,1.0063019815944514,2.0777972421076956,1.1957780134587122,0.99942512211403,0.9643054793328015,1.3152509484776143,1.4967397519467007,1.3373502709187437,1.0661996103898193,1.0661996103898193,1.5477087254553341,1.734040527705203,8.431195494783902,8.785371854434487,8.445906306213285
horse-colic,0.7466399831028449,0.9714309861845773,0.4025778999364487,0.6617635789938568,0.8136762043449723,1.5887535778195692,0.651258728182957,0.8193072487266859,0.678910553924363,0.8200084103858011,0.6260623155792927,1.1665845619713493,0.8847364696279089,0.8995528902176072,4.1071846217623795,3.8178347356800972,3.4175005990968876
ilpd-indian-liver,0.5252257314388902,1.3047217521658452,0.6789105539243626,0.9948141396330242,1.1943352886058403,0.8030115728972382,0.7943767889097848,0.678910553924363,0.7302967433402215,1.1351236704106022,0.7239737088005909,0.7701320979389588,0.99942512211403,1.6333450621206844,25.96215193957029,19.57995691118033,18.950297968724616
image-segmentation,1.9298025627080306,3.557249357088389,2.0296650536197003,2.04095988235421,3.1905031491643423,2.5855478087369352,3.997269182772187,3.112636462410353,3.2098984837315445,3.4655944407253143,2.496894623050938,3.1579128856102803,3.8250535267834644,4.697272380445055,25.281768452621225,27.542422868572483,25.704867824695338
ionosphere,0.5560534167675356,0.9942362632324558,0.9071871393197364,0.44977644510880344,0.7580980435789034,0.7183954022841381,0.6260623155792925,0.9128709291752769,0.678910553924363,0.7701320979389588,0.572351471472339,0.8051557998728978,0.8899179866642238,0.9352607356658149,8.67477516353773,10.573008358415613,8.177906878874339
iris,1.4762487408386114,0.4341724854553048,0.5832922809856746,0.4497764451088035,0.68144538746106,0.9352607356658149,0.7022132498578064,0.6260623155792926,0.6789105539243625,0.6686751354593718,0.6914918072835209,0.924755326447544,0.7119666788018509,1.487495774165735,4.407543168433996,4.199753687358672,4.295011808689425
