TRAINTrainTimesRANKS:,CAWPE_alpha=9,CAWPE_alpha=15,CAWPE_alpha=4,CAWPE_alpha=10,CAWPE_alpha=14,CAWPE_alpha=5,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=13,CAWPE_alpha=2,CAWPE_alpha=12,CAWPE_pb,CAWPE_eq,CAWPE_alpha=11,CAWPE_alpha=6,CAWPE_alpha=1
abalone,4.5,6.5,2.5,1.0,4.5,2.5,12.0,9.0,9.0,6.5,12.0,12.0,9.0,14.0,16.0,15.0,17.0
acute-inflammation,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,14.5,6.5,6.5,6.5,6.5,14.5,14.5,14.5,17.0
acute-nephritis,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,14.5,6.5,14.5,14.5,14.5,17.0
adult,6.5,5.0,6.5,1.0,8.0,2.0,3.0,14.0,11.0,4.0,10.0,13.0,9.0,12.0,15.0,16.0,17.0
annealing,2.5,2.5,2.5,7.5,7.5,2.5,12.5,7.5,7.5,11.0,7.5,12.5,14.0,7.5,15.0,16.0,17.0
arrhythmia,6.0,2.0,4.0,2.0,14.0,2.0,6.0,11.0,11.0,11.0,11.0,11.0,8.0,6.0,15.5,15.5,17.0
audiology-std,4.0,4.0,4.0,4.0,11.0,4.0,11.0,4.0,14.0,11.0,11.0,11.0,8.0,4.0,15.5,15.5,17.0
balance-scale,10.0,3.0,3.0,3.0,10.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,10.0,15.0,16.5,16.5
balloons,9.5,1.5,9.5,3.0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,1.5,9.5,16.5,16.5
bank,3.0,3.0,7.5,3.0,3.0,6.0,10.0,10.0,12.0,14.0,13.0,10.0,7.5,3.0,15.0,16.0,17.0
blood,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,14.5,7.0,7.0,7.0,1.0,14.5,16.5,16.5
breast-cancer,8.0,8.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,15.0,16.5,16.5
breast-cancer-wisc,9.0,1.5,3.5,9.0,1.5,3.5,9.0,9.0,9.0,9.0,9.0,9.0,14.0,9.0,16.5,15.0,16.5
breast-cancer-wisc-diag,12.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,12.5,12.5,5.5,12.5,5.5,16.0,16.0,16.0
breast-cancer-wisc-prog,10.5,3.5,3.5,10.5,3.5,3.5,10.5,10.5,3.5,10.5,10.5,10.5,10.5,3.5,16.0,16.0,16.0
breast-tissue,7.5,7.5,7.5,7.5,1.0,7.5,7.5,7.5,7.5,14.0,7.5,7.5,7.5,7.5,15.5,17.0,15.5
car,7.5,1.5,7.5,5.0,1.5,5.0,9.0,13.5,12.0,13.5,10.5,10.5,3.0,5.0,15.0,16.0,17.0
cardiotocography-3clases,3.5,3.5,13.0,1.0,3.5,10.5,13.0,7.5,10.5,7.5,13.0,6.0,9.0,3.5,15.0,16.5,16.5
