TRAINTrainTimes,CAWPE_alpha=9,CAWPE_alpha=15,CAWPE_alpha=4,CAWPE_alpha=10,CAWPE_alpha=14,CAWPE_alpha=5,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=13,CAWPE_alpha=2,CAWPE_alpha=12,CAWPE_pb,CAWPE_eq,CAWPE_alpha=11,CAWPE_alpha=6,CAWPE_alpha=1
AvgTRAINTrainTimesOverDsets:,52.082644628099175,53.68595041322314,52.68181818181818,52.8099173553719,52.764462809917354,53.5,58.425619834710744,60.599173553719005,59.00413223140496,59.099173553719005,60.8099173553719,60.86363636363637,60.02892561983471,60.15289256198347,110.33884297520662,112.3801652892562,116.6900826446281
AvgTRAINTrainTimesRankOverDsets:,4.549586776859504,4.909090909090909,4.975206611570248,5.115702479338843,5.194214876033058,5.735537190082645,8.161157024793388,8.888429752066116,8.96694214876033,8.991735537190083,9.681818181818182,9.834710743801653,9.933884297520661,10.293388429752065,15.644628099173554,15.929752066115702,16.194214876033058
StddevOfTRAINTrainTimesOverDsets:,150.3356709044164,155.595484245626,152.16893024968445,151.82779796255943,152.42809882012355,153.25483951031802,171.53874272251423,178.11886971713946,172.2487723210697,172.66626793512572,176.67299426009185,176.77833341975668,171.5433290444995,171.20950668424737,195.25212562731159,198.88449353826573,203.163565633276
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,3.4254421073573544,4.572977159227491,3.463796360045755,4.622995212752488,3.9234875103330085,4.694947507454622,5.688017590559594,5.5652546641765435,5.644635372880262,5.655180273000069,5.476326768014695,5.656101984417661,6.1760390929396625,6.751566609548187,15.195366921406459,14.94325840966238,14.845285713424463
StddevsOfTRAINTrainTimesRanksOverDsets:,2.521908138921206,2.725649769626808,2.533814022106317,2.915304680030969,2.595165297261465,2.9686377207997907,2.9876236906284577,2.7014560914022097,3.0095234514717903,3.1819696933623653,2.7187619731537125,2.6103866490043717,3.248039247479631,3.192223246610166,1.1464401723903979,0.7807736150873242,0.8275765342916593

flat,CAWPE_alpha=9,CAWPE_alpha=15,CAWPE_alpha=4,CAWPE_alpha=10,CAWPE_alpha=14,CAWPE_alpha=5,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=13,CAWPE_alpha=2,CAWPE_alpha=12,CAWPE_pb,CAWPE_eq,CAWPE_alpha=11,CAWPE_alpha=6,CAWPE_alpha=1
CAWPE_alpha=9,0|121|0,24|64|33,20|67|34,20|65|36,19|62|40,17|57|47,6|45|70,3|36|82,3|42|76,5|38|78,0|35|86,3|30|88,4|33|84,5|26|90,0|1|120,0|0|121,0|0|121
CAWPE_alpha=15,33|64|24,0|121|0,30|59|32,32|57|32,29|58|34,25|55|41,12|36|73,7|34|80,9|35|77,9|32|80,5|28|88,4|28|89,4|27|90,6|23|92,0|0|121,0|0|121,0|0|121
