CAWPE(ConTie),CAWPE(RandTie),CAWPE(alpha=4)
-1.487273748254672,-1.482414408738044,-1.4834278667937615
-0.7909768779543663,-0.757020491261927,-0.7618169778258755
-1.1126180082997261,-1.144425169116206,-1.099809214714402
-0.6959778945759246,-0.6510558010103255,-0.6654076516780948
-0.8258108723895339,-0.7724881136725499,-0.7979795229883144
-0.939073539660854,-0.9466185788411399,-0.9342994427033682
-0.5349222715699954,-0.5281453293134734,-0.5288810925240824
-0.52149814943451,-0.588038458538181,-0.5592979101603472
-1.0030300870321713,-1.057441140002464,-1.0118640172552171
-0.2655422950346863,-0.2621057623274999,-0.26641902347497765
-0.9900117892921538,-1.0045778755279873,-0.9861948914349224
-1.9799987206652807,-1.889204460236904,-1.8938564871961308
-1.8938994775706606,-1.8305893179013464,-1.8198894666646568
-1.9652762617750703,-1.8610434137847895,-1.8665907834128819
-0.5632327124936919,-0.5585702283689876,-0.5477636608102632
-0.6880999444737874,-0.6849553979777174,-0.6830039216446226
-0.5842037189343743,-0.5855488046220955,-0.5846834714681441
-1.1049361855280173,-1.1007401766042775,-1.09467884238769
-0.8240945651098909,-0.8110122326669509,-0.7992792456144225
-0.5032476367523454,-0.5051932340746854,-0.5046667103926737
-0.29695672800215367,-0.29362113866959416,-0.2927432423547988
-0.4362055394433876,-0.43354953805687063,-0.41874678708102936
-0.9025171708294654,-0.985975030797502,-0.9585314898242233
-0.7069735362237097,-0.6981847597877182,-0.7048247613197739
-0.8354038565881835,-0.8157960623771682,-0.8196370720470879
-1.3035427861098468,-1.2630703772642484,-1.27341834177791
-2.0272170303251933,-2.021945528746323,-2.023161768511182
-0.6891321577238891,-0.707689591649384,-0.6871408156790847
-0.587108867938488,-0.5974849809876976,-0.5922345693211205
-0.6362397953199239,-0.6563204512967276,-0.6506099626035182
-0.2880169641847943,-0.2902684820563618,-0.2868422988004057
-0.5263063527713954,-0.5185588830224096,-0.518965366466906
-0.34195544100723324,-0.34556486814521076,-0.3434362917517816
-2.002160563367563,-1.9875408082333124,-1.9862684913722548
-1.0332419513882978,-1.0247237536337541,-1.021249417314116
-2.6838025952129914,-2.6428993054358005,-2.6441559189923987
-1.403657874705582,-1.4066624459765398,-1.4021208056655936
-0.17674756908809247,-0.17475832680076833,-0.1753452956295436
-1.2672044032293472,-1.2907610267669947,-1.2581076035873373
-0.795947395530738,-0.7843387561609192,-0.7791777787467253
-1.2736285976270214,-1.2719684710968602,-1.263973978357352
-0.5318069746843119,-0.5676718848212571,-0.551127169426305
-0.23607463381341273,-0.2138327595073368,-0.15824273544348927
-1.017599602387623,-1.0087620766356797,-1.0097827238590094
-1.210598797844463,-1.2100109922766216,-1.2016397619389985
-0.5372146688172799,-0.5378285739185656,-0.537212646622596
-1.5372448194370185,-1.5683280738475178,-1.5539597760334531
-0.47237434862658906,-0.467436514545974,-0.46867871663925675
-0.45038001747659284,-0.48674447210506205,-0.47181657032141106
-0.3788881421849785,-0.38673601362092686,-0.38193232714810915
-0.5901386103937121,-0.6162868554963897,-0.5476486422424681
-1.6329454110121338,-1.6253385184486,-1.6241727866045008
-0.5677594105671423,-0.5598441716344403,-0.5573431756945636
-4.7462368094639436,-4.7889647155361486,-4.709414038216964
-0.18591416062688138,-0.18367620114169572,-0.1793814895926889
-0.565529702546733,-0.5430784629178184,-0.5417215616260963
-0.4235376286021016,-0.4276058645948254,-0.4254000344307015
-0.7121548566915729,-0.7117675515541001,-0.7109503099560518
-1.319782803752994,-1.4043563086139697,-1.3379687644663136
-1.6497160392467802,-1.6562774936689204,-1.6458717427196357
-1.0981612536845569,-1.0716484432736795,-1.0963200648484486
-1.6092819361950637,-1.6026808739976768,-1.5950348197070703
-1.1338505791039322,-1.148433747746315,-1.1075924339087788
-0.6091023676260684,-0.610966069555393,-0.5981232426969467
-0.49839373272385584,-0.48363777077308134,-0.4819785424214777
-0.16772815871552596,-0.16795550018908617,-0.1677045998496746
-0.12771256634947367,-0.12904421919571407,-0.12744492668488813
-0.6657910661841909,-0.644112832727138,-0.6538827249167903
-0.7366436164908434,-0.733747440829674,-0.7201934552535066
-0.3341870541527869,-0.3335717194237786,-0.33493941834819746
-1.1961993056592621,-1.0702300153993278,-1.0771422638593302
-1.000958964567117,-0.9185023144637168,-0.9291810678167037
-0.4205341881144315,-0.4707629639031706,-0.4383125596252803
-0.4440094719090004,-0.4530807414606872,-0.43564951983129163
-0.5068614574895018,-0.5176595066273056,-0.5050780900877913
-0.30149680000404355,-0.3026747413698772,-0.3019246856439314
-0.9087776447896699,-0.9122570297883463,-0.9097511579609637
-1.144194655864401,-1.1520504537763245,-1.1469579845951083
-1.0835311387317765,-1.091574270393209,-1.086462929559562
-0.024356853681282722,-0.023971046763799863,-0.023978197205507496
-0.44076436299537547,-0.44025527518258917,-0.3919856295657496
-2.2450152458719184,-2.234955890233672,-2.2333204825613464
-1.6187314725916715,-1.6626908945793857,-1.6273843729114568
-1.0351107070628867,-0.938713903936763,-0.9371783396959518
-0.5146791403625101,-0.5019082839419385,-0.50211478513543
