TRAINTESTDIFFSAUROCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
cardiotocography-3clases,0.003307687704058551,0.00330434930610198,0.003299233035242935,0.003289419455476506,0.00328902559622296,0.003295122828946189,0.0032930063326675955,0.0032878025386734763,0.0032834521255992316,0.003280476595041459,0.005260828491764193,0.0032779328671239958,0.0032839434570167436,0.003290066989864687,0.003287758175831547,0.0032875564731247335,0.0032789377514659797
cardiotocography-10clases,0.0025021623333028454,0.0024979533981487087,0.0024977641494091565,0.0024999134651156503,0.0024922457626693,0.0024864497829920765,0.0024833253809147028,0.002481833394542005,0.0024773286605785723,0.0024730768636248104,0.003441366373713878,0.0024694140572252047,0.002468271642659786,0.0024595841831154333,0.002451807034790613,0.002440109745520055,0.0024363813278016812
chess-krvk,8.54651865618128E-4,8.537187470305652E-4,8.527579416263033E-4,8.520554746409835E-4,8.509182162198079E-4,8.506895063629742E-4,8.508147233033206E-4,8.517646145726419E-4,8.544678978145929E-4,8.60037941167308E-4,9.553997764331263E-4,8.711324622111979E-4,8.925120472597695E-4,9.349118275707184E-4,0.0010118001766199136,0.0011463163394904875,0.0013601248170743991
chess-krvkp,8.50438374033706E-4,8.502774652113539E-4,8.498427589421435E-4,8.48923888269275E-4,8.490478245611701E-4,8.488801463422095E-4,8.491730458264781E-4,8.493324557118129E-4,8.493329982796853E-4,8.493526270638498E-4,4.5863591953707104E-4,8.490528160495232E-4,8.492602264052448E-4,8.491482874617004E-4,8.497670660545443E-4,8.494353852622432E-4,8.494047144815841E-4
congressional-voting,0.06262655481488741,0.061938321171689244,0.06180260266963548,0.06226574191129258,0.06239054144216514,0.061935383632761284,0.060962130059215316,0.05966335039965009,0.060250885110914726,0.06059618352799905,0.058695607330706556,0.060056487689790085,0.060493592421804736,0.060819552061222915,0.06011505551019864,0.059914677271275384,0.06000713332839691
conn-bench-sonar-mines-rocks,0.034029982131426176,0.033870969807757625,0.03392771420470571,0.033969111286940384,0.03389445138456451,0.034022362923874144,0.03429934706775793,0.034447630214094464,0.03446756618465625,0.03443382460352033,0.04977176430390011,0.034758596961269254,0.0349675811342444,0.0354676304287862,0.035849612249306016,0.03620959425655883,0.03626941818637439
conn-bench-vowel-deterding,9.136441888012088E-4,9.160080325521021E-4,9.164808810507232E-4,9.189369710647027E-4,9.261233622471878E-4,9.27491184782763E-4,9.325833110954203E-4,9.357331011755143E-4,9.356400731277407E-4,9.393287061300321E-4,0.0020505223957096716,9.427546645473444E-4,9.430627514328383E-4,9.439922984412657E-4,9.466192838501541E-4,9.51611640307138E-4,9.571682130811078E-4
connect-4,0.0024538561074917238,0.002456477661132452,0.0024596201523033006,0.002462768121100868,0.002466514828528242,0.002469934470499992,0.0024738678071990917,0.002477568582264923,0.0024809965464344763,0.0024846820197576736,0.002191212809310554,0.002488050924241843,0.0024909265717474407,0.002494555847690349,0.002498050693454944,0.002501653931605519,0.002504991491108355
contrac,0.018501714418834157,0.018395711890525163,0.018313531833847277,0.018278632722152605,0.01826416423691459,0.0182317787574512,0.018216742117904965,0.018263943061496188,0.018332009114696155,0.01835096174371603,0.022888524225455897,0.018427971472101724,0.01852834889219624,0.018663390241999988,0.018758073182372832,0.018870652283288908,0.01901030404629231
credit-approval,0.022478371971218193,0.022522833725689317,0.022569245709573648,0.02256869801067007,0.02255863493499814,0.022606055161696902,0.02266355073425714,0.022720200660874303,0.022741919213467056,0.022751549830182072,0.025058729981286245,0.02280263945738384,0.022793111106150604,0.022832494151256065,0.022869402274800797,0.022943459596620846,0.022959767826008823
cylinder-bands,0.03833540207792343,0.03835934305825564,0.03823302189880649,0.03826386753185353,0.03825191604978712,0.03811897802952877,0.0381557611213653,0.03800173386534729,0.03798107132211122,0.03817292866353139,0.05068477989260239,0.03823723992046298,0.03843943268851544,0.038590852217469586,0.038675524437268724,0.03876980574075755,0.03877496348605973
dermatology,0.001293338293342364,0.0012920648794441535,0.00130001600892365,0.0013037305793119126,0.0012985449822507263,0.0013027351430911392,0.001302811476860015,0.0013004056575210842,0.0013097495828502741,0.0013149229505512957,0.0028562854982096806,0.0013127029910757562,0.0013187325607858648,0.001307551211655616,0.0013121466879470985,0.0013202294174959033,0.0013268287588257717
echocardiogram,0.09406276528147872,0.09484658543403096,0.09514733903728996,0.09520327446558415,0.09539360775446945,0.09590934623364163,0.09641536473835084,0.09635892000495712,0.09659175405704253,0.0962435372356495,0.0957206837430548,0.09648626794965053,0.0968478972910592,0.09713947660525618,0.09776680495845863,0.09853414050539146,0.09858596419835008
ecoli,0.014203084202596056,0.014134246591665333,0.014078708168419688,0.014050798280004807,0.01399207274592568,0.013941784873699098,0.013900183754373243,0.013845790552579715,0.013800537953677434,0.013769393428809716,0.017227788664865764,0.013730330844046464,0.013699716932321391,0.01361248381215966,0.013569863057425446,0.013541808001624907,0.013519794113845063
energy-y1,0.005188297168004108,0.0051992724354163146,0.005208494677623478,0.00523413208884926,0.005258865458200822,0.005287318053027025,0.005317848314311528,0.0053554452756271916,0.0054039657435534,0.005470246095057612,0.005541465619725451,0.005531233819630811,0.005598627294913892,0.005658379621263763,0.005726491820550133,0.005767546064880488,0.005854892735350916
energy-y2,0.005355558252382366,0.0053699610592941125,0.005376576971291083,0.005390388011091038,0.005416686888414816,0.00544430237279913,0.0054627053677264465,0.005472686893228518,0.005504645806691232,0.00553286503257977,0.00682684056405246,0.00554878036387799,0.0055848009074143,0.005624661854531879,0.0056641603302893485,0.005704335204112724,0.005730175582386934
fertility,0.18120105997141556,0.1811600986684032,0.17913567593280316,0.1764732801268665,0.17427975952737276,0.17365764393333138,0.1734902764950683,0.17174374115754654,0.16987376384524436,0.16796657505764281,0.21952109247850937,0.16783657544190847,0.16535080477835426,0.16619305312427718,0.1645285035943047,0.16428951333922237,0.16161357647706057
flags,0.03613284514109773,0.036084667880212896,0.03641953446686623,0.036553417922697236,0.036700512341125625,0.036949118409863264,0.03707270714048171,0.03724097374229632,0.03692945938095122,0.03742199132459852,0.040837873498508565,0.0373528313922441,0.037499895231323924,0.03786342779884522,0.03837424603981295,0.039170778454416126,0.03962995705281119
glass,0.024995806455029884,0.025022760247260547,0.02484792023137213,0.025044103939372644,0.02489758465480924,0.024708948476464373,0.024658280987043063,0.024709648935365282,0.024553483949769122,0.024331493745428572,0.027836348460771577,0.023958111921364104,0.02397481635472009,0.024245199988443523,0.024288024071878855,0.024634117985915405,0.024895033227925516
haberman-survival,0.08273055065043848,0.08297342780258321,0.08245785078396756,0.08240160655267473,0.08185329423018668,0.08157894224623885,0.08161177733687096,0.08130866020322469,0.08103120165747764,0.0807339774007951,0.0792731863647448,0.08115363629658051,0.08128695836718129,0.08129514645113324,0.08101952810416398,0.0803665935081438,0.08061830669481264
hayes-roth,0.03955315814832465,0.039540947020575555,0.03928088872630713,0.03926877896934266,0.039490916265613685,0.039557567727059775,0.04003420879532831,0.040427300317061425,0.04001531674369686,0.03997120164226915,0.03845041583528886,0.039719997829378566,0.0401277721291775,0.0410770324906895,0.04233268925661509,0.04355456501945175,0.04595517444407331
heart-cleveland,0.03331918877167729,0.03355532593055859,0.03348511693656598,0.03349409967890175,0.03357117372369307,0.033604364045891004,0.03384279649835306,0.034023889351589516,0.03452670879549142,0.035021715720641396,0.043065999295827564,0.03511311264354247,0.03512511689988272,0.035453773871041205,0.03549291852603128,0.035749161558948285,0.035929765843573325
heart-hungarian,0.04389371731127862,0.04367684246696487,0.04379484689912669,0.04374346441328459,0.04378809153610401,0.04369069764662582,0.043679032427952444,0.043778496029416816,0.04379334797107158,0.0439479131606814,0.055494845762739296,0.04371046119594573,0.04364112758398506,0.0434110369626293,0.04332913533444641,0.04327794414918063,0.043174388601216966
heart-switzerland,0.08427273387109148,0.08377513846600353,0.08309966927426406,0.08260278555228,0.08274344099533158,0.08265896103010352,0.08237062099661858,0.08288125025397514,0.08412981989884682,0.08498546225912242,0.07669556052524057,0.08595253008262599,0.08884674724209539,0.08959775500773091,0.09078799915457685,0.09227400826492989,0.09371641914884052
heart-va,0.06089765352360735,0.05933209536783021,0.057914598107070704,0.05632703726316602,0.05555308995068731,0.05493597284648379,0.054820936661722754,0.05417027578886301,0.05376737245706217,0.053856780721872645,0.06010155375009628,0.05383473498851571,0.05410084227840092,0.05476066321294436,0.055494246866745874,0.05633016095793132,0.056785756094415586
hepatitis,0.06257888767768033,0.06247544923160492,0.06227786955971826,0.061518869325955544,0.06155287451848155,0.061515629169349065,0.061376687782155236,0.06092621537139308,0.06144724323839228,0.061491887087702035,0.0778362221192385,0.06188810045249652,0.0616390728423969,0.06206229763161989,0.06235535977919396,0.06262199026317702,0.06324063894986158
hill-valley,0.036063089139151,0.03701447730583775,0.037527918566772615,0.03819662457881139,0.038992180033473794,0.039742703840516216,0.04031167117832698,0.040836658898529235,0.04120843850228606,0.0413636227316626,0.03717117321912971,0.04117258420577251,0.04090100283232206,0.0403812720224325,0.03949396998143687,0.03852251213157835,0.03757104855170361
horse-colic,0.03135563078123901,0.03144961608244148,0.03149148605175468,0.03158983817403692,0.031712984336490155,0.0318325887051444,0.03184710264026122,0.03191000343972319,0.03199610469209606,0.03204701225213747,0.03648301768028134,0.032116746133608556,0.03222071696963533,0.032235049558787504,0.0323720328520442,0.03254093766973568,0.03270957940743448
ilpd-indian-liver,0.0492835268643902,0.04913818699778897,0.049045497918015955,0.04906111190878049,0.04896093712891379,0.04878706042383307,0.04871565428610789,0.048663207636588844,0.04854077498818475,0.048348047589321805,0.05136486072731451,0.04825468761890238,0.04808063798510376,0.04809382655704114,0.0481897302254453,0.048015099233663726,0.047983987679563404
image-segmentation,7.566190958140743E-4,7.614706276538187E-4,7.66531151846952E-4,7.73496578612604E-4,7.797276942744881E-4,7.845826523956228E-4,7.913791589941025E-4,7.979363735309433E-4,8.044795062265146E-4,8.109458664352457E-4,0.0010498171412042755,8.2030040004195E-4,8.28858620172441E-4,8.381451834750318E-4,8.479083466673514E-4,8.544869570658535E-4,8.651500416755621E-4
ionosphere,0.014727614189749163,0.014752859170347668,0.014655506112772733,0.014615299079638188,0.014595419677086162,0.014599008032171946,0.014678195843556521,0.01467086843150082,0.014664614068720081,0.014648059166629127,0.022400286875288947,0.014697127991566175,0.014685619609727541,0.014695716355286218,0.0147933287358192,0.014760301988960483,0.014745932034159253
iris,0.005217469427663925,0.005224209290173482,0.005197040124305341,0.005195805361912237,0.005204489662174185,0.00519096572514616,0.005178763986127389,0.005208257516689541,0.005209669759575099,0.00521050907811596,0.020808142624682842,0.005196591868697045,0.005199422308022745,0.005215565660562832,0.005220953950501431,0.005242163280752401,0.0052691075385565425
led-display,0.009014208777959316,0.009011984886418457,0.008978875538917606,0.008977392493439094,0.009001515576808023,0.00900590435602939,0.008976264949525359,0.00893721189590888,0.008922327791303359,0.008921110130639622,0.008039902784123126,0.008903013445658747,0.008852104422518608,0.00885629902191608,0.008817256197301367,0.00879938656035872,0.008855601473872503
lenses,0.22586928203300394,0.23345840944208615,0.24583928736647742,0.24639735014283629,0.2511397803982384,0.2510955558132222,0.25087396059444633,0.25290114273434516,0.2518912495863093,0.24931343479014476,0.25685384572991565,0.2456243038838844,0.24370403941537105,0.24131710535963935,0.24045761391532558,0.2390239680827564,0.2439650504971732
letter,7.868902744833079E-5,7.891417185676527E-5,7.94121317064051E-5,7.984512273600047E-5,8.04104013501461E-5,8.0707705424308E-5,8.113607764799226E-5,8.185414066381502E-5,8.263506200633823E-5,8.338787749203862E-5,1.1694539160938027E-4,8.436539091762087E-5,8.54286312226662E-5,8.650036772943425E-5,8.785635856682804E-5,8.914160248523966E-5,9.064290792237092E-5
libras,0.007677571036563069,0.0076616260592877235,0.007642300314802595,0.007628806350991823,0.007603044862528794,0.007630685080766773,0.007666424224528616,0.007709965042794514,0.007758319823636819,0.007809272668458451,0.016729461865096995,0.00781806234589285,0.007849586220620574,0.00781517847829996,0.007866483756831601,0.007966150263988574,0.00800693195626671
low-res-spect,0.006420870627269592,0.006413880389908283,0.006414384489178461,0.006427912074819999,0.006433237794274739,0.006431381463587614,0.006430790125711263,0.006422701569865922,0.006421392037482619,0.0064309355523685776,0.008738676908207954,0.006439238933092172,0.0064385299089255955,0.0064102657869325175,0.006391238285721749,0.006387867741062871,0.006386934489134071
lung-cancer,0.14392277104791548,0.14469034021314914,0.14446485571953624,0.145411220390666,0.14692987910849345,0.1482177671396071,0.14918201725789618,0.15398258643659027,0.15880615147014462,0.16380604687994146,0.21548007563057917,0.17139336152596418,0.17390166069642107,0.1884052978591318,0.1954529860050515,0.19785208593377232,0.19512141123552718
lymphography,0.04629445864451595,0.04634320746075702,0.04635101365603047,0.04629400474537172,0.04651045581496319,0.04666727664859348,0.046735404850414046,0.04670445477309731,0.04669800544191715,0.04704291253151667,0.04677620101842044,0.04708104108780539,0.04707231889966845,0.047040981886835975,0.04696132926853171,0.04696548821392071,0.04665716645949714
magic,0.004116489121332994,0.004118793747766346,0.004123218366365967,0.004125351161377629,0.004128039138547937,0.004129062585490211,0.004131732343311342,0.004134125853558905,0.00413598794159285,0.004138229031290792,0.004307251478979805,0.004139528439229961,0.004143411338300335,0.004146780550097411,0.004148913539064328,0.0041529880183782415,0.004157363552817741
mammographic,0.021673534665558793,0.02172680523800493,0.02171726216633864,0.021731235070692443,0.021731512460595827,0.021809752803281405,0.02187339703488381,0.021964466555321027,0.021999463324055352,0.022015013851165305,0.029188764922608742,0.02204438373485353,0.022102766819180813,0.02215285161032033,0.022167650004566046,0.022150629605406143,0.022147109904002184
miniboone,6.829687093093904E-4,6.862982984528445E-4,6.898518544327179E-4,6.934919599336958E-4,6.971356643816625E-4,7.011654127272663E-4,7.052959038596401E-4,7.09792317950442E-4,7.139795807170654E-4,7.184664407387031E-4,5.967116741194301E-4,7.231429935988236E-4,7.28158238466011E-4,7.334289135996488E-4,7.386896366524929E-4,7.445864946186855E-4,7.501777747101224E-4
molec-biol-promoter,0.04357244862839858,0.043265329148568676,0.0435305699037019,0.043885039930965916,0.04464548457960546,0.0449969927904061,0.0455442561945628,0.04582542244250077,0.0476240251001431,0.048795223069507176,0.06036314268661817,0.049330270564267524,0.05005223859301905,0.05097133786184241,0.05136458380544651,0.05213893204975019,0.05275125797405853
molec-biol-splice,0.0030118101590809335,0.003031552134239677,0.0030522508466315343,0.003072868140004791,0.0031040071502121563,0.003130128822048687,0.0031571831176713337,0.0031851169808496042,0.0032149526726379827,0.0032457607876478704,0.002776129152093154,0.003277654145377856,0.0033126625496418018,0.0033331098966227026,0.003356284106960235,0.003388437542482006,0.0034632258648029783
monks-1,0.004340633966038731,0.004354122113704946,0.004359010125230563,0.0043589447853018565,0.00439045144371476,0.004442423964601065,0.004502956629282495,0.004531994236877035,0.0045962977442835975,0.004633073453768096,0.008273776048321392,0.00467823801551557,0.004769240273132336,0.0048665081259607395,0.005014638508863096,0.005148356203860911,0.005381236371602731
monks-2,0.05958725800568619,0.05930914846392317,0.05898077411993324,0.05866302460700098,0.05819604748374029,0.05772507678317877,0.05739940265853245,0.057011524206996,0.05676671996313461,0.05651056477021537,0.05544363194073932,0.05612341053875896,0.05569195776987504,0.05522956624369117,0.05476815184679189,0.05437664337472,0.05395225368313932
monks-3,0.003692840115762676,0.00373034689185202,0.0038271924768433123,0.0038585607062729625,0.003961638804184845,0.004052060961009184,0.004125309965315254,0.004209548132866222,0.004345186347949496,0.004479484412201145,0.005720409928395432,0.004630602304618536,0.004776972825166118,0.004922588199553899,0.005121948059976071,0.005312762433339212,0.0055113394629905145
mushroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
musk-1,0.026225275871362846,0.026140623253194512,0.026209141607059328,0.026245839576949873,0.026195273641566846,0.02611792403381273,0.02616144587578739,0.026140880600758008,0.026175880013729155,0.026167367577092888,0.030663784329301166,0.02618760932025558,0.02628671900680042,0.026198441464616248,0.026179706377891295,0.026239828686849286,0.026265140604827854
musk-2,0.0010731608258352367,0.001074209665493688,0.0010763030626172797,0.001076977866398806,0.0010776539731775423,0.0010786614020445884,0.00107883798677149,0.0010807583842491995,0.0010835244925167533,0.0010849899298031964,8.825326191807094E-4,0.0010850064162973728,0.0010866324406906443,0.0010863805021454793,0.0010867832226388,0.0010879535417341062,0.0010882919983451337
nursery,1.1332084935944038E-5,1.141638810979181E-5,1.150760645851555E-5,1.1621979985597038E-5,1.1773288778383361E-5,1.1968595438519044E-5,1.2071219938035878E-5,1.2313283295493532E-5,1.2504038826377554E-5,1.2743130479294737E-5,1.6148352876176567E-5,1.2929276425002135E-5,1.3243345917518672E-5,1.3597811708580105E-5,1.4035331068144726E-5,1.4513275822356186E-5,1.5182920748646553E-5
oocytes_merluccius_nucleus_4d,0.021795664074810574,0.021836201305896835,0.02190140169729877,0.021867488141568192,0.021874889479314874,0.021921837410784996,0.021981777440947193,0.022046738523218916,0.02209109958485373,0.022169161757436526,0.030756653342988986,0.022243978234112866,0.02226766945944377,0.022298052071114502,0.022421310636013856,0.022501854097917214,0.02253689095357466
oocytes_merluccius_states_2f,0.006650485748471064,0.006656993512872001,0.006656891626843241,0.006666831361378013,0.006659896149164455,0.006663617089110558,0.006662244525062771,0.006665841076574813,0.006667163003031654,0.00666004341189546,0.008172146780708678,0.006664467305892771,0.00668049102653976,0.006681984901302347,0.006688418049684443,0.006690566027543508,0.006692408695340708
oocytes_trisopterus_nucleus_2f,0.019369531134858856,0.019422451348738747,0.019434520508261256,0.019468468037282256,0.01947136935919791,0.019439592088234675,0.019404246135499747,0.01946341274342182,0.019420881876993402,0.019433511466151267,0.0208008616420662,0.01943949029037136,0.019441244763481136,0.01943310817003411,0.019372738923093803,0.01941026937089543,0.01942675457871813
oocytes_trisopterus_states_5b,0.011612904135027068,0.01163292469251762,0.011631318093196183,0.011640438197404596,0.011657874725507377,0.011661888484300532,0.01165836402357032,0.011674427825579148,0.011695398061754514,0.011716610582804312,0.012616242802702406,0.011742028093395947,0.011762898987864727,0.011785559929840622,0.011810955077760962,0.011829867975106052,0.011849304236946911
optical,1.0966114457662181E-4,1.1004567006625587E-4,1.103133549131336E-4,1.1086408905034563E-4,1.111080573039911E-4,1.1137803737542752E-4,1.1168113259706087E-4,1.1210497062127598E-4,1.1261227213179324E-4,1.1272076516707497E-4,1.6255230513404463E-4,1.1301758009818737E-4,1.1329353375573572E-4,1.1371029843572167E-4,1.1409649805131558E-4,1.1426067093638179E-4,1.1456900007407018E-4
ozone,0.034951200399576894,0.034989924929185484,0.03498560558652727,0.034986359811380416,0.03497114053381715,0.03496223579739898,0.034957070276636026,0.034960880679030845,0.034958174920669674,0.034932892495310196,0.03964191814711837,0.03491698358135537,0.03493319828369292,0.034931347637933235,0.03496135174046837,0.03497385286016467,0.03495024817816959
page-blocks,0.0023004968563403623,0.002307355384682585,0.0023161224047903565,0.0023206970514827174,0.002327858118679375,0.0023355024880377952,0.0023454623005378463,0.0023570926883883726,0.0023638326731600084,0.002370243947768521,0.003270173997805898,0.002378985147002642,0.0023872538778830932,0.002397887814968004,0.0024045336321979536,0.002414641701798998,0.0024244303316465696
parkinsons,0.03317163138286022,0.033481609251778295,0.03370541567174114,0.0338967683119521,0.03403416080036917,0.034183240487960884,0.034162308249031666,0.03398839084581591,0.03434983459924733,0.03463881263830893,0.044130751726776316,0.03507476643189342,0.03566020085600731,0.035736433356777196,0.03604457779386676,0.03646328446143439,0.037059775251536316
pendigits,2.674724881080784E-4,2.674388073340541E-4,2.6747342415834875E-4,2.674922308732548E-4,2.6743515866767335E-4,2.6746217040400893E-4,2.674415942508867E-4,2.6747850863762635E-4,2.675111900341781E-4,2.6752305592141657E-4,2.270355510075702E-4,2.675460804085431E-4,2.675676740308656E-4,2.676600921132686E-4,2.67710146209788E-4,2.6773928837606654E-4,2.6744271927574276E-4
pima,0.03520816349016027,0.035154090280144046,0.03514604599746298,0.03518951715810514,0.035254537458486224,0.035302152045503514,0.03525911553935515,0.03532311860703828,0.03537360330292762,0.03539085204711549,0.03882105232334399,0.035518081656241325,0.035514389780163164,0.03552852849900668,0.03554283633633733,0.035619373894583174,0.03564565328839758
pittsburg-bridges-MATERIAL,0.06592508390690337,0.06547527619236657,0.06549482284315238,0.06527640059260696,0.06533758699473158,0.06442070990098366,0.06434430181697763,0.06413542297478521,0.06374581082997895,0.06380067068388406,0.08259346453055809,0.06349697324341438,0.06317635917637715,0.06266900619279621,0.06260592607510859,0.06243869605256381,0.06245135560997889
pittsburg-bridges-REL-L,0.08384845433236891,0.08420115743554349,0.08461038718507098,0.08540826132307568,0.08577088237009486,0.08575250199902154,0.08553672362059848,0.08598970721098632,0.08624728289191642,0.0871953880571275,0.11570625794530492,0.08844974425655776,0.08957831202567326,0.09109701671617558,0.0927590589517157,0.09435156853055027,0.09620171899622053
pittsburg-bridges-SPAN,0.06750986860634033,0.0670117835161547,0.06682316207039742,0.066924776475702,0.06661466259433434,0.06717270024250967,0.06712285886935888,0.06636245627474939,0.06596144567291319,0.06603894896423256,0.07246508841483294,0.06681393170057073,0.06766022423763662,0.06787450884510837,0.06899390559943827,0.07052584388843351,0.07280004758146615
pittsburg-bridges-T-OR-D,0.17473154385075537,0.1748028494592606,0.17496594223035294,0.17421764358957642,0.1738739092394279,0.17221344934923086,0.17218611317448193,0.1715740820560218,0.17089776325216938,0.1708194723136748,0.18154554869321998,0.17107463677860524,0.17070186210828486,0.1700589492423261,0.17054644982205464,0.17013288980864466,0.1694907139819669
pittsburg-bridges-TYPE,0.0726252970884771,0.07295623522389384,0.07283070150527876,0.07269094784004626,0.07263415225765776,0.07285525485809566,0.07342402715331783,0.07313239930698928,0.07283766724969458,0.07283221231935971,0.07748026227845595,0.07265139838725396,0.0724511902142207,0.07289324563363771,0.07258062170221792,0.07289604296258366,0.07270990274016907
