TRAINTESTDIFFSAUROCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
abalone,0.008660319468323952,0.008665962761235177,0.008675081865451312,0.008685620993552363,0.008690833334214748,0.008692584898290511,0.008695595225228668,0.008705214634849722,0.00871242707236635,0.008721761049836548,0.009762215407453208,0.008727309294405931,0.008731895804644393,0.00873651649941519,0.008739813267713859,0.008746564312274082,0.008741468075503868
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010258676376803586,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.0035179141819658556,0.0035209479543299215,0.003524282192602913,0.003527394806056835,0.0035310335778960494,0.003533457840694297,0.0035363517129023605,0.0035394670112738552,0.00354286677244237,0.003546233610032935,0.0030636122579040326,0.0035494140333967297,0.003552722903822772,0.0035556326827872273,0.0035591191885650806,0.0035618275677035713,0.0035652528940617223
annealing,0.010026137951126671,0.010056161897161952,0.010170630161931753,0.01026017128495991,0.010330148513215905,0.010456600041509424,0.010596956778775292,0.010747542607178862,0.01086570762635487,0.010991684122707394,0.013154903846719874,0.011122133435315429,0.0112509966874565,0.01139495400033743,0.011572152058933896,0.011806278290282876,0.012086182469104888
arrhythmia,0.028909157194271017,0.028878360961689713,0.02879387726514648,0.02865848774400046,0.028528365453267108,0.028498586317216894,0.02842810653986286,0.028418507764445166,0.028574766761512126,0.028458863859336936,0.03175214982883239,0.028435742100455134,0.02849410707036707,0.028429270083488032,0.028351232206229794,0.028614529565817146,0.0286666184928057
audiology-std,0.011326426695196002,0.01127513812570596,0.011142202204424892,0.011069190024495804,0.010945696816230352,0.010830565928453448,0.01073168629186903,0.01061400545133866,0.010521555245195928,0.010508239388462098,0.019976408456331415,0.010427655877741627,0.010362488991838987,0.010286393336200884,0.010373080902018283,0.010310150019122511,0.010317962789989114
balance-scale,0.0038449834974803435,0.0038669810146961642,0.0038810652856161344,0.003931252817229576,0.003976235006646337,0.004017357134691294,0.004065404470490838,0.004126115497712485,0.004207304790225594,0.004277215828227818,0.008955955902588764,0.0043730115995445455,0.004480609706174068,0.004599479223936638,0.004742599340147219,0.004838132649700802,0.004989308528824724
balloons,0.3112621075827546,0.32401782033203097,0.3272607780627516,0.3315686044600748,0.33332423359226715,0.3375163777304307,0.34040440602671557,0.344120939416774,0.3480290243471008,0.3491295506932996,0.45643861240757416,0.3576137745524922,0.36356929312961633,0.36782297646813744,0.37908945152897144,0.3828891312710067,0.41043384204682487
bank,0.013260337265169146,0.013255484181207408,0.013246663491837774,0.013243725752057072,0.01324631165686485,0.013246932002628978,0.013244780421206121,0.013245897418745213,0.013247528337876137,0.013236301328702103,0.01440790767812893,0.01322746399566111,0.013228734504605471,0.013225727632561557,0.013223481578657287,0.013213638654599557,0.013211377255657474
blood,0.0556699725423218,0.05582167300026831,0.05582491430042253,0.05620373604286371,0.05618621985918152,0.05627815163949938,0.056391458475549223,0.056754220496604946,0.05699941411948783,0.057257217959972705,0.058575697128431664,0.05744320501966088,0.05756784556271147,0.057703418658061306,0.057925741921156515,0.05808961039950337,0.05794351693461273
breast-cancer,0.06935840105599173,0.06964359288494497,0.06967455099668352,0.06960385691784088,0.07018475504422546,0.0704217605930033,0.07041446841380888,0.0705159172210539,0.07117813207555286,0.07198759644449812,0.09277563085801409,0.07284948171944812,0.07373416607711349,0.07413663575615541,0.07458262338421619,0.0755089143459505,0.07631674642401898
breast-cancer-wisc,0.004921910423420357,0.004916055797875008,0.004921917386249475,0.004919939459128285,0.004903743906352987,0.004894130048145242,0.0048775392163645515,0.0048569668000618006,0.004845810535384412,0.004827228120361952,0.007501558749040872,0.004804780932266581,0.004786420663607914,0.004774514583194806,0.004776462845584512,0.004773751419658633,0.004772009696999821
breast-cancer-wisc-diag,0.00646187404433217,0.006457344094013254,0.006460235370436874,0.006465562192674858,0.0064671645363994935,0.006478884994820965,0.00648812286938416,0.006490560424137438,0.006508053230524466,0.006516929238695154,0.010686932264777092,0.006528585714438126,0.006546168556791048,0.006540902940257205,0.0065432828330566,0.006546103249106243,0.006549400516550176
breast-cancer-wisc-prog,0.09197331208170213,0.09127025051142967,0.09101885680203145,0.09132104879136504,0.09124758139417218,0.09034210816178581,0.08953418970654366,0.08962496001631333,0.08906086845643515,0.08849937384075339,0.0886147852998253,0.08775460012321451,0.0882091560870272,0.08785470865875233,0.08794386644356253,0.08775405762937782,0.08800257154437098
breast-tissue,0.03001422204396927,0.029922134253612304,0.02991734431769708,0.029709886224630715,0.029369151162507986,0.02958112045717379,0.029665123481692753,0.02980874356589635,0.02985857792057055,0.029792152421608577,0.036721467715669136,0.029434248493219895,0.029443652852202008,0.029564862524967615,0.02978439868178493,0.030250623220765625,0.03035905916355187
car,7.607285996115081E-4,7.638178651019148E-4,7.699991576612607E-4,7.783172466532199E-4,7.829773035156195E-4,7.859364391691563E-4,7.934483728235114E-4,7.97432413838797E-4,8.046409596959611E-4,8.098377257640407E-4,0.001645916822668379,8.155087878921355E-4,8.204848425062071E-4,8.252543154432608E-4,8.334726108413866E-4,8.39115333278631E-4,8.434082083315085E-4
