TRAINTESTDIFFSAUROCRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
energy-y2,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0
fertility,3.0,4.0,2.0,5.0,6.0,7.0,11.0,14.0,12.0,13.0,1.0,9.0,8.0,16.0,17.0,15.0,10.0
flags,17.0,16.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,7.0,13.0,6.0,4.0,3.0,1.0,2.0,5.0
glass,10.0,9.0,7.0,5.0,2.0,1.0,3.0,4.0,6.0,8.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
haberman-survival,1.0,3.0,5.0,2.0,4.0,6.0,7.0,8.0,9.0,10.0,13.0,11.0,12.0,14.0,16.0,15.0,17.0
hayes-roth,2.0,3.0,4.0,5.0,6.0,8.0,7.0,11.0,10.0,9.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
heart-cleveland,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
heart-hungarian,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0
heart-switzerland,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
heart-va,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,14.0,11.0,12.0,13.0,15.0,16.0,17.0
hepatitis,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
hill-valley,9.0,6.0,3.0,2.0,4.0,5.0,7.0,8.0,10.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
horse-colic,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,12.0,11.0,13.0,14.0,15.0,16.0
ilpd-indian-liver,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
image-segmentation,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
ionosphere,2.0,4.0,3.0,8.0,6.0,7.0,5.0,9.0,10.0,12.0,1.0,11.0,13.0,14.0,15.0,16.0,17.0
iris,3.5,5.0,2.0,3.5,6.0,8.0,7.0,9.5,9.5,13.0,1.0,15.5,15.5,14.0,11.0,17.0,12.0
led-display,14.0,16.0,15.0,13.0,9.0,11.0,10.0,6.0,5.0,2.0,17.0,1.0,4.0,3.0,8.0,7.0,12.0
lenses,1.0,2.0,3.0,4.0,5.0,10.0,8.0,7.0,6.0,9.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
letter,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,2.0,12.0,13.0,14.0,15.0,16.0,17.0
libras,4.0,3.0,1.0,2.0,6.0,5.0,7.0,9.0,8.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
low-res-spect,5.0,4.0,3.0,2.0,6.0,8.0,7.0,9.0,10.0,11.0,1.0,14.0,12.0,15.0,16.0,13.0,17.0
lung-cancer,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,16.0,11.0,12.0,13.0,14.0,15.0,17.0
lymphography,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,11.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0
magic,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
mammographic,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
miniboone,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
molec-biol-promoter,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
molec-biol-splice,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,17.0,6.0,5.0,4.0,3.0,1.0,2.0
monks-1,1.0,2.0,7.0,8.0,5.0,4.0,3.0,6.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
monks-2,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
monks-3,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
mushroom,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
musk-1,10.0,6.0,12.0,9.0,8.0,7.0,4.0,3.0,1.0,2.0,17.0,5.0,11.0,13.0,14.0,15.0,16.0
musk-2,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
nursery,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
oocytes_merluccius_nucleus_4d,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
oocytes_merluccius_states_2f,1.0,2.0,7.0,4.0,3.0,5.0,6.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
oocytes_trisopterus_nucleus_2f,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
oocytes_trisopterus_states_5b,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
optical,5.0,6.0,9.0,8.0,3.0,4.0,1.0,2.0,7.0,11.0,17.0,15.0,16.0,13.0,14.0,12.0,10.0
ozone,9.0,10.0,6.0,3.0,1.0,4.0,2.0,5.0,7.0,8.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
page-blocks,2.0,3.0,4.0,6.0,5.0,7.0,9.0,8.0,10.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
parkinsons,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
pendigits,2.0,3.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0,5.0
pima,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
pittsburg-bridges-MATERIAL,6.0,2.0,8.0,10.0,9.0,3.0,7.0,15.0,14.0,16.0,1.0,17.0,13.0,4.0,5.0,11.0,12.0
pittsburg-bridges-REL-L,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
pittsburg-bridges-SPAN,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
pittsburg-bridges-T-OR-D,2.0,5.0,3.0,9.0,10.0,6.0,7.0,4.0,8.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
pittsburg-bridges-TYPE,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,15.0,12.0,11.0,13.0,14.0,16.0,17.0
planning,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,9.0,11.0,7.0,12.0,13.0,14.0,15.0,16.0,17.0
plant-margin,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
plant-shape,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
plant-texture,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
post-operative,3.0,5.0,7.0,8.0,11.0,10.0,6.0,1.0,2.0,4.0,17.0,9.0,12.0,13.0,14.0,15.0,16.0
primary-tumor,2.0,6.0,4.0,1.0,3.0,5.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
ringnorm,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
seeds,4.0,2.0,5.0,8.0,6.0,3.0,7.0,9.0,10.0,11.0,1.0,12.0,14.0,17.0,16.0,13.0,15.0
semeion,7.0,9.0,14.0,6.0,13.0,2.0,15.0,16.0,4.0,8.0,17.0,5.0,10.0,3.0,1.0,11.0,12.0
soybean,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,17.0,12.0,11.0,13.0,14.0,15.0,16.0
spambase,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
spect,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
spectf,1.0,4.0,2.0,3.0,5.0,6.0,8.0,7.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
statlog-australian-credit,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,11.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0
statlog-german-credit,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
statlog-heart,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
statlog-image,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
statlog-landsat,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
statlog-shuttle,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
statlog-vehicle,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
steel-plates,16.0,15.0,14.0,13.0,12.0,10.0,11.0,9.0,8.0,7.0,17.0,6.0,5.0,4.0,2.0,1.0,3.0
synthetic-control,5.0,4.0,3.0,1.0,2.0,9.0,7.0,6.0,8.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
teaching,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,15.0,11.0,12.0,13.0,14.0,16.0,17.0
thyroid,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
tic-tac-toe,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
titanic,9.0,7.0,4.0,5.0,3.0,15.0,16.0,11.0,12.0,14.0,17.0,6.0,10.0,8.0,2.0,1.0,13.0
trains,1.0,4.0,2.5,2.5,5.0,6.0,7.0,8.0,9.0,10.0,16.0,11.0,12.0,13.0,14.0,15.0,17.0
twonorm,14.0,6.0,9.0,12.0,11.0,15.0,7.0,5.0,16.0,13.0,17.0,8.0,4.0,1.0,2.0,3.0,10.0
vertebral-column-2clases,1.0,3.0,2.0,6.0,7.0,5.0,4.0,8.0,9.0,10.5,17.0,10.5,12.0,13.0,14.0,15.0,16.0
vertebral-column-3clases,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
wall-following,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,12.0,13.0,16.0,14.0,15.0,17.0
waveform,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,1.0,7.0,6.0,5.0,4.0,3.0,2.0
waveform-noise,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
wine,1.0,2.0,3.0,6.0,5.0,8.0,12.0,7.0,14.0,13.0,17.0,11.0,9.0,4.0,10.0,16.0,15.0
wine-quality-red,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,17.0,6.0,5.0,4.0,3.0,2.0,1.0
wine-quality-white,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,3.0,7.0,6.0,5.0,4.0,2.0,1.0
yeast,1.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
zoo,2.5,2.5,4.0,5.0,7.0,6.0,8.0,9.0,10.0,11.0,1.0,12.0,13.0,15.0,14.0,16.0,17.0
