CAWPE-S(alpha=4),CAWPE-S(ConTie),CAWPE-S(RandTie)
0.8355428323135761,0.8381808601001018,0.8341163691672538
1.0,1.0,1.0
1.0,1.0,1.0
0.9076317004280338,0.9080488144565423,0.9074881697647463
0.9639471689699498,0.9661204994030063,0.9622371486306271
0.8499138623598345,0.8506432078214982,0.8464387009517276
0.9660353920050025,0.9657261908606828,0.9658343189720074
0.9867287794273839,0.9839014688048535,0.9864333765514945
0.7066666666666668,0.6983333333333335,0.7083333333333336
0.8629713920817393,0.85946992337165,0.8625469348659028
0.7479545305210599,0.7474945791444908,0.7479821276036539
0.6617238468032851,0.6614091641722312,0.660495817023563
0.993366776137717,0.9934112863449903,0.9932633199802712
0.9921629598397808,0.9921682302097607,0.9918783598608623
0.7294590643274851,0.7269554093567252,0.7319261695906432
0.9147935285100763,0.9116338415622661,0.9149951010896589
0.9953889384289911,0.9959730580314183,0.9944369173978209
0.9791618562702734,0.9791196770624925,0.979127282156898
0.9835851860175858,0.9835527970550538,0.9834359039324649
0.9654260094056437,0.9641304013125152,0.9641304013125152
0.9990430657010605,0.999101430646562,0.9990006374685205
0.47410862354892097,0.4659085524757156,0.4748015873015863
0.8941326530612251,0.8967201166180762,0.8868197278911569
0.9985423120089789,0.9986127946127947,0.9979970071081181
0.8895251536029328,0.8916186475153961,0.888104616716992
0.7205382675281798,0.7198223011370873,0.7199738817028026
0.9198311237373755,0.9172957251082269,0.9196755501443019
0.8056538461538447,0.7988397435897421,0.8057820512820497
0.9987659757185164,0.9987122020442487,0.9987764534307024
0.8298553719008266,0.8274793388429751,0.8299931129476584
0.9681033525061381,0.9679416647857852,0.9680010694508377
0.9851888225441119,0.9870483331437773,0.9844672366231707
0.980378046086885,0.9804096796385772,0.9802450935209727
0.6310606060606062,0.6308080808080809,0.6273989898989901
0.8150063725935909,0.815120693056793,0.8031232614139101
0.8851637605949193,0.8851402571113168,0.8852800307010593
0.6790704367220662,0.6797395496078855,0.6786027771782143
0.8811266024295121,0.8783590561897437,0.8707537017656063
0.8066716015194639,0.8073144360324027,0.8054209363893302
0.8943596949016462,0.8934698247022616,0.8941455907935235
0.5721549535864487,0.5692377817961786,0.5780873367755854
0.61168199285682,0.6084017304127671,0.6133322125020721
0.812903225806451,0.8062163978494618,0.813104838709677
0.7675874188078894,0.8104550389032333,0.7367748986119754
0.8687711291413105,0.8690289046653131,0.8674273157538865
0.7277663308913307,0.7243952228327225,0.7278216575091572
0.9960946259128083,0.9961715859897681,0.9960199688078479
0.9572224563375008,0.9549983611930517,0.956772955003044
0.9968977777777778,0.9968800000000001,0.9969155555555556
0.9523341116056098,0.9528508467331994,0.952104157422439
0.8816783216783217,0.8806993006993006,0.8837062937062938
0.9973909554633057,0.9974346355147207,0.9972066037362042
0.9718816137566135,0.9715873015873014,0.971523368606702
0.9810441511216731,0.9813103566385534,0.9802477561058218
0.6415359477124183,0.6451960784313724,0.6355228758169936
0.9047771536828748,0.9031405812815966,0.9041365023363409
0.9100950749363531,0.9142064821698259,0.9081558652274021
0.8979565706075269,0.8986164702610647,0.8975301560816231
0.9560138143683007,0.9582442949598785,0.9551706477299893
0.884042066758116,0.8830361225422951,0.8839963420210333
0.9745556088787526,0.9775428315270438,0.9718989383567899
0.9723720304332067,0.9734813587978532,0.9642271794075526
0.7898630316106044,0.7916854630446862,0.7876891896309369
0.985691659704816,0.9868490671122234,0.9812534809245317
0.999999919086624,0.999999919086624,0.999999919086624
0.9465645773979099,0.9485802469135793,0.9435066476733133
