TRAINTrainTimesSTDDEVS:,RandF,XGBoost,CAWPE_noRetrain,CAWPE,CAWPE_retrain_foldWeight,CAWPE_retrain_noWeight
bank,263.3169056097452,3855.065022339341,17299.29951964875,2959.7658639285673,3419.771207527323,6962.154903832245
blood,417.0759783032998,496.60153697334596,311.2919174963787,1335.5497546654121,1367.7495871920598,493.4588145395112
breast-cancer-wisc-diag,138.34110425691117,230.19964306520924,1053.2164834711002,1130.2424721306336,6462.886001541847,7868.025956656358
breast-tissue,197.94680818550077,306.9484242509426,306.84073439531267,412.4598768314305,635.9659080236034,348.50547017093845
cardiotocography-10clases,310.25459288080526,7970.023982993983,1100488.7052376473,1100625.2099638896,1032382.776192256,1139863.0983282817
conn-bench-sonar-mines-rocks,291.01301753419455,296.76171749809055,1806.2875050919301,1747.2261534014783,7168.358418611159,7491.0173975178595
conn-bench-vowel-deterding,226.98559213636142,1412.8239473548422,2362567.215806779,2627588.245799216,2574259.5683903885,2616764.6499224748
ecoli,105.8613804336635,555.3720081467304,2242.802227322631,2360.7405572578027,1995.3427180789217,914.5490601479593
glass,291.98707040085856,322.48273693463767,1214.0882432344406,1229.0235691284524,1736.997830363823,28848.642497035795
hill-valley,682.1811951706409,1755.8679095308491,11551.64683102423,65127.52590522466,18907.397460230204,14532.732010247188
image-segmentation,421.50558886580774,7074.47293314696,195201.84086882675,207162.21524941182,217539.99423564732,211024.36580686687
ionosphere,182.718393133202,477.75630459073875,2316.5204206468165,831.9636607809498,802.7086515283189,18304.118492364298
iris,86.16862291356868,107.08041429969806,277.107479067152,110.6405826415783,526.0614978776288,16811.04215942825
libras,129.64934982499486,4258.739991444836,11274.248829150509,36169.18321631735,51146.10631819286,18691.09953938108
magic,2435.0422851894796,7837.542941993448,52906.67500241145,8693.430897375445,8149.0903620961735,13700.83649294436
miniboone,35073.42624080179,99309.48529080981,843579.5455328138,913151.3739248211,1024301.7551217849,677131.8642190587
oocytes_merluccius_nucleus_4d,317.1644978598143,2354.910598392021,2610.950144757234,2689.146072706055,2921.3954486800653,6381.512334906881
oocytes_trisopterus_states_5b,189.2092600077411,1330.3284557928034,2045.2741684165296,2391.141153658029,2161.0010314347,4207.302728170019
optical,456.1571158965608,28607.136414733606,35873.568781219816,65159.88147459324,113505.87979213332,59583.42212193292
ozone,297.9947387114157,10679.74490978438,150558.92676409113,172731.10823894598,191879.99562281332,185599.48212078714
page-blocks,504.1219694618153,3470.123421848989,3770.838520404772,3741.6061880825873,4361.74835340507,5452.513664549592
parkinsons,132.32694127171746,88.58978703681487,294.26209415124305,473.40579114619993,409.8065530758928,9669.219429795867
pendigits,583.0877485160628,12085.5530666104,198305.9516021888,228780.15372141422,207491.51106921412,222235.449178649
planning,135.37016103662174,266.19093436587843,343.2733825222097,101.33711489713207,217.3242932688087,15985.790109769188
post-operative,105.56775927009245,186.96536951110897,347.07484328907975,310.3767465044343,473.92533323431206,6624.308351968754
ringnorm,840.064775880272,8378.51145699297,5959.638934913859,6801.018892874154,9235.67686925346,9807.131802549347
seeds,123.75608073091209,252.31368654341594,476.6709184987723,522.3382388764767,544.3202036039697,3230.6764476082085
spambase,387.5193882385542,17662.33998303547,50017.66766031208,39084.382038832686,23012.22545782533,38480.11935793833
statlog-landsat,715.9928456302018,12203.240591564941,18551.140126781862,19361.679099496192,36283.92973748478,30694.190054500647
statlog-shuttle,2061.526837099413,22315.896698854358,328078.92780972214,294985.03884337196,360563.3962715377,360114.6537259758
statlog-vehicle,358.9986117176201,1499.959495394395,1057.8226967343858,1208.8760364994935,1229.9639688466325,11374.616288070345
steel-plates,378.77104835881727,5446.648204870824,1184740.6012145882,1378231.9108790245,1377220.0978231214,1393593.3276003746
synthetic-control,185.4141339302488,2011.1713125385345,4992.146611231642,5021.903263638484,4402.296821091541,8571.941676607143
twonorm,897.5274601791541,6820.836408143848,8430.907357322543,9329.078165620165,8488.67691166013,9801.023076256197
vertebral-column-3clases,166.26119663955038,440.30150311203437,126.12325334911793,102.9315291183697,133.61074406175038,10076.86855651636
wall-following,363.7247820996042,8700.483427326484,8103.162091036327,8374.626736900345,13410.129259416835,13330.367520006519
waveform-noise,612.7188134741327,34926.74086053082,23470.359310368473,19912.627638358652,12681.828287792257,30922.13933164213
wine-quality-white,647.4986467260879,4330.759800667274,4151.890298871954,5640.1868187468535,6674.539563202856,8221.89971397918
yeast,196.56735962013596,1056.0842418676084,2035.8648404729004,2109.815872862771,2091.1396362331393,7606.199918418893
