RandF,AdaBoost,XGBoost,LogitBoost,Bagging,CAWPE-S
6565.46724 ,58.436282,15104.967759,33727.131387,4973.084718,24542.904588
6699.470942 ,37.678525,14711.475059,34069.46933,5051.526377,24397.105036
6696.642866 ,169.997948,13245.666497,34956.895275,5106.569869,21965.109466
6558.924341 ,41.85478,14410.503605,34385.545418,4900.526799,22462.592756
6686.250836 ,110.452899,13701.762836,34673.813474,4922.506977,22306.674048
7338.26266 ,37.128283,14308.780007,34374.043977,4979.675931,21680.0399
6998.926093 ,106.488869,14595.262044,33299.507887,4834.259587,22333.87901
7525.747013 ,89.62978,14974.731107,33527.67963,4694.100949,22590.305988
7601.224272 ,141.304488,14870.030859,33178.148704,4742.062849,24520.406696
7363.628851 ,92.367833,14508.551261,36242.333197,4649.924902,21665.167872
7576.371525 ,73.220415,14409.54326,35995.115954,5784.346022,22023.789193
7296.84482 ,50.342701,15511.436223,36720.742081,6034.93152,22729.557094
7412.038717 ,139.597758,14821.076762,35934.797374,5951.372516,23802.862474
7458.712752 ,112.563446,14699.511173,35993.176301,5581.345963,23406.040086
7640.391238 ,151.833258,14679.493396,36755.270338,5666.511901,23223.640676
7145.776066 ,55.06085,14717.385901,36230.095683,5998.314148,23918.78747
7315.72559 ,120.302338,14820.918521,36708.682828,5784.127181,23375.668755
7151.960419 ,108.434903,14873.052848,35834.407315,5662.804811,23619.463956
7321.665255 ,128.1255,14974.808197,36910.29908,5974.985399,24454.920387
7204.524692 ,95.531153,14950.926851,37529.592748,5854.533081,21959.594233
7314.694211 ,126.336755,14738.326237,36073.481145,5837.787012,24303.838928
7276.454415 ,106.848789,14813.494596,36653.244386,5640.463758,22073.82006
7069.055312 ,66.978322,15070.042417,35713.299595,6094.226688,22369.649044
7150.793216 ,64.322225,15243.720485,36953.502492,5895.805134,22101.333279
7253.975193 ,67.656869,14906.442416,37488.451429,5783.55484,22714.012612
7492.612598 ,98.175314,14960.721109,35931.034984,4766.266941,22706.972762
7387.67453 ,75.996284,15203.190173,37776.2463,4841.568223,22150.712405
7256.222061 ,54.680909,15240.041231,35928.421073,4780.287347,22348.975736
6409.450082 ,123.967048,13746.625117,38220.462389,4719.818398,23102.292457
6154.266552 ,24.252629,13757.285186,37403.303417,4729.257475,22706.770626
114.654413 ,33.459551,328.49713,463.476024,115.514686,742.433577
145.902889 ,31.186121,329.982827,436.582869,154.68147,756.123107
143.975181 ,74.643687,401.264796,415.741609,100.508632,652.279636
48.205282 ,63.991367,322.718844,436.582046,123.70633,649.219091
119.771615 ,68.709415,344.210762,476.192887,128.088867,683.586919
142.527222 ,44.850959,337.676163,497.114177,75.301595,678.486341
50.82148 ,68.667456,309.948033,448.09705,147.242661,755.468021
127.773159 ,58.218657,330.39005,456.085769,213.44179,619.928174
100.132971 ,36.901842,330.892934,443.731583,70.750934,628.418201
101.685779 ,32.401437,329.201902,482.650419,164.14366,680.026371
119.973942 ,40.486888,463.479639,450.768042,124.609918,664.951401
116.119015 ,58.787091,477.678016,455.448221,210.160284,766.558756
161.215726 ,33.751133,463.103533,449.031379,144.174377,639.14663
152.131953 ,60.683034,506.378433,463.871678,138.356026,636.949939
164.535144 ,31.265878,499.082772,462.350769,123.896766,651.286163
117.908227 ,33.410111,314.234942,442.796163,87.003595,655.31164
104.409885 ,39.955658,302.971588,443.24598,68.483338,636.924602
52.641843 ,43.477354,318.68877,444.710129,190.251014,631.975248
60.940361 ,64.808759,322.688388,428.047809,152.591295,636.615728
68.687979 ,69.850186,324.110292,451.383326,104.445831,623.238264
159.159005 ,126.443774,339.288975,449.264634,60.941364,658.154646
169.28744 ,64.774269,438.453741,463.495375,99.092555,691.580357
133.739939 ,66.930942,411.973205,472.958235,141.165625,680.297872
52.231797 ,62.023359,444.827877,502.875042,37.228724,657.159098
73.042686 ,120.883298,468.411924,473.038229,196.105496,643.628353
58.940132 ,80.467159,313.23746,473.107285,63.270062,680.554999
121.141001 ,77.684855,282.731407,457.672865,43.336224,700.427843
73.653346 ,158.932662,322.346333,442.194502,61.821362,692.468777
75.146212 ,63.22903,308.621786,451.090836,58.892457,777.152506
73.267526 ,116.219059,295.142278,415.51893,102.908677,685.091796
144.886601 ,32.159129,278.495485,471.34226,74.447726,627.024885
179.678298 ,62.813761,271.33606,462.614337,82.781994,642.817895
158.553861 ,42.64916,278.124861,462.381486,169.603441,740.807769
266.414477 ,38.084412,268.436915,455.095239,95.928588,623.860325
192.755137 ,103.052591,275.076458,474.921854,171.744753,713.744909
237.772455 ,31.289923,264.077226,473.20704,148.338723,723.405474
221.811772 ,31.118076,266.000875,463.375774,156.432523,666.93292
155.162373 ,34.291357,307.081142,457.454381,98.507458,655.851862
169.873326 ,31.774054,311.412142,468.55955,62.68402,653.624219
212.964358 ,31.278589,244.115502,475.978238,94.508482,640.575136
214.599787 ,30.592203,471.760962,455.351494,161.395017,641.289462
225.679034 ,36.440596,308.499047,470.518318,123.928003,668.937431
267.562643 ,37.848306,323.493612,529.52642,117.668133,675.253765
153.412469 ,33.361903,297.817173,34.56657,120.020649,717.508118
167.028407 ,61.472044,277.069828,431.180625,77.331425,704.67605
145.764373 ,61.955327,276.680414,469.706709,89.762535,666.986555
93.219759 ,44.012649,270.604656,54.714007,198.038636,657.131823
208.669319 ,84.804112,266.218228,464.220114,119.749125,655.901796
111.696165 ,37.236752,367.882969,473.742094,53.921517,649.028975
145.819613 ,85.052643,332.902586,453.949405,96.816857,663.917172
108.610335 ,82.712072,375.476192,460.488071,40.481975,678.776356
183.880897 ,83.293128,304.987452,470.847546,54.615961,655.006555
197.625159 ,32.483965,358.406052,450.722051,126.146987,622.925262
165.033344 ,125.094705,330.36413,464.314586,80.167791,676.093297
167.008115 ,79.392748,281.570107,442.680187,61.012898,706.985093
165.151742 ,31.873437,278.982799,429.347315,92.68185,750.273587
192.035591 ,38.929698,274.77454,411.942232,78.513508,732.113837
137.658633 ,33.7548,273.754527,415.313673,50.671278,771.922408
134.59298 ,31.780907,256.514573,444.238931,62.234708,826.525563
55.050694 ,61.878641,414.073757,438.869171,70.80754400000001,735.839654
76660.189801 ,45594.12812,134673.456481,572887.479492,79848.681568,896239.205497
80569.694192 ,31665.419497,134800.956502,553664.715575,81190.499912,942060.68798
78088.601557 ,43229.081074,134646.134664,564829.836514,81418.516411,997732.09081
77176.437509 ,19970.068638,135234.795293,547864.725636,84054.497524,1059908.159366
79612.090839 ,25116.935182,135068.324113,542478.274213,79880.349083,1047947.230095
78555.35841 ,31329.845184,122062.718952,553831.538798,78381.948301,991420.506122
