PB-S,CAWPE-S
0.006658443818305715 ,0.014338018675647546
0.013352193918607536 ,4.5004046466734504E-4
-0.019198134727855032 ,-0.025875377995015825
-0.019205700359711475 ,-0.00960537205714107
0.007607128200778135 ,0.006673575082018379
-0.026868080599197985 ,-0.023964253535786573
0.014786912832458032 ,0.0018902616562314067
-0.010582943397610567 ,-0.008640180841527512
-0.018725855890761478 ,0.0018985150728020317
-0.010099660005089661 ,-0.00432089283626369
0.00522097376559838 ,0.003814454025030778
0.005215471487884593 ,9.415772737589867E-4
-0.02591114280015494 ,-0.007690808674340799
-0.005802381110680654 ,-9.908685116108984E-4
-0.0029240020816949652 ,-0.001461083994561907
0.01574109949264413 ,0.01768248647929882
-0.009139283282475485 ,-0.008155521879578131
0.006175848210498769 ,0.025826774541877984
-0.009161980178044482 ,0.0057214517759747174
-0.010109976775802831 ,-0.027319038110151017
-0.01680235130667629 ,-0.01246036640584347
0.0061634680856429425 ,0.0033304828477955795
-0.012509199120552594 ,-0.00242077293246179
-0.003401783196502417 ,-0.01056024650204157
0.006175848210498769 ,0.020082396608762876
-0.014423074718638795 ,-0.004338775238833192
-0.027354802915290133 ,-0.03019191486142281
-0.021129204943796553 ,-0.017746908980863507
-0.0072309099621030715 ,-4.0808559710003856E-5
0.022927074186751883 ,0.012903987546511453
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
-0.033333333333333326 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
0.0 ,0.0
-0.01666666666666672 ,0.0
0.0 ,0.0
0.0 ,0.0
0.004819012623451191 ,0.001912834060078361
-0.002469809615006535 ,-0.0028780960440939474
-0.001036608484810908 ,0.0014623802560908006
-0.0043124709122579485 ,-0.0033694294647532708
-5.3857805065837816E-5 ,-0.003492296355288693
-0.006400822394598493 ,-0.004802687605078959
0.001911650261498754 ,0.0036326720627760656
0.003959098652407955 ,0.008014064868540394
-5.3787380787650996E-5 ,-0.002263889025824972
-0.006810285915191394 ,-0.005294078035868233
-0.0070970401614902645 ,-0.006604512881640101
0.0013384435872355605 ,-5.270083478259302E-5
9.288828140682215E-4 ,0.0014213363161033055
0.0017478869866062174 ,0.0027727715058809554
4.7847260606248554E-4 ,0.0023632610357693373
0.003672441658683523 ,0.002690891545203189
0.0029762842554588165 ,0.00203565735463207
-0.0016918057864745428 ,-0.0030418660260606023
0.00170692353150792 ,0.0011758875856819895
-0.0011594451935128536 ,-0.00263227842459679
-0.0024288696346677074 ,-5.030238508250129E-4
1.509460562773013E-4 ,2.339326841824807E-4
-0.003124929785317976 ,-0.003287465665649303
-0.0025926765055419576 ,-0.006440618818802424
-0.002387936361402887 ,-5.849407004102636E-4
-0.0018964587386502973 ,-0.004024623412879902
0.0014203503762099112 ,0.0017080335522724477
-0.002510739534734241 ,-0.004311216689400377
0.0011336564935778837 ,0.001994807919793562
0.0021573706284213623 ,0.0011349006558243335
0.02824404761904764 ,-0.04044642857142855
0.010496031746031753 ,-0.009206349206349218
-0.007351190476190483 ,0.010833333333333361
0.001607142857142918 ,0.004087301587301528
-0.03406746031746033 ,-0.03377976190476195
0.030466269841269877 ,0.017440476190476284
0.0037797619047619246 ,-0.0048313492063492
0.003809523809523707 ,0.006279761904761982
-0.018462301587301555 ,-0.013730158730158704
-0.04521825396825396 ,0.00637896825396822
-0.0496428571428571 ,-0.02702380952380956
0.008283730158730185 ,-0.015882936507936485
0.034890873015873014 ,-0.004811507936507975
-0.011835317460317518 ,0.012956349206349138
0.0015079365079365692 ,0.010684523809523783
0.003740079365079363 ,-0.02486111111111111
0.03271825396825401 ,0.008521825396825444
-0.01843253968253966 ,0.004057539682539746
0.012728174603174547 ,0.01741071428571428
-0.022906746031746028 ,-0.00478174603174597
