CAWPE-A,WMV-A,MV-A,PB-A,ES-A,RC-A,SMM5-A,SMLR-A,NBC-A,SMLRE-A
-1.0414597095225173,-1.5908119409364734,-1.590764115188098,-1.2151415993685635,-1.640249814273999,-1.6020578618785906,-1.2312011601601223,-1.2298795506800393,-1.9873752396938555,-1.2462362529690953
-0.052458027481182695,-0.004258842013203405,-0.004272887257753101,-0.053788726656739366,-0.0035806127282316967,-0.0042448739213837745,-0.014513661202185791,-0.0,-2.4961400297194453E-5,-0.0
-0.043120524404157465,-0.009479624198342846,-0.009498379885670006,-0.05946480351832963,-0.008733113504253215,-0.009490203327113774,-0.05902222222222222,-0.007377777777777777,-0.01464588233621072,-0.0
-0.4290309863990327,-0.68292989676717,-0.6831903666898416,-0.4053770891745105,-0.6914895821938047,-0.6890621736458498,-0.8560058963229492,-0.8560693363906478,-1.0395345102467295,-0.8571568804083364
-0.25214792424008764,-0.25624830565774276,-0.25981993092972644,-0.2507017110171236,-0.2427962026390839,-0.26301507946099556,-0.26185070156777374,-0.2676444653021149,-0.4385325822983129,-0.3556549507735801
-1.3629583412188317,-1.4687697245093065,-1.476958835464412,-1.5672354288301975,-1.4642863518897302,-1.5343753856181013,-1.5678459848507997,-2.020385953870249,-2.191276009486278,-2.4409283695194777
-0.9685860497426965,-0.9869378917968632,-0.9879122016262673,-1.4528198911387247,-1.0101998725909132,-1.3664566074385212,-1.6190153957148943,-2.710690881105123,-1.5820544702676318,-2.7554617774300083
-0.2890403790346492,-0.2864154392441346,-0.2924680775798957,-0.5125966328985183,-0.23312260057900708,-0.2977622441923378,-0.24470530632784962,-0.24208366127938924,-0.3281518724234522,-0.3084567681731826
-1.0556670870695055,-1.3697027638900994,-1.314138048179853,-0.9992099469271449,-1.4108213315227383,-1.5318629470999705,-3.565925925925925,-2.951111111111113,-1.6892192710760623,-3.4183703703703694
-0.34160790264236274,-0.511075986082914,-0.5110554563967503,-0.4115295563959355,-0.5231196646179926,-0.5441464151176096,-0.6868087866725664,-0.6824036561993244,-0.6115664629398853,-0.7033524988942974
-0.7071344027367115,-1.0857702593926615,-1.0871648932503326,-1.0798279761492373,-1.0977074935788047,-1.1312139934208134,-1.4179536541889466,-1.416770053475934,-0.8832449682207358,-1.4723992869875198
-0.8866957061772852,-1.37412941378347,-1.3746721890352007,-1.5337177759043183,-1.4299125956367609,-1.3800434131264316,-1.9981481481481465,-1.9889259259259242,-1.1299398198678625,-2.1687592592592564
-0.14101969612707993,-0.1711846895870847,-0.1712301832554219,-0.2221945197111003,-0.1715598116586401,-0.1712955721342995,-0.23398095238095232,-0.2371428571428571,-0.2850847998082002,-0.2409371428571428
-0.13104831192217084,-0.1355169316720713,-0.1356357980045008,-0.17699735279520276,-0.1325666937111757,-0.135497934060383,-0.1871625730994152,-0.1887157894736842,-0.2662595075672558,-0.1964818713450292
-0.7279309331614267,-0.9704427039764169,-0.9699381279651819,-1.0169888993382428,-1.013006431397821,-0.9968590479093086,-1.5094933333333327,-1.5426933333333328,-0.9134086025675285,-1.6799199999999992
-1.1435400233044992,-1.528003289846972,-1.529716140618592,-1.5123153055717369,-1.5563945987528287,-1.5887257669590902,-1.5031889944382,-1.8095807063636877,-1.6512793060652613,-1.9498695535948867
-0.12816405774385145,-0.093310148640708,-0.09373890784426936,-0.09943502751585138,-0.08881547663878762,-0.09352695953267813,-0.08613174455678957,-0.11828845946406924,-0.18494251991860228,-0.15538807376660904
-0.23360873252291584,-0.2607244873238877,-0.2610898417321863,-0.28045493701205854,-0.2657108326423686,-0.2649988469116571,-0.25439443627412983,-0.24526716910475593,-0.498068917102604,-0.2618237338378878
-0.5566777486055108,-0.611384875086843,-0.6125195401009823,-0.6434635174389371,-0.6232927542004748,-0.6180542921966296,-0.6402716735087035,-0.7733871832369125,-1.268801615016612,-0.9235023065025822
-1.0020658544235963,-1.0429973745184435,-1.1234119343256153,-1.1234803108727134,-0.9910902533102741,-1.0445170850595127,-0.8312235339880432,-1.3272363666562903,-1.366826258956793,-1.4034542938999226
-0.06392193889773129,-0.03378560891195167,-0.03378834567250059,-0.04377361645951489,-0.03434837115818618,-0.033799547799728574,-0.05952053366687513,-0.05979737335834897,-0.08557004526805247,-0.05855159474671669
-0.9290057596424918,-2.2490578559008574,-2.2494887738849147,-0.9652888372534826,-2.275261414588819,-2.319168471461084,-2.6651376146788954,-2.645847094801219,-1.025394846161139,-2.7412844036697197
-0.53546256416358,-0.680336765812245,-0.6812910896667105,-0.6561631131197083,-0.6885783325527924,-0.6826311385390027,-1.1846603174603172,-1.1699047619047616,-1.049145031773215,-1.2036317460317458
-0.30490924142402975,-0.15185706185246806,-0.15240430205051164,-0.3410035654674772,-0.14667499154302052,-0.15186888933355563,-0.22430348866819522,-0.6061596736198689,-0.2561243800582254,-0.721368010760109
-0.42076384061759253,-0.5325955799985247,-0.5326878055050303,-0.41350510772244153,-0.5495821071860569,-0.5500595352077429,-0.7634784530822496,-0.7655555621342243,-0.778608468724302,-0.7645989125393082
-1.3444080015125768,-2.159043206254469,-2.159605366157107,-1.7355367573603628,-2.21434010019495,-2.1703043305828986,-1.9835912029037341,-1.978003581915623,-1.8440818686318312,-2.0279514813720394
-0.47782115697453525,-0.6503513738986761,-0.6502479460424345,-0.6806999795592257,-0.6709486698790729,-0.650116375169875,-0.9768092485549121,-0.9256339113680141,-1.3108781397086704,-1.044616570327552
-0.6669001352676103,-0.916535597547442,-0.9165921938630155,-0.8154505793812237,-0.9421316403687714,-0.9289844197898528,-1.5441458333333313,-1.5268541666666648,-1.0539458691903436,-1.5692187499999979
-0.14555293012442008,-0.11666903090201192,-0.1166926742697523,-0.16693600538772277,-0.11666205499620011,-0.11650890474957745,-0.17311339961021688,-0.30915579019794565,-0.24752501761006476,-0.3972591659731348
-0.6717981236727841,-0.9703689534309796,-0.9688166563891127,-0.8809224765034861,-1.019585178127072,-0.97109138628744,-1.5325656565656562,-1.4956767676767677,-1.3508556203881148,-1.3984242424242417
-0.6849508719385639,-0.7256738159974833,-0.7255422521850342,-0.9003960537788785,-0.7421056478786457,-0.7299376323318079,-0.847352549408489,-1.08710412154885,-1.1614344792814668,-1.300983807446237
-0.20475609207696518,-0.22445336595116133,-0.22684880374019423,-0.22849927123118274,-0.21552878292558844,-0.22553714235634995,-0.20512657871741452,-0.19326157040217395,-0.4658760860214571,-0.22752085625661453
-0.29605861652983306,-0.38194177132149465,-0.38236741004365293,-0.3554613984160491,-0.3907940731501254,-0.38187386884304414,-0.3173285602788921,-0.3065538792569653,-0.6837909250684269,-0.3421297705240636
-0.5646456779885339,-0.6679346904319878,-0.6690221616298386,-0.8195048647470774,-0.6761592922159296,-0.6892092604445129,-0.8897600000000003,-0.9163200000000002,-0.6151249903674831,-0.9694400000000002
-1.6752878461057465,-1.9977310968011917,-2.0194451379351395,-1.830717215028052,-1.9783302947413366,-2.088703781544943,-1.9198121018328347,-2.2900619801196163,-2.5321394211766286,-2.47960137144821
-1.0329101160465028,-1.2641706438322424,-1.2683840841095306,-1.2391834891991524,-1.2912047811249245,-1.32768829249159,-1.2179886575003018,-1.3856472008271135,-1.7605025320238892,-1.6547369038452315
-0.8099663699092808,-1.3145533092755717,-1.3148599950594744,-1.577115255444758,-1.3520685674241661,-1.3757775838363668,-1.8640865800865782,-1.8410909090909073,-1.020614002919078,-1.9115151515151496
-0.705233731333317,-1.0234252761907958,-1.0619967138964674,-0.6324242606016235,-1.021041006537807,-1.0317180981067657,-0.7090565492692362,-0.8495594060082017,-1.0686295535729307,-1.140726319213043
-1.536217722058033,-2.23590355740187,-2.23824541752576,-2.2034956760650437,-2.291717076067268,-2.320295539114066,-1.7875415980688834,-1.8015978206572112,-2.309111378715612,-1.9585667352300418
-0.5975750313061786,-0.8898559267154195,-0.8895530443958848,-0.9257376234543317,-0.9175938255164001,-0.8902802718756316,-1.2557278911564618,-1.2406712018140582,-1.3067134047104572,-1.2918639455782304
-2.320711749756018,-3.064451835708101,-3.068812451845434,-3.083445882222405,-3.1358956248058454,-3.0978312181653602,-2.5642279538486292,-2.6513595132656986,-2.600975644822588,-3.000542063081762
-2.316162829710038,-3.2666588974678765,-3.262830105859912,-3.187220681157705,-3.353022231839266,-3.3210166436543824,-2.6123871954790503,-2.7607019100802836,-2.6955316642079574,-2.937089920451523
-0.6109533093669942,-0.8619198500102333,-0.8619440194669665,-0.8381285356745053,-0.890259044983253,-0.8668664064929756,-1.2911111111111113,-1.2627350427350428,-1.0355333490511602,-1.325162393162393
-0.9462294415147317,-1.2110597740865408,-1.2179512014533287,-1.3225949499734813,-1.2700442525049178,-1.2472106350618997,-2.331669966996707,-2.3334961496149687,-0.9542841401285618,-2.3714807480748155
-0.5683192824269185,-0.7107609708976929,-0.7116540650699975,-0.7954511460691136,-0.7188776625409179,-0.7128327495145836,-1.0188550724637673,-1.0044202898550716,-1.0970290421406281,-1.0417101449275352
-0.7723294954483644,-1.2462846477702854,-1.2458410950832974,-1.2771252294162485,-1.294853451426419,-1.352147718739873,-2.0352054794520518,-2.033689497716892,-0.929555340366965,-2.029899543378992
