CAWPE(ConTie)_VS_CAWPE(ConTie)
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

CAWPE(ConTie)_VS_CAWPE(alpha=4)
Wins(64):,abalone,annealing,arrhythmia,audiology-std,balance-scale,breast-cancer,breast-cancer-wisc-diag,breast-cancer-wisc-prog,car,chess-krvk,chess-krvkp,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,energy-y1,fertility,heart-cleveland,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ionosphere,letter,low-res-spect,lymphography,magic,miniboone,molec-biol-promoter,molec-biol-splice,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_trisopterus_states_5b,optical,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,spect,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-shuttle,statlog-vehicle,thyroid,twonorm,wall-following,waveform,waveform-noise
Draws(57):,acute-inflammation,acute-nephritis,adult,balloons,bank,blood,breast-cancer-wisc,breast-tissue,cardiotocography-3clases,cardiotocography-10clases,congressional-voting,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y2,flags,glass,haberman-survival,hayes-roth,heart-hungarian,ilpd-indian-liver,image-segmentation,iris,led-display,lenses,libras,lung-cancer,mammographic,monks-1,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,ozone,page-blocks,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,seeds,semeion,soybean,spambase,spectf,statlog-image,statlog-landsat,steel-plates,synthetic-control,teaching,tic-tac-toe,titanic,trains,vertebral-column-2clases,vertebral-column-3clases,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

CAWPE(ConTie)_VS_CAWPE(RandTie)
Wins(77):,abalone,adult,annealing,arrhythmia,audiology-std,balance-scale,breast-cancer,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-10clases,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,echocardiogram,energy-y1,fertility,flags,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ionosphere,letter,libras,low-res-spect,lung-cancer,lymphography,magic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-TYPE,planning,plant-margin,post-operative,primary-tumor,ringnorm,spect,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,teaching,thyroid,twonorm,vertebral-column-3clases,wall-following,waveform,waveform-noise
