ES-A_VS_ES-A
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

ES-A_VS_CAWPE-A
Wins(78):,abalone,adult,annealing,arrhythmia,balance-scale,blood,breast-cancer,breast-cancer-wisc-diag,breast-cancer-wisc-prog,car,cardiotocography-3clases,cardiotocography-10clases,congressional-voting,conn-bench-vowel-deterding,connect-4,contrac,cylinder-bands,dermatology,echocardiogram,energy-y1,energy-y2,fertility,flags,haberman-survival,heart-cleveland,heart-hungarian,hepatitis,hill-valley,horse-colic,image-segmentation,ionosphere,letter,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_trisopterus_states_5b,optical,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,planning,plant-margin,post-operative,ringnorm,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,thyroid,vertebral-column-2clases,vertebral-column-3clases,wall-following,wine-quality-red,wine-quality-white,yeast,zoo
Draws(3):,acute-inflammation,acute-nephritis,mushroom
Losses(40):,audiology-std,balloons,bank,breast-cancer-wisc,breast-tissue,chess-krvk,chess-krvkp,conn-bench-sonar-mines-rocks,credit-approval,ecoli,glass,hayes-roth,heart-switzerland,heart-va,ilpd-indian-liver,iris,led-display,lenses,libras,low-res-spect,lung-cancer,musk-1,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,ozone,pittsburg-bridges-MATERIAL,pittsburg-bridges-TYPE,plant-shape,plant-texture,primary-tumor,seeds,semeion,teaching,tic-tac-toe,titanic,trains,twonorm,waveform,waveform-noise,wine

ES-A_VS_SMM5-A
Wins(51):,abalone,adult,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,connect-4,contrac,credit-approval,cylinder-bands,echocardiogram,fertility,haberman-survival,heart-hungarian,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,ionosphere,magic,mammographic,miniboone,molec-biol-promoter,monks-1,monks-2,monks-3,musk-1,musk-2,oocytes_merluccius_nucleus_4d,oocytes_trisopterus_nucleus_2f,ozone,parkinsons,pima,pittsburg-bridges-T-OR-D,planning,ringnorm,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,tic-tac-toe,titanic,twonorm,vertebral-column-2clases
Draws(3):,acute-inflammation,acute-nephritis,mushroom
