CAWPE-S_VS_CAWPE-S
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

CAWPE-S_VS_PB-S
Wins(65):,abalone,acute-nephritis,adult,arrhythmia,balance-scale,bank,breast-cancer-wisc,breast-cancer-wisc-diag,breast-tissue,cardiotocography-3clases,chess-krvkp,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,dermatology,echocardiogram,energy-y1,flags,glass,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,hill-valley,horse-colic,ilpd-indian-liver,iris,led-display,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,musk-1,nursery,oocytes_merluccius_nucleus_4d,oocytes_trisopterus_nucleus_2f,ozone,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spect,spectf,statlog-image,statlog-landsat,statlog-vehicle,teaching,trains,twonorm,vertebral-column-3clases,waveform,waveform-noise,wine
Draws(1):,acute-inflammation
Losses(55):,annealing,audiology-std,balloons,blood,breast-cancer,breast-cancer-wisc-prog,car,cardiotocography-10clases,chess-krvk,congressional-voting,connect-4,contrac,credit-approval,cylinder-bands,ecoli,energy-y2,fertility,haberman-survival,heart-va,hepatitis,image-segmentation,ionosphere,lenses,letter,libras,monks-1,monks-2,monks-3,mushroom,musk-2,oocytes_merluccius_states_2f,oocytes_trisopterus_states_5b,optical,page-blocks,parkinsons,pendigits,pima,plant-margin,plant-shape,spambase,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-shuttle,steel-plates,synthetic-control,thyroid,tic-tac-toe,titanic,vertebral-column-2clases,wall-following,wine-quality-red,wine-quality-white,yeast,zoo

PB-S_VS_CAWPE-S
Wins(55):,annealing,audiology-std,balloons,blood,breast-cancer,breast-cancer-wisc-prog,car,cardiotocography-10clases,chess-krvk,congressional-voting,connect-4,contrac,credit-approval,cylinder-bands,ecoli,energy-y2,fertility,haberman-survival,heart-va,hepatitis,image-segmentation,ionosphere,lenses,letter,libras,monks-1,monks-2,monks-3,mushroom,musk-2,oocytes_merluccius_states_2f,oocytes_trisopterus_states_5b,optical,page-blocks,parkinsons,pendigits,pima,plant-margin,plant-shape,spambase,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-shuttle,steel-plates,synthetic-control,thyroid,tic-tac-toe,titanic,vertebral-column-2clases,wall-following,wine-quality-red,wine-quality-white,yeast,zoo
Draws(1):,acute-inflammation
