TRAINACC:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_pb,CAWPE_eq
energy-y1,0.9551784160139253,0.9548302872062664,0.9548302872062663,0.9550043516100958,0.9551784160139252,0.9553524804177546,0.9553524804177546,0.9550043516100959,0.9550043516100957,0.954917319408181,0.9548302872062661,0.9544821583986075,0.9539599651871192,0.9535248041775457,0.9530896431679722,0.948999129677981,0.9525674499564841
energy-y2,0.9187989556135769,0.9187119234116623,0.9186248912097476,0.9188859878154917,0.9188859878154918,0.9183637946040035,0.9179286335944298,0.9178416013925151,0.9173194081810269,0.9174064403829416,0.9171453437771976,0.9169712793733681,0.916710182767624,0.9167101827676241,0.9167972149695388,0.9141862489120974,0.9167972149695387
fertility,0.8693333333333332,0.8699999999999998,0.8693333333333332,0.8693333333333332,0.8686666666666665,0.8686666666666665,0.8693333333333332,0.8706666666666665,0.8699999999999998,0.8713333333333331,0.8693333333333331,0.8679999999999998,0.8653333333333332,0.8613333333333331,0.8573333333333332,0.8333333333333335,0.8513333333333332
flags,0.6600694444444445,0.6600694444444445,0.6597222222222222,0.6583333333333334,0.6572916666666668,0.6583333333333335,0.6569444444444447,0.6548611111111112,0.6520833333333333,0.6513888888888888,0.6506944444444444,0.6489583333333332,0.6413194444444446,0.6350694444444444,0.625,0.6302083333333333,0.6048611111111111
glass,0.7355555555555557,0.7339682539682542,0.7323809523809525,0.7317460317460319,0.7333333333333336,0.7307936507936509,0.7282539682539684,0.7260317460317463,0.724761904761905,0.724761904761905,0.7225396825396827,0.7212698412698414,0.717777777777778,0.7165079365079366,0.7130158730158732,0.7073015873015875,0.7120634920634923
haberman-survival,0.7598684210526316,0.7594298245614035,0.7585526315789475,0.7567982456140352,0.7572368421052632,0.7572368421052632,0.7563596491228071,0.7543859649122807,0.7524122807017544,0.7519736842105262,0.7510964912280701,0.7489035087719298,0.7467105263157894,0.7451754385964912,0.7418859649122805,0.6881578947368421,0.7381578947368419
hayes-roth,0.7725738396624474,0.7725738396624473,0.7717299578059073,0.7700421940928271,0.7704641350210971,0.7717299578059074,0.7713080168776372,0.7704641350210972,0.7700421940928271,0.7683544303797469,0.7696202531645571,0.767932489451477,0.7662447257383966,0.7611814345991562,0.7540084388185656,0.7607594936708861,0.7459915611814346
heart-cleveland,0.6097777777777778,0.6082222222222223,0.6075555555555555,0.6057777777777777,0.6037777777777776,0.6013333333333332,0.599111111111111,0.5957777777777779,0.5948888888888888,0.5922222222222222,0.5904444444444444,0.5882222222222223,0.5864444444444443,0.5864444444444443,0.5855555555555554,0.5722222222222222,0.5826666666666667
heart-hungarian,0.821768707482993,0.8210884353741493,0.8206349206349205,0.8204081632653057,0.8201814058956914,0.8188208616780044,0.8183673469387753,0.8174603174603174,0.8170068027210884,0.8156462585034014,0.8151927437641723,0.814285714285714,0.8126984126984126,0.8124716553287981,0.8117913832199547,0.7931972789115646,0.8113378684807255
heart-switzerland,0.49289617486338794,0.4912568306010929,0.4901639344262296,0.4863387978142077,0.4825136612021858,0.4781420765027322,0.47213114754098373,0.46229508196721325,0.4530054644808743,0.4502732240437159,0.44754098360655725,0.4431693989071038,0.4295081967213115,0.4213114754098361,0.4092896174863388,0.3770491803278688,0.3939890710382513
heart-va,0.38282828282828274,0.3777777777777777,0.3774410774410774,0.3777777777777777,0.3764309764309764,0.37407407407407406,0.372053872053872,0.3737373737373737,0.36936026936026933,0.368013468013468,0.36464646464646466,0.35959595959595964,0.35723905723905724,0.3525252525252525,0.34511784511784516,0.3074074074074074,0.3387205387205388
hepatitis,0.8281385281385282,0.8281385281385282,0.8272727272727274,0.8255411255411256,0.8246753246753247,0.8233766233766234,0.8233766233766234,0.8203463203463205,0.8212121212121211,0.8194805194805195,0.8190476190476189,0.8181818181818181,0.816017316017316,0.8142857142857144,0.8134199134199134,0.7961038961038961,0.812987012987013
hill-valley,0.6475247524752478,0.6463696369636963,0.6440594059405941,0.6420792079207919,0.638888888888889,0.6356435643564357,0.6316831683168317,0.627887788778878,0.6223872387238724,0.6154565456545655,0.6095709570957095,0.6037953795379539,0.5973047304730473,0.5897139713971399,0.5838833883388338,0.5484048404840484,0.5777777777777778
horse-colic,0.8476449275362319,0.8476449275362319,0.8467391304347827,0.8472826086956522,0.8465579710144926,0.8463768115942027,0.8465579710144927,0.8456521739130434,0.8452898550724637,0.8456521739130435,0.8451086956521741,0.8449275362318841,0.8449275362318841,0.8447463768115941,0.8443840579710145,0.8253623188405796,0.8438405797101449
ilpd-indian-liver,0.7203894616265752,0.7195876288659796,0.7191294387170678,0.7191294387170678,0.7183276059564719,0.71786941580756,0.7175257731958762,0.7164948453608246,0.7158075601374569,0.7154639175257731,0.7153493699885451,0.7154639175257732,0.7147766323024055,0.7139747995418099,0.7132875143184422,0.699885452462772,0.7131729667812142
image-segmentation,0.9654834054834055,0.9654834054834055,0.9652813852813854,0.9651370851370852,0.965108225108225,0.9649350649350649,0.9648773448773448,0.9647619047619048,0.9645021645021645,0.9640981240981239,0.964011544011544,0.9638383838383839,0.9634632034632031,0.9631168831168831,0.9627994227994228,0.9628571428571426,0.9623376623376623
ionosphere,0.9278095238095239,0.9278095238095239,0.9278095238095238,0.9270476190476189,0.9266666666666666,0.9266666666666665,0.9262857142857143,0.9264761904761903,0.9262857142857143,0.9266666666666664,0.9266666666666664,0.9249523809523811,0.9236190476190476,0.9226666666666667,0.9222857142857143,0.917142857142857,0.9215238095238099
iris,0.9604444444444444,0.9604444444444444,0.9604444444444444,0.9604444444444444,0.9599999999999999,0.9599999999999999,0.9599999999999999,0.9599999999999999,0.9595555555555555,0.9595555555555555,0.9604444444444444,0.9591111111111112,0.9591111111111112,0.9586666666666669,0.9586666666666669,0.9493333333333335,0.9586666666666669
led-display,0.7174059139784945,0.7173387096774193,0.7171370967741935,0.7169354838709676,0.7164650537634408,0.7163978494623656,0.7161290322580646,0.7160618279569892,0.7160618279569894,0.7158602150537635,0.7157930107526881,0.7159946236559139,0.715994623655914,0.7159274193548387,0.7158602150537635,0.7064516129032259,0.7158602150537635
lenses,0.7606060606060605,0.7515151515151515,0.7454545454545455,0.7363636363636364,0.7272727272727273,0.7272727272727273,0.7212121212121212,0.7121212121212122,0.7121212121212122,0.7060606060606059,0.6999999999999998,0.6999999999999998,0.6787878787878789,0.6696969696969698,0.6636363636363637,0.5515151515151514,0.6515151515151515
letter,0.9554187931552088,0.9553821008038962,0.9553220587744753,0.955285366423163,0.9551719537009239,0.9550185129590715,0.9548083658560992,0.9544647920210813,0.9542980086060241,0.9538176723706595,0.9533840354915107,0.9528103005437139,0.9521231528736782,0.9513426064912103,0.9503819340204809,0.948370526034891,0.9492377997931881
libras,0.794814814814815,0.795925925925926,0.7951851851851853,0.7957407407407409,0.7948148148148152,0.7940740740740745,0.7942592592592594,0.7933333333333337,0.7918518518518521,0.7911111111111114,0.7911111111111111,0.788888888888889,0.7874074074074076,0.7851851851851853,0.7824074074074077,0.6527777777777778,0.77962962962963
low-res-spect,0.896717171717172,0.8965909090909094,0.8964646464646469,0.8965909090909094,0.896338383838384,0.8964646464646467,0.896338383838384,0.8959595959595962,0.8958333333333336,0.8955808080808083,0.8955808080808084,0.8955808080808084,0.8953282828282831,0.8948232323232327,0.8945707070707074,0.8688131313131312,0.894065656565657
lung-cancer,0.7022222222222223,0.7066666666666668,0.7066666666666668,0.7022222222222223,0.6933333333333335,0.6955555555555557,0.6866666666666669,0.6733333333333335,0.6577777777777779,0.62,0.5688888888888889,0.5288888888888889,0.5022222222222223,0.46222222222222226,0.44,0.4088888888888889,0.4000000000000001
lymphography,0.8429223744292239,0.8406392694063929,0.8406392694063929,0.8401826484018267,0.8388127853881281,0.8360730593607308,0.8360730593607308,0.8337899543378998,0.8315068493150688,0.8283105022831051,0.8269406392694064,0.8223744292237444,0.8200913242009134,0.81689497716895,0.8155251141552513,0.8068493150684932,0.8150684931506851
magic,0.8768629512793551,0.876740273396425,0.8766105853487557,0.8764808973010865,0.876323168594462,0.8761479144759904,0.8760112162635821,0.8758955485453906,0.8757903960743081,0.8756291622853136,0.8755029793200142,0.8753592709428674,0.8752330879775674,0.8751349456712234,0.8750438135296181,0.8800350508236944,0.8748615492464074
mammographic,0.8240277777777777,0.8238194444444443,0.8234027777777777,0.8230555555555555,0.8229166666666666,0.8227083333333334,0.8226388888888887,0.8221527777777776,0.8217361111111111,0.8216666666666669,0.821527777777778,0.8209722222222224,0.820902777777778,0.8204166666666666,0.8200694444444445,0.7837500000000001,0.8197222222222222
miniboone,0.9394529788357348,0.939282803585982,0.9391116031841225,0.9389419405104232,0.93875843828328,0.9386185050206824,0.9384232135443096,0.9382371484368994,0.9380367311999919,0.9378204241054267,0.9375938654897921,0.9373201498772379,0.9370372078957214,0.9367686180437022,0.9364877263663995,0.9437350391864391,0.9362093975693646
molec-biol-promoter,0.8666666666666669,0.8641025641025643,0.8634615384615387,0.8634615384615387,0.8647435897435899,0.8634615384615387,0.8596153846153848,0.8589743589743591,0.8551282051282051,0.8544871794871794,0.8512820512820513,0.8474358974358973,0.8448717948717948,0.8435897435897435,0.8384615384615385,0.8346153846153848,0.8352564102564102
molec-biol-splice,0.9587202007528229,0.9586574654956084,0.9584065244667502,0.9579673776662484,0.9576746131325804,0.957319113341698,0.956608113759933,0.9555834378920953,0.9546005855290672,0.9527603513174404,0.9502300292764535,0.9468005018820576,0.9423044751150148,0.9370138017565872,0.9301338352153912,0.9588665830196568,0.9207444583856127
monks-1,0.9823741007194245,0.9823741007194245,0.9826139088729017,0.9826139088729017,0.9827338129496402,0.9827338129496402,0.9827338129496401,0.9824940047961629,0.9826139088729016,0.9821342925659472,0.9812949640287767,0.9810551558752995,0.9805755395683452,0.9800959232613908,0.978537170263789,0.9744604316546763,0.9772182254196641
monks-2,0.7192222222222223,0.7195555555555557,0.7184444444444446,0.7189999999999999,0.7168888888888889,0.7164444444444444,0.7160000000000001,0.7150000000000001,0.7137777777777778,0.7119999999999997,0.7098888888888889,0.7086666666666666,0.7074444444444448,0.704777777777778,0.7031111111111112,0.6742222222222224,0.7000000000000001
monks-3,0.9700361010830322,0.9696750902527073,0.9693140794223823,0.9688327316486158,0.9684717208182909,0.9682310469314076,0.968110709987966,0.9682310469314076,0.9678700361010827,0.9667870036101079,0.9663056558363414,0.9663056558363414,0.9663056558363414,0.966425992779783,0.9663056558363414,0.9696750902527073,0.9661853188928997
mushroom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
musk-1,0.8800281293952179,0.879606188466948,0.8797468354430379,0.8797468354430379,0.8791842475386777,0.8780590717299579,0.8786216596343177,0.8779184247538679,0.8770745428973277,0.8773558368495078,0.8767932489451479,0.8772151898734177,0.8758087201125174,0.8752461322081574,0.8745428973277074,0.8368495077355836,0.8734177215189872
musk-2,0.9839195472003234,0.9838993329290477,0.98379826157267,0.983767940165757,0.9837275116232059,0.9836971902162924,0.9836466545381037,0.9836163331311905,0.983545583181726,0.9834849403678994,0.9834445118253483,0.9833939761471594,0.9833535476046086,0.9833333333333332,0.9832423691125933,0.9798160501313923,0.9831615120274912
nursery,0.9980298353909464,0.9979526748971191,0.9979115226337446,0.9978703703703701,0.9978292181069958,0.9978086419753086,0.9977674897119341,0.9977057613168725,0.9976337448559672,0.99755658436214,0.9974845679012349,0.9973713991769552,0.9972942386831279,0.9972119341563789,0.9971244855967082,0.9992386831275718,0.9970370370370374
oocytes_merluccius_nucleus_4d,0.834575163398693,0.8345098039215688,0.8342483660130718,0.8337908496732026,0.8338562091503268,0.8338562091503269,0.8337254901960784,0.833921568627451,0.8332026143790849,0.8336601307189544,0.8330065359477126,0.8326797385620918,0.8326797385620918,0.8319607843137256,0.8320915032679739,0.7998039215686278,0.8316993464052288
oocytes_merluccius_states_2f,0.9249019607843135,0.9249019607843135,0.9248366013071894,0.9247712418300652,0.925032679738562,0.925032679738562,0.925032679738562,0.9249019607843135,0.9248366013071894,0.9247712418300652,0.9246405228758169,0.9248366013071895,0.9248366013071895,0.9248366013071895,0.9247712418300653,0.9216993464052287,0.924705882352941
oocytes_trisopterus_nucleus_2f,0.8268131868131872,0.8271062271062275,0.8269597069597073,0.8269597069597073,0.8273260073260077,0.8271794871794875,0.8271794871794875,0.8271062271062275,0.8271062271062275,0.8268864468864473,0.8268864468864473,0.8270329670329674,0.8270329670329674,0.8267399267399271,0.8264468864468868,0.8002930402930407,0.8267399267399271
oocytes_trisopterus_states_5b,0.9314285714285716,0.9314285714285716,0.9312087912087913,0.9312087912087913,0.9310622710622712,0.9309157509157511,0.9306959706959709,0.9307692307692309,0.9307692307692309,0.9306227106227107,0.9306227106227107,0.9305494505494507,0.9304029304029305,0.9305494505494507,0.9304761904761906,0.9183150183150185,0.9301831501831503
optical,0.9839563308413432,0.9839681974605433,0.983885131126142,0.9838495312685414,0.983825798030141,0.9838376646493414,0.9838020647917407,0.9837901981725407,0.9837664649341402,0.9837427316957399,0.9837308650765395,0.9837308650765395,0.9837189984573393,0.9837071318381392,0.9837427316957399,0.9756852972588109,0.9837901981725405
ozone,0.971218100499868,0.9711917916337801,0.9711654827676922,0.9711917916337801,0.9712181004998681,0.9712181004998681,0.9711917916337802,0.9711917916337802,0.9711917916337802,0.9711917916337802,0.971244409365956,0.9712970270981317,0.9712970270981317,0.9712970270981317,0.9712970270981317,0.970007892659826,0.9712970270981317
page-blocks,0.9727970749542963,0.9727117611212676,0.9726386349786716,0.9726386349786716,0.9725655088360755,0.9725167580743449,0.9725289457647776,0.9724801950030468,0.9724801950030468,0.972407068860451,0.9723095673369895,0.9722730042656917,0.9722120658135284,0.9720780012187691,0.9720658135283363,0.9717611212675199,0.9720170627666056
parkinsons,0.9024054982817872,0.9020618556701033,0.9020618556701033,0.9010309278350518,0.8996563573883164,0.8986254295532649,0.8975945017182133,0.8969072164948456,0.8972508591065295,0.8962199312714779,0.8955326460481102,0.8948453608247425,0.8941580756013748,0.8934707903780071,0.8920962199312717,0.8886597938144333,0.8920962199312717
pendigits,0.9924449299107958,0.9924388615814069,0.9924509982401847,0.9924388615814067,0.9924145882638512,0.9924024516050732,0.9924145882638509,0.9923903149462955,0.9923842466169064,0.9923903149462955,0.9923963832756844,0.9923963832756844,0.9923842466169064,0.9923842466169064,0.9923721099581286,0.9891801686995569,0.9923599732993507
pima,0.7689236111111111,0.7688368055555556,0.7684027777777779,0.7678819444444446,0.767361111111111,0.7670138888888888,0.7664930555555555,0.7660590277777779,0.7657986111111109,0.765972222222222,0.765798611111111,0.7650173611111113,0.763888888888889,0.7638888888888888,0.7633680555555556,0.7371527777777781,0.7631944444444446
pittsburg-bridges-MATERIAL,0.8666666666666669,0.8666666666666669,0.8647435897435899,0.8634615384615386,0.8653846153846154,0.8641025641025641,0.8615384615384617,0.8602564102564103,0.8602564102564103,0.8602564102564103,0.8596153846153847,0.858974358974359,0.8564102564102565,0.8544871794871797,0.8532051282051284,0.8346153846153849,0.8532051282051284
pittsburg-bridges-REL-L,0.7219999999999998,0.7246666666666663,0.723333333333333,0.7239999999999998,0.7219999999999996,0.719333333333333,0.7179999999999996,0.7166666666666663,0.715333333333333,0.7106666666666664,0.7026666666666664,0.6966666666666665,0.6926666666666665,0.6873333333333332,0.6833333333333333,0.6173333333333332,0.678
pittsburg-bridges-SPAN,0.7007246376811594,0.6978260869565217,0.6971014492753622,0.6978260869565217,0.6978260869565217,0.694927536231884,0.6905797101449275,0.6869565217391302,0.6833333333333332,0.676086956521739,0.6717391304347823,0.6637681159420289,0.6601449275362319,0.6579710144927537,0.6543478260869566,0.605072463768116,0.6500000000000001
pittsburg-bridges-T-OR-D,0.8869281045751637,0.8862745098039219,0.88562091503268,0.8836601307189546,0.8836601307189546,0.8830065359477127,0.8816993464052291,0.8803921568627454,0.8797385620915036,0.8784313725490199,0.8790849673202618,0.8790849673202618,0.8784313725490199,0.8784313725490199,0.8784313725490199,0.8732026143790853,0.8790849673202618
pittsburg-bridges-TYPE,0.5954248366013072,0.5941176470588235,0.5941176470588235,0.5901960784313726,0.5941176470588235,0.5928104575163399,0.5928104575163399,0.592156862745098,0.5901960784313726,0.5849673202614379,0.5843137254901961,0.5823529411764706,0.5790849673202615,0.5751633986928105,0.569281045751634,0.5326797385620915,0.5666666666666667
planning,0.7124542124542124,0.7117216117216116,0.7113553113553113,0.7091575091575091,0.7062271062271062,0.7051282051282051,0.7043956043956043,0.704029304029304,0.7021978021978021,0.6981684981684981,0.6967032967032967,0.6934065934065934,0.6908424908424908,0.6897435897435897,0.6864468864468865,0.6234432234432233,0.6791208791208792
plant-margin,0.8139583333333335,0.8122083333333333,0.810375,0.8093333333333333,0.8074166666666667,0.8056249999999999,0.804083333333333,0.8026666666666666,0.8009999999999998,0.8002083333333334,0.7992916666666665,0.7976249999999998,0.7962916666666667,0.7964166666666667,0.7955000000000001,0.673125,0.7949166666666667
plant-shape,0.6337916666666666,0.6337916666666669,0.6339583333333333,0.6339999999999999,0.6340416666666667,0.6339583333333334,0.6344166666666669,0.6340833333333332,0.6342083333333333,0.6340833333333333,0.6333749999999999,0.6330000000000002,0.6315416666666668,0.6321666666666668,0.6315833333333334,0.47091666666666665,0.6308333333333334
plant-texture,0.7966207759699625,0.7957446808510639,0.7949520233625367,0.7940342094284522,0.7936587400917812,0.7923237380058405,0.7910304547350856,0.7906967042136004,0.789904046725073,0.789445139758031,0.7889445139758029,0.7884856070087607,0.7884021693783895,0.7879432624113475,0.7875677930746766,0.6897788902795162,0.7869002920317064
