TRAINACC:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_pb,CAWPE_eq
abalone,0.6564606292924453,0.6562689666187509,0.6563807698450728,0.6561891071713785,0.6562689666187509,0.6561571633924292,0.6560453601661076,0.6561092477240058,0.6557578661555662,0.6556780067081935,0.6554064845871267,0.6552148219134324,0.6550551030186872,0.654927327902891,0.654927327902891,0.6328541766490974,0.6548634403449928
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983050847457626,1.0
acute-nephritis,1.0,1.0,1.0,1.0,0.9994444444444445,0.9994444444444445,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.9983333333333333,0.99,0.9983333333333333
adult,0.8654122304122305,0.8653180453180453,0.8652279552279549,0.8651337701337702,0.8650245700245701,0.8649344799344801,0.8648416598416598,0.8647597597597599,0.8646505596505597,0.8645358995358994,0.8644403494403493,0.8643188643188644,0.8642219492219492,0.8641209391209389,0.8640171990171991,0.8697188097188098,0.8639079989079989
annealing,0.9444196428571427,0.9442708333333332,0.944047619047619,0.9438244047619048,0.9440476190476192,0.944717261904762,0.9449404761904764,0.944345238095238,0.9441220238095237,0.9438988095238096,0.9431547619047619,0.9419642857142858,0.9412202380952384,0.9411458333333335,0.9395089285714288,0.9418154761904761,0.9380952380952383
arrhythmia,0.7306306306306305,0.7303303303303301,0.7306306306306305,0.7294294294294293,0.728978978978979,0.727177177177177,0.7262762762762763,0.7256756756756756,0.7244744744744746,0.723873873873874,0.7237237237237238,0.7232732732732733,0.7201201201201202,0.7192192192192192,0.7175675675675675,0.7171171171171172,0.7142642642642643
audiology-std,0.7406250000000001,0.7395833333333335,0.7395833333333335,0.7399305555555556,0.7395833333333335,0.738541666666667,0.7368055555555558,0.7395833333333335,0.7378472222222222,0.7371527777777779,0.7371527777777779,0.7368055555555556,0.735763888888889,0.7350694444444446,0.7340277777777778,0.6684027777777779,0.7329861111111112
balance-scale,0.9323717948717947,0.9318376068376065,0.9309829059829059,0.9300213675213674,0.9289529914529915,0.9270299145299146,0.9255341880341882,0.9239316239316242,0.9231837606837608,0.9216880341880344,0.920726495726496,0.9201923076923078,0.9190170940170942,0.9178418803418804,0.9170940170940173,0.8738247863247864,0.9149572649572654
balloons,0.7952380952380953,0.7952380952380953,0.7809523809523811,0.7809523809523811,0.7809523809523811,0.7761904761904763,0.7619047619047621,0.7571428571428573,0.7476190476190477,0.7238095238095238,0.7142857142857142,0.7095238095238094,0.6857142857142857,0.6523809523809524,0.6476190476190476,0.4714285714285715,0.6238095238095238
bank,0.8976401179941004,0.8976401179941004,0.8976253687315635,0.8975368731563421,0.8974483775811208,0.8974483775811208,0.8974631268436577,0.8974631268436577,0.8973893805309733,0.8973893805309733,0.8973893805309733,0.8973598820058996,0.8973303834808258,0.897315634218289,0.8972271386430678,0.8941150442477878,0.8971976401179941
blood,0.7855614973262033,0.785650623885918,0.7864527629233512,0.7867201426024957,0.7862745098039217,0.7864527629233512,0.7862745098039217,0.7858288770053475,0.7855614973262033,0.7852941176470589,0.7840463458110517,0.783957219251337,0.7840463458110516,0.783511586452763,0.7829768270944742,0.7355614973262031,0.7827094474153298
breast-cancer,0.7413145539906104,0.7410798122065727,0.7396713615023474,0.7387323943661971,0.7373239436619718,0.7368544600938967,0.7373239436619718,0.7356807511737089,0.7349765258215961,0.7328638497652581,0.7300469483568076,0.7293427230046948,0.7274647887323944,0.7246478873239437,0.7232394366197185,0.6694835680751174,0.724413145539906
breast-cancer-wisc,0.9691499522445082,0.9691499522445082,0.9690544412607448,0.9689589302769817,0.9689589302769817,0.9690544412607448,0.9691499522445078,0.9691499522445078,0.9691499522445078,0.9691499522445078,0.9690544412607448,0.9689589302769817,0.9690544412607448,0.9689589302769815,0.9689589302769815,0.9619866284622732,0.9689589302769815
breast-cancer-wisc-diag,0.9769953051643194,0.9768779342723006,0.9768779342723006,0.9765258215962443,0.9764084507042256,0.976173708920188,0.9760563380281692,0.9760563380281692,0.9760563380281692,0.9758215962441316,0.9758215962441316,0.9758215962441317,0.9758215962441317,0.9753521126760565,0.9753521126760565,0.9639671361502345,0.9752347417840377
breast-cancer-wisc-prog,0.8020408163265308,0.801360544217687,0.8006802721088434,0.8003401360544218,0.7996598639455782,0.7996598639455783,0.7993197278911566,0.7996598639455784,0.7996598639455784,0.798979591836735,0.7972789115646262,0.7959183673469389,0.7945578231292517,0.7948979591836736,0.7948979591836733,0.7639455782312924,0.7935374149659864
breast-tissue,0.682051282051282,0.6826923076923076,0.6814102564102563,0.6775641025641025,0.6769230769230768,0.675,0.6743589743589744,0.6743589743589744,0.6737179487179487,0.671153846153846,0.6685897435897434,0.6660256410256409,0.6647435897435897,0.6653846153846154,0.6628205128205127,0.6525641025641025,0.6608974358974358
car,0.9777134028582465,0.9775975280030901,0.9773271533410582,0.9772499034376207,0.9771340285824643,0.9770954036307455,0.9769022788721515,0.9767091541135574,0.9763615295480883,0.9761684047894943,0.9758980301274627,0.975627655465431,0.9754731556585557,0.9754731556585557,0.9754731556585556,0.9770954036307454,0.9755890305137123
cardiotocography-3clases,0.9418392969240426,0.9415881983678595,0.9411801632140616,0.9408349026993095,0.9406151914626489,0.9402385436283738,0.9399246704331449,0.9396421845574388,0.9394538606403012,0.9391399874450722,0.938857501569366,0.9387005649717513,0.9388888888888886,0.938480853735091,0.9380728185812931,0.944538606403013,0.9375078468298808
cardiotocography-10clases,0.8644339622641508,0.8643396226415095,0.8640880503144653,0.8635220125786164,0.8631446540880502,0.8626729559748427,0.8622955974842768,0.8618867924528303,0.8616037735849055,0.86125786163522,0.8611006289308176,0.8603773584905657,0.8592767295597483,0.8588993710691822,0.8578930817610064,0.8630188679245283,0.8565723270440253
chess-krvk,0.7928907586993728,0.7932187678265828,0.7935515307092603,0.7938224947708689,0.7940364137668756,0.7942360714964823,0.7944285985928882,0.7946139950560943,0.7947684921087659,0.7948231602966345,0.794780376497433,0.7947756227419662,0.7938177410154023,0.7918211637193384,0.7867869366799773,0.7224234645369843,0.7760291880585661
chess-krvkp,0.99227718639115,0.99227718639115,0.99227718639115,0.9922563139219369,0.9922563139219369,0.9922563139219369,0.99227718639115,0.9922354414527239,0.9922980588603634,0.9923189313295764,0.9922771863911504,0.9922563139219371,0.9922771863911503,0.9922771863911503,0.9922145689835109,0.9896472552702985,0.9922145689835109
congressional-voting,0.6113671274961597,0.6109062980030723,0.6099846390168971,0.6093701996927804,0.6089093701996929,0.6084485407066054,0.6087557603686637,0.6095238095238096,0.6089093701996929,0.6081413210445469,0.6070660522273424,0.6064516129032257,0.6062980030721966,0.6059907834101382,0.60568356374808,0.602457757296467,0.60568356374808
conn-bench-sonar-mines-rocks,0.8359223300970873,0.8336569579288025,0.8339805825242717,0.8333333333333333,0.8333333333333333,0.8320388349514563,0.8310679611650484,0.8300970873786409,0.8288025889967638,0.8258899676375403,0.8262135922330097,0.8255663430420712,0.8245954692556634,0.824271844660194,0.8229773462783171,0.805177993527508,0.8220064724919093
conn-bench-vowel-deterding,0.962020202020202,0.9618181818181818,0.9617508417508418,0.9614814814814814,0.9612794612794612,0.9611447811447811,0.9608080808080808,0.9605387205387205,0.9602693602693603,0.9598653198653199,0.9591919191919193,0.9587205387205388,0.9585858585858585,0.9582491582491582,0.958114478114478,0.9202693602693603,0.9576430976430977
connect-4,0.8734235301083545,0.8733060966704167,0.8731639923421554,0.873079124479444,0.8730031381372493,0.8728630074802141,0.8727643239189214,0.8726281406043381,0.8725570884402074,0.8724228787968499,0.8722699192768467,0.8721514990032961,0.8719857106203249,0.8718445931276767,0.8717015019638026,0.8731176110683482,0.8715890027039298
contrac,0.5512471655328799,0.5508390022675739,0.5496598639455783,0.5492517006802723,0.5479818594104308,0.5462131519274377,0.5453061224489796,0.5433560090702948,0.541859410430839,0.5412244897959184,0.5406802721088434,0.5405895691609979,0.5396371882086171,0.5383219954648527,0.5369160997732426,0.5130612244897959,0.536190476190476
credit-approval,0.8655038759689924,0.8655038759689923,0.8651162790697675,0.864922480620155,0.8647286821705426,0.8644379844961241,0.8645348837209302,0.8644379844961239,0.8641472868217053,0.8641472868217053,0.863953488372093,0.863953488372093,0.8636627906976742,0.8637596899224803,0.8635658914728682,0.8564922480620154,0.8634689922480618
cylinder-bands,0.77109375,0.771484375,0.770703125,0.7701822916666666,0.7694010416666667,0.76953125,0.769921875,0.7690104166666667,0.7684895833333333,0.7670572916666667,0.765625,0.7658854166666667,0.7651041666666667,0.7631510416666667,0.7627604166666667,0.7548177083333333,0.7619791666666667
dermatology,0.9761904761904757,0.975457875457875,0.9750915750915747,0.9749084249084246,0.9745421245421241,0.9745421245421241,0.9745421245421241,0.974358974358974,0.974358974358974,0.9739926739926735,0.9739926739926735,0.9739926739926735,0.9738095238095233,0.9738095238095232,0.973443223443223,0.9666666666666665,0.9728937728937723
echocardiogram,0.848717948717949,0.846666666666667,0.8461538461538465,0.8451282051282054,0.8446153846153849,0.8435897435897439,0.8415384615384619,0.8394871794871798,0.8384615384615388,0.8358974358974363,0.8348717948717952,0.8348717948717952,0.8328205128205132,0.8323076923076926,0.8312820512820517,0.7692307692307695,0.8297435897435901
ecoli,0.8660642570281125,0.8662650602409638,0.8660642570281124,0.8656626506024097,0.8652610441767067,0.8648594377510039,0.8646586345381525,0.8644578313253011,0.8644578313253011,0.8642570281124498,0.863855421686747,0.863855421686747,0.8636546184738955,0.8632530120481928,0.8630522088353414,0.8375502008032126,0.8628514056224899
