TRAINAUROCSTDDEVS:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
Adiac,0.0030793207828247507,0.003245434819103033,0.0032089476530840397
ArrowHead,0.04450449150682543,0.042430095191287924,0.04065289183863781
Beef,0.04385001693709881,0.0396864763829093,0.037977366983617644
BeetleFly,0.07451374940623183,0.08054127234979679,0.08996103882096475
BirdChicken,0.08739920302643027,0.07942610242940565,0.0786736310963531
Car,0.01963401939658162,0.018594478689896134,0.01907808391393728
CBF,0.017066024271659486,0.01726479831979961,0.018581127569746583
ChlorineConcentration,0.008796350995581953,0.008876435708750402,0.009111952645940584
CinCECGtorso,0.021214847284565182,0.021850405861553155,0.02174820254706089
Coffee,0.003809387668892066,0.00388328773013973,0.00388328773013973
Computers,0.028122278601619914,0.0291712285827986,0.03123541032822228
CricketX,0.0075927406204971785,0.00832801116383572,0.009043866447612096
CricketY,0.005166695029734987,0.005579142422992904,0.005892918058099074
CricketZ,0.007750394198677724,0.007976244444367392,0.008587126056782076
DiatomSizeReduction,0.011903898200030598,0.012147850387769181,0.011396996197631492
DistalPhalanxOutlineAgeGroup,0.008029763919836968,0.00810597002511585,0.008228967815223373
DistalPhalanxOutlineCorrect,0.009279568260474394,0.008782340793241387,0.008892768086638818
DistalPhalanxTW,0.0043760464472217715,0.004431095422320092,0.004445305518133591
Earthquakes,0.040932427680510294,0.03260384374747057,0.03614416846523414
ECG200,0.02068280176597735,0.021108032624361023,0.021542282728410876
ECG5000,0.0029703906158596973,0.0028865071048871614,0.002908868165322339
ECGFiveDays,0.038802502266645965,0.035415543913697056,0.036562234040522695
ElectricDevices,0.0019672160243452514,0.0017892283688559375,0.001488744373855182
FaceAll,0.0020641911481281707,0.0020485458504947538,0.0020467698020065622
FaceFour,0.025588802534913486,0.018154085667480266,0.01869731451656711
FacesUCR,0.00795628833075041,0.007894458650684995,0.008117618436387196
FiftyWords,0.005209059306405853,0.005265736117204762,0.005267407835238922
Fish,0.005725764693388025,0.005800022392825553,0.005788048864473844
FordA,0.003719500091955702,0.003589690182567922,0.0036262275438406688
FordB,0.007045021589260881,0.007034184552363891,0.007090576094585378
GunPoint,0.012574545153001089,0.01256045181145652,0.012670430108483465
Ham,0.026431832438221507,0.025637198428035038,0.02636120188879441
HandOutlines,0.003655636104475809,0.003678192206101139,0.0038580736725391906
Haptics,0.020076138999600795,0.02062337714286206,0.02057567434375004
Herring,0.08082527165716175,0.08567884437748757,0.08428538925931643
InlineSkate,0.041154241831088574,0.040721085580331676,0.04028732821784409
