TRAINTESTDIFFSBALACCRANKS:,Logistic_cvFold9,C4.5_cvFold9,SVML_cvFold1,NN_cvFold9,MLP_cvFold9,C4.5_cvFold4,SVML_cvFold9,Logistic_cvFold4,NN_cvFold1,Logistic_cvFold1,C4.5_cvFold3,Logistic_cvFold5,C4.5_cvFold1,SVML_cvFold4,SVML_cvFold5,MLP_cvFold5,MLP_cvFold1,C4.5_cvFold6,C4.5_cvFold5,MLP_cvFold4,MLP_cvFold3,C4.5_cvFold7,SVML_cvFold3,NN_cvFold7,NN_cvFold5,Logistic_cvFold2,C4.5_cvFold0,NN_cvFold0,NN_cvFold8,MLP_cvFold0,NN_cvFold4,NN_cvFold6,Logistic_cvFold7,SVML_cvFold7,Logistic_cvFold6,Logistic_cvFold3,Logistic_cvFold8,MLP_cvFold7,MLP_cvFold8,NN_cvFold3,Logistic_cvFold0,SVML_cvFold2,SVML_cvFold0,C4.5_cvFold2,SVML_cvFold6,C4.5_cvFold8,MLP_cvFold6,SVML_cvFold8,MLP_cvFold2,NN_cvFold2,Logistic,MLP,SVML,NN,C4.5
image-segmentation,21.0,53.0,49.0,19.0,10.0,31.0,29.0,27.0,33.0,30.0,45.0,13.0,44.0,4.0,17.0,11.0,43.0,51.0,34.0,14.0,24.0,28.0,25.0,36.0,26.0,18.0,8.0,16.0,38.0,20.0,39.0,50.0,22.0,2.0,37.0,47.0,48.0,3.0,40.0,54.0,32.0,1.0,12.0,6.0,9.0,55.0,15.0,41.0,5.0,7.0,35.0,52.0,23.0,42.0,46.0
ionosphere,1.0,11.0,25.0,47.0,22.0,43.0,4.0,32.0,53.0,42.0,18.0,21.0,40.0,35.0,2.0,10.0,38.0,36.0,12.0,14.0,7.0,13.0,39.0,51.0,48.0,30.0,37.0,54.0,45.0,44.0,55.0,46.0,28.0,5.0,15.0,34.0,27.0,41.0,9.0,52.0,23.0,19.0,31.0,16.0,29.0,3.0,17.0,6.0,8.0,49.0,33.0,24.0,20.0,50.0,26.0
iris,21.0,45.0,49.0,7.0,17.0,9.0,14.0,46.0,27.0,26.0,22.0,2.0,4.0,48.0,6.0,8.0,5.0,33.0,10.0,42.0,44.0,3.0,24.0,30.0,23.0,55.0,16.0,29.0,18.0,39.0,47.0,20.0,1.0,28.0,34.0,37.0,12.0,11.0,25.0,31.0,32.0,52.0,50.0,51.0,15.0,13.0,40.0,41.0,54.0,53.0,35.0,38.0,43.0,36.0,19.0
libras,5.0,4.0,8.5,27.0,22.0,49.0,2.0,42.0,33.0,16.0,55.0,13.0,54.0,34.0,29.0,50.0,18.0,17.0,47.0,25.0,28.0,6.0,11.0,24.0,23.0,31.0,1.0,26.0,10.0,7.0,12.0,8.5,41.0,15.0,38.0,39.0,37.0,20.0,43.0,30.0,32.0,19.0,14.0,21.0,36.0,3.0,46.0,44.0,52.0,51.0,48.0,40.0,35.0,45.0,53.0
magic,5.0,2.0,33.0,37.0,19.0,38.0,23.0,30.0,26.0,35.0,28.0,10.0,52.0,36.0,9.0,22.0,49.0,46.0,32.0,42.0,7.0,39.0,14.0,21.0,13.0,45.0,54.0,43.0,20.0,48.0,24.0,15.0,12.0,17.0,3.0,8.0,44.0,29.0,41.0,6.0,50.0,55.0,53.0,18.0,4.0,11.0,40.0,51.0,16.0,27.0,25.0,1.0,31.0,34.0,47.0
miniboone,20.0,13.0,50.0,12.0,10.0,19.0,6.0,31.0,55.0,52.0,21.0,3.0,47.0,37.0,5.0,9.0,43.0,17.0,11.0,36.0,51.0,14.0,24.0,15.0,7.0,23.0,32.0,46.0,28.0,18.0,42.0,25.0,45.0,35.0,16.0,29.0,26.0,4.0,39.0,44.0,54.0,22.0,33.0,41.0,8.0,40.0,27.0,30.0,38.0,53.0,2.0,1.0,34.0,48.0,49.0
oocytes_merluccius_nucleus_4d,27.0,22.0,13.0,52.0,35.0,37.0,50.0,44.0,7.0,15.0,16.0,8.0,24.0,25.0,2.0,3.0,45.0,9.0,11.0,43.0,42.0,20.0,41.0,40.0,12.0,6.0,39.0,5.0,21.0,14.0,10.0,55.0,47.0,49.0,53.0,29.0,31.0,46.0,34.0,51.0,23.0,19.0,18.0,4.0,48.0,38.0,54.0,32.0,1.0,17.0,30.0,26.0,33.0,36.0,28.0
oocytes_trisopterus_states_5b,-6.0,-6.0,-6.0,-6.0,-6.0,39.0,-6.0,29.0,-6.0,-6.0,36.0,43.0,-6.0,33.0,32.0,38.0,-6.0,16.0,20.0,21.0,45.0,55.0,24.0,52.0,25.0,40.0,-6.0,-6.0,54.0,-6.0,34.0,18.0,50.0,44.0,22.0,42.0,28.0,48.0,51.0,30.0,-6.0,35.0,-6.0,27.0,26.0,23.0,17.0,19.0,53.0,46.0,41.0,49.0,31.0,47.0,37.0
optical,10.0,4.0,20.0,50.0,23.0,17.0,43.0,3.0,51.0,34.0,54.0,25.0,40.0,5.0,44.0,52.0,28.0,7.0,21.0,6.0,49.0,22.0,36.0,47.0,37.0,2.0,1.0,29.0,39.0,26.0,19.0,30.0,9.0,45.0,11.0,41.0,15.0,35.0,24.0,46.0,8.0,18.0,32.0,27.0,14.0,12.0,16.0,33.0,13.0,38.0,53.0,31.0,42.0,48.0,55.0
ozone,26.0,16.0,21.0,8.0,18.0,35.0,13.0,23.0,3.0,15.0,36.0,45.0,43.0,20.0,51.0,30.0,4.0,54.0,27.0,42.0,33.0,49.0,34.0,1.0,9.0,44.0,25.0,10.0,2.0,28.0,12.0,11.0,40.0,53.0,41.0,47.0,37.0,5.0,7.0,19.0,46.0,50.0,17.0,52.0,55.0,48.0,24.0,31.0,29.0,14.0,32.0,22.0,38.0,6.0,39.0
