TRAINTESTDIFFSBALACCSTDDEVS:,Logistic_cvFold9,C4.5_cvFold9,SVML_cvFold1,NN_cvFold9,MLP_cvFold9,C4.5_cvFold4,SVML_cvFold9,Logistic_cvFold4,NN_cvFold1,Logistic_cvFold1,C4.5_cvFold3,Logistic_cvFold5,C4.5_cvFold1,SVML_cvFold4,SVML_cvFold5,MLP_cvFold5,MLP_cvFold1,C4.5_cvFold6,C4.5_cvFold5,MLP_cvFold4,MLP_cvFold3,C4.5_cvFold7,SVML_cvFold3,NN_cvFold7,NN_cvFold5,Logistic_cvFold2,C4.5_cvFold0,NN_cvFold0,NN_cvFold8,MLP_cvFold0,NN_cvFold4,NN_cvFold6,Logistic_cvFold7,SVML_cvFold7,Logistic_cvFold6,Logistic_cvFold3,Logistic_cvFold8,MLP_cvFold7,MLP_cvFold8,NN_cvFold3,Logistic_cvFold0,SVML_cvFold2,SVML_cvFold0,C4.5_cvFold2,SVML_cvFold6,C4.5_cvFold8,MLP_cvFold6,SVML_cvFold8,MLP_cvFold2,NN_cvFold2,Logistic,MLP,SVML,NN,C4.5
bank,0.045697001028872745,0.04590886125269436,0.04407559863665616,0.04465045614156504,0.053203642640459396,0.049245644476178504,0.04620693473660104,0.05417849279117239,0.053760410116413485,0.04538691998270874,0.05329999214128114,0.03986078957461251,0.04317848518171873,0.04314111483080027,0.04368002472909338,0.05466369837418251,0.061836011981806764,0.0438257089265632,0.042430714507603357,0.04574334878322246,0.05104212972476844,0.04697813489285605,0.05954603130419035,0.04394187827364149,0.058334063076150765,0.05470387890810829,0.0532363033466295,0.05962200831118825,0.04449981880350996,0.044840958665607326,0.05653683209842054,0.04254059881590608,0.04871267072169657,0.053041673586663396,0.050703831742129245,0.05802232840908341,0.035503742268311364,0.041263761367086836,0.05208041937783096,0.03383890394963518,0.05389523785005357,0.05143848802839532,0.05311945687294098,0.04900654153177801,0.049447956423093554,0.04501134703578727,0.05049871663658476,0.031694845084191826,0.059191731413416895,0.05026321956221771,0.021632604780657278,0.025153128737203656,0.02282748027837525,0.02801698744012109,0.018885322889791903
blood,0.04795785125742268,0.07491844456346526,0.05952411697552758,0.08323879406930154,0.07378983840685661,0.06610141889705813,0.036165397667042576,0.06678962427383482,0.07651486002825718,0.05973590527303146,0.07060122406035463,0.06448344000641723,0.07871460042131742,0.06289755791192164,0.06073392601611681,0.10368398619215373,0.07730367794146992,0.06798699238159521,0.08621122185037039,0.08830206939784739,0.07860545085775938,0.07551921446267802,0.08671793139569155,0.08604439803348081,0.06466286405776293,0.07250704227871341,0.06812197377785562,0.06916329827536681,0.08160406694713582,0.08166921530636588,0.09578033445398978,0.07611376221253316,0.04937856334473534,0.05222611703459841,0.05008736152458385,0.08379677543150117,0.061726847569193576,0.08205028497037392,0.0978728202951802,0.07141993081862685,0.05583959507784758,0.06604000708452236,0.05337986567932128,0.07152652406819682,0.05897876164892638,0.07897219375431055,0.09996606991802816,0.05658673077508803,0.06543812242281723,0.06265525479947684,0.028250440851173432,0.04044125109691951,0.02887543923518736,0.03060409683654614,0.05511920265581281
breast-cancer-wisc-diag,0.036536219874716655,0.04754046543803375,0.04055234543100897,0.04047532653880273,0.043121918886774524,0.04320443232800288,0.03358660985464051,0.04351032817675429,0.0399973814659949,0.056357886330720836,0.04917868219756024,0.06166788172043632,0.050843210445266726,0.03726569346015677,0.046392507488411575,0.05358413437484082,0.042905243833042714,0.057743121561781324,0.05635497244157005,0.04625428837705975,0.04349017486961458,0.07453341188292739,0.03090642283835376,0.051634416298672846,0.044476033786125586,0.045124480012815486,0.07323380347982977,0.052514139988618896,0.03769713155691754,0.045368881996066604,0.03949113825933362,0.04975464688406353,0.05747710693074399,0.04025164881872598,0.05325824947093393,0.05759653786230907,0.04687171190823553,0.05176649294990365,0.04293824620811265,0.03594574196671185,0.05602827803147895,0.03156589686125458,0.04267218922033266,0.0596379322254425,0.04875667674808077,0.047204420522338385,0.062327037647527714,0.03722767728076396,0.05815601688340162,0.045307747365794425,0.025511364635044064,0.02093263353379644,0.014565595096997477,0.01959446530652172,0.02928128951157189
breast-tissue,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.21493987375794119,0.12514382699778662,NaN,0.161790459497205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18647457977206916,NaN,0.14230171969536629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.10667293145913632,0.0734641223186474,0.08504397838375927,0.08878026816574935,0.08807980407280985
cardiotocography-10clases,0.05966763694843209,0.0508053928545812,0.050211185745657146,0.05909413635518887,0.06793668416871987,0.060906128667257586,0.056633203098310034,0.07047336540659246,0.05989282179450041,0.05127565747117958,0.06949541832108351,0.04842212622612937,0.057896651636328,0.06344007370007045,0.056109491840461725,0.041849889965607255,0.058851138436708784,0.054354830775696715,0.06453728530063992,0.05446159309535801,0.06703856750168888,0.0523759302590691,0.0574811127587282,0.06837328859048514,0.054710652166084894,0.06061439882733973,0.06681997552106811,0.06334230958578754,0.07335325372463194,0.06515204370519138,0.06570757885717785,0.06149114395581754,0.06304563917400662,0.05886271482471744,0.05989240360936895,0.07199953125999914,0.06437695105516394,0.06382268075234236,0.049652425236040146,0.05478964685542786,0.06140088069373864,0.04773603323733794,0.05304289181149949,0.06398978380741231,0.06314154570975983,0.0685382556575359,0.07044067902139615,0.06256358295679101,0.05780408280616623,0.0578247926788644,0.025511837105243913,0.03634246750363015,0.022828469381904765,0.03521477494841248,0.02930775171276543
conn-bench-sonar-mines-rocks,0.13998619935173123,0.13139540324949664,0.11592210927098232,0.11327557498680148,0.11006651767100402,0.12929227259013262,0.12634345693613003,0.15960217797693324,0.12456475630822515,0.14227470771979675,0.16930243034654632,0.13554025786161997,0.10636345201275699,0.1486057802293245,0.13009781376951007,0.10552516493514254,0.09456277487905003,0.18338457778343048,0.11858241254801563,0.161728358109462,0.13027541822114075,0.16999842340322166,0.17221940577283706,0.12775837707773602,0.11788575855216908,0.1636391173378245,0.10915183401450809,0.10457865944675024,0.12366779723881717,0.1427927530131786,0.14044122697745667,0.12034522394408288,0.1844553107151871,0.16108105613132134,0.12584503302600522,0.14083055539856182,0.12015248567625153,0.19171517509591407,0.12308431552306354,0.09969150024380737,0.16507954726815627,0.1339722146147804,0.11113481582812389,0.12152976533078934,0.12903333752257196,0.15684226615688102,0.11873935775206577,0.11729305538074347,0.1262823735218964,0.11871461319602436,0.06030439885756132,0.06255704293649844,0.05354537074410377,0.054093899144314055,0.07138958641596542
conn-bench-vowel-deterding,0.07773713279494907,0.08002751269340351,0.05723824365462184,0.015000954794379922,0.043572250617173715,0.05171477022245628,0.05655391281867494,0.06583672778314739,0.016806058921519082,0.05710935493042561,0.05912832327985993,0.0563757390689146,0.05855127754272301,0.05377884729817401,0.06713559750611946,0.04856339966566563,0.049221674545343465,0.0420009093284625,0.056262143711631324,0.0423956215344039,0.0516778635457228,0.061975749530481725,0.06412329668402816,0.013966005051707876,0.02094816783364231,0.0730693286127602,0.06253795463430871,0.018658598049707528,0.017986456395171935,0.03922898000073283,0.01778156393403569,0.02094652323761508,0.049879511722124736,0.058533728914399855,0.06594256005097991,0.058275419921654095,0.05985579231342797,0.04524661861652181,0.03725764570373022,0.022220612546326374,0.05762982473836823,0.05897770884417919,0.060254057303761745,0.06747524456302739,0.05817148485324248,0.06165320845266585,0.043607616519363596,0.05662379509216425,0.043498611860863144,0.01260146176835495,0.02841157606169111,0.026091845296756913,0.02674704400329021,0.008803192450189616,0.029655688697876333
ecoli,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06716506140343166,0.05769069868921914,0.03764033393266277,0.061052132391340976,0.06821188083225552
glass,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07082342226919422,0.0827908562227807,0.08495205348211582,0.10480987558646929,0.07942724403085916
hill-valley,0.049067521032224885,0.004248013234776048,0.0496043600673256,0.06426278057473385,0.022084368920819625,0.022674535982740752,0.04236243680439099,0.043965930153676454,0.07379599291458307,0.04726279255040097,0.020333036209978044,0.04572856056190667,0.008651524551813393,0.054037202981929204,0.03620774271958035,0.02324079224515504,0.02467971189554256,0.019020395371572966,0.01050773257946903,0.029102194620732904,0.026117454123158176,0.0036454581660134667,0.04181242072119809,0.07758088470247503,0.06399263177577737,0.0474536947836104,0.01479201009392041,0.04445996946739378,0.06630913087375614,0.030670636701960345,0.06655405200182407,0.055721057474842066,0.06358257751057197,0.0524246209653983,0.0611324066456391,0.04347421899758223,0.0378189618701805,0.03066507909874758,0.028292069154470505,0.0762985488800806,0.05269077882313947,0.04349244053188368,0.03980524749042831,0.007113617438109268,0.03736637096329317,0.007668680124361679,0.02107581432172497,0.046075150739755426,0.03222263621084308,0.0662019138284525,0.030988336141636874,0.010472486236783745,0.04410292070557154,0.035357988159503674,0.007405166033912589
