TRAINNLLSTDDEVS:,CAWPE(RandTie),CAWPE(ConTie),CAWPE(alpha=4)
Adiac,0.0669419282380005,0.07062272301756296,0.06691654082001439
ArrowHead,0.15398604090367407,0.1627780566261164,0.15331590196620223
Beef,0.2050782816060119,0.25348423377978757,0.22557283493776428
BeetleFly,0.15308941027124415,0.15834107027211872,0.14659983950137292
BirdChicken,0.15829870280336455,0.17698054569734567,0.16198509513137566
Car,0.10942098073815204,0.12261873815163538,0.11644692920545276
CBF,0.11621326645947683,0.12606921227113838,0.11655420881815655
ChlorineConcentration,0.03472411478652686,0.05046787351290563,0.039207716775438765
CinCECGtorso,0.11085231634066135,0.12402958279181449,0.1136679256716322
Coffee,0.033141908910735735,0.037557794365704854,0.04267470422573395
Computers,0.037438062902048104,0.10247123506116017,0.03324791019803047
CricketX,0.07037758870449994,0.07578603258195238,0.0644221871596315
CricketY,0.05626653196725969,0.05558491939263834,0.052465429819336586
CricketZ,0.07583545446738561,0.0768799632989406,0.07340214589190382
DiatomSizeReduction,0.08072072882683756,0.07895875548199843,0.08869427108572316
DistalPhalanxOutlineAgeGroup,0.02863656532274667,0.0477834546026564,0.028002448967438854
DistalPhalanxOutlineCorrect,0.024001305947441518,0.02554711903001747,0.023932302801394568
DistalPhalanxTW,0.026438167388788607,0.031140832724600668,0.02554595925342988
Earthquakes,0.02121189418094029,0.0825148249707251,0.018095664829124378
ECG200,0.06367799135177617,0.06357744087578637,0.06361549750625203
ECG5000,0.025922250702800936,0.031279894405735406,0.025502307557875033
ECGFiveDays,0.10834366495702848,0.10826073959797393,0.10650861848218822
ElectricDevices,0.013314937123433585,0.021574897026577333,0.017690898384632732
FaceAll,0.041195468831474936,0.04161887356568624,0.0421005253790032
FaceFour,0.15604003245175688,0.161387647295113,0.15765876345762989
FacesUCR,0.09225143162232818,0.09578284142466213,0.09189284901376879
FiftyWords,0.07701404643894957,0.07993734716642423,0.07840091812406128
Fish,0.061503129621146325,0.06547250751305739,0.06450628583596854
FordA,0.006966827014190549,0.011144073977934958,0.007458977084021644
FordB,0.013996850225978462,0.017127592101934066,0.014903768835610303
GunPoint,0.05605785049797615,0.06671982510947913,0.057947740971517774
Ham,0.062008539213259946,0.06964913405947594,0.06389519369346609
HandOutlines,0.015992980489721403,0.01440906578486414,0.01478542290883487
Haptics,0.08232835823781644,0.07943505051342128,0.07848593180764903
Herring,0.07828395454296727,0.11090740174478113,0.06793621580878514
InlineSkate,0.1502074658772091,0.17325770192577908,0.14552716933901486
InsectWingbeatSound,0.09962912685645071,0.10332107078548117,0.09995245777528318
ItalyPowerDemand,0.060307413383934534,0.06475122643794905,0.06332233756195155
LargeKitchenAppliances,0.040920628560626754,0.040775878232099605,0.04038928744184462
Lightning2,0.0832913807861885,0.07491571567246806,0.07726513888335146
Lightning7,0.14218803193840754,0.13912150190932793,0.13955735232348304
Mallat,0.07237600275773902,0.09028654384130409,0.08110502352659373
Meat,0.034046172637007384,0.049160590443418244,0.03950363144670102
MedicalImages,0.046087819100581295,0.043163260864494166,0.04449487261082254
MiddlePhalanxOutlineAgeGroup,0.041602447525345546,0.07412128188492517,0.040123022260705556
MiddlePhalanxOutlineCorrect,0.01622839881871693,0.01923458217449602,0.016610151088579283
MiddlePhalanxTW,0.03033797334433345,0.03047501522861955,0.027399377777279875
MoteStrain,0.14767294700763106,0.15816268938758327,0.15401543973121629
NonInvasiveFetalECGThorax1,0.014814840354098767,0.023199978785603006,0.015809639213647857
NonInvasiveFetalECGThorax2,0.012179906255955757,0.015102761614502467,0.012798855892873509
OliveOil,0.08976788074696258,0.1024471965049418,0.09672103689085232
OSULeaf,0.07120893243366073,0.07185620303650078,0.07202774154579315
PhalangesOutlinesCorrect,0.010884440751567618,0.035197862861440575,0.010015058812619826
Phoneme,0.08295212470377514,0.1277809665449118,0.08529067598055759
Plane,0.04442251334460794,0.04304716795098425,0.04647583936742178
ProximalPhalanxOutlineAgeGroup,0.030732080164922702,0.07243414134406177,0.03078262983490389
ProximalPhalanxOutlineCorrect,0.019017670833584775,0.018802557661796726,0.01866318801827235
ProximalPhalanxTW,0.03243159178014872,0.030856244868556423,0.031041167368956343
RefrigerationDevices,0.04167434413564797,0.03884750539512647,0.03793668267095498
ScreenType,0.041447640489370045,0.05475888395131864,0.041719881774689715
ShapeletSim,0.13187208748718232,0.09455762762757064,0.12445386013842907
ShapesAll,0.0653773905114002,0.07726845674035956,0.06876535785013844
SmallKitchenAppliances,0.04459812220236579,0.06008542773214403,0.04705857730831423
SonyAIBORobotSurface1,0.09742543662701099,0.1344957299582837,0.10339359460913068
SonyAIBORobotSurface2,0.11419443239310724,0.11644804569732004,0.11553654380647967
StarlightCurves,0.01587163754042817,0.01586034330332304,0.01569815666378689
Strawberry,0.010645000095030988,0.013908599918915002,0.010432951678749958
SwedishLeaf,0.0343578388551306,0.040726711605450175,0.03392200715551805
Symbols,0.18354534148763677,0.1886858583471237,0.1889922883264019
SyntheticControl,0.03009095963515638,0.031009070239935713,0.03138099647646852
ToeSegmentation1,0.11340460986602614,0.07582239341639616,0.07246428845685049
ToeSegmentation2,0.11526249419634269,0.12369630561596877,0.11203068182519403
Trace,0.05671348568804969,0.05868027014922944,0.05082801542141519
TwoLeadECG,0.07706229682249197,0.0977613302860987,0.07886481458345891
TwoPatterns,0.020338332860822376,0.030968779539941496,0.023417871643411203
