TRAINTESTDIFFSBALACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_pb,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
conn-bench-sonar-mines-rocks,0.04596712732246735,0.04721472697947529,0.04849398543603999,0.048171543402047906,0.04879062201036669,0.049518135522102893,0.05062003278761874,0.04972851352353483,0.049091394238605944,0.05226181867304868,0.049418113720327984,0.048967518307140134,0.04938613572083732,0.048737385205657825,0.04919205481380256,0.04867744773684337,0.049899760700721295
conn-bench-vowel-deterding,0.018466748403852373,0.01830703684712991,0.018141782876381275,0.017918157428824404,0.017735931244002766,0.01785245495829381,0.017868739144748926,0.017999655073984846,0.017902442271136822,0.021008515690084793,0.01776830225719447,0.01791855013117562,0.018250062206551558,0.01843420426858687,0.018639189710073077,0.018505827216525748,0.01858626241995614
connect-4,0.006493013286025748,0.0064797422961873664,0.006534156370160975,0.006481900898872233,0.006532732464029187,0.006666655928197713,0.006699191327189572,0.006728165087519294,0.006871993474306897,0.004144214411703356,0.007015266113076289,0.00703556599581517,0.007129947476808279,0.007240626078657334,0.007318762430507513,0.007435474381987632,0.007470479586818357
contrac,0.026383387815532264,0.026794153526675375,0.02575004903816548,0.024678578809514597,0.02457980506664861,0.023511654164426934,0.022834768484135518,0.023064915581136478,0.02386471981873607,0.026665960130338312,0.02369830436847003,0.02389974024241401,0.024747694018002673,0.024825139250398615,0.02504264631481775,0.02448001473069122,0.023879462793583366
credit-approval,0.02738139977958559,0.027581769527380156,0.027674971550183367,0.02759517086304603,0.02762332349352629,0.02784267083738857,0.027281235145465137,0.026857517407047202,0.026494457696431332,0.02814375111005474,0.026176044763052627,0.0262964543572462,0.02685826502665358,0.02662877227430799,0.026843440085507233,0.026679545509903507,0.026588077496810025
cylinder-bands,0.04460657694803811,0.04512405953817345,0.046096937645204346,0.04740276142499955,0.04771539994076759,0.04715277822644209,0.04698281903187983,0.04510369447974931,0.04502175375978655,0.04453664254933129,0.04634293571457408,0.04877368955082899,0.05043189797015732,0.05186634349452055,0.05079068697442934,0.05198601629386091,0.05177710302811256
dermatology,0.021654733617026783,0.022299786797100332,0.022220011103726164,0.022675483238381793,0.022636923056936768,0.022636923056936768,0.02261601824046666,0.023556092060778074,0.023556092060778074,0.028469290319803414,0.02417114289416118,0.02417114289416118,0.02417114289416118,0.02411143247845124,0.024678739234376478,0.024500678409107496,0.024593536435350265
echocardiogram,0.0842770315638523,0.08382171214296233,0.08510946564914947,0.08710816494625757,0.08748243249494524,0.09095605333337352,0.08972597130245939,0.08939451205355908,0.09254551553285716,0.08800521884451935,0.09351542005368631,0.09188829846663811,0.09366681949271957,0.09470048650341052,0.0948938555622727,0.09516371797725529,0.0940096807876848
ecoli,0.07702445065623764,0.07562749353762804,0.07515528932735649,0.07518555489182209,0.0757406451888349,0.07586428467680024,0.07648368270762601,0.07640418399694181,0.07811213661031066,0.07278630593468312,0.07915713527490421,0.07936271971773912,0.07976183169445714,0.08012832878251143,0.07749111628021502,0.07357242665482892,0.07538648174487371
energy-y1,0.028340349690854267,0.028584929570889154,0.028368099512922778,0.028543981495343092,0.028219487101964102,0.02815290066814285,0.028131616699152085,0.02812107229406059,0.027871509140912923,0.028737837476682713,0.027672063348488027,0.027178396323942214,0.027269805856710908,0.027306944763197623,0.027590362268018333,0.02800074594259532,0.027733771930345392
energy-y2,0.0287661584703024,0.028957676990136218,0.028600946492254333,0.02810117514232326,0.028100932008890724,0.027698916392985308,0.028188954159206213,0.02874692524393008,0.029224364349430158,0.024748907349601543,0.02915304631517361,0.02908456863501393,0.02920868040086863,0.02948409240540666,0.029675724731245964,0.02985284720637582,0.030032234066122744
fertility,0.06051197089447713,0.06097298908336591,0.060670790058874005,0.06028752607740741,0.06083814085027534,0.06178163680988026,0.06183926894630185,0.06294940703340016,0.06788899541352333,0.10022122614242002,0.07025750246356323,0.07129407991059854,0.07970969592712983,0.07806789377687527,0.08178812240497094,0.08866080899676937,0.09213667069168957
flags,0.0498003314621695,0.04994134663745942,0.050905710935356625,0.05191437067736795,0.049656510295920754,0.0497860823256648,0.04854806752396759,0.049745523149255726,0.05105268162224215,0.05142635351812322,0.05447870781151827,0.056321708350401865,0.05621153624732541,0.05297760659361108,0.05114116418448499,0.04724874809692969,0.04300638965203219
glass,0.07433449206390069,0.07230826176488839,0.073730937537245,0.07438445839859141,0.07390151696356344,0.07790712752772222,0.0777989260635807,0.07900598258864583,0.07953295710780264,0.0759265759656827,0.08271015880664172,0.0795930376087506,0.08198067325634678,0.0783618608728969,0.0746998224138347,0.07732273538365132,0.08056217861534527
haberman-survival,0.045024841888359535,0.04650123500326107,0.04755441644059127,0.04832492643111126,0.04863972050121694,0.04832771580809129,0.049206952034402666,0.048569576806356776,0.05027728768282785,0.07007254563385085,0.046409542263530404,0.04708722491051957,0.04642230208635573,0.04796676614226042,0.05124376078289143,0.0552974486118503,0.0589590838085102
hayes-roth,0.061624203025334154,0.0613733030231601,0.06020605346651107,0.05993569222330476,0.05917163140486641,0.05991657692910642,0.06271641661288126,0.06410270760718717,0.06229042340138939,0.0666196973060846,0.0618242206989714,0.062422513821604415,0.06473500328092387,0.06596966004733988,0.06591285183023611,0.07411411061436256,0.08230334944049002
heart-cleveland,0.058076114355591194,0.05302357854616747,0.05255522558869988,0.05404300307453001,0.053434989954209096,0.05612714811379978,0.05475421154204097,0.05586785347485924,0.055168385319919556,0.05967640815162999,0.05572542963126304,0.053589630925734835,0.052727548291921104,0.05529292600941549,0.05621384907938319,0.057089706765458624,0.055916929300675336
heart-hungarian,0.05234270047169553,0.052126123498317765,0.050658364291910035,0.05020487021465654,0.051164015629688614,0.05015047012070466,0.04812648495433077,0.04602422531738163,0.04612738227189138,0.0549926873215532,0.044775474251087494,0.045290952627753886,0.044807427937505855,0.045366383672359165,0.045425500307829714,0.04610450096724946,0.046842757304281314
heart-switzerland,0.0716757378648273,0.07202028946420795,0.07336883066329399,0.07677549850790065,0.07762102259148707,0.07866056721109951,0.07654600700062325,0.07793956729046735,0.07866462105269424,0.07731260043784793,0.07532225891712248,0.076388389061409,0.07988691820237083,0.08129735578400607,0.08098020586549456,0.07741041458408025,0.07311376481459551
heart-va,0.0724607492115418,0.07859051417011056,0.07718329796244343,0.0793918606423244,0.07929713473805525,0.08617343501785191,0.084214601495686,0.08223198892452392,0.08516918208662151,0.06490581975067358,0.08346107643741855,0.0829508111444178,0.082446980603915,0.08440811133586962,0.08389951679767063,0.08552608728870045,0.08822443066966983
hepatitis,0.08205887235638343,0.08380876997942223,0.08658220273419655,0.08605450322950925,0.08881148336269905,0.09081277588403952,0.08916959245628724,0.0882423662224627,0.08870010107590036,0.08508538406940766,0.08780882006726907,0.08744933334866446,0.0863351232509707,0.08195864423795518,0.08076029532425963,0.07729342402013875,0.07664064125871403
hill-valley,0.02840506115751965,0.02868777755187037,0.031018874710231778,0.030541506452055587,0.03100272582649472,0.031201327972572176,0.030851933464475987,0.035047463840149624,0.036359670304656186,0.03388304347500648,0.03759560020075781,0.037900401661969445,0.03949985843827415,0.039058887358277034,0.03866941863754027,0.03714382050412038,0.03568256671563174
horse-colic,0.03449797531660976,0.03490556196410828,0.03542607277942305,0.03545817517243037,0.03304230888289557,0.03287364913568075,0.031469810175870826,0.03195315923719416,0.03070611028356983,0.039701333562476314,0.029772725997182878,0.028858157848902933,0.028619776800159306,0.028057194410401057,0.02890475351213461,0.029729696825082856,0.02933899269289498
ilpd-indian-liver,0.04073313866695552,0.04097486557022788,0.04079094139159432,0.041281584838743585,0.04036997624679345,0.04065912153225185,0.04114166162901219,0.0412526377416293,0.03880091040293125,0.040749470389189295,0.03927302746082618,0.03980274455001187,0.04008114547939725,0.040850772726041505,0.04195705119380229,0.042608149194477,0.041214516765387885
image-segmentation,0.0083776059563048,0.008337398659042983,0.007989518394853982,0.007852294688686087,0.007970136879880503,0.008075972934839975,0.008410094427802068,0.008726849768324768,0.008822881587619751,0.009056082395982814,0.008768808859939175,0.008460910244982928,0.008536945306859728,0.008364894555541905,0.008541838941716721,0.008173169028511982,0.008450567608618866
ionosphere,0.03116744821836864,0.030725408520395306,0.03078084762032549,0.030614626932685084,0.031351710890762184,0.03217681381482453,0.031917396714466625,0.030807385563807903,0.030978724465037067,0.03217855587265451,0.03133862478092422,0.03213302530568738,0.032601663041871114,0.03269487055900712,0.03399136761121211,0.03377005750613117,0.03439632209965593
iris,0.03260977139284703,0.03260977139284703,0.03185214885958531,0.03185214885958531,0.0316558763628715,0.0320440310100282,0.0320440310100282,0.0320440310100282,0.03204084239058552,0.03606436703456873,0.03261290438717551,0.03389111857497614,0.034438387800221126,0.034438387800221126,0.03478376920713784,0.03478376920713784,0.03495956430869667
led-display,0.03337786973872389,0.03365740017466734,0.03368371846221834,0.03362641155920304,0.033986605992134086,0.0340685779642614,0.0340906881348783,0.03409230800410197,0.03404437645244803,0.03563893920288217,0.03402901846155126,0.03407450674442618,0.03405056323664142,0.033817965718511686,0.03367940832953254,0.03370401166993668,0.03385461836108385
lenses,0.21428850167458732,0.21011750029019993,0.20854867412257572,0.21605748375666314,0.226295889631456,0.22480341600580392,0.23349122349586598,0.22610387661622056,0.24117223748410369,0.23962313084746859,0.24689118280044642,0.2600987657895291,0.2600987657895291,0.258289935120962,0.25062212992345156,0.26440684113951335,0.27171130097679425
letter,0.0031873952106403923,0.003119262625056087,0.0030940675329707667,0.003169446780704935,0.0032592983149819094,0.0031436479815418867,0.0031536020491185553,0.0030916130852739177,0.003152770356255258,0.0029363471246666053,0.0031615634970845238,0.003220231681164215,0.0032541593089737892,0.003283771990083938,0.00341114582582191,0.0035331896554876134,0.0034776328524458266
libras,0.048486750248123996,0.04908883124703563,0.049137588720149804,0.048508695251170256,0.05023748058767269,0.05005176829055018,0.05069441164120072,0.04999787138934321,0.05167960809646404,0.04761071507708993,0.05231310534170581,0.050571096372124494,0.051332465313632204,0.050613169422321434,0.05147360212403703,0.05256173433204636,0.05061141707685166
low-res-spect,0.09739907131721677,0.09806015353715157,0.09805161337883556,0.09561183457638926,0.09206990492340769,0.09220705840399564,0.09245926627492329,0.09506762501638606,0.09452906750514688,0.07536103934958262,0.09405019791760373,0.092850206030216,0.08985465372893572,0.09134191045757147,0.09238088914306222,0.09244771024012845,0.09216738453569559
lung-cancer,0.16457423849654026,0.16386287466603514,0.1655647297649458,0.1630765538145615,0.17082989119976502,0.17180894512802247,0.17415997556621066,0.18046652181286074,0.18432888201952374,0.24611281777196395,0.1995122624665434,0.21615056994448353,0.22181580665060197,0.2397307160350762,0.22847300716317998,0.22649360803338017,0.22019075792533238
lymphography,0.1363371887550481,0.13455707553363996,0.13546882848360176,0.13513344898145616,0.13557232097326638,0.14829515240304922,0.1648117202323732,0.17130958435963084,0.1726719870345842,0.13668187446435412,0.18420882512997575,0.18451389713215202,0.18626832444092997,0.17939488225334624,0.18454156013364625,0.18743406760125175,0.19194934439626943
magic,0.004973486442072845,0.005004941956412861,0.004959819051677857,0.005004431697070603,0.0050015179369673896,0.004964643951538438,0.00509239098063285,0.005082469273487251,0.005111083992010403,0.005633014364923568,0.005311888778579884,0.005305531990589078,0.005294438374659967,0.005260126448166731,0.005294369677032288,0.0052539083532477885,0.005283121425901029
mammographic,0.027905094231325776,0.027536467591658363,0.02733201391531005,0.027075242779084584,0.026473334070227176,0.026318868608610047,0.026215539283368033,0.026483880262555905,0.02658069677344208,0.030611488441885024,0.027433491765583667,0.027928724101957424,0.027480290834899102,0.027548080590945295,0.027490688822531067,0.027423892698287582,0.027187763843856277
miniboone,0.0018069467629416704,0.0018564331906092608,0.0019035615913039132,0.0019343654654888432,0.0019768581727466657,0.002072529199561481,0.002095636396330365,0.0020953923236174937,0.002168075826978814,0.0014252460211000586,0.002225296331931706,0.002221897754966112,0.0022847577132973584,0.0023131557579949866,0.0023571450899374877,0.0023742799537038273,0.0024315059196162066
molec-biol-promoter,0.06092164914000673,0.06110336847465613,0.06126565461375345,0.062088769419854896,0.05862946674733461,0.06088998354769075,0.05994604092462563,0.06137764630659995,0.06042622974154605,0.08009896931652824,0.06446349958360675,0.060374098007057696,0.06165717298528578,0.0615346750316876,0.06522784930192596,0.06470931729093907,0.06570746494849551
molec-biol-splice,0.009118159787327943,0.009516309496554453,0.009573680824540349,0.009457887884739056,0.009638428674594442,0.009678729052449266,0.010194181140047259,0.01003955015370432,0.009538045265277233,0.008971962840148607,0.009237570433256542,0.009865507062128156,0.010325724116622697,0.009925752799843481,0.010590413189959291,0.011059532869930297,0.010672713137041797
monks-1,0.012066039480973829,0.012322169532901956,0.012115243638548991,0.012035802599395577,0.012146507253438249,0.012249536011625234,0.01262443440809939,0.012334233535725799,0.012869455985610337,0.01310592771939604,0.01282778467495762,0.013549508268081071,0.013230168005914957,0.013834643683819432,0.01455753258897926,0.014608525923597513,0.013702318896239275
monks-2,0.0648309200521643,0.06451555351096355,0.0645789477221606,0.06618162458474185,0.06667789139727662,0.0661264954517422,0.0657290594686602,0.06339163967961664,0.06203936375100817,0.055250056445661784,0.06122772549917946,0.05952277105947039,0.057521139240196376,0.05988308542694791,0.05658602990675111,0.05437501541728209,0.05390646117290482
monks-3,0.016266068052337934,0.015981322232255516,0.015841064439394446,0.01596989776461621,0.01576443774688457,0.01510323589622766,0.015238534444637655,0.015320667538485789,0.014445475557165565,0.013474239340434693,0.014575161736650424,0.015171713434884824,0.015335482861834003,0.015648406822202175,0.015999242962918395,0.015499841120347512,0.015447504842211567
mushroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
musk-1,0.032392381308728804,0.03273640276592602,0.03254997598092326,0.033454076707465995,0.03331981262590714,0.03314092008543144,0.03249597454248667,0.032956229390035036,0.033252942657867365,0.04058736477824568,0.03326627470935587,0.03224844309661375,0.031052490040759093,0.03135480739924768,0.030917908829590095,0.031259219192823394,0.031894001122933675
musk-2,0.010332377243620482,0.010272072150830086,0.01067047267344291,0.010816964309922805,0.010850589641686472,0.010884686760609982,0.010939149045550562,0.01101994813404242,0.010948336478009739,0.012539469141578621,0.010980157728048657,0.010840447081844671,0.010707812678589954,0.010775872401800933,0.010650593034873826,0.01068163379371014,0.010694233613493623
nursery,0.003130277271172409,0.003082435264236819,0.003123640175122846,0.003464900859849794,0.0034167427624851206,0.0034498286631114566,0.003267026859097102,0.003482656869999983,0.0036731545736130647,0.0024581596843238967,0.003918921736904562,0.004177536894430476,0.004257909035256002,0.004343890925668201,0.00454080141145058,0.004564841998006623,0.004610364847236823
oocytes_merluccius_nucleus_4d,0.032751639678167944,0.033166057477688506,0.03320007167842692,0.03341624895378325,0.033818683546132454,0.033126690731406214,0.032627844900338536,0.032552787653197864,0.03256648132386445,0.030449140199516958,0.03152318398013085,0.03133918557386993,0.031333426516511484,0.03144837909730901,0.032405677309778315,0.03254101617711955,0.03241939364269957
oocytes_merluccius_states_2f,0.035050327711478015,0.03495737471312579,0.03451761966169694,0.0343233727024951,0.034053338590858614,0.03388031621334026,0.03299815615188385,0.03287706998784038,0.033267932515763696,0.04046623921631664,0.033042384787806155,0.03328619427237986,0.033210881337940354,0.03341089328889652,0.033466932754124594,0.03345448879963609,0.033733566132842396
oocytes_trisopterus_nucleus_2f,0.023766268961077745,0.024126850388849562,0.02394277060200745,0.023595263002999203,0.024037435788323524,0.023903498907402353,0.02401975914019091,0.02330142452280367,0.022924040254276835,0.028461522354314886,0.022645674157023454,0.02284015135849724,0.022470471747853143,0.022541443083859202,0.02291784525130278,0.023367160306315582,0.023160316767820644
oocytes_trisopterus_states_5b,0.05661714109406281,0.05678040595158478,0.059138674606585374,0.05895130238010026,0.058542760641854125,0.05964134398119736,0.05978008996256334,0.06190581509123671,0.061716881446071,0.0785107595267246,0.06171539929890345,0.06171583859682858,0.06164200815543827,0.061583479908694845,0.061763645613841726,0.061748084093445885,0.06119409962315454
optical,0.002866117642385089,0.0028565968753249587,0.002875213703216574,0.0028893911142197463,0.0028356535858953904,0.002873983359978743,0.002913404227438994,0.002888028273747356,0.002929077942573964,0.0032116251349712786,0.0029527609320135198,0.0029227851087708628,0.002895756357821287,0.002914326664571723,0.0029019155453022184,0.002911269937991305,0.0029188870918237476
ozone,0.028846662734240917,0.029283210219695165,0.0292797471304914,0.029496367036607674,0.029273674733037203,0.02949160746960113,0.029486716835829246,0.029486716835829246,0.029878885233496733,0.032298812600499285,0.029234984289507143,0.02993686731401285,0.030978360801974955,0.030945542897339803,0.030945542897339803,0.030945542897339803,0.03117959204105109
page-blocks,0.032680985810727065,0.03325251455363985,0.03408503861181929,0.03522330042917126,0.0368881817438442,0.03725532037114824,0.03809867028275663,0.03769984810507933,0.037870291301283325,0.035787758645988016,0.03847143512872532,0.03921832254411359,0.03990956200805403,0.040365057913485936,0.04081789651905317,0.040452569418317916,0.04083086323714174
parkinsons,0.0708835479211325,0.07124707480195704,0.07161938977672636,0.07388945290868988,0.07499041493727854,0.07710241612922925,0.07662953628311621,0.0768726892197605,0.07699393134829702,0.08381821206785496,0.07829270463586853,0.07769390186518997,0.07768877144973294,0.07965530274308959,0.08167139135841557,0.0851140727126563,0.08560718844898273
pendigits,0.0014961767455335874,0.001488272608540673,0.001504883874385831,0.001515714988895502,0.0015049861857572703,0.001508680442138219,0.0014967126427246897,0.0015128755652010402,0.001520482321719688,0.0017546995074375646,0.0015394538126714788,0.0015313145933446958,0.001531705027517035,0.001526373273058967,0.0015183541139095014,0.0015081534706809308,0.001509577120114641
pima,0.0303850467218238,0.030255256545280957,0.03030459710607817,0.03040685568606396,0.03023789162882435,0.0308201676095214,0.030281429090745323,0.03048152738337698,0.03052430470383647,0.043488687200014954,0.03020489505764072,0.030719868676685334,0.03096947358023775,0.03109437695348767,0.03268593625497712,0.03283410909619649,0.03295413928377015
pittsburg-bridges-MATERIAL,0.13380631981362168,0.13336696361270628,0.13292726501282504,0.13386311542348392,0.13803292883427412,0.14094301136518494,0.14186763501901858,0.13951320533203573,0.13792027158958264,0.15155731079598617,0.13520476813805124,0.13485053073276973,0.1342879016078068,0.13619366193381544,0.1378760358681932,0.14178568260279423,0.14178568260279423
pittsburg-bridges-REL-L,0.09809335786856255,0.09965581105861289,0.10100668545958859,0.10702305308747008,0.10782427693350378,0.11153346749577304,0.10909987193214056,0.11089475133989271,0.10884009744669146,0.13057675112151257,0.10948691885579478,0.10863325917641818,0.10668170978830319,0.10946103102102255,0.11211508446723453,0.11653560558975089,0.11868379687704404
pittsburg-bridges-SPAN,0.09589518269288691,0.08843316863219296,0.08654970448809898,0.08164077925930169,0.0764654632687978,0.07714303585719151,0.07445147176542129,0.07645054402586311,0.07668915451436646,0.09060106596034054,0.07732436140508951,0.0793012506901886,0.08229157599550026,0.09039672079957034,0.09123393310420427,0.09297942202989441,0.09387161119493788
pittsburg-bridges-T-OR-D,0.1606912329799076,0.16245234044708912,0.16863118739542166,0.16815114067652673,0.16823056536851802,0.17030021482471175,0.16862903180896244,0.17010415083481928,0.17192753295303734,0.17312968259974976,0.17445353986662637,0.1715250029733058,0.1744313738350516,0.17711151242650794,0.18367967582214345,0.18344200428751073,0.1843606637559631
pittsburg-bridges-TYPE,0.07856162780954142,0.07805268227022716,0.07932977731189052,0.08087793513390132,0.08108131296421915,0.07644396327794023,0.08232641828877321,0.08231783857122409,0.07990398544071145,0.08647773941723116,0.08564585212616047,0.09445329236722606,0.09706988491559433,0.10092201426595686,0.09901094222428891,0.10566266873257073,0.10411202024032098
planning,0.03495632276316003,0.03660506285205334,0.03613215859100245,0.03723143418160896,0.040271514396591455,0.04535035947377335,0.04680792061564735,0.04709997672961585,0.04664507958655584,0.07132074721426232,0.045809205436542266,0.04517003326380655,0.044386474867842744,0.04310123098425406,0.043972934736288716,0.042240522194880586,0.04513859045761518
