TRAINBALACCRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_pb,CAWPE_eq
abalone,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
acute-inflammation,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
acute-nephritis,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,17.0,8.5
adult,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
annealing,9.0,4.0,5.0,7.0,6.0,1.0,2.0,3.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
arrhythmia,1.0,2.0,5.0,6.0,3.0,4.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
audiology-std,6.0,1.0,3.0,2.0,9.0,5.0,4.0,7.0,11.0,8.0,10.0,12.0,13.0,15.0,16.0,17.0,14.0
balance-scale,2.0,4.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,1.0,17.0
balloons,3.5,3.5,3.5,3.5,10.5,10.5,10.5,10.5,6.5,1.0,6.5,8.0,13.0,15.0,16.0,14.0,17.0
bank,15.0,11.0,16.0,14.0,13.0,10.0,9.0,12.0,8.0,5.0,1.0,6.0,2.0,3.0,4.0,17.0,7.0
blood,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0,11.0,12.0,14.0,13.0,15.0,17.0,16.0
breast-cancer,3.0,2.0,1.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
breast-cancer-wisc,6.0,6.0,3.5,1.5,1.5,3.5,6.0,8.0,10.0,9.0,11.5,13.0,11.5,14.5,14.5,17.0,16.0
breast-cancer-wisc-diag,2.0,3.0,4.0,6.0,5.0,7.5,7.5,9.0,10.0,11.0,15.5,15.5,17.0,13.5,12.0,1.0,13.5
breast-cancer-wisc-prog,1.0,4.0,7.0,5.5,5.5,3.0,2.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,16.0,14.0,17.0
breast-tissue,6.0,9.0,11.0,7.0,12.0,10.0,5.0,3.0,8.0,2.0,1.0,4.0,13.0,14.0,15.0,17.0,16.0
car,2.0,4.0,3.0,1.0,5.0,7.0,6.0,8.0,10.0,9.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
cardiotocography-3clases,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
cardiotocography-10clases,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
chess-krvk,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,4.0,3.0,2.0,1.0,5.0,17.0,16.0
chess-krvkp,1.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
congressional-voting,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,11.0,13.0,14.0,15.0,17.0,16.0
conn-bench-sonar-mines-rocks,7.0,3.0,6.0,2.0,5.0,1.0,4.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
conn-bench-vowel-deterding,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
connect-4,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
contrac,1.0,3.0,2.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0,11.0,12.0,13.0,15.0,14.0,17.0,16.0
credit-approval,2.0,5.0,9.0,3.0,4.0,8.0,6.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,1.0,17.0
cylinder-bands,7.0,5.0,3.0,1.0,4.0,2.0,6.0,8.0,10.0,9.0,11.0,12.0,13.0,15.0,14.0,17.0,16.0
dermatology,11.0,13.5,13.5,15.5,15.5,12.0,3.0,6.5,6.5,6.5,6.5,3.0,3.0,1.0,9.5,17.0,9.5
echocardiogram,1.0,2.0,3.0,5.0,6.0,7.0,8.0,10.0,13.0,12.0,10.0,10.0,14.0,15.0,16.0,4.0,17.0
ecoli,6.0,8.0,7.0,9.0,5.0,4.0,2.0,3.0,10.0,11.0,12.0,13.0,15.0,14.0,17.0,1.0,16.0
energy-y1,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,16.0
