TRAINBALACC:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_pb,CAWPE_eq
abalone,0.6512355883809594,0.6509218974323269,0.6505334535065407,0.6502253476169788,0.6497428166037641,0.6488324022678551,0.6479587973654652,0.6470011957542845,0.6463981626310208,0.6456162500948621,0.6446464230663557,0.6433270932439833,0.6424739254410923,0.6416752033571103,0.6400730763382864,0.6227639698101936,0.6386491318360449
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998,1.0
adult,0.7641682100529642,0.7640272226708876,0.7638964942823179,0.7637783945559894,0.763599565254767,0.7634731617841801,0.7633710501435509,0.7631946588388399,0.7630957897734926,0.7629886169638868,0.7629100609022217,0.76287102424502,0.7627629542686669,0.7626182856316238,0.7624392954146475,0.7419533765457851,0.7623736898467317
annealing,0.7869323561428826,0.7895089889225229,0.7889659176802035,0.788008795437367,0.7883562513788079,0.7904570806525694,0.790040053235542,0.789566542619174,0.7877608451142284,0.7846306784276708,0.7822264065647524,0.7812942674145683,0.7777478219357921,0.7756426383418867,0.7721487846600629,0.6507364732176764,0.7701918830264695
arrhythmia,0.38341974237056214,0.3821937224888045,0.3804733808996104,0.3800547339727668,0.38111380058921046,0.38103825864481605,0.37681845476927445,0.37356179885688073,0.37097492489295775,0.3682509130214048,0.3647805364034872,0.36157433641040193,0.3556397573282819,0.3521345394132279,0.34481954111462293,0.3164663915319654,0.33836903897559634
audiology-std,0.33865628913938095,0.33954480391678465,0.339384871256852,0.3393885310431205,0.33818482733941674,0.3391912685632493,0.33928386115584186,0.3385141267749964,0.3370121504904114,0.33848521446347524,0.3380391678459311,0.33538391157956376,0.33400335887050864,0.3327631792969958,0.33275927552497603,0.3071450007319572,0.3329342539729013
balance-scale,0.7239197530864199,0.722608024691358,0.7229166666666665,0.7212962962962963,0.7171296296296297,0.7138888888888889,0.7118055555555557,0.7077160493827162,0.7028549382716048,0.7020833333333333,0.698070987654321,0.6928240740740742,0.6863425925925923,0.6802469135802467,0.6722222222222223,0.8083333333333332,0.6648148148148147
balloons,0.6750000000000002,0.6750000000000002,0.6750000000000002,0.6750000000000002,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6722222222222224,0.676388888888889,0.6722222222222224,0.6680555555555557,0.6569444444444446,0.6472222222222223,0.6444444444444445,0.6500000000000001,0.6250000000000001
bank,0.6086320512820512,0.608821794871795,0.6086044871794871,0.608674358974359,0.608777564102564,0.6088557692307692,0.6088865384615386,0.6087891025641028,0.608948076923077,0.6091878205128205,0.6093858974358974,0.609176923076923,0.6092326923076923,0.6092076923076922,0.6092076923076921,0.6064801282051282,0.6091102564102563
blood,0.5908390827255404,0.5911433077074708,0.5905112031013863,0.5901366712661803,0.5898206189631382,0.5897503121098626,0.5893757802746566,0.5891182075037782,0.5886733688152966,0.5891063801826664,0.5884276233655299,0.5881115710624877,0.5876785596951178,0.5878658256127208,0.5873625073920756,0.5486884815033838,0.5872337210066365
breast-cancer,0.6165714285714284,0.6169682539682539,0.6173015873015871,0.6159444444444444,0.6140873015873015,0.6124603174603173,0.6107301587301586,0.6093333333333333,0.6098571428571428,0.6078333333333333,0.6064365079365078,0.6061666666666666,0.6041428571428572,0.6037460317460316,0.6012619047619048,0.5984999999999998,0.6005952380952381
breast-cancer-wisc,0.9638506792819019,0.9638506792819019,0.9639895681707907,0.9641284570596796,0.9641284570596796,0.9639895681707907,0.9638506792819019,0.9637778990781173,0.9633545608927704,0.9634206695778748,0.9631428918000969,0.9630040029112081,0.9631428918000969,0.9628651140223191,0.9628651140223191,0.9606368267831151,0.9625873362445413
breast-cancer-wisc-diag,0.9698943537559185,0.9698307540103174,0.9695498551339129,0.9694562221751114,0.9695198219207123,0.9687036251854994,0.9687036251854994,0.9686099922266979,0.9683891597766942,0.9680446611546887,0.9677001625326831,0.9677001625326831,0.967636562787082,0.9677301957458835,0.967823828704685,0.9700692530563212,0.9677301957458835
breast-cancer-wisc-prog,0.6574492753623188,0.6562222222222223,0.6552753623188406,0.656222222222222,0.656222222222222,0.6569468599033814,0.6572270531400967,0.654222222222222,0.6506570048309179,0.6497681159420289,0.6474299516908212,0.6467053140096617,0.6455942028985507,0.6423671497584541,0.6379710144927537,0.6444154589371982,0.6366956521739131
breast-tissue,0.6580838143338144,0.6570656966490299,0.6558156966490299,0.6580202821869487,0.6555776014109346,0.6567237854737853,0.6593496472663138,0.6605511463844796,0.6570983645983648,0.6614213564213565,0.6620937550104219,0.6603609507776175,0.6531473464806798,0.6496552829886164,0.64648709315376,0.6050849767516434,0.6421616963283631
car,0.9091285009182736,0.908745408631772,0.9089434789067138,0.9092033596324203,0.9081621656066007,0.9061993641292606,0.9064127530316536,0.9049942354696701,0.903995971580781,0.9041399540187977,0.9013641934046347,0.8985996537905798,0.8972975704572463,0.8946858077769677,0.8895408294171662,0.7010610787014532,0.885813832678388
cardiotocography-3clases,0.8411917565873345,0.8407289743422925,0.840265089094766,0.8396564789119634,0.8388594557557246,0.8382166691136289,0.8377116186085785,0.8365120016225565,0.8362480028592484,0.8358681119779755,0.8357046079580197,0.8351105362204,0.8347535923606924,0.8342619772983395,0.8337692592335019,0.7643049970956345,0.833377035912016
cardiotocography-10clases,0.7716267882618253,0.7709443330691563,0.7709703439806735,0.7705746903078856,0.7702915083746885,0.7691179586355479,0.768542251377095,0.7671781317621092,0.7667627911716859,0.7662902195176469,0.7657085069454223,0.7641786690075139,0.7626488178173898,0.7608613087539257,0.7595413871418177,0.6899852661810694,0.7585327480787953
chess-krvk,0.7114115182501867,0.7115057451352844,0.7116578637469284,0.7119022654407343,0.7121128875788448,0.7125150433157975,0.7130462953106326,0.7134454222990406,0.7147185934298449,0.715797886324104,0.7172122030457587,0.7192752452037645,0.7209354209356434,0.7221403554346915,0.7164261098623462,0.24501198145716882,0.6806297155812905
chess-krvkp,0.9909243509517418,0.9908388361394762,0.990798868113897,0.9906952288758769,0.990611573650647,0.9906134332376823,0.9905734652121027,0.9904623876259412,0.9902077027761801,0.99004039232572,0.9899404722617712,0.9896495385605016,0.9895477589095173,0.9893548856851611,0.9891476072091213,0.9493071597767658,0.9887911427083758
congressional-voting,0.517282790309106,0.5168859649122806,0.5167606516290726,0.5165413533834587,0.5165204678362573,0.5154553049289892,0.5152046783625731,0.5145050125313283,0.5129385964912282,0.5128341687552215,0.5117167919799499,0.5117376775271513,0.5108082706766918,0.5106307435254804,0.5095342522974103,0.5074143692564745,0.5084168755221387
conn-bench-sonar-mines-rocks,0.8343497474747473,0.8356502525252527,0.8353030303030304,0.8356944444444445,0.8354356060606061,0.837260101010101,0.83552398989899,0.834135101010101,0.8317550505050505,0.8284217171717173,0.8246085858585858,0.8217929292929291,0.8178914141414139,0.8124747474747475,0.8063194444444443,0.7499494949494949,0.8032007575757574
conn-bench-vowel-deterding,0.9834343434343434,0.9834343434343434,0.9834343434343434,0.9834343434343434,0.9834343434343434,0.9834343434343434,0.9834343434343434,0.9833670033670034,0.9821548821548821,0.9804040404040405,0.9768350168350171,0.9703703703703703,0.9635016835016834,0.9554882154882155,0.9473400673400677,0.7338047138047138,0.9373063973063972
connect-4,0.7130657660830945,0.7109509246347181,0.7087349512258984,0.7062766754821695,0.7035631660449517,0.7006444933235632,0.6975031437879979,0.6941259977367588,0.690590047361215,0.6866715845654395,0.682471049643539,0.677717322613884,0.6726467743081771,0.6668195410618811,0.6604798642840458,0.5000020039276982,0.6532646038786982
contrac,0.5122304563159177,0.5117058668042973,0.5119039297776429,0.5114716975390845,0.5104607564766372,0.5099659401103017,0.5099169903041666,0.5088100288418984,0.5091102380463949,0.5087567906194529,0.5081599935397892,0.5067997814495985,0.5053196742676129,0.5042984844753479,0.5044791379831802,0.4730743865516603,0.5038676800369956
credit-approval,0.8618320044713639,0.8610478048112788,0.860808267460562,0.8611139627462386,0.8610706178922993,0.8608749957225472,0.8610061709384159,0.8609194812305376,0.8603314740672301,0.8595906192610843,0.8594383419452714,0.8592860646294586,0.8592643922024888,0.8588725775359591,0.8587419726471158,0.8622894067458281,0.8579138578060659
cylinder-bands,0.7051495726495727,0.705863247863248,0.7063034188034188,0.7068504273504275,0.7061239316239316,0.7067777777777777,0.7052777777777778,0.7050384615384615,0.7037307692307692,0.7037905982905984,0.7026837606837607,0.7021239316239314,0.7004230769230768,0.6996965811965812,0.7001367521367521,0.6725811965811969,0.6993760683760682
dermatology,0.9684656084656087,0.9682341269841271,0.9682341269841271,0.9680026455026456,0.9680026455026456,0.9684656084656085,0.9688514109347444,0.9686662257495591,0.9686662257495591,0.9686662257495591,0.9686662257495591,0.9688514109347444,0.9688514109347444,0.9690365961199295,0.9684810405643739,0.963699464116131,0.9684810405643739
echocardiogram,0.783044733044733,0.7826659451659451,0.7811507936507935,0.779220779220779,0.7780844155844154,0.7773268398268397,0.776154401154401,0.7746392496392497,0.7738816738816738,0.7742604617604617,0.7746392496392497,0.7746392496392497,0.7727453102453102,0.7708513708513708,0.770508658008658,0.78015873015873,0.7686147186147185
ecoli,0.6145527788865446,0.6144431297637375,0.6144692859466875,0.6143596368238806,0.614637620515504,0.6152113095337924,0.6158582302739195,0.6157733886449602,0.6133614643325541,0.61072924947478,0.6099217159350483,0.6095669687730255,0.6092122216110029,0.6092370291048506,0.6085865766161628,0.625297248282902,0.6087562598740813
energy-y1,0.9214887436456066,0.9191793754538854,0.9164003873154201,0.9106790123456789,0.905671750181554,0.8984204793028322,0.8904538852578068,0.8839167271847009,0.8772924231420967,0.871837327523602,0.8674824497700315,0.8626555313483417,0.8596526264826918,0.8567901234567901,0.8545606390704429,0.7968954248366015,0.8526991043330913
energy-y2,0.880423377252576,0.8801821460083051,0.8802907000682269,0.8801743533550215,0.880166560701738,0.8804533480244424,0.8800453893636472,0.8803825573896709,0.8802740033297489,0.8801024512883391,0.8799861045751337,0.8788348758240068,0.8786129430792776,0.8784947397695848,0.8788493496986629,0.8145471281230919,0.8782728070248559
fertility,0.521212121212121,0.5208333333333331,0.5204545454545453,0.523232323232323,0.523232323232323,0.5228535353535352,0.5224747474747473,0.5237373737373736,0.5214646464646464,0.5203282828282828,0.5167929292929292,0.5212121212121211,0.5196969696969697,0.5209595959595958,0.5190656565656565,0.5310606060606059,0.5164141414141413
flags,0.35394943019943015,0.35498753561253554,0.35386345136345126,0.3554937423687423,0.35520299145299133,0.3550213675213674,0.3559081196581196,0.35741631054131046,0.35803164428164425,0.35925951363451364,0.35856837606837605,0.3557463369963369,0.34538105413105413,0.3367941086691087,0.3192824074074073,0.2738308913308914,0.3084877391127392
glass,0.6322883597883597,0.6325066137566135,0.6304225842383737,0.6320502645502646,0.632647591200223,0.6342428989139516,0.6342310637705374,0.6333667502088555,0.6362510442773602,0.6316663185742133,0.6303870788081315,0.6322389306599833,0.6289080339738233,0.6228860345307713,0.6224275967697018,0.5365142021720969,0.6201437621832357
haberman-survival,0.5795238095238096,0.5796428571428572,0.5796428571428572,0.5802083333333333,0.5792261904761904,0.5786607142857143,0.5780952380952382,0.5779464285714285,0.5772321428571429,0.5760714285714286,0.5751785714285715,0.5746130952380953,0.574047619047619,0.5734523809523808,0.574404761904762,0.5654166666666666,0.5758035714285714
hayes-roth,0.7398379629629631,0.7391435185185188,0.7394907407407411,0.7394907407407411,0.7394907407407411,0.7394907407407411,0.739490740740741,0.7416666666666668,0.741712962962963,0.7425,0.7411111111111112,0.7396296296296295,0.7352777777777778,0.7308796296296297,0.7162037037037039,0.30849537037037045,0.69875
heart-cleveland,0.31955647661051784,0.3204251022902387,0.32028287014896306,0.31681864073542704,0.31794852719769034,0.31920930974015627,0.31866889845369045,0.3164466762314682,0.31647147386506547,0.3163524452237987,0.3150643852843757,0.3116453229891775,0.31084666206139183,0.30776325344952793,0.3095222913013444,0.32323396567299006,0.30851887277042706
heart-hungarian,0.7811989830054863,0.7811989830054863,0.7816104643382843,0.7816104643382843,0.7804897631473302,0.7806269235915962,0.7793289174361032,0.7786598420982201,0.7776361568312591,0.7777733172755251,0.7764351665997591,0.775903251706142,0.7760002676301351,0.7751940318479861,0.774919710959454,0.7617456175565369,0.774250635621571
heart-switzerland,0.27269444444444446,0.2709444444444445,0.27155555555555555,0.27175,0.2696111111111111,0.2708055555555556,0.27013888888888893,0.2707222222222222,0.2706388888888889,0.2700833333333333,0.2692777777777778,0.2686944444444445,0.2659166666666667,0.2646944444444444,0.26097222222222227,0.2311388888888889,0.2530277777777778
heart-va,0.3015460317460317,0.30028253968253965,0.301336507936508,0.30224761904761904,0.3010888888888889,0.29679365079365083,0.2968,0.2980571428571429,0.29712063492063495,0.29749523809523815,0.29708571428571423,0.2926539682539683,0.2907269841269842,0.28340000000000004,0.2773492063492063,0.2813238095238095,0.267336507936508
hepatitis,0.7080088797814207,0.7069159836065574,0.7032445355191257,0.7032445355191257,0.7008879781420764,0.699573087431694,0.7006147540983606,0.6979337431693988,0.6968920765027321,0.695030737704918,0.694757513661202,0.6919057377049178,0.6897711748633879,0.6850580601092896,0.6827015027322403,0.6913763661202186,0.6805669398907102
hill-valley,0.6669416941694168,0.6666116611661166,0.6656215621562155,0.6655115511551155,0.6615511551155114,0.6595159515951594,0.6587458745874588,0.6571507150715071,0.6545654565456546,0.6521452145214521,0.6483498349834983,0.644939493949395,0.6397689768976897,0.6339933993399339,0.6281628162816282,0.5498349834983499,0.6204070407040703
horse-colic,0.8211460446247465,0.8217799188640971,0.8206558485463149,0.8197177146720757,0.8191260987153482,0.8173850574712646,0.8157707910750508,0.8143593644354294,0.8136832319134552,0.8123732251521302,0.8110209601081813,0.8097701149425288,0.8102180527383368,0.8087052062204191,0.808950304259635,0.807445909398242,0.8075388776200136
ilpd-indian-liver,0.5374903459993821,0.5370877741736174,0.5374082869941302,0.5376486716095149,0.5379296030274945,0.537688253012048,0.5377674158171145,0.5373658093914117,0.5381690222428173,0.5380097312326227,0.5382510812480692,0.5380106966326845,0.5378504402224282,0.5366456209453199,0.5361252703120173,0.5464009885696633,0.5355238260735249
image-segmentation,0.9547763347763347,0.9548051948051948,0.9546897546897546,0.9546897546897545,0.9546320346320347,0.9542279942279942,0.9542857142857143,0.9543434343434342,0.9543722943722945,0.9542279942279943,0.954025974025974,0.9539105339105339,0.9540548340548338,0.953852813852814,0.9534487734487737,0.8619336219336219,0.9531890331890334
ionosphere,0.8626818783068784,0.8637400793650795,0.8630291005291006,0.8619378306878307,0.8614087301587301,0.8609953703703703,0.8591435185185184,0.8580522486772486,0.856547619047619,0.8560185185185183,0.8557539682539683,0.8543981481481481,0.8535383597883599,0.8526785714285716,0.8517030423280425,0.8366071428571425,0.8515211640211643
iris,0.9586666666666667,0.9586666666666667,0.9582222222222222,0.9582222222222222,0.957777777777778,0.957777777777778,0.9573333333333334,0.9577777777777778,0.9577777777777778,0.9577777777777778,0.9577777777777778,0.9577777777777778,0.956888888888889,0.9560000000000001,0.9555555555555556,0.9493333333333333,0.9555555555555556
led-display,0.7288205994325517,0.7288969135752301,0.7284926652092171,0.7282451598047341,0.7282536028982837,0.7281977502541958,0.7280504182717576,0.7276498410711804,0.7273758135620465,0.7273194628205893,0.7266316968631424,0.7265099866445611,0.7263136763215925,0.7255547221725571,0.7251668433846782,0.7253010030124234,0.7247165532492817
lenses,0.6563492063492065,0.6563492063492065,0.6563492063492065,0.6507936507936509,0.6507936507936509,0.6563492063492065,0.6492063492063492,0.6492063492063492,0.6492063492063492,0.6452380952380953,0.6396825396825396,0.6285714285714286,0.6214285714285714,0.611904761904762,0.5873015873015872,0.6507936507936509,0.5587301587301586
letter,0.9384118907407436,0.9384118907407436,0.9384118907407436,0.9384118907407436,0.9384118907407436,0.9384118907407436,0.939023082702862,0.9405885948229837,0.9419972011025718,0.9423328121591628,0.9412199236071693,0.9388512809690792,0.935238358066608,0.9300170211041874,0.9233461264689155,0.8096867481243597,0.9163889505782997
