MLP,NN,CAWPE,SVML,C4.5,Logistic
1588.724639 ,2.014934,23308.318322,90.99104,119.027146,96.403452
1691.636414 ,2.823242,31856.153054,95.472288,158.312308,96.778357
1627.532523 ,3.417949,31478.208455,87.522817,119.327931,77.658323
1631.756973 ,3.386005,30017.020007,96.632444,109.120814,99.787265
1594.882843 ,1.655384,30792.452949,101.507219,138.609496,90.645326
1732.35862 ,2.730917,32396.714998,83.566158,102.754638,105.074872
1729.884868 ,3.221171,30371.790171,88.970301,106.88041,108.357611
1784.781643 ,4.278843,29997.068393,102.901628,43.671823,81.011931
1708.345281 ,1.6246390000000002,31726.701986,99.522325,83.05627,90.91262
1700.054852 ,2.00388,30683.919933,156.415325,140.639797,73.102126
1752.396582 ,1.7996720000000002,31539.561641,202.26806,92.783165,83.564255
1775.679398 ,1.679071,30222.757474,163.587832,135.421352,85.940305
1687.307648 ,2.303572,30731.024351,132.731787,52.921615,98.325914
1666.585201 ,2.026834,31454.459598,101.6786,96.843704,82.709341
1839.977506 ,3.614129,33044.8365,254.977745,45.670156,95.824209
1753.946672 ,1.8093439999999998,31605.062257,170.711901,60.796592,90.111889
1863.219882 ,2.260928,33507.525348,145.73964,54.99591,115.883759
1729.227767 ,1.8373270000000002,29911.807997,241.457637,86.746113,152.278514
1740.673508 ,9.31753,31883.138106,96.079983,87.475739,149.203255
1850.955242 ,1.78928,30486.608056,158.091789,124.335969,98.362106
1791.303647 ,6.751877,30926.73994,161.263343,46.516549,118.9463
1525.477335 ,1.783495,30819.715879,120.541054,109.691721,130.896446
1717.123241 ,4.24413,30162.343433,105.005656,137.94603,80.189086
1740.734047 ,1.7153990000000001,32111.637668,170.650353,103.711415,103.099248
1708.223695 ,3.982555,31474.999466,89.508615,65.579583,169.665995
1685.642591 ,1.626584,24197.746996,90.935958,106.801009,78.623817
1625.943007 ,1.5759159999999999,26025.755824,161.07147,117.084994,79.061253
1611.200391 ,1.7082929999999998,25016.365741,141.906556,84.206664,169.170345
1652.446937 ,6.697372,26200.328603,116.682994,94.484527,141.182317
1504.715662 ,1.650687,27723.629975,150.106457,38.770145,103.499286
38.895139 ,0.298652,1840.609345,8.100731,1.3114919999999999,15.114864
49.185035 ,0.238326,1468.617822,12.388539,0.970765,7.522722
34.231038 ,0.247537,1804.962619,9.713512,0.956837,2.877427
42.61368 ,0.227292,1542.223643,25.604774,1.08415,8.685053
34.681197 ,0.243185,1412.479043,31.016259,5.768026,3.564844
32.652499 ,0.236571,1757.10158,18.482929,1.116599,2.349157
32.724322 ,1.968721,1553.55539,28.117742,0.94261,1.631005
33.407826 ,0.225123,993.217222,16.888877,4.443281,2.55422
34.627607 ,0.214774,890.678908,7.636825,0.940988,2.7211980000000002
36.124053 ,0.264247,938.017385,7.815633,2.944138,2.983839
39.17707 ,0.222034,697.617343,7.041057,3.422226,10.536203
33.063204 ,0.306841,963.241812,9.976049,0.822703,11.525877
32.395926 ,0.26714,1180.489004,10.991267,0.87061,2.313877
34.277735 ,2.844108,1072.630628,21.710971,1.9252150000000001,1.600384
31.065051 ,0.239817,1252.422375,9.616452,0.935203,2.6674569999999997
37.401123 ,1.442456,1304.373419,7.010562,2.600705,4.480046
32.61581 ,0.214815,815.251033,30.560052,3.177477,2.438872
33.885316 ,0.22625,760.807272,22.815771,0.949567,10.939335
32.626355 ,0.245906,2047.074422,9.650547,1.23598,12.511073
32.515416 ,0.267468,1753.607383,24.8718,1.022581,1.90283
35.61966 ,0.260389,2027.723943,11.353154,0.878129,3.909803
34.588482 ,0.314146,2148.604607,15.549299,1.154955,2.900239
35.588519 ,0.362192,2014.577991,17.605581,1.1463700000000001,12.620186
32.995645 ,0.262458,1903.206829,6.925459,0.928739,2.421028
39.372716 ,0.311279,2008.002106,16.328035,1.200597,4.52412
36.933584 ,0.238576,2221.199027,7.818801,2.111467,16.004972
36.874251 ,0.275718,1919.541837,8.869412,1.17811,11.491203
33.025824 ,0.259768,2075.307524,8.170787,0.977446,6.756314
38.642892 ,0.466736,2020.315877,12.409106,1.103225,1.297534
33.610443 ,0.232152,1760.634264,12.002844,1.442073,1.636622
35.47418 ,0.478,1413.671279,15.403389,1.049438,4.171394
