MLP,NN,CAWPE,SVML,C4.5,Logistic
0.6626736942980355 ,0.6430282702443699,0.655965500718735,0.6387158600862483,0.6248203162434116,0.6506947771921419
0.6574029707714423 ,0.6152371825586967,0.6473406804024916,0.635361763296598,0.6085289889793962,0.6535697172975563
0.6569238140872066 ,0.6344034499281265,0.6396741734547197,0.6252994729276473,0.6037374221370388,0.6492573071394346
0.6521322472448491 ,0.6363200766650695,0.6420699568758984,0.6200287494010541,0.5879252515572593,0.6478198370867274
0.654048873981792 ,0.6320076665069477,0.6506947771921419,0.6329659798754192,0.6142788691902252,0.6545280306660278
0.6473406804024916 ,0.6118830857690465,0.6382367034020124,0.6152371825586967,0.6027791087685673,0.6415908001916627
0.6626736942980355 ,0.6444657402970771,0.6506947771921419,0.6348826066123623,0.6176329659798754,0.655965500718735
0.6516530905606133 ,0.6157163392429325,0.6463823670340201,0.6272160996645904,0.5908001916626737,0.6535697172975563
0.6602779108768567 ,0.6257786296118831,0.6550071873502635,0.6209870627695256,0.6085289889793962,0.6550071873502635
0.6492573071394346 ,0.6300910397700048,0.6564446574029708,0.6305701964542405,0.6181121226641112,0.6506947771921419
0.6574029707714423 ,0.6185912793483469,0.657882127455678,0.6372783900335409,0.6046957355055103,0.6612362242453282
0.6521322472448491 ,0.6214662194537613,0.6554863440344992,0.633445136559655,0.610924772400575,0.6463823670340201
0.6401533301389555 ,0.6267369429803545,0.6420699568758984,0.6152371825586967,0.5955917585050311,0.6439865836128414
0.6463823670340201 ,0.6324868231911835,0.6444657402970771,0.6243411595591758,0.6214662194537613,0.6387158600862483
0.6459032103497844 ,0.6324868231911835,0.6478198370867274,0.6296118830857691,0.6042165788212746,0.6521322472448491
0.655965500718735 ,0.6377575467177767,0.6516530905606133,0.6329659798754192,0.6066123622424533,0.6545280306660278
0.6516530905606133 ,0.631528509822712,0.6511739338763776,0.6329659798754192,0.6061332055582176,0.6535697172975563
0.6626736942980355 ,0.6190704360325826,0.659798754192621,0.6358409199808337,0.6238620028749401,0.6526114039290848
0.6492573071394346 ,0.6286535697172976,0.6521322472448491,0.6171538092956397,0.6133205558217537,0.6511739338763776
0.6487781504551988 ,0.6320076665069477,0.6339242932438908,0.6233828461907044,0.5812170579779588,0.6425491135601341
0.6449448969813129 ,0.6291327264015333,0.6516530905606133,0.6276952563488261,0.6046957355055103,0.6454240536655487
0.6650694777192142 ,0.6291327264015333,0.654048873981792,0.6272160996645904,0.6037374221370388,0.6506947771921419
0.650215620507906 ,0.6329659798754192,0.6468615237182559,0.6185912793483469,0.6056540488739818,0.6478198370867274
0.6482989937709631 ,0.6286535697172976,0.6430282702443699,0.6300910397700048,0.6176329659798754,0.6526114039290848
0.655965500718735 ,0.6310493531384763,0.6574029707714423,0.6358409199808337,0.6099664590321034,0.6593195975083852
0.639195016770484 ,0.6137997125059894,0.6439865836128414,0.6185912793483469,0.6142788691902252,0.6449448969813129
0.631528509822712 ,0.6190704360325826,0.633445136559655,0.6094873023478677,0.5831336847149018,0.6449448969813129
0.6530905606133206 ,0.633445136559655,0.6363200766650695,0.6133205558217537,0.5936751317680882,0.6348826066123623
0.6506947771921419 ,0.6190704360325826,0.6387158600862483,0.6291327264015333,0.5999041686631529,0.6454240536655487
0.6588404408241495 ,0.6344034499281265,0.6564446574029708,0.639195016770484,0.6027791087685673,0.6521322472448491
1.0 ,0.9830508474576272,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,0.9661016949152542,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,0.9491525423728814,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,0.9661016949152542,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,0.9661016949152542,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,0.9666666666666667,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,0.9833333333333333,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,0.9666666666666667,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,0.9666666666666667,1.0
1.0 ,1.0,1.0,0.9666666666666667,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,0.9666666666666667,1.0
1.0 ,1.0,1.0,1.0,0.9666666666666667,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,0.9833333333333333,1.0
1.0 ,1.0,1.0,1.0,0.9833333333333333,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,0.9833333333333333,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
1.0 ,1.0,1.0,1.0,1.0,1.0
0.8457002457002457 ,0.8341932841932842,0.8576167076167076,0.844963144963145,0.8589271089271089,0.8451269451269451
0.8461916461916462 ,0.8318591318591319,0.8555282555282555,0.8411547911547912,0.8566748566748567,0.8395986895986896
0.843038493038493 ,0.8347665847665847,0.8571253071253071,0.841973791973792,0.8576576576576577,0.843038493038493
0.8443079443079443 ,0.8328009828009828,0.8558558558558559,0.8404176904176904,0.8571253071253071,0.8413595413595414
0.8473382473382474 ,0.8311629811629812,0.8556101556101556,0.8423423423423423,0.8552006552006552,0.8409090909090909
0.8457821457821458 ,0.8329647829647829,0.8543816543816544,0.8395577395577396,0.8550778050778051,0.838042588042588
0.8488124488124488 ,0.8341932841932842,0.8585585585585586,0.8431613431613432,0.857944307944308,0.843038493038493
0.8481572481572481 ,0.8358722358722359,0.8597461097461098,0.8445536445536446,0.858968058968059,0.8445536445536446
0.8461506961506962 ,0.8315724815724815,0.8556920556920556,0.8432022932022932,0.852989352989353,0.8431203931203931
