CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
0.6523538760854483,0.6433270932439833,0.6400730763382864
1.0,1.0,1.0
1.0,1.0,1.0
0.764210859637355,0.76287102424502,0.7624392954146475
0.7952322762172387,0.7812942674145683,0.7721487846600629
0.37998260209735624,0.36157433641040193,0.34481954111462293
0.34836659672408465,0.33538391157956376,0.33275927552497603
0.784104938271605,0.6928240740740742,0.6722222222222223
0.6944444444444445,0.6680555555555557,0.6444444444444445
0.6137570512820513,0.609176923076923,0.6092076923076921
0.5926171233326761,0.5881115710624877,0.5873625073920756
0.6235634920634922,0.6061666666666666,0.6012619047619048
0.9652595827268315,0.9630040029112081,0.9628651140223191
0.9729082750335665,0.9677001625326831,0.967823828704685
0.6741062801932366,0.6467053140096617,0.6379710144927537
0.6836441798941799,0.6603609507776175,0.64648709315376
0.9107686954775022,0.8985996537905798,0.8895408294171662
0.8416043314471368,0.8351105362204,0.8337692592335019
0.7725132595950147,0.7641786690075139,0.7595413871418177
0.7164261098623462,0.7192752452037645,0.7164261098623462
0.9911135050020269,0.9896495385605016,0.9891476072091213
0.5188074352548037,0.5117376775271513,0.5095342522974103
0.8458901515151515,0.8217929292929291,0.8063194444444443
0.9837037037037037,0.9703703703703703,0.9473400673400677
0.7129145606438065,0.677717322613884,0.6604798642840458
0.5161267207792914,0.5067997814495985,0.5044791379831802
0.8667328246016266,0.8592860646294586,0.8587419726471158
0.7136068376068377,0.7021239316239314,0.7001367521367521
0.9709193121693124,0.9688514109347444,0.9684810405643739
0.7920454545454546,0.7746392496392497,0.770508658008658
0.6198967728734875,0.6095669687730255,0.6085865766161628
0.9226954732510289,0.8626555313483417,0.8545606390704429
0.8831015113705799,0.8788348758240068,0.8788493496986629
0.5441919191919191,0.5212121212121211,0.5190656565656565
0.3671975478225477,0.3557463369963369,0.3192824074074073
0.6426806599832917,0.6322389306599833,0.6224275967697018
0.5853273809523809,0.5746130952380953,0.574404761904762
0.7504861111111113,0.7396296296296295,0.7162037037037039
0.3351988238836636,0.3116453229891775,0.3095222913013444
0.7870032115616217,0.775903251706142,0.774919710959454
0.2858888888888889,0.2686944444444445,0.26097222222222227
0.3180349206349207,0.2926539682539683,0.2773492063492063
0.7219262295081966,0.6919057377049178,0.6827015027322403
0.6716721672167216,0.644939493949395,0.6281628162816282
0.8256507775524004,0.8097701149425288,0.808950304259635
0.5496177015755329,0.5380106966326845,0.5361252703120173
0.9559018759018761,0.9539105339105339,0.9534487734487737
0.8662037037037037,0.8543981481481481,0.8517030423280425
0.9640000000000001,0.9577777777777778,0.9555555555555556
0.7302203745843919,0.7265099866445611,0.7251668433846782
0.6690476190476192,0.6285714285714286,0.5873015873015872
0.9425162842030484,0.9388512809690792,0.9233461264689155
0.8022222222222225,0.792962962962963,0.7846296296296297
0.501373590428346,0.4808700249882703,0.48212439073434277
0.5370370370370371,0.5016666666666667,0.4427777777777778
0.5234722222222222,0.49173611111111093,0.4847916666666666
0.8253813356778257,0.8192407083579706,0.8160284737235268
0.8253195055520638,0.8195928486626161,0.8190551016132412
0.880258313605487,0.874185433565015,0.8721235863877143
0.8333333333333335,0.796794871794872,0.7910256410256411
0.9138221362833309,0.892918497359012,0.8814151018695084
0.9081534772182251,0.8959232613908873,0.8652278177458032
0.6779327452236624,0.6496353062934307,0.6288042317612076
0.9676065162907268,0.9552814327485379,0.9417232316903367
0.9998964308786157,0.9984393751674906,0.9982560011832772
0.8905979809689418,0.8798229725160603,0.8747717722069263
0.9436789151356082,0.9324012690617973,0.929591506034864
0.7692736373087352,0.7187679072448615,0.7066463926707987
0.7912872458925091,0.7727234753550544,0.7667519493177388
0.9006046217157331,0.896251242297754,0.8955010048808499
0.8116458069286016,0.8054954847908746,0.8005040003168568
0.9159573123621385,0.9113462162341749,0.9109877932951068
0.9852609397858666,0.9840393129800314,0.9836964582326424
0.5693248488130697,0.5663439841140896,0.5662627493456088
0.7436421392805174,0.7393833642689294,0.737416123116292
0.8859493911719939,0.84412100456621,0.8311548706240487
0.9908169677365544,0.9894413839179463,0.9889412903764953
0.727081592039801,0.7180437810945274,0.718065671641791
0.6486609686609685,0.6024715099715099,0.5913532763532762
0.5928930546577605,0.562120232708468,0.5460676578323637
0.6236531986531987,0.6038720538720539,0.5931818181818181
0.7093614718614718,0.6678571428571428,0.663203463203463
0.43439393939393933,0.40369107744107746,0.404074074074074
0.5069230769230769,0.4984615384615385,0.4921794871794872
0.7976666666666665,0.79075,0.78825
0.6290416666666668,0.6123750000000001,0.6274583333333335
0.8047440476190478,0.7984345238095237,0.8003452380952382
0.34317129629629634,0.321412037037037,0.3087962962962963
0.3167202729044834,0.3024178501810081,0.2952018936229463
0.9274766892955439,0.9204436592390339,0.9082307475321745
0.9444444444444445,0.9390476190476191,0.9346031746031748
0.9322733134709226,0.929897994918037,0.9286529896953596
0.9280816097482766,0.9257925644761397,0.9253370837428808
0.9267710190736499,0.924499167566666,0.9239785668211181
0.7082251082251081,0.6836363636363636,0.6808658008658011
0.7984218495224785,0.783851618914512,0.7749068250640577
0.5210864710864712,0.5132228382228382,0.5152671902671903
0.6764285714285715,0.6609206349206347,0.6573650793650793
0.8371111111111111,0.8194444444444444,0.8150555555555553
0.9704761904761904,0.968975468975469,0.9687445887445884
0.8787123522268933,0.8750687795485678,0.8726810786430802
0.7823236325524359,0.7592959282959283,0.7544998211615048
0.8112730902295124,0.8026376741760303,0.7936394324741073
0.7550907110886944,0.7514540323308235,0.7491951440584613
0.989,0.9866666666666666,0.9867777777777778
0.5596196581196581,0.5293917378917381,0.5188931623931624
0.8185008654960135,0.7762036647614475,0.7667416658725414
0.9765060240963853,0.9759036144578311,0.9760040160642568
0.7083111195135015,0.7083221476510065,0.708371301635315
0.7083333333333334,0.6833333333333333,0.6583333333333333
0.977821760672247,0.976389225082499,0.975983658651811
0.8236666666666667,0.813809523809524,0.8114761904761905
0.8187407407407407,0.8051851851851851,0.8008888888888888
0.99034713017857,0.9543946500038961,0.92814710498115
0.8670083608341279,0.8608194985024832,0.8590632639891583
0.8625027198563644,0.8579346425372764,0.8560631213769678
0.9778849662470351,0.9741552636380223,0.973388980113118
0.29325357473768565,0.28920337675746743,0.2898638050903095
0.311626274418163,0.31347445042754957,0.30808621855952406
0.5407494766262865,0.524886211949893,0.5113404938242609
0.8397619047619048,0.8283333333333334,0.8261904761904763
