CAWPE-A(alpha=4)_VS_CAWPE-A(alpha=4)
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

CAWPE-A(alpha=4)_VS_CAWPE-A(ConTie)
Wins(62):,abalone,adult,annealing,balance-scale,blood,breast-cancer-wisc-diag,car,chess-krvk,chess-krvkp,connect-4,contrac,dermatology,echocardiogram,ecoli,energy-y1,fertility,flags,haberman-survival,heart-cleveland,hill-valley,horse-colic,image-segmentation,ionosphere,letter,libras,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,parkinsons,pendigits,pima,pittsburg-bridges-REL-L,primary-tumor,ringnorm,soybean,spambase,statlog-australian-credit,statlog-image,statlog-shuttle,statlog-vehicle,synthetic-control,thyroid,tic-tac-toe,titanic,twonorm,wall-following,waveform-noise,wine,wine-quality-red,yeast
Draws(0):
Losses(59):,acute-inflammation,acute-nephritis,arrhythmia,audiology-std,balloons,bank,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-prog,breast-tissue,cardiotocography-3clases,cardiotocography-10clases,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,credit-approval,cylinder-bands,energy-y2,glass,hayes-roth,heart-hungarian,heart-switzerland,heart-va,hepatitis,ilpd-indian-liver,iris,led-display,lenses,low-res-spect,lung-cancer,lymphography,mushroom,oocytes_merluccius_states_2f,ozone,page-blocks,pittsburg-bridges-MATERIAL,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,seeds,semeion,spect,spectf,statlog-german-credit,statlog-heart,statlog-landsat,steel-plates,teaching,trains,vertebral-column-2clases,vertebral-column-3clases,waveform,wine-quality-white,zoo

CAWPE-A(alpha=4)_VS_CAWPE-A(RandTie)
Wins(12):,acute-nephritis,audiology-std,breast-cancer-wisc,conn-bench-vowel-deterding,dermatology,ozone,pittsburg-bridges-T-OR-D,plant-margin,plant-texture,synthetic-control,waveform,wine
Draws(0):
