AdaBoost,RandF,Bagging,XGBoost,LogitBoost,CAWPE-S
-96.8532335,-7286.6496175,-5610.9048605,-14820.9976415,-36034.2985495,-22710.492686999998
-63.610198499999996,-117.013621,-123.801548,-330.64149199999997,-453.4157735,-671.718871
-38.507055,-168.4508665,-95.218535,-280.276453,-462.4979115,-672.095598
-29117.840487,-80165.3108405,-86660.410627,-121905.56140899999,-547108.2511720001,-971571.7157010001
-20.611941,-730.2463895000001,-1196.3815835,-9229.206791,-23705.283103,-30172.9803195
-49.892752,-1347.7520534999999,-11638.229663,-44677.4418165,-25821.879532,-923600.465091
-13.516417,-343.254367,-825.48513,-8463.0820155,-2489.2877445,-50253.714108500004
-36.268881,-304.8374605,-185.2320585,-1964.927012,-3337.3565895,-2575.032554
-51.1545305,-52.423803,-36.676388,-184.2508725,-172.919847,-185.6926515
-2099.1744875,-4683.3398720000005,-4428.8006875,-13457.7553645,-40729.8138595,-50542.017646
-157.0243565,-503.0784535,-273.211954,-1534.27368,-2164.121319,-2418.54345
-94.8127875,-198.26322950000002,-157.02935100000002,-1018.4944835,-1342.972277,-1629.8445510000001
-171.2516085,-218.670165,-186.50956200000002,-1197.046858,-3553.389545,-3560.132987
-1120.3443324999998,-437.2214125,-938.6757190000001,-1848.483284,-9421.481591,-13600.3100305
-410.8951715,-249.961396,-546.971088,-1182.492515,-3186.5763495,-5521.251636499999
-20.372529,-119.756307,-123.787634,-751.0524330000001,-1756.4835055,-1872.4603240000001
-71.1305745,-589.1122740000001,-537.056581,-5783.6093495000005,-13072.503304999998,-10335.104223
-86.533886,-1837.646932,-2586.5998195,-10607.123388,-34354.6567375,-36379.10774000001
-64.6630815,-3273.5879130000003,-4837.4409125,-29111.186033500002,-110419.4263835,-531589.5541255
-47.5560525,-34499.631315000006,-25721.407816500003,-402864.3026085,-1128043.625048,-984988.4653115
-2119.437852,-2916.2945485,-3534.0425999999998,-14676.614144,-42899.5740755,-123544.03050749999
-137.40013249999998,-424.78686600000003,-250.63032700000002,-1308.1343715,-2604.6038035,-4869.8098965
-773.178299,-282.9105875,-873.1940755,-1531.7630125,-5542.270818,-16788.0082545
-49.747153999999995,-2236.1503195,-2840.2486074999997,-9342.277455,-46995.413910999996,-25480.016699
-151481.011804,-134805.380175,-289624.3610135,-339337.7225575,-2758913.6490869997,-6606725.8461785
-41.0008625,-1908.6300375,-1394.5118445,-5000.0084,-12516.7913815,-9993.3381605
