AdaBoost,RandF,Bagging,XGBoost,LogitBoost,CAWPE-S
-320.63759,-509.5881385,-539.270992,-2520.9514154999997,-5217.6181685,-7291.1881835
-399.748396,-573.9913345,-1079.1169995,-3177.1374415,-6711.25951,-16137.859466000002
-28.930484,-218.764805,-567.272141,-2657.899148,-12604.3294355,-14958.087706499999
-81.1467255,-128.10896300000002,-140.71633400000002,-522.581567,-778.6951855,-1157.3061545
-28.869639,-280.4264595,-214.531651,-1950.932494,-5640.265953,-5436.590502999999
-64.342109,-279.22085549999997,-278.5591495,-2276.4221930000003,-5634.705825,-5113.888373
-65.5392965,-306.087538,-263.24685550000004,-2276.3649015,-5664.835352,-5339.336032499999
-81.5041025,-48.513769499999995,-52.539756,-407.803811,-501.8854635,-1039.010858
-16.6925495,-218.07788299999999,-416.43615850000003,-2538.975278,-7388.4102375,-9397.163962499999
-17.777164499999998,-246.18776050000002,-240.14639449999999,-1307.2414469999999,-3778.4509024999998,-4256.999716
-67.1364945,-198.5304835,-129.8455255,-783.803298,-859.784941,-1671.3198905
-19.816884,-127.73798350000001,-86.422729,-660.7278839999999,-841.6797495000001,-1084.2992375
-35.752828,-285.0747485,-379.971969,-2120.0034880000003,-5302.574753000001,-4717.7094665
-111.61645899999999,-188.0036945,-202.606863,-1028.3357584999999,-1814.093064,-2609.3694935
-18.767182,-124.603315,-125.54519049999999,-987.0673515,-1997.2206780000001,-2221.4452650000003
-21.413604,-225.6629825,-241.401812,-1637.4444469999999,-3242.009925,-3105.5466805
-103.54119299999999,-89.8532635,-104.5816785,-629.143056,-1234.478896,-2432.5446144999996
-7662.443439,-5853.8099155,-32077.0945955,-31350.23425,-45253.482959999994,-244201.9280015
-258.7453015,-297.7715615,-443.943688,-2550.423292,-3755.669422,-7028.045988
-239.1317645,-594.088446,-506.00247349999995,-1991.325883,-3813.7726115,-3530.5345455
-69.7359,-3654.8089965,-5433.7267489999995,-28918.727329,-91208.1912555,-430546.5852405
-633.939402,-432.309258,-744.4164625000001,-1627.1218865,-5577.3787115,-9601.691760000002
-78.88304600000001,-111.17901850000001,-91.15534550000001,-443.837252,-844.8723225,-1114.585853
-43.333358,-635.4163485,-519.1025010000001,-8105.162439,-19020.666386999997,-15564.0672945
-32.0069785,-75.64220549999999,-63.576135,-286.52439449999997,-165.4955005,-469.7943555
-78.56463149999999,-30373.646609,-36630.278334,-701656.9772365,-2705730.1812055,-1504479.7692195
-52.4779785,-1380.1136955000002,-7703.7665105,-20712.0437055,-116409.441355,-142558.93686349998
-84.3941435,-1157.173743,-5845.571066,-15144.7890885,-11185.3282065,-140660.503418
-50.46414,-57.7404455,-125.043037,-524.83826,-732.973449,-3058.2338225000003
-29.18042,-102.37365299999999,-132.40787899999998,-902.6798805000001,-2029.618612,-2823.288881
-15201.04177,-53203.4622455,-42431.3940605,-69548.0917515,-194973.385578,-202103.20888350002
-168.988391,-606.6231184999999,-311.498742,-1922.8731085,-2992.9404910000003,-3725.7410045
-618275.4070339999,-591677.009303,-1467465.5925675,-1965397.3642715001,-8618624.6002495,-1.8459060815022998E7
-123.180987,-104.54590400000001,-241.215596,-740.5130294999999,-1929.090442,-8635.949822499999
-87.1038305,-3651.3228065000003,-8807.995404,-35581.34017349999,-112750.4201375,-268874.37339900003
-115.79681149999999,-276.797732,-234.2772165,-1334.0739945,-1965.6866495,-2433.2550415
-133.0802065,-379.557997,-291.943941,-1603.756506,-2063.8890535,-2619.117041
-121.57316,-184.862532,-147.21205300000003,-1084.2836475,-2025.8300709999999,-2485.8742405000003
-3819.62765,-3192.8594835,-4831.7731945,-17821.9821715,-85222.1147305,-159399.7649105
-3505.030914,-968.3028735,-5934.9331615,-12570.3658765,-35109.250822999995,-245683.2014535
-33108.130471,-12120.436701999999,-83579.609539,-159606.51882499998,-626304.8716045,-3199604.722376
-170.1912345,-6776.1618755,-5410.5342390000005,-48257.279701499996,-179163.031345,-139892.229616
-2790.2903255,-2118.8558869999997,-5270.635217499999,-10999.305717,-22261.8862045,-41279.305583
-74.138987,-1219.915286,-2144.7614240000003,-5527.367375,-22867.281868500002,-21966.164145000002
-1599.9337295,-1836.398684,-3098.5072675,-6269.3404825,-13574.160334,-17789.7950575
-1277.5493655,-1738.8591735,-3222.6906275,-6715.6210495,-24991.2441555,-27381.362798000002
-78.811891,-8588.451202,-27948.887487,-143431.284118,-797651.63361,-686354.2357145001
-6197.430103000001,-2241.318135,-7274.2463275,-22771.230243500002,-84779.39890100001,-322176.1248505
-178.64934549999998,-5860.575096500001,-5376.979168,-25773.8834995,-112472.718919,-59800.8195425
-277.3360135,-158.214097,-232.582434,-737.705275,-2289.350912,-3327.583323
-95.6809085,-16033.832526,-21072.2265145,-110570.91968749999,-639331.9094984999,-303459.883997
-274.733885,-795.820655,-602.488502,-2364.5348055,-4180.641673,-4804.4837305
-30.3671635,-92.0675265,-100.7855465,-474.5596185,-774.970451,-1041.4841959999999
-21.8135645,-241.4574475,-119.2673925,-547.761467,-755.415118,-1010.4248955
-16.1933485,-125.3244445,-134.915719,-536.7818035,-710.60747,-1110.1288505
-62.216521,-116.5118895,-76.21276900000001,-366.4273815,-445.4986645,-818.4541815
-17.139247500000003,-158.420683,-150.093918,-856.6009335000001,-1458.4042960000002,-2215.4029090000004
-156.35412150000002,-213.972866,-203.83023450000002,-755.1831415,-1398.802089,-1953.592382
-63.15668,-8878.852224999999,-42003.551273000005,-297289.904478,-2085124.3501275,-4306558.857368
-241.9479785,-23494.8373665,-113568.4732105,-353381.2889095,-2671485.3781425003,-1.1179038491151E7
-93.5374405,-11048.735564499999,-53479.7659755,-317676.5464185,-2302889.8321094997,-4621340.910259
-21.327664,-102.90861050000001,-101.50398200000001,-546.225638,-709.6428295000001,-2138.1541555
-30.421490499999997,-488.22429450000004,-747.134832,-6668.707156500001,-16675.5935905,-20211.8508275
-11805.687501,-27734.238318000003,-36545.1244665,-44333.104156500005,-119698.028001,-118738.12734400001
-122.076449,-139.6298625,-133.896143,-600.0237575000001,-1609.1844405000002,-3333.9159090000003
-34.521287,-2936.4846390000002,-25252.270936499997,-145433.409745,-604277.7483985,-2170314.5336525002
-51.878682,-845.6531675,-2328.650367,-18490.924803,-75229.13319749999,-65223.3787015
-6518.428151,-5586.5807454999995,-15301.712369500001,-35986.488763500005,-102862.40344550001,-333521.954998
-138.820289,-248.7300755,-288.597138,-1567.063424,-2200.155671,-4255.2051235
-459.3889525,-231.2425165,-564.878282,-1853.275459,-5222.6846205,-12006.369607
-306.9356805,-680.148885,-815.4873620000001,-2776.0386585,-5134.8900885,-6082.2827255
-462.7359345,-1083.4200449999998,-1458.60054,-4408.895034499999,-9138.9747675,-17724.4729985
-110.4567635,-162.84644500000002,-193.288115,-974.4380605,-1830.1613395,-2355.4216349999997
-62.2782505,-2916.8474535,-4772.0403625,-18181.003953500003,-89901.123324,-50686.432946
-59.4919795,-10848.917519999999,-22533.649981000002,-93503.300921,-390228.9975505,-258918.023986
-818.4291295,-36489.644705,-27238.498693,-173823.188556,-1842046.5797255,-1446720.0401384998
-54.7382025,-1046.3750205000001,-1696.149682,-5982.8544365,-17079.510517,-12770.871239
-73.40781000000001,-4003.4716125,-9203.076668,-30923.7763305,-96952.419032,-973763.513264
-62.571884499999996,-1132.5083574999999,-4215.767385,-7782.7917535,-53687.0141795,-54823.775638
-19.229620500000003,-149.661248,-126.99783000000001,-815.6446685000001,-953.9347740000001,-1213.0900095
-3802.1593119999998,-3358.4284515,-2986.1589485,-23682.1989925,-119389.2609005,-133430.05141000001
-228.7551225,-547.1610505,-475.09603,-2284.1805875,-4923.137829,-5504.803948000001
-163.95496350000002,-607.579474,-319.987838,-2435.2601665,-5436.647704,-7437.0826435
-20.2974505,-73.214223,-1.577325,-274.296289,-67.67235600000001,-319.8896945
-11819.0865255,-16185.388210000001,-22712.15454,-43255.1226075,-122189.232038,-123552.360242
-159.0307985,-200.1329445,-157.364597,-773.6893015,-1249.0742605,-1539.964046
-34.092935,-218.178393,-168.8049985,-909.6036745,-2045.7284825000002,-1929.6032785
-90.508555,-8837.837487,-14285.8626035,-37202.813911,-173690.1385695,-129259.66993
-177.300384,-9752.6829475,-16264.53818,-40216.7319675,-109978.7381705,-86671.5032315
-214.10368549999998,-12953.225824000001,-29474.893407,-73222.709463,-194250.1210325,-221760.7213705
-157.035758,-118.56527249999999,-152.56514149999998,-617.8304364999999,-2248.0552585,-1901.8134935
-69.46023149999999,-2819.3130815000004,-2745.0804515,-11705.879631,-37474.8349595,-18995.452885
-53.625913499999996,-10023.0959465,-10744.005365500001,-37981.096276,-137634.3838675,-71937.3838015
-38.842044,-2071.218695,-1887.865136,-13058.094357,-37159.188552,-23928.0912115
-17.2278055,-71.33367150000001,-126.1149705,-896.737564,-2154.779001,-3072.4987730000003
