CAWPE-S(alpha=4),CAWPE-S(ConTie),CAWPE-S(RandTie)
-1.0653639776240988,-1.059538248560308,-1.0686923725856974
-0.006698148096582874,-0.0066776613518136204,-0.006683008393099702
-0.0075581513967390565,-0.007508057456237368,-0.00752091517172897
-0.4570613559152985,-0.4556857159534331,-0.45751752385131833
-0.33395128389566386,-0.32028956880328796,-0.3418904888671734
-1.7966257710565154,-1.826744151271662,-1.8075058947022662
-1.1613809055117208,-1.1727522938408723,-1.1677688096465662
-0.4080400275979975,-0.3971455986478071,-0.41990635192485526
-1.4396323877139057,-1.3964125110190342,-1.331331610754042
-0.37866421167503955,-0.3856924673593662,-0.3791271249015193
-0.6889201033317962,-0.6898292228758205,-0.6888631951678673
-0.8521536764286549,-0.856026033356748,-0.8549774264450776
-0.14242393903086548,-0.14475814657362018,-0.14278658838629735
-0.14877850722928815,-0.14559072603728365,-0.15012804799493049
-0.7554360677229222,-0.7814670796580596,-0.7520969854609298
-1.2122108988479066,-1.2425590857056314,-1.2036966786370968
-0.25280729218262116,-0.22617049749607174,-0.27541049498306497
-0.28008081094006504,-0.27930864703278924,-0.2809156012611128
-0.6313825769860242,-0.6306306781371248,-0.6353042075811738
-1.1359448235881198,-1.3806508532165411,-1.3806508532165411
-0.09408442236039292,-0.08568257070716942,-0.09956221964778168
-0.9249325372736572,-0.9369159999021487,-0.9246755841771062
-0.6298432859363486,-0.6262737516288331,-0.6506603353218277
-0.30584728092205443,-0.23973242785258808,-0.38922379601554546
-0.5648247901212768,-0.5295586864829277,-0.5791591802153077
-1.3530206414573132,-1.3545544890483758,-1.3543600603945576
-0.501947405306839,-0.5233189338042894,-0.5020462722038564
-0.7555382987489507,-0.7701320926883004,-0.754764233248273
-0.11609144418201518,-0.12125051168954494,-0.11603021478726512
-0.6651861223323138,-0.6554162267728494,-0.667285806179068
-0.7088077996697033,-0.7191855554748403,-0.710219908244271
-0.3267687704013938,-0.29232150797626333,-0.33861540060678863
-0.35644596033013093,-0.35593836699443726,-0.3587009879037229
-0.5542956704676579,-0.6036424109674433,-0.5624017555623161
-2.2746410898775546,-2.3001110083941327,-2.2975113126133153
-1.1842193660276379,-1.1888911460171314,-1.1816378586621734
-0.7960388534369086,-0.8005023579382491,-0.7952873067013269
-0.83147100891554,-0.8762364560042059,-0.9250879046158841
-1.6238293263270918,-1.6253815768678528,-1.6326566696399067
-0.5841230197482045,-0.5885798601126726,-0.5853527769606057
-2.573452205558659,-2.657025975623957,-2.5317838801126262
-2.328789636692383,-2.398948826550821,-2.314290506315767
-0.6588252243817038,-0.7100024352220903,-0.6566292150025499
-0.8822627908169397,-0.8298219263748747,-0.9185303949217799
-0.6281012858423362,-0.6262468407473636,-0.6331914492626456
-0.7608999228986256,-0.7730312165350245,-0.7610374519329787
-0.2484936566433773,-0.2412184875665892,-0.25565458112040773
-0.3867662686639323,-0.3924340582689832,-0.3893016022879682
-0.15705373293005073,-0.15615490312355082,-0.15671407141970012
-1.27089656154003,-1.2688946752054933,-1.2741102578863004
-0.929928995693475,-0.9225439021508101,-0.8847048828498829
-0.46923571948563547,-0.43473442564071785,-0.5201713387540918
-1.1181157177357837,-1.1224548302020698,-1.1674345158329484
-0.5174949669360845,-0.5154862780312826,-0.5334844866443268
-2.167659338425643,-2.2785076685825087,-1.89177983104853
-0.6475962207987401,-0.6728423313117226,-0.6508850122541455
-0.5146391209554836,-0.49896928584438915,-0.5210120322221967
-0.5861445151818317,-0.5842719626566493,-0.5873878336923243
-0.35817448301955107,-0.34604659224275697,-0.36212116610504824
-0.6670025099712406,-0.6835752262709448,-0.6610717858244434
-0.4593620780887507,-0.38852362824942077,-0.5078159577029299
-0.45467708750454394,-0.40049487922251686,-0.5470140963730746
-0.772474730605368,-0.7618526428426079,-0.782788337931371
-0.2824730744626367,-0.22298312480476748,-0.34505738012641246
-0.05738490873095906,-0.05119094520112993,-0.06331756446609199
-0.45222131375003405,-0.440766571811093,-0.46520350343159594
-0.10798550693118673,-0.09840487741962543,-0.1107333998253046
-0.16591581112095496,-0.13108346688408984,-0.17559303981164526
-0.5890940885846571,-0.5742435764277466,-0.5999735054465902
-0.272116692143647,-0.2772724300950459,-0.2729471380408936
-0.5996363368472679,-0.5957354955728591,-0.6073045408266459
-0.2908904351402177,-0.2889426913744689,-0.292877632930462
-0.11249568999439652,-0.10214668742337932,-0.1211058590508991
-0.15193348040155275,-0.15250571287218687,-0.1521884760582279
-0.14768070418589374,-0.14706636743806242,-0.14819036449647058
-0.3456176094486185,-0.3310709358847425,-0.3612343136302924
-0.10287899114220932,-0.09530465216586288,-0.1053057051917002
-0.6942283044104413,-0.7020204458347288,-0.6952595547511783
-0.7383792637736312,-0.7661568106282719,-0.7436965787261656
-1.2468684051704502,-1.2666083966833939,-1.2381485255661615
-1.1286404862118833,-1.1510006142265836,-1.1253528707484246
-0.5241460482087869,-0.6073965350328833,-0.5212567561252246
-2.0823144337427637,-2.128808796521667,-2.077643715899884
-0.919838743203178,-0.9174622321206066,-0.9297802958457868
-0.9812549267865932,-0.9762297944787085,-1.0353984713466762
-2.0019925151369753,-2.027005691100447,-2.028697866001622
-1.1048298439804753,-1.1482975805025903,-1.1502923385786246
-1.1117490067769507,-1.1127191802560816,-1.1323012299822854
-3.0745855233150703,-3.1362735882434714,-3.0915149164164504
-0.38709807085843984,-0.2995713912793406,-0.43676708120376
-0.22408404397609075,-0.22992650344907467,-0.2254581767476736
-0.38195439103162876,-0.390668233296539,-0.41372576785195925
-0.4097408555600028,-0.4112153331650024,-0.41378321947889724
-0.26960834128529504,-0.26790189271414405,-0.2704077456623361
-0.8849596541102841,-0.8958931334485816,-0.8864849567112869
-0.5624575370226241,-0.5603831173654749,-0.5715522558794263
-0.9193015710123469,-0.9176600242148042,-0.9271689328123973
-0.7218983684990119,-0.7155221575901471,-0.726697022304924
-0.5985874799574257,-0.5958996120807698,-0.6028430720354176
-0.15138108379498322,-0.14951971443545195,-0.15306592168481495
-0.3871170835676761,-0.37906905077088504,-0.3908503259176427
-0.03903768909823172,-0.03258921732305915,-0.041482726179119585
-0.6617112534990187,-0.6462407876245666,-0.6833478023879198
-0.9462357383987168,-0.9467584459765183,-0.9473193572560064
-0.12017042793856923,-0.1425607036334138,-0.15634187483665093
-1.5078725723382933,-1.5191795088271849,-1.4876363807279682
-0.09941087760449681,-0.08562824780562638,-0.10343585547320804
-0.06458991426385884,-0.06864869678962984,-0.06959188379498801
-0.7180174349444307,-0.7182950120260123,-0.7183023838706465
-1.1910049114302765,-1.0309017999360859,-1.1369754222694815
-0.11729587354925794,-0.09724060076885638,-0.12934972738015627
-0.47322531296812154,-0.48382034529099444,-0.47595969826146756
-0.5291303380748673,-0.5231005958213106,-0.5369179507847739
-0.26858414580593515,-0.17108696662161724,-0.38261765635738354
-0.4528433827037199,-0.44924854397977404,-0.4599453811594187
-0.4719903264228923,-0.46430677274560905,-0.48003403579696285
-0.11858600200874457,-0.12476466908842195,-0.12275127726906974
-1.3530766271384351,-1.3550711066888188,-1.35427240622777
-1.4205339894424147,-1.4202945974976673,-1.4205419924743912
-1.526692172714975,-1.5268089015974504,-1.5315294971822353
-0.2956406911938026,-0.30801379124172656,-0.29609953047102516
