TRAINTrainTimesSTDDEVS:,AdaBoost,RandF,Bagging,XGBoost,LogitBoost,CAWPE-S
flags,13.944795719778849,30.801722712591243,83.01403739606698,127.22106628785849,299.97514989606003,1072.6637825046546
glass,8.589435323299396,15.66704935170701,23.561756122688724,66.31417919588722,276.23609103491754,877.5559773503337
haberman-survival,36.121580827819976,27.043527495765012,52.66382187311955,54.21365889297394,43.91935973451968,676.873539932402
hayes-roth,9.833292586716178,44.18235045102849,51.946480879574864,74.04134417728491,40.43888844940376,334.482127134436
heart-cleveland,30.297931563808284,19.792078347805347,39.13411080974051,109.66991392510892,190.88740090672098,544.5715631468951
heart-hungarian,19.18886640565724,32.704767745262174,46.311741658672865,64.36123874849149,101.34923049745066,351.223700312421
heart-switzerland,13.491075044250197,29.88526646232795,45.36473678915418,40.134347943515465,68.52759870682954,332.4544758800247
heart-va,13.79487020323924,14.28887020451827,29.51741179505641,72.18990312589892,182.42627283865298,338.88951555962376
hepatitis,41.35152135927437,53.10929887711368,26.531889884743485,25.85968445831769,71.77745493981283,244.7351283886217
hill-valley,390.6238008622631,567.5473894634551,1340.0281896481586,1161.991233594409,2326.095899985175,9839.41136533053
horse-colic,21.094984197208753,19.490946766633332,45.594152190540555,160.03352520918114,208.66864904543976,475.24162661763046
ilpd-indian-liver,17.575093131427334,28.642598008916316,66.32699340727439,59.60113576284419,271.5623532728763,811.2255942231027
image-segmentation,27.21194621391315,258.7066560406438,159.8203985993926,896.7496158615206,2467.5624123237594,206673.86622696693
ionosphere,23.055362655443485,36.16340173810309,61.979566839749324,97.16704452275671,283.8887088651881,969.7950211353966
iris,42.94463869129385,47.32896698402054,39.27443523455288,56.492751135564305,78.42174240973074,187.00863372104615
led-display,22.051533485975156,63.88435508100859,228.65347358916594,303.1149283181033,635.1471982729051,1686.3085793825774
lenses,21.45910142381859,50.089358300276956,20.71160530771657,15.601949650367368,12.496282107210192,124.19894991701105
letter,30.92440216749615,2249.8646962298712,2736.1404158612954,30975.307924794564,70753.64193988363,52314.85224291888
libras,24.61676780581566,141.41617304123912,334.5388591508955,581.9177304243821,2338.3358767604013,14608.822172510874
low-res-spect,34.805366702484505,61.59014455030331,287.02591047474397,632.1448095447787,17475.110756212736,10856.107063033187
lung-cancer,24.16916518844069,28.77146552339411,44.891066270237026,31.71916356783138,48.15091779025241,410.3944847971331
lymphography,21.78050371987758,24.824466214063353,51.094414272650845,41.515615548428855,82.45138987461313,324.5685254383658
magic,1009.8501090532053,1809.3016997735156,1788.788770386432,615.4985217180322,7790.443438770367,7741.2525383300635
mammographic,25.39468314045907,112.09431941321851,19.098695384118194,51.628322075495326,201.27913359918284,353.1014204348852
miniboone,75791.2345671121,57064.584209968874,140068.3478023816,77683.5688320925,2281088.5321049,1014609.2461145583
molec-biol-promoter,30.208733653633004,50.06907548002898,53.103897784206666,51.09024631439564,60.52500570633525,777.3056193297459
molec-biol-splice,35.27622396742618,314.77496457184895,444.7415802888095,312.527792904525,2527.7922805697153,18097.659332125193
monks-1,42.85800221306917,22.269373911142026,28.780346984122502,49.65915857327302,94.06459599560084,126.34495620935145
monks-2,26.888129464819993,25.479063520290918,27.024630290764883,70.87131150402972,159.77444911527246,158.246852375641
monks-3,49.99327182765491,20.17330885574252,48.51448066890023,56.465946819689215,142.19906677102847,150.48044897705216
mushroom,120.47314856810033,224.30400094044825,241.76471492798584,565.6041211199716,3633.444526123759,14368.543604404193
musk-1,200.75593163187702,79.97755067464648,328.5330046383657,482.3357449161138,1964.796277554611,27391.028646719926
musk-2,1734.6683202826375,648.7744031111541,5683.528329471644,3058.579994654317,24387.905590068607,218033.52498759123
nursery,68.30462959878501,526.122117880682,445.249804858159,1829.8180288573153,2944.7650102226203,4804.380642926106
oocytes_merluccius_nucleus_4d,99.01022763512768,195.0758649555267,206.1451714796512,482.77142934763356,672.9255218847828,2575.3488496897116
oocytes_merluccius_states_2f,38.48791902433139,133.59995397189516,160.16734181231917,313.6697429133741,1013.4305720571504,948.409983751663
oocytes_trisopterus_nucleus_2f,165.13730573109027,75.31001700110099,216.53915712165607,353.3167865456606,793.4694941875565,2002.5071173444412
oocytes_trisopterus_states_5b,1073.7841103050541,149.41794207354636,156.8280546456599,353.2539659958163,720.2140964057495,2414.9569710288924
optical,38.27267079193081,586.668423197094,1316.508513726651,6028.849585528889,45430.66099883738,31390.581161902042
ozone,266.5572260196248,147.9432813132048,292.15362802630966,1052.7973312366414,3782.9947902590397,162155.9017823369
page-blocks,53.47619950075362,337.4859397327138,638.8774327588281,1071.614042983092,3977.1020190036043,3490.979055919903
parkinsons,17.845220813487433,16.543608330113866,13.377440377431585,70.24429352669081,76.5239798824742,302.60514844303185
pendigits,44.8709943972766,983.213600329753,1224.108584765726,5495.787370191957,17898.119658628413,219904.20247327557
pima,7.2189393857325905,93.3774404155365,81.57553543636541,103.83929923770218,277.0187835469836,1067.1778924025436
pittsburg-bridges-MATERIAL,27.410485594188437,30.870518422282544,37.65136215091403,57.02272467451531,39.2731604103936,86.83883689282247
pittsburg-bridges-REL-L,16.709758609810827,105.89147959951907,50.241784899279025,34.90212487741752,51.657686286065804,151.43623746010758
pittsburg-bridges-SPAN,8.731508834258554,82.97419622900847,54.593102978576795,45.667497828179336,23.506541024292673,293.55502592491075
pittsburg-bridges-T-OR-D,30.186805433419885,54.51015902521661,30.650860803413,27.1609022446971,27.914915973119584,156.9512660043691
pittsburg-bridges-TYPE,10.229938056737256,62.704274676006825,65.43530100408954,35.00678932929668,47.69317475991939,445.8302142145809
planning,13.476530645082502,24.60256888038431,47.56988792902696,29.04364096475375,118.48471677695461,738.3317537558474
plant-margin,39.742841174501066,755.4842556786767,2308.485707561835,6777.502165555551,166591.17278356152,238299.26195573813
plant-shape,42.77900047959007,1421.3044136264175,2897.545266009171,10507.59285532064,223572.80457010944,1602709.0157561777
plant-texture,40.67274468475684,603.6991767904632,1418.102892036225,11827.412782933452,124720.07522093526,364561.03715176595
post-operative,26.64838705683619,65.89644038118135,44.67413257880238,24.93331265014953,32.00863911958325,696.0455486010488
primary-tumor,22.398820615827702,39.03430129395489,161.61169319090754,352.247353507656,629.6300839872627,3610.3535315040253
ringnorm,222.55274710794814,1405.4031702607513,1467.7126585862743,2596.4550642718295,3037.9997847703708,6292.870833987277
seeds,36.59960557555533,25.13122146500929,52.45809864221062,34.95228460620966,97.18572009702508,911.200561040807
semeion,17.72636941709327,215.2478495621156,1472.4344689249344,8377.230393271093,30743.77195807142,119120.95646843937
soybean,23.326251403365127,103.86328331448063,176.89385220334952,1037.4503895954444,2363.9833818138195,6075.326535347618
spambase,415.2906363536495,330.75314401683556,1006.7474654920564,1637.3957885558748,4059.2717111192346,22058.874458447164
spect,28.36294780544177,21.524337280624962,46.09494711401452,80.26100994899049,99.19422928176257,263.57132490220397
spectf,18.99168921949232,19.721518563378122,39.16014637549496,139.13894984759148,205.5333190645295,793.2980735981623
statlog-australian-credit,57.725992994350726,66.79485108796008,95.44449872126842,119.26191764876661,267.17501888060514,429.05270253979313
statlog-german-credit,27.390286440606914,125.27956085439617,220.29874978446793,145.17741134229695,232.29773123666314,1173.0064678296017
statlog-heart,42.537255677387016,20.34531900931871,49.58408539626488,71.50670649321975,51.4110497029011,198.55656038759906
statlog-image,42.985248578616854,151.45658059003338,207.50138139916345,834.260802547365,2380.488945597313,27740.814379231226
statlog-landsat,32.269382966117725,701.5425588265152,1301.1204073747624,2839.5994339947615,12985.769337092635,17347.342803840183
statlog-shuttle,173.34393098656395,4235.894299959571,1912.8821432079055,4652.176404065093,268008.6056106207,305185.5331112294
statlog-vehicle,29.815032692870744,171.39151246669672,154.27271960193139,249.7123160048878,707.862506877329,1147.6062653701524
steel-plates,31.242353514281174,200.72092875423021,449.5029024172761,1031.6586776400186,5332.534130982579,1353401.391401807
synthetic-control,31.9891617471144,75.5834587197544,284.4184766332872,308.7065278446999,1769.843798792917,2507.4563780625563
teaching,14.090435551530318,51.08568347313596,55.81356356785441,80.23182481237453,44.72589588937099,223.12867906319653
thyroid,1794.4424858957286,264.67796270407916,178.27406915776257,677.9063971115942,3074.692397833324,7232.296809260611
tic-tac-toe,58.071801738565966,115.11154973323464,121.83688386793308,54.19092757712001,232.5685537572265,370.72591113118574
titanic,57.49141609046487,132.7818933808905,80.82223809325876,90.64263819080783,218.40109318335965,245.92082332985578
trains,10.458859295408773,35.575868845829,11.700507910673545,52.514211177963624,29.492733873604855,92.7847258723148
twonorm,675.6002201055451,892.6853637289647,1048.8054048165995,533.7443332348877,4022.1687018578396,5203.32641938424
vertebral-column-2clases,16.719694634295323,15.107628340472953,17.952681630955546,50.73999102009488,49.729476478236734,68.59213139869456
vertebral-column-3clases,49.15144195677739,18.84174839589748,26.595281717669334,39.22247061410423,197.13604641477107,151.72470669913824
wall-following,44.60382679309427,349.3432995986524,364.88454424362146,1128.7685213568805,7472.514729819645,8919.18879343199
waveform,53.06218680965787,511.7225922931592,667.0899492449225,1829.4298622003232,5173.1688745116035,6477.416473860266
waveform-noise,64.3371684625501,631.1731373167493,951.6054189968772,2223.0852006528407,3097.418121365984,12200.675287201944
wine,35.703476415314846,33.36328084525816,30.26515631301273,33.35893487160651,111.22977126824573,131.0688471650592
wine-quality-red,38.801931536341286,209.09063289572416,124.59697906236163,373.34307654086206,2007.7514735494467,1421.8586989184325
wine-quality-white,43.28876796226953,836.730911213345,840.9435166733635,1166.1467700463104,5830.96992945424,3284.6695363724516
yeast,24.330543005556013,179.99182349345847,209.25626225968676,681.6960847503759,1402.3013343859798,1324.1399657662587
zoo,7.91064346394529,26.024481029672234,51.887707105290346,81.28057288512176,141.2175343595218,437.59826170470893
