TRAINTrainTimesSTDDEVS:,AdaBoost,RandF,Bagging,XGBoost,LogitBoost,CAWPE-S
abalone,37.799423490611574,381.2659506117657,523.882746815526,508.53445866747404,1392.0150552166021,910.6102346110006
acute-inflammation,31.17886710412313,38.92209045390355,49.060036730786024,69.51815650102769,20.249725531116702,44.38338785411108
acute-nephritis,25.671770184388567,48.22119901673774,41.15013638756077,50.75867023257952,107.25326017081109,48.361339613994375
adult,8783.96212149576,2829.400478177446,5039.613521260452,5858.968834500435,47965.09568918541,37745.67547375631
annealing,8.582022733984537,61.2462087208755,85.88672857445192,426.1541516176829,715.35047524616,3019.1248518785947
arrhythmia,18.291289750534283,119.09094111447978,545.4269470384625,1941.6570361946272,3768.6391569262973,71931.45201374209
audiology-std,12.360084327095732,116.6474476737849,187.8320428950444,381.4914850004323,10342.139936237309,5753.568130820926
balance-scale,20.20254347414368,22.257173700494835,36.8408941763261,51.88752904663974,206.30254696707868,146.51450856705577
balloons,33.6417009627499,41.63232444747073,21.897717499641296,75.12756053944851,114.44692158958817,34.340094861559415
bank,70.85674132376283,267.9432624461965,369.52991635691643,560.0904783775223,2545.46920417192,1881.6341258143489
blood,44.03962942948242,68.11294826707375,49.06247095747227,134.44510942494375,110.86754375227336,89.46901657978961
breast-cancer,51.96505757879409,38.133271800220484,21.350331685469506,50.2278082606638,86.78933775191794,91.15889118935415
breast-cancer-wisc,45.913844885419316,20.181625878941638,48.717646266645495,105.26819350100997,292.46720766323705,181.63338028955494
breast-cancer-wisc-diag,30.682887821517298,38.803100229284034,89.60781068078764,147.5818032720927,363.3578763921043,752.5647219187643
breast-cancer-wisc-prog,31.872889797812775,32.0737027455348,143.07925665908726,116.84655007490346,139.10942796753372,373.70868421766266
breast-tissue,12.391979967042442,31.51845144731995,34.61959964322875,91.84119610834111,144.76427711829945,287.7225098020071
car,48.7643815056672,206.12332948865105,96.12225025822652,256.0138300704469,439.72925673690185,418.3630320124515
cardiotocography-3clases,37.43608245888849,208.96173057942465,170.00153635473222,485.4226147845695,1020.5851252735293,2518.863994109646
cardiotocography-10clases,25.106468084499838,283.49817685870113,254.24037107755825,5230.8483062374125,2868.4705024883488,1067536.0287038076
chess-krvk,31.566566814126347,471.708244205715,2556.8230157940507,18458.194354026647,24840.647465054462,71512.43974044571
chess-krvkp,88.23977875901208,180.98651564450745,298.66761885369704,416.23441493060983,2068.889752551681,6693.366173405039
congressional-voting,26.621250584247274,25.7044708755321,45.02398601157155,155.19464992224354,124.37928568199396,408.8344167344968
conn-bench-sonar-mines-rocks,61.960642002613156,27.789764356277367,128.56527698240467,97.46795768474226,291.956332663878,2081.3753486284836
conn-bench-vowel-deterding,21.190250564552557,127.74540408199323,146.35513643129096,238.1703478239944,5758.626998092477,2463888.870575661
connect-4,35110.23641620839,5030.754667305523,13528.685812076646,10267.424073470096,1908220.7925214816,436125.02008008864
contrac,26.27827223888641,281.3803009071015,131.3671504960077,163.8938389643577,734.5366848428833,271.917307981526
credit-approval,15.363012197102698,27.499992383156705,144.24599258307143,137.93899162985457,217.7160951606574,741.1495078222601
cylinder-bands,41.207204495846014,38.44626919288073,95.41926805876332,104.81477588587202,283.14468476912685,1226.169540889755
dermatology,17.018101649247516,7.031814381068591,116.84056600736233,124.8026612039553,512.4128655209412,941.5593016587408
echocardiogram,52.62984467974877,48.74899532480025,70.40485812251143,62.89278557225474,37.96268314727163,170.68509073217447
ecoli,11.610486109181961,17.800657408180438,13.649490960017678,71.45253801784142,204.24671268387578,527.7479657871064
energy-y1,30.277950432988273,26.891280411908262,60.82984242735396,100.07056995932278,240.06634758391516,456.8132064980372
energy-y2,39.11714973537095,48.650688187119336,23.4148859871649,102.84218340206907,195.16530431438463,844.1257297958344
fertility,60.95791099457716,15.03880843655327,10.098768177016641,29.93053299665676,22.61865157503461,309.65710325446287
