TRAINACC,CAWPE,MLP,SVML,NN,C4.5,Logistic
avgOverDsets:,0.8134302411475007,0.7789326440092544,0.7651097880538631,0.7719859551375027,0.7560229816046891,0.755944279777336
stddevOverDsets:,0.14512352971570885,0.16306619505190548,0.16488800706607484,0.15786951348763786,0.17931859338874018,0.16568507157235518
avgStddevsOverFolds:,0.026315091343797413,0.030357786707652223,0.02794996620131798,0.029428756557265172,0.029027611766834795,0.028387559293827597
avgRankOverDsets:,1.4958677685950412,3.669421487603306,3.71900826446281,3.871900826446281,4.115702479338843,4.128099173553719
stddevsRankOverDsets:,0.669252903643916,1.2723890243165032,1.4802766661217293,1.6488997918054265,1.8140198576854487,1.4965640169232024

flat,CAWPE,MLP,SVML,NN,C4.5,Logistic
CAWPE,0|121|0,115|2|4,107|1|13,107|1|13,105|0|16,108|2|11
MLP,4|2|115,0|121|0,66|1|54,64|1|56,71|0|50,74|2|45
SVML,13|1|107,54|1|66,0|121|0,65|0|56,70|1|50,72|1|48
NN,13|1|107,56|1|64,56|0|65,0|121|0,69|0|52,62|1|58
C4.5,16|0|105,50|0|71,50|1|70,52|0|69,0|121|0,59|1|61
Logistic,11|2|108,45|2|74,48|1|72,58|1|62,61|1|59,0|121|0



p=0.01,CAWPE,MLP,SVML,NN,C4.5,Logistic
CAWPE,0|121|0,82|38|1,71|48|2,80|35|6,85|28|8,82|36|3
MLP,1|38|82,0|121|0,46|46|29,41|47|33,49|35|37,48|49|24
SVML,2|48|71,29|46|46,0|121|0,42|44|35,52|33|36,41|57|23
NN,6|35|80,33|47|41,35|44|42,0|121|0,46|38|37,46|42|33
C4.5,8|28|85,37|35|49,36|33|52,37|38|46,0|121|0,43|36|42
Logistic,3|36|82,24|49|48,23|57|41,33|42|46,42|36|43,0|121|0



p=0.05,CAWPE,MLP,SVML,NN,C4.5,Logistic
CAWPE,0|121|0,92|27|2,75|42|4,86|28|7,92|19|10,89|29|3
MLP,2|27|92,0|121|0,51|34|36,47|35|39,54|29|38,54|40|27
SVML,4|42|75,36|34|51,0|121|0,45|37|39,55|26|40,46|49|26
NN,7|28|86,39|35|47,39|37|45,0|121|0,52|32|37,49|35|37
C4.5,10|19|92,38|29|54,40|26|55,37|32|52,0|121|0,49|25|47
Logistic,3|29|89,27|40|54,26|49|46,37|35|49,47|25|49,0|121|0



T TEST,CAWPE,MLP,SVML,NN,C4.5,Logistic
CAWPE,0.0,0.0,0.0,0.0,0.0,0.0
MLP,0.0,0.0,0.00494444,0.16854161,0.00842299,2.924E-5
SVML,0.0,0.0,0.0,0.25396933,0.33865699,0.01413321
NN,0.0,0.0,0.0,0.0,0.0760121,0.01715739
C4.5,0.0,0.0,0.0,0.0,0.0,0.99372838
Logistic,0.0,0.0,0.0,0.0,0.0,0.0

SIGN TEST,CAWPE,MLP,SVML,NN,C4.5,Logistic
CAWPE,0.0,0.0,0.0,0.0,0.0,0.0
MLP,0.0,0.0,0.27531289,0.4670589,0.05625037,0.00837999
SVML,0.0,0.0,0.0,0.41325338,0.06903637,0.02912296
NN,0.0,0.0,0.0,0.0,0.12223637,0.71612957
C4.5,0.0,0.0,0.0,0.0,0.0,0.85572542
Logistic,0.0,0.0,0.0,0.0,0.0,0.0

SIGN RANK TEST,CAWPE,MLP,SVML,NN,C4.5,Logistic
CAWPE,0.0,0.0,0.0,0.0,0.0,0.0
MLP,0.0,0.0,0.04347184,0.25680701,0.0078066,2.0735E-4
SVML,0.0,0.0,0.0,0.57901336,0.09843137,0.00693282
NN,0.0,0.0,0.0,0.0,0.11371625,0.08484952
C4.5,0.0,0.0,0.0,0.0,0.0,0.84428521
Logistic,0.0,0.0,0.0,0.0,0.0,0.0

NOSIGDIFFERENCE,CAWPE,MLP,SVML,NN,C4.5,Logistic
CAWPE,true,false,false,false,false,false
MLP,false,true,true,true,false,false
SVML,false,true,true,true,true,false
NN,false,true,true,true,true,true
C4.5,false,false,true,true,true,true
Logistic,false,false,false,true,true,true



cliques = [0 1 1 1 0 0 
0 0 1 1 1 0 
0 0 0 1 1 1 
]

