SMLRE-S_VS_SMLRE-S
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

SMLRE-S_VS_ES-S
Wins(32):,arrhythmia,audiology-std,balloons,breast-tissue,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,dermatology,ecoli,flags,glass,hayes-roth,heart-cleveland,heart-switzerland,heart-va,lenses,libras,low-res-spect,lung-cancer,lymphography,molec-biol-promoter,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-TYPE,plant-margin,plant-texture,post-operative,primary-tumor,seeds,teaching,trains,vertebral-column-3clases,wine-quality-red
Draws(47):,acute-inflammation,acute-nephritis,annealing,balance-scale,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,cardiotocography-3clases,cardiotocography-10clases,chess-krvkp,contrac,cylinder-bands,echocardiogram,fertility,heart-hungarian,hepatitis,horse-colic,image-segmentation,ionosphere,iris,monks-3,mushroom,musk-1,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,page-blocks,parkinsons,pendigits,pittsburg-bridges-MATERIAL,pittsburg-bridges-T-OR-D,planning,soybean,spect,spectf,statlog-heart,statlog-image,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,tic-tac-toe,vertebral-column-2clases,wall-following,wine,yeast,zoo
Losses(42):,abalone,adult,bank,blood,breast-cancer,car,chess-krvk,congressional-voting,connect-4,credit-approval,energy-y1,energy-y2,haberman-survival,hill-valley,ilpd-indian-liver,led-display,letter,magic,mammographic,miniboone,molec-biol-splice,monks-1,monks-2,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,ozone,pima,plant-shape,ringnorm,semeion,spambase,statlog-australian-credit,statlog-german-credit,statlog-landsat,thyroid,titanic,twonorm,waveform,waveform-noise,wine-quality-white

SMLRE-S_VS_SMM5-S
Wins(17):,arrhythmia,balloons,breast-tissue,congressional-voting,contrac,ecoli,flags,glass,led-display,libras,lymphography,planning,plant-margin,plant-texture,primary-tumor,soybean,vertebral-column-3clases
Draws(88):,abalone,acute-inflammation,acute-nephritis,adult,audiology-std,balance-scale,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,car,chess-krvkp,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,credit-approval,cylinder-bands,dermatology,echocardiogram,energy-y1,energy-y2,fertility,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,horse-colic,ilpd-indian-liver,ionosphere,iris,lenses,low-res-spect,lung-cancer,magic,mammographic,miniboone,molec-biol-promoter,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,post-operative,ringnorm,seeds,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,zoo
