TRAINTESTDIFFSBALACCRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
heart-hungarian,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,15.0,13.0,12.0,14.0,16.0
heart-switzerland,1.0,3.0,2.0,4.0,5.0,6.0,7.0,9.0,8.0,11.0,16.0,10.0,12.0,13.0,14.0,15.0,17.0
heart-va,3.0,4.0,1.0,2.0,5.0,6.0,7.0,8.0,9.0,12.0,11.0,10.0,13.0,14.0,15.0,16.0,17.0
hepatitis,1.0,2.0,4.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
hill-valley,15.0,16.0,17.0,13.0,14.0,12.0,11.0,9.0,10.0,8.0,6.0,7.0,5.0,4.0,3.0,2.0,1.0
horse-colic,2.0,3.0,1.0,4.0,5.0,6.0,7.0,12.0,14.0,15.0,17.0,16.0,13.0,9.0,11.0,8.0,10.0
ilpd-indian-liver,15.0,14.0,12.0,11.0,10.0,9.0,6.0,7.0,4.0,5.0,16.0,2.0,3.0,1.0,8.0,13.0,17.0
image-segmentation,5.0,3.0,6.0,7.0,4.0,15.0,14.0,11.0,10.0,9.0,1.0,12.0,13.0,2.0,8.0,16.0,17.0
ionosphere,10.0,6.0,3.0,5.0,2.0,4.0,9.0,8.0,14.0,17.0,1.0,16.0,15.0,12.0,7.0,11.0,13.0
iris,1.5,1.5,3.5,3.5,5.5,5.5,10.0,7.0,10.0,10.0,17.0,10.0,10.0,13.0,14.0,15.0,16.0
led-display,2.0,1.0,3.0,5.0,4.0,6.0,8.0,9.0,10.0,7.0,17.0,11.0,13.0,12.0,14.0,15.0,16.0
lenses,1.0,2.0,3.0,5.0,6.0,4.0,7.5,7.5,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
letter,15.0,15.0,15.0,15.0,15.0,12.0,11.0,10.0,7.0,5.0,1.0,2.0,4.0,3.0,6.0,8.0,9.0
libras,14.0,13.0,9.0,10.0,12.0,7.0,6.0,5.0,3.0,1.0,2.0,4.0,8.0,11.0,15.0,16.0,17.0
low-res-spect,1.0,2.0,3.0,4.0,9.0,11.0,5.0,6.0,7.0,8.0,17.0,10.0,12.0,15.0,14.0,16.0,13.0
lung-cancer,1.0,2.5,2.5,4.0,5.5,5.5,7.0,8.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
lymphography,12.0,13.0,4.0,3.0,7.0,2.0,5.0,8.0,6.0,1.0,17.0,9.0,10.0,11.0,14.0,15.0,16.0
magic,13.0,7.0,10.0,12.0,15.0,14.0,16.0,9.0,11.0,8.0,17.0,5.0,2.0,4.0,3.0,6.0,1.0
mammographic,1.0,3.0,2.0,6.0,8.0,4.0,5.0,7.0,9.0,10.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0
miniboone,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,17.0,6.0,5.0,4.0,3.0,2.0,1.0
molec-biol-promoter,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0,17.0,11.0,12.0,14.0,13.0,15.0,16.0
molec-biol-splice,9.0,6.0,2.0,1.0,5.0,3.0,4.0,7.0,8.0,11.0,17.0,12.0,10.0,15.0,16.0,14.0,13.0
monks-1,16.0,15.0,14.0,10.0,8.0,7.0,9.0,11.5,13.0,17.0,1.0,11.5,6.0,5.0,4.0,3.0,2.0
monks-2,2.0,3.0,10.0,8.0,11.0,7.0,5.0,9.0,6.0,4.0,1.0,12.0,14.0,13.0,15.0,16.0,17.0
monks-3,10.0,9.0,7.0,3.0,8.0,2.0,1.0,5.0,6.0,11.0,4.0,12.0,13.0,14.0,15.0,17.0,16.0
mushroom,1.0,2.0,4.0,5.0,8.0,6.0,7.0,9.0,10.0,11.0,3.0,12.0,13.0,14.0,15.0,16.0,17.0
musk-1,6.0,3.0,2.0,7.0,12.0,10.0,14.0,16.0,17.0,13.0,15.0,11.0,8.0,5.0,9.0,4.0,1.0
musk-2,15.0,9.0,7.0,14.0,12.0,11.0,10.0,8.0,4.0,3.0,1.0,16.0,17.0,13.0,5.0,6.0,2.0
nursery,1.0,2.0,5.0,7.0,6.0,8.0,9.0,11.0,14.0,12.0,17.0,16.0,13.0,15.0,10.0,4.0,3.0
oocytes_merluccius_nucleus_4d,5.0,6.0,7.0,3.0,2.0,1.0,4.0,11.0,10.0,8.0,17.0,9.0,12.0,15.0,16.0,14.0,13.0
oocytes_merluccius_states_2f,6.0,4.0,3.0,1.0,8.0,11.0,14.0,5.0,10.0,15.0,2.0,13.0,9.0,16.0,17.0,12.0,7.0
oocytes_trisopterus_nucleus_2f,2.0,3.0,4.0,5.0,7.0,1.0,8.0,6.0,9.0,10.0,16.0,11.0,12.0,15.0,13.0,17.0,14.0
oocytes_trisopterus_states_5b,8.0,10.0,2.0,3.0,12.0,13.0,15.0,14.0,16.0,17.0,1.0,9.0,11.0,7.0,6.0,4.0,5.0
optical,5.0,8.0,15.0,4.0,3.0,2.0,14.0,6.0,1.0,12.0,7.0,9.0,11.0,13.0,10.0,16.0,17.0
ozone,1.0,2.0,9.5,8.0,9.5,3.0,6.0,5.0,7.0,11.0,17.0,4.0,12.0,13.0,14.0,15.0,16.0
page-blocks,17.0,16.0,14.0,15.0,11.0,12.0,13.0,10.0,5.0,3.0,1.0,2.0,4.0,7.0,9.0,8.0,6.0
parkinsons,3.0,1.0,2.0,5.0,4.0,6.0,7.0,10.0,9.0,8.0,11.0,12.0,13.0,16.0,14.0,17.0,15.0
pendigits,12.0,16.0,8.0,13.0,17.0,11.0,10.0,14.0,9.0,7.0,1.0,3.0,4.0,5.0,6.0,2.0,15.0
pima,1.0,2.0,3.0,4.0,8.0,6.0,5.0,11.0,7.0,9.0,12.0,10.0,13.0,14.0,16.0,15.0,17.0
pittsburg-bridges-MATERIAL,1.0,2.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0,15.0,11.0,12.0,13.0,14.0,17.0,16.0
pittsburg-bridges-REL-L,1.0,2.0,3.0,5.0,4.0,6.0,7.0,11.0,9.0,8.0,14.0,10.0,12.0,13.0,15.0,16.0,17.0
pittsburg-bridges-SPAN,1.0,2.0,5.0,4.0,3.0,7.0,6.0,8.0,9.0,11.0,17.0,10.0,12.0,14.0,13.0,15.0,16.0
pittsburg-bridges-T-OR-D,2.0,1.0,3.0,4.5,4.5,6.0,7.0,8.0,10.0,9.0,17.0,11.0,12.0,13.0,14.0,16.0,15.0
pittsburg-bridges-TYPE,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,11.0,15.0,9.0,13.0,17.0,12.0,16.0,14.0
planning,3.0,1.0,4.0,2.0,5.0,6.0,8.0,10.0,9.0,11.0,15.0,13.0,12.0,16.0,17.0,14.0,7.0
plant-margin,1.0,2.0,3.0,7.0,6.0,4.0,9.0,5.0,10.0,15.0,8.0,12.0,11.0,13.0,14.0,16.0,17.0
plant-shape,9.0,10.0,11.0,7.0,8.0,5.0,6.0,3.0,4.0,1.0,2.0,13.0,12.0,16.0,15.0,14.0,17.0
plant-texture,1.0,2.0,3.0,5.0,4.0,11.0,12.0,14.0,10.0,6.0,17.0,7.0,9.0,15.0,13.0,8.0,16.0
post-operative,1.0,2.0,4.0,3.0,6.0,9.0,5.0,7.0,8.0,10.0,12.0,13.0,11.0,14.0,15.0,17.0,16.0
primary-tumor,2.0,1.0,6.0,4.0,3.0,5.0,7.0,8.0,9.0,10.0,17.0,12.0,11.0,13.0,14.0,15.0,16.0
ringnorm,1.0,2.0,3.0,5.0,4.0,9.0,12.0,10.0,11.0,8.0,17.0,6.0,7.0,13.0,14.0,15.0,16.0
seeds,2.0,3.0,6.0,9.0,5.0,1.0,4.0,10.0,8.0,7.0,13.0,11.0,12.0,14.0,15.0,16.0,17.0
semeion,5.0,11.0,12.0,8.0,16.0,15.0,14.0,13.0,7.0,10.0,6.0,4.0,3.0,2.0,1.0,9.0,17.0
soybean,5.0,7.0,10.0,13.0,9.0,3.0,2.0,1.0,8.0,4.0,17.0,6.0,12.0,16.0,11.0,14.0,15.0
spambase,2.0,3.0,4.0,5.0,6.0,9.0,8.0,7.0,10.0,13.0,1.0,14.0,11.0,17.0,15.0,12.0,16.0
spect,3.0,1.0,2.0,5.0,6.0,4.0,7.0,8.0,9.0,12.0,13.0,14.0,11.0,10.0,15.0,16.0,17.0
spectf,14.0,13.0,11.0,9.0,7.0,3.0,4.0,8.0,5.0,2.0,17.0,1.0,6.0,10.0,12.0,15.0,16.0
statlog-australian-credit,1.0,2.0,3.0,4.0,6.0,5.0,9.0,8.0,7.0,11.0,10.0,14.0,13.0,16.0,15.0,12.0,17.0
statlog-german-credit,2.0,1.0,7.0,3.0,4.0,5.0,6.0,12.0,13.0,11.0,8.0,10.0,9.0,14.0,16.0,15.0,17.0
statlog-heart,3.0,1.0,2.0,4.0,6.0,5.0,7.0,8.0,9.0,11.0,12.0,10.0,13.0,14.0,15.0,17.0,16.0
statlog-image,1.0,4.0,3.0,2.0,5.0,6.0,7.0,9.5,8.0,16.0,17.0,13.0,12.0,9.5,15.0,11.0,14.0
statlog-landsat,17.0,15.0,13.0,11.0,10.0,3.0,5.0,7.0,9.0,6.0,4.0,2.0,1.0,8.0,12.0,16.0,14.0
statlog-shuttle,2.0,3.0,4.0,5.0,6.0,13.0,9.0,7.0,8.0,10.0,1.0,12.0,11.0,15.0,16.0,14.0,17.0
statlog-vehicle,1.0,3.0,5.0,7.0,2.0,6.0,4.0,8.0,9.0,11.0,17.0,10.0,12.0,13.0,14.0,15.0,16.0
steel-plates,3.0,2.0,1.0,8.0,5.0,4.0,6.0,9.0,11.0,10.0,7.0,12.0,13.0,15.0,17.0,16.0,14.0
synthetic-control,13.5,13.5,11.0,10.0,3.5,8.0,6.5,5.0,3.5,9.0,2.0,15.0,16.0,17.0,12.0,1.0,6.5
teaching,4.0,3.0,1.0,2.0,5.0,6.0,8.0,7.0,9.0,10.0,16.0,11.0,12.0,13.0,14.0,15.0,17.0
thyroid,8.0,6.0,5.0,2.0,4.0,7.0,3.0,10.0,11.0,14.0,1.0,17.0,9.0,12.0,15.0,16.0,13.0
tic-tac-toe,2.0,3.5,3.5,5.5,5.5,11.5,11.5,16.0,16.0,16.0,1.0,11.5,11.5,11.5,11.5,7.5,7.5
titanic,10.0,9.0,14.0,14.0,14.0,12.0,17.0,8.0,16.0,11.0,1.0,7.0,6.0,3.5,3.5,3.5,3.5
trains,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,17.0,11.0,12.5,12.5,14.0,15.0,16.0
twonorm,1.0,2.0,4.0,7.0,10.0,11.0,8.0,9.0,15.0,16.0,17.0,14.0,12.0,5.0,3.0,6.0,13.0
vertebral-column-2clases,2.0,4.5,4.5,3.0,6.0,8.0,7.0,9.0,11.0,10.0,1.0,13.0,12.0,14.0,15.0,16.0,17.0
vertebral-column-3clases,3.0,2.0,1.0,4.0,7.0,6.0,5.0,8.0,9.0,13.0,11.0,12.0,10.0,14.0,15.0,17.0,16.0
wall-following,14.5,14.5,12.0,16.5,16.5,11.0,10.0,9.0,13.0,8.0,1.0,6.0,2.0,4.0,5.0,3.0,7.0
waveform,4.0,3.0,2.0,1.0,5.0,7.0,15.0,13.0,12.0,6.0,14.0,10.0,9.0,8.0,11.0,16.0,17.0
waveform-noise,7.0,5.0,1.0,6.0,2.0,4.0,3.0,8.0,9.0,10.0,12.0,14.0,11.0,16.0,13.0,15.0,17.0
wine,1.0,2.0,3.0,4.5,4.5,10.0,7.0,9.0,6.0,8.0,17.0,11.5,11.5,14.0,13.0,16.0,15.0
wine-quality-red,3.0,2.0,1.0,4.0,10.0,6.0,7.0,8.0,9.0,11.0,5.0,16.0,12.0,15.0,13.0,14.0,17.0
wine-quality-white,13.0,12.0,8.0,6.0,2.0,3.0,4.0,7.0,5.0,11.0,1.0,17.0,15.0,14.0,16.0,9.0,10.0
yeast,2.0,4.0,3.0,7.0,5.0,6.0,8.0,9.0,11.0,10.0,1.0,12.0,13.0,14.0,15.0,16.0,17.0
zoo,2.5,2.5,4.0,5.0,12.5,12.5,6.0,9.0,9.0,9.0,1.0,9.0,9.0,14.0,15.0,16.0,17.0
