TRAINTESTDIFFSBALACC,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
CAWPE_alpha=10,0|120|1,0|120|1,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,12|104|5,0|120|1,0|120|1,0|120|1,1|119|1,1|119|1,3|116|2
CAWPE_alpha=9,0|120|1,0|120|1,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,12|104|5,0|121|0,0|120|1,0|120|1,1|119|1,2|118|1,4|116|1
CAWPE_alpha=8,0|120|1,0|120|1,0|120|1,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,10|106|5,0|121|0,0|120|1,0|120|1,1|119|1,2|118|1,3|117|1
CAWPE_alpha=7,0|120|1,0|120|1,0|120|1,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,9|107|5,0|121|0,0|120|1,0|120|1,1|119|1,2|118|1,3|117|1
CAWPE_alpha=6,1|119|1,0|120|1,0|120|1,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,10|106|5,0|121|0,0|121|0,0|121|0,0|120|1,0|121|0,3|117|1
CAWPE_pb,3|104|14,3|104|14,3|105|13,4|104|13,4|104|13,5|104|12,5|104|12,5|106|10,5|107|9,5|106|10,0|121|0,6|106|9,6|105|10,6|107|8,6|107|8,5|110|6,5|110|6
CAWPE_alpha=5,2|118|1,1|119|1,0|120|1,0|121|0,0|121|0,1|120|0,0|121|0,0|121|0,0|121|0,0|121|0,9|106|6,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,2|119|0
CAWPE_alpha=4,2|117|2,2|118|1,1|119|1,1|120|0,1|120|0,1|120|0,1|120|0,1|120|0,1|120|0,0|121|0,10|105|6,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,2|119|0
CAWPE_alpha=3,2|117|2,2|118|1,2|118|1,2|119|0,1|120|0,1|120|0,1|120|0,1|120|0,1|120|0,0|121|0,8|107|6,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,1|120|0
CAWPE_alpha=2,2|117|2,2|117|2,2|117|2,2|118|1,1|119|1,1|119|1,1|119|1,1|119|1,1|119|1,1|120|0,8|107|6,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,1|120|0
CAWPE_alpha=1,3|114|4,2|115|4,2|114|5,3|116|2,2|117|2,1|119|1,1|118|2,1|118|2,1|118|2,0|121|0,6|110|5,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0,0|121|0
CAWPE_eq,3|108|10,2|111|8,2|112|7,3|112|6,2|113|6,2|116|3,1|116|4,1|117|3,1|117|3,1|117|3,6|110|5,0|119|2,0|119|2,0|120|1,0|120|1,0|121|0,0|121|0



T TEST,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
