CAWPE(RandTie)_VS_CAWPE(RandTie)
Wins(0):
Draws(85):,Adiac,ArrowHead,Beef,BeetleFly,BirdChicken,Car,CBF,ChlorineConcentration,CinCECGtorso,Coffee,Computers,CricketX,CricketY,CricketZ,DiatomSizeReduction,DistalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,DistalPhalanxTW,Earthquakes,ECG200,ECG5000,ECGFiveDays,ElectricDevices,FaceAll,FaceFour,FacesUCR,FiftyWords,Fish,FordA,FordB,GunPoint,Ham,HandOutlines,Haptics,Herring,InlineSkate,InsectWingbeatSound,ItalyPowerDemand,LargeKitchenAppliances,Lightning2,Lightning7,Mallat,Meat,MedicalImages,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,MiddlePhalanxTW,MoteStrain,NonInvasiveFetalECGThorax1,NonInvasiveFetalECGThorax2,OliveOil,OSULeaf,PhalangesOutlinesCorrect,Phoneme,Plane,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,ProximalPhalanxTW,RefrigerationDevices,ScreenType,ShapeletSim,ShapesAll,SmallKitchenAppliances,SonyAIBORobotSurface1,SonyAIBORobotSurface2,StarlightCurves,Strawberry,SwedishLeaf,Symbols,SyntheticControl,ToeSegmentation1,ToeSegmentation2,Trace,TwoLeadECG,TwoPatterns,UWaveGestureLibraryAll,UWaveGestureLibraryX,UWaveGestureLibraryY,UWaveGestureLibraryZ,Wafer,Wine,WordSynonyms,Worms,WormsTwoClass,Yoga
Losses(0):

CAWPE(RandTie)_VS_CAWPE(ConTie)
Wins(17):,Adiac,ChlorineConcentration,CinCECGtorso,FordA,FordB,HandOutlines,MiddlePhalanxOutlineCorrect,MiddlePhalanxTW,NonInvasiveFetalECGThorax1,NonInvasiveFetalECGThorax2,PhalangesOutlinesCorrect,SwedishLeaf,SyntheticControl,ToeSegmentation2,TwoPatterns,UWaveGestureLibraryAll,Wafer
Draws(65):,ArrowHead,Beef,BeetleFly,BirdChicken,Car,CBF,Coffee,Computers,CricketX,CricketY,CricketZ,DiatomSizeReduction,DistalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,DistalPhalanxTW,ECG200,ECG5000,ECGFiveDays,FaceAll,FaceFour,FacesUCR,FiftyWords,Fish,GunPoint,Ham,Haptics,Herring,InlineSkate,InsectWingbeatSound,ItalyPowerDemand,Lightning2,Lightning7,Mallat,Meat,MedicalImages,MiddlePhalanxOutlineAgeGroup,MoteStrain,OliveOil,OSULeaf,Phoneme,Plane,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,ProximalPhalanxTW,RefrigerationDevices,ScreenType,ShapeletSim,ShapesAll,SmallKitchenAppliances,SonyAIBORobotSurface1,SonyAIBORobotSurface2,StarlightCurves,Strawberry,Symbols,ToeSegmentation1,Trace,TwoLeadECG,UWaveGestureLibraryX,UWaveGestureLibraryY,UWaveGestureLibraryZ,Wine,WordSynonyms,Worms,WormsTwoClass,Yoga
Losses(3):,Earthquakes,ElectricDevices,LargeKitchenAppliances

CAWPE(RandTie)_VS_CAWPE(alpha=4)
Wins(21):,Adiac,ChlorineConcentration,CinCECGtorso,DiatomSizeReduction,ElectricDevices,FaceAll,FiftyWords,FordA,FordB,HandOutlines,MiddlePhalanxTW,NonInvasiveFetalECGThorax1,NonInvasiveFetalECGThorax2,PhalangesOutlinesCorrect,ShapesAll,SwedishLeaf,SyntheticControl,ToeSegmentation2,TwoPatterns,UWaveGestureLibraryAll,WordSynonyms
Draws(64):,ArrowHead,Beef,BeetleFly,BirdChicken,Car,CBF,Coffee,Computers,CricketX,CricketY,CricketZ,DistalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,DistalPhalanxTW,Earthquakes,ECG200,ECG5000,ECGFiveDays,FaceFour,FacesUCR,Fish,GunPoint,Ham,Haptics,Herring,InlineSkate,InsectWingbeatSound,ItalyPowerDemand,LargeKitchenAppliances,Lightning2,Lightning7,Mallat,Meat,MedicalImages,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,MoteStrain,OliveOil,OSULeaf,Phoneme,Plane,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,ProximalPhalanxTW,RefrigerationDevices,ScreenType,ShapeletSim,SmallKitchenAppliances,SonyAIBORobotSurface1,SonyAIBORobotSurface2,StarlightCurves,Strawberry,Symbols,ToeSegmentation1,Trace,TwoLeadECG,UWaveGestureLibraryX,UWaveGestureLibraryY,UWaveGestureLibraryZ,Wafer,Wine,Worms,WormsTwoClass,Yoga
Losses(0):

