CAWPE-A(ConTie)_VS_CAWPE-A(ConTie)
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

CAWPE-A(ConTie)_VS_CAWPE-A(alpha=4)
Wins(30):,adult,balance-scale,car,cardiotocography-3clases,connect-4,contrac,heart-cleveland,heart-switzerland,hill-valley,letter,lung-cancer,lymphography,magic,miniboone,molec-biol-promoter,molec-biol-splice,monks-2,monks-3,nursery,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,planning,plant-margin,plant-texture,post-operative,primary-tumor,statlog-australian-credit,statlog-shuttle,thyroid,wall-following
Draws(91):,abalone,acute-inflammation,acute-nephritis,annealing,arrhythmia,audiology-std,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-hungarian,heart-va,hepatitis,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,libras,low-res-spect,mammographic,monks-1,mushroom,musk-1,musk-2,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,plant-shape,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-vehicle,steel-plates,synthetic-control,teaching,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

CAWPE-A(ConTie)_VS_CAWPE-A(RandTie)
Wins(52):,adult,annealing,arrhythmia,balance-scale,balloons,breast-cancer,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,conn-bench-sonar-mines-rocks,connect-4,contrac,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-switzerland,heart-va,hill-valley,image-segmentation,lenses,letter,lung-cancer,lymphography,magic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,nursery,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,spambase,spect,statlog-australian-credit,statlog-shuttle,statlog-vehicle,steel-plates,thyroid,trains,wall-following
