CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_pb,CAWPE_alpha=1,CAWPE_eq
0.6526422682956871,0.6524533972245173,0.652566432238744,0.6523867771186073,0.6524813524501636,0.6523698887598542,0.6522676410205778,0.6523356237982207,0.6519828041655142,0.6519045223570484,0.6516177557751948,0.6514315901380574,0.6512734551972089,0.6511517746272938,0.629498555412028,0.6511641809161994,0.6511012671728945
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983333333333334,1.0,1.0
1.0,1.0,1.0,1.0,0.9993333333333333,0.9993333333333333,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9881904761904764,0.998,0.998
0.7740549496836859,0.7738620434784356,0.7736757392719256,0.7734828330666754,0.7733054762674398,0.7731485007996639,0.7729604022596591,0.7727775258043844,0.7725571535216722,0.7723527450644596,0.7722019571759388,0.7719832866387447,0.7717592573612654,0.7715540443252824,0.7934562481565128,0.7713529027035514,0.771136440919337
0.7962487929781162,0.7970109291988989,0.7963696434448313,0.795662391910512,0.7968210822872478,0.7967633983949773,0.7964721941939987,0.7948214258590199,0.7952649806334018,0.7943092362941988,0.792451706466744,0.7895811896263023,0.7888238706434193,0.7921498840897335,0.8062417732643297,0.7939156802540259,0.7899728578300008
0.38290000527705453,0.38229557509885387,0.3809504066061444,0.37862761828335595,0.37717392625589347,0.3723309914129586,0.3705049285868956,0.3686583689534508,0.3661883944834764,0.3643032832377094,0.3621331200675463,0.35949331542774154,0.35656490322064094,0.3544369510271149,0.36951854338739587,0.350327535852126,0.346060531453974
0.35290920476910814,0.3517175783600904,0.3516044096358105,0.3509647603246636,0.35063741277509397,0.34926535890304017,0.34704313668081793,0.3483189381740106,0.34790538232567225,0.3466726849818639,0.34629389710307584,0.3456541664633453,0.34433729403536173,0.34366856975552634,0.2954303502008816,0.3436564111322565,0.3431503440199092
0.7794753086419753,0.7752314814814815,0.7703703703703703,0.7665895061728396,0.76195987654321,0.7551697530864198,0.7479166666666667,0.741358024691358,0.7381172839506172,0.732793209876543,0.7278549382716051,0.7247685185185185,0.7200617283950618,0.7153549382716051,0.6592592592592594,0.7121141975308642,0.7051697530864198
0.7722222222222223,0.7722222222222223,0.7583333333333334,0.7583333333333334,0.7583333333333334,0.7541666666666668,0.7402777777777778,0.7361111111111112,0.726388888888889,0.701388888888889,0.6916666666666667,0.6875,0.6652777777777779,0.6305555555555556,0.4347222222222222,0.6263888888888888,0.6
0.626847435897436,0.6267916666666669,0.626671794871795,0.6262871794871797,0.626125641025641,0.626125641025641,0.6261897435897436,0.6261897435897436,0.6260923076923077,0.626148076923077,0.626148076923077,0.6260756410256411,0.6260032051282052,0.6259948717948718,0.6597115384615384,0.6257217948717949,0.6256493589743589
