CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_pb,CAWPE_eq
0.8359373425404663,0.8357356091150643,0.8355188489241191,0.8352754431213492,0.8350170483039033,0.8347321941613921,0.8344132960683468,0.8340796179043802,0.8337238671541629,0.8333483209192516,0.8329375189259508,0.8325084119951163,0.832053284897638,0.8315695345849416,0.8310615597717664,0.8144330837138801,0.8305302095142071
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9069515836096725,0.9069175330376655,0.9068821837772532,0.9068457762807937,0.906808404825265,0.9067701449550867,0.9067310866479603,0.9066915898146948,0.9066513750023584,0.9066105094639095,0.9065685043102633,0.9065262350582418,0.9064834385307435,0.906439904677433,0.9063955284731425,0.8851335821712321,0.9063503461546258
0.9616753609803141,0.9615097539595054,0.9613193737569541,0.9610251560407609,0.9607413529089913,0.9603614797889345,0.9599356814934409,0.9594567312290846,0.9589434242714975,0.9583830352381495,0.9577260205388245,0.9570869225295436,0.956391705935067,0.9556103110916525,0.9547736943620391,0.8546782772438081,0.953860380527242
0.8388417808613585,0.8390447863629414,0.8393371432645474,0.8398508749052619,0.8401274291414078,0.8403519655506633,0.8405744752793165,0.8405038721747929,0.8404412313825078,0.8403421938423322,0.8397484712893732,0.8387952980782923,0.8374312033474954,0.8356915864258977,0.8334812379813616,0.7843886266181127,0.830400463206764
0.9299934002927029,0.930050524690032,0.9298200820661099,0.9298245343520241,0.9297481489952379,0.9295585051314037,0.9293187449026447,0.9289784581454883,0.9286593532913157,0.9283778284706304,0.9279955402125226,0.9277839124704907,0.9275245549642378,0.9272853330043963,0.9268997883652369,0.8468521453842773,0.9266567452207809
0.9841991101105678,0.9842380613213939,0.9842778604497349,0.9843235950006778,0.9843595255053581,0.9844070618810197,0.9844156470458546,0.9844327643806806,0.9844081747727575,0.9843847510514172,0.9843440510107171,0.9842693812745889,0.9841330255392748,0.9839830501288829,0.9837232694003522,0.9780694084079491,0.9833349761735171
0.7027777777777777,0.7027777777777777,0.7027777777777777,0.7027777777777777,0.7027777777777777,0.7,0.6944444444444445,0.6944444444444445,0.6916666666666667,0.6888888888888889,0.6805555555555556,0.6777777777777777,0.6722222222222223,0.6555555555555557,0.638888888888889,0.7055555555555556,0.6166666666666667
0.8601960897435882,0.860052179487178,0.8599099358974344,0.8597667307692293,0.8596039743589731,0.8594528846153832,0.8592955769230755,0.8591362820512808,0.858982756410255,0.8588198717948704,0.8586517948717933,0.858482628205127,0.8583181410256397,0.8581556410256396,0.857979038461537,0.8513433333333321,0.8578086538461525
