CAWPE-S,SVML,Logistic,MLP1,NN,C4.5
-1.0654311035771677,-1.121015986477795,-1.0785630861518063,-1.0825328623557717,-1.1920378975872834,-1.7650696974471158
-0.0066981465112786786,-8.648305369742005E-7,-1.0422608162017634E-6,-0.010673240489918474,-0.022867405752703577,-0.0
-0.007558170065292598,-1.2736867468442715E-5,-1.8781715811975997E-6,-0.013759609623146948,-0.022128368132403892,-0.007377777777777777
-0.45705890367569346,-0.502636716842535,-0.4956395535321661,-0.49029388305497595,-0.560676183810494,-0.5246521483940859
-0.3334522471206952,-0.626627239230689,-0.6024054411430073,-0.7847490632953182,-1.0356374028028896,-0.35806243096456175
-1.7971452750177392,-2.8675672984729728,-3.8609155052403112,-2.8834837692492443,-3.245925862226892,-2.3045035033774686
-1.1651174905628348,-2.1336993872240453,-2.703410375192921,-2.0001775614490263,-2.2154654823277125,-1.3598936260489933
-0.40836674920619076,-0.3867366926021705,-0.39111360002212064,-0.44620531003496083,-0.7436306116672614,-1.160728520233868
-1.434198235663763,-3.5660556993969483,-3.1654284819259226,-1.5696478104708214,-0.9805949313249535,-2.419310013231644
-0.37801577195343333,-0.3960388152071794,-0.3854036747893134,-0.8472565979730099,-0.8112365418093488,-0.5540084343427124
-0.6887883174369339,-0.7212831707122311,-0.6934415213998243,-0.7111061886726933,-0.8811956167465202,-0.7618681340830995
-0.8527072366156226,-0.8679056805117871,-0.879848491658836,-1.7666449552372943,-1.1373304525647638,-1.0757228512674137
-0.14241542513409,-0.14161357446245612,-0.17037884082962057,-0.2806844903188244,-0.19260109860308733,-0.2995461024623958
-0.1487829632033105,-0.14123860497978197,-0.4689524795303948,-0.273120526042253,-0.21374607355800013,-0.43193265625371424
-0.7546130567231049,-0.832007185280439,-1.959649877279955,-1.5885015023545535,-1.132113116574525,-1.4386199614433954
-1.2136800694508003,-1.3663908025621416,-2.83370292508327,-1.40056684403845,-1.8444287628854472,-2.050069174217818
-0.2528157510715784,-0.5557979434952347,-0.5753763055089018,-0.3146415894808276,-0.4438688723825889,-0.2206646069524167
-0.2801116519132298,-0.3876247889254631,-0.3844179350674467,-0.5696321893506674,-0.8201124575031394,-0.4865555152598166
-0.6315455818738543,-0.7975653244789318,-0.8910020241686214,-1.279011762613638,-2.4963484489272814,-1.1170669972433622
-1.1359626113068968,-2.878885552838062,-2.9098720407816407,-2.4174850749992687,-2.2144992836709965,-1.283552590675992
-0.09365476755021174,-0.17377419792849674,-0.1343949418511382,-0.0576526806771021,-0.3327373564742403,-0.05959791769418666
-0.9250388105118041,-1.012595441798928,-1.036994326973072,-1.1029936499389457,-0.9652037102023628,-0.9728878049688814
-0.6281856441968701,-0.9916495188516667,-2.3922481946796292,-1.2938596802208175,-1.1597475223734754,-1.7895242767139492
-0.30603115998455077,-1.0471681145579768,-1.1338501013896998,-0.7716182719114113,-0.14698356215427086,-1.1573515584019043
-0.5648019435612947,-0.8036969577761369,-0.781381770601422,-0.621998226573439,-0.6557584604055425,-0.7018533552146613
-1.3527771655022995,-1.3975784760949956,-1.3861050863359374,-1.557743075517474,-1.6339337160394065,-1.9852981227204134
-0.501893814852153,-0.5677125745373457,-0.5307831756589899,-1.1282199547143916,-0.6046087024198991,-0.7400425675312895
-0.7554011319818351,-0.8370950671787989,-0.9325150602874248,-1.7417340047703989,-1.1410003000877258,-1.5061908120628933
-0.11611444514007827,-0.18685854281805672,-0.29552048438950795,-0.18278936784734962,-0.24772812351382698,-0.30496164505509704
-0.6662878563805187,-0.6965334654937633,-0.9511852803617866,-1.3833877043131813,-0.9151512093189127,-1.0133734111882888
-0.7080608049091695,-0.7802880722168816,-0.9060375738458587,-0.9063688886089792,-0.9297343208619394,-1.1365355615453283
-0.3315074213794057,-0.6183548301264981,-0.41508032516319116,-0.7654924522735871,-0.5017807271393887,-0.22911010382267374
-0.359843939568284,-0.5799528456015265,-0.40843040353063215,-0.4654577644016738,-0.45900255829027653,-0.4115865007802639
-0.5592163621650017,-0.8544533124654212,-0.9770182838549683,-1.3878114984581666,-0.6907281473788401,-0.5623948145860271
-2.2747570998243614,-3.437080809203264,-4.689734299327712,-4.416220519868626,-3.016525976539326,-2.441034165656716
-1.1858045163635744,-1.6076768588741805,-1.9426908659318174,-1.7192548099122638,-2.072288304723853,-1.892668156078345
-0.7964835179603739,-0.8066214311733995,-0.8166676469357912,-0.8460171892051794,-1.0191057761103646,-0.9190631017919271
-0.830628493001096,-1.5420350535517275,-1.5496121488586065,-1.2351782277256202,-1.2119174601404255,-0.9642201185992682
-1.6209550513859985,-1.6679557828961655,-2.012736551149119,-3.509640936091131,-2.1470717640150294,-2.673859320331148
-0.5840607902816852,-0.5937575569302337,-0.6245690242486152,-1.188967467113714,-0.7497650059512234,-0.9215013828235009
-2.5732976550112148,-3.10804088406451,-3.592572892999513,-4.728008556135562,-3.034352843850786,-3.645951412840759
-2.3392885321374886,-2.334740630195344,-2.7247327819141423,-5.468581630883547,-2.984178821336093,-3.838731926768712
-0.6595802397295871,-0.8230753444954109,-1.5984759472885626,-1.387727266138912,-0.8184163552866568,-1.1460813102814573
-0.8800048197978889,-0.9831559287812114,-0.8564955872307195,-0.9864607947222268,-1.7223934783399557,-1.0006284268509889
-0.6267721197669556,-0.6798371023344,-0.8989865347008117,-1.5946751650741404,-1.0626377661968534,-0.9428518052620398
-0.7608417433121974,-0.8025601907236869,-0.7602290887691928,-0.8129272903332635,-1.009098083601658,-0.9583618491367569
-0.24840458200648274,-0.5644161662968067,-0.39098485758099527,-0.5942679481054648,-0.5728927988447065,-0.39150315957984455
-0.3847162399476046,-0.5476024932451417,-1.1718903720793041,-1.0172218843247682,-0.9455534791674721,-0.6102400332572163
-0.15736175513923498,-0.1960152979862696,-0.40220537714578747,-0.17121503944592995,-0.22933797173128576,-0.40235475048729125
-1.271027129922259,-1.2985629527033002,-1.2986910386288288,-1.6702631123020752,-1.4206407848852944,-1.5289183514814153
-0.924061809781418,-1.761884478157915,-1.958223903273195,-1.0452808731622347,-0.9533849739644178,-1.384911157888231
-0.4691618478255075,-0.9947070313148596,-1.234479768504189,-1.4628625070964048,-0.7531442707953427,-0.9342572629419311
-1.1180395509453278,-1.5950378923072333,-2.838117177354399,-2.315952119519447,-1.7072704752422518,-2.596772239615271
-0.5176128986146175,-0.6319927270773996,-1.807497956045825,-0.7437266663097971,-0.872914772589095,-1.1056759032135741
