TRAINTESTDIFFSNLLSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_pb,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
abalone,0.02394495361066063,0.024067215413860855,0.024198580996750117,0.024339475914820784,0.024490452788876217,0.024652014949531228,0.024824584417930853,0.0250087124825515,0.025204946159442257,0.0254137423905211,0.025635710807821933,0.02587134998621615,0.026121153885630487,0.02545336210297988,0.026385707866090277,0.026665581128485816,0.026961210149776413
acute-inflammation,0.00367124959004607,0.003742402490134935,0.0038167698328011213,0.003894496599067825,0.003975723914584194,0.004060633391051232,0.004149295675591574,0.004241912832053185,0.004338621240420386,0.004439564114931039,0.004544943391847934,0.004654837247065253,0.004769486536874814,1.2478880610452423E-6,0.004888978239871893,0.005013542836471575,0.005143281721358629
acute-nephritis,0.0037282478948348803,0.003797385709991066,0.003869212674135882,0.003943645241713524,0.004020890576738856,0.0041009364164051295,0.004183879318818725,0.004269795746862634,0.004358766768080423,0.004450844307543716,0.00454609949045532,0.004644616684152237,0.00474645969946865,0.018977426493095268,0.004851674944319404,0.004960425331292738,0.005072662678516906
adult,0.007464423103644792,0.0074582947198510675,0.007452296069273492,0.007446434611396387,0.007440690147021734,0.0074350751182348344,0.007429592418324957,0.007424234649717288,0.0074190029747445985,0.007413893797414093,0.007408917691488127,0.007404065588925146,0.007399333979501169,0.007101625782746324,0.007394735798392946,0.007390257731020695,0.0073859056581249425
annealing,0.06286399417396929,0.0623916469616897,0.06194091888497641,0.061513188474157106,0.061105652287386285,0.060722383805753934,0.06036152076273314,0.06002329719454084,0.05970992096237881,0.05941906049638503,0.05915138901672168,0.05890762305614276,0.05868746974064272,0.16600811986119157,0.05849145344848515,0.05831848835405529,0.058168571859457646
arrhythmia,0.25764408769193275,0.2533061387675446,0.24902352970881647,0.2448263606496687,0.24075454721971967,0.23683606507550103,0.2331395818343193,0.2296852101824703,0.2265038618884178,0.22367004221859732,0.22123774818147487,0.2192587722615254,0.2177871387369307,0.47630079135965603,0.21685432624190354,0.21652380122854517,0.21680222659045084
audiology-std,0.2574841897857528,0.2532889055565409,0.24931360632982594,0.24557186224117247,0.2420849504981396,0.23887328002849953,0.23595469228800495,0.23335390933755845,0.2310923256472743,0.2291786270590383,0.22764763289422585,0.22650176943609754,0.22576195426522044,0.8492147733026876,0.22543413460972903,0.22553172821273468,0.22605487584345094
balance-scale,0.045553284008368986,0.045012291985627895,0.04445582795412236,0.0438830030516007,0.0432933423185846,0.04268686227683587,0.04206424409061347,0.04142707409078919,0.04077821104049324,0.04012197440037912,0.039464658205306646,0.038814986355952236,0.0381845431483816,0.08319348564102325,0.03758837911159475,0.037045286893911435,0.03657819797218457
balloons,1.7144300733587226,1.6992949046543577,1.6835774510009793,1.665924619274375,1.6480360845591653,1.6295193741960439,1.610726948062963,1.5913021002997834,1.571210922064886,1.550568751544755,1.529718514136971,1.5094130438120072,1.4909325846847754,11.964730850484278,1.4759595005047463,1.4670580572712237,1.4708186608111102
bank,0.012848094938023667,0.012868836832053443,0.012890349534570526,0.012912592929383992,0.012935574683699927,0.01295933781252833,0.012983836014567339,0.013009090700196988,0.013035148753056296,0.01306196401977876,0.013089562188865951,0.013117939803101135,0.013147113268190078,0.014505646951656613,0.013177076893046862,0.013207848264666547,0.013239413503404095
blood,0.04430624250800745,0.044281852335620694,0.04425829791279344,0.04423561284043922,0.04421388036657397,0.04419316434351826,0.04417351573868983,0.04415497481737123,0.044137650912506245,0.044121589217574204,0.04410680930309937,0.0440934186932265,0.04408147749330205,0.053777940890581064,0.044071056847503585,0.04406218790728112,0.044054993770722875
