CAWPE,RandF,LogitBoost,XGBoost,Bagging,AdaBoost
30055.813104033343,46874.73596066666,38810.77718983334,6252.472088333334,4933.3890515,56.60720276666668
1538.2697217666669,2243.0659094666667,602.4751244333333,384.7928488333333,170.5016084,56.25860446666666
1633.615860033333,1593.3596278999996,725.5037022666668,327.54569850000007,215.44419803333338,50.654618799999994
1201384.4519580668,749718.7999019667,725521.3390180998,44696.48071013334,101939.9510915,29308.43591033333
32429.48738290001,8322.915181833332,27738.353446499994,3485.6211668000005,1501.837097766667,27.0168111
1018681.3226094331,19559.785556833333,100434.21302826666,12452.256365633333,14937.447138033336,44.79408880000001
71218.24200390001,4554.993491733334,22759.611373933327,5448.531178833335,702.1655746000001,25.44325419999999
4148.392817966667,4996.020310266667,4187.119764666666,1469.7119751000002,174.96669876666667,26.235108966666665
417.3480994333334,846.1877814,35.3622835,179.5967362333333,23.495589,31.659266566666666
51859.24094873332,41765.68364966667,37573.16178763333,4874.746296066665,4574.928976300001,2034.0791983000001
4134.611014833334,7279.932737700001,3492.4623444,1112.1432561333334,267.63801246666674,138.4760272666667
3554.7269723000004,4087.907854866666,1650.8849673666666,878.2690155666666,151.68439946666666,74.52765803333332
5610.285128400001,4008.898184266668,3898.2082127999997,794.6921248333333,219.0598509333333,174.58046913333334
16699.507129966663,6509.719547000001,10189.238769133335,799.2238899666665,940.8246474999999,1067.5988651666669
7385.479158466667,4242.923386066666,3802.8044736000006,708.803206633333,436.96328186666676,401.21709690000006
4395.797171599999,3292.8968225999997,1821.7481402333333,1033.3981053,141.76759803333334,13.357521566666666
13337.31056723333,8620.330732166669,18316.15285513334,3091.5433924999993,648.7198404,67.88233186666668
971614.5764267,28027.107485700002,122075.29827253336,10607.751673433335,5439.1093521,22.764355066666663
37193.649241466665,18972.004721866666,35068.60072080001,3733.631836966667,2988.9053140333344,51.316191866666664
917278.6056514999,386044.60094960005,1738703.0656953005,158431.14338936665,25842.714043933327,46.78215073333334
