TRAINAUROCSTDDEVS:,ES-S,CAWPE-S,SMM5-S,NBC-S,SMLRE-S,SMLR-S,PB-S,WMV-S,RC-S,MV-S
abalone,0.0039135111630803285,0.004540363702280767,0.005321456736609501,0.004381572853917585,0.004610351315876586,0.004343966863855267,0.004745342687061073,0.005303136377234105,0.005410835479378221,0.0054229896543025805
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.0025044846364656354,0.0017950721087701001,0.011555188634430776,0.010537796390496162,0.007930031447230016,0.007220777282477643,0.001944968427115084,0.01052801370706699,0.010473010570993592,0.010318101472691178
annealing,0.011285447216399033,0.010280795127289362,0.005114876882385988,0.018710144546347694,0.009010023836705251,0.010309636476092407,0.019735847798797956,0.018075810539009016,0.017964808048822785,0.017755074877466775
arrhythmia,0.023865179304912092,0.02297620098723614,0.014833792255139866,0.02087760704016929,0.010899075857021582,0.017284773852064464,0.021502832655043016,0.026077721849692193,0.0262589468834216,0.02435827735776666
audiology-std,0.014141049202259996,0.013962208574870882,0.004733231008783598,0.005131673671261047,0.08775275290808751,0.002885260081441235,0.01910150545119594,0.018768281318480073,0.01860258895515902,0.018955405867027562
balance-scale,0.003408290577453462,0.0033710077503703003,0.005222390386860966,0.007140707870521351,0.005412662191307993,0.007593785196956791,0.0037145753343220036,0.006162953343010629,0.006275644916618299,0.0063355284135021925
balloons,0.2933925401759676,0.2791727425426764,0.43965329426388716,0.19163959495637825,0.2537081317024625,0.43018306715207627,0.27485047601100093,0.3329619578713572,0.33487431164199677,0.3380414629174075
bank,0.007964591051666066,0.00874171277305075,0.0704402785934119,0.031677090154008866,0.033117177897032946,0.0320794061995419,0.011158240384907283,0.031736702190289276,0.03160266227270633,0.03126236681395765
blood,0.027637117585484254,0.027562932133285256,0.09544153240258357,0.06374881085957985,0.060944149192154476,0.09266744498231826,0.04121069650356865,0.06372115639703238,0.06397957051400634,0.06329676272153364
breast-cancer,0.05208208325968747,0.049103289145698926,0.12639822000975007,0.07334470763871592,0.07932401551242976,0.11978508417322911,0.0649962436586406,0.07508125458324019,0.07591966143953116,0.07303624495676253
breast-cancer-wisc,0.0028585902213721075,0.0027620374727994204,0.01719175568306938,0.012019124010791674,0.013477575877970908,0.01680372760973511,0.001969561098100256,0.01200915246456119,0.012023345734964878,0.012113320480430104
breast-cancer-wisc-diag,0.0055154316970783684,0.00591586711058878,0.016475634476902826,0.011840668533330032,0.017594165804149152,0.015840507813088132,0.0053640032784306665,0.011860288487923904,0.011892386540753402,0.011986181452896046
breast-cancer-wisc-prog,0.07878245253124434,0.07285964560882167,0.15160863922465267,0.08989017493432032,0.15417880971518683,0.15098470496412852,0.04349120802284927,0.0946070628760341,0.09156584981533618,0.09183654577765776
breast-tissue,0.01937306834164083,0.01924382095467012,0.008975413089889498,0.014707661732551095,0.018044330713631734,0.010198201236698682,0.01832806951688627,0.024294044740186635,0.023795290068476953,0.023701871458911578
car,0.0013144123837925032,0.0011358058136949252,6.54479775644766E-4,0.0021389751151412615,0.0012301450518104183,0.001281254997788966,0.005821559562439331,0.002939560105641532,0.002914186230379043,0.002918278605030259
cardiotocography-3clases,0.002582070973092547,0.002411482632649187,0.006452024778270066,0.0038075344848180225,0.003310817202279937,0.004919908015704204,0.003964544287064888,0.004231715396012258,0.004163610085763999,0.00419722702768717
cardiotocography-10clases,0.001624182026431358,0.0016886929474225014,0.0012695699902143108,0.0025842940114717086,0.0018830909056319774,0.0020770231072833843,0.001577369395678311,0.003848096021319529,0.00391698159602893,0.0038482809304621265
chess-krvk,0.002389060404968388,7.981191181148652E-4,5.871692889309711E-4,0.0011700060506003476,6.104650412823676E-4,8.088500989403565E-4,0.0016927429462476472,0.0017748885272275887,0.0018324166284994826,0.00164767448883365
chess-krvkp,4.584124140900399E-4,4.46976153727456E-4,0.003107581847067625,0.0013142090915637264,0.0035483743537090976,0.003789567093137731,0.0014624472211004218,0.0013168535528139613,0.0013183202910038213,0.001238430420485359
congressional-voting,0.03979786849629494,0.04108773733977275,0.12889384952772776,0.0787279075711955,0.11088848146796426,0.06182330684014924,0.04017260648361002,0.08168745364442648,0.08385935437994109,0.07346960010442823
conn-bench-sonar-mines-rocks,0.03401996614308301,0.030775402211744688,0.07050119264337866,0.03967131836394612,0.06385162047693871,0.05939164467521,0.038405739045293937,0.03882205872229749,0.038642213191161325,0.036539021874345524
conn-bench-vowel-deterding,0.0012315402514647392,0.0011380100748856886,9.871531893798793E-4,5.013492296592247E-4,1.126358357980803E-4,3.7804324793191583E-4,0.003764102587633024,0.002462322197711455,0.0024595428029440744,0.0025293064790229574
connect-4,0.002904766653582214,0.00209601594879015,0.007718935052179874,0.006874155050549736,0.0056991076459875075,0.006021313514282089,0.007882159168187637,0.00701740335065092,0.006939248855338211,0.006607403682156964
contrac,0.01244112962359138,0.012201020802156473,0.014277556241067442,0.012678623095966412,0.009530413550214072,0.012338476358638833,0.016698471949840844,0.012626010148203191,0.012870194908326764,0.01297361565851882
credit-approval,0.010816656391288097,0.012461919673720729,0.03322953946781389,0.017609252898494073,0.025425497746682377,0.023295730494257882,0.017643543861254593,0.017600645439167038,0.017555300297348784,0.01765788588091111
cylinder-bands,0.03304799694814329,0.0317296661533087,0.06573882378394409,0.037323676164957416,0.05819453554138478,0.06662713565896528,0.028953138542948058,0.036984621055260895,0.03766380369069258,0.03786615015149091
dermatology,0.0010285113776721424,9.797508607784753E-4,5.807924193215731E-4,0.0011189774244941195,9.834514653805975E-4,0.0010455596156798194,0.0019594364009313608,0.003230928872868249,0.0032784440444016665,0.0032543775031182065
echocardiogram,0.06436260785226808,0.06286101762563769,0.09828409866950873,0.08984886133419147,0.10353291108400094,0.0998998724771999,0.06460140512861143,0.09022258364752145,0.08990092271902259,0.0902341100105233
ecoli,0.008255634055925597,0.008700980546079363,0.00510067424528427,0.00733907509828608,0.005378776782352293,0.007368051649627404,0.007117404969399693,0.011843780654789849,0.011842228242642664,0.011819231891515267
energy-y1,0.003287491412400748,0.0030422722033680923,0.002734503454068661,0.004683529923674269,0.004793333331860948,0.005004163659624307,0.010470328678371086,0.007537067915824513,0.007545650247307112,0.007507727756948165
energy-y2,0.003990279575299006,0.0038728140613659553,0.004801607827691719,0.0046114871644151985,0.0035203832829488256,0.004114737061532335,0.007535561837509846,0.00837996500109271,0.00837351875287133,0.008356201101921203
fertility,0.14085168285588381,0.1334483276988775,0.2062760187108798,0.159494479087319,0.25129830807203585,0.20865898679555514,0.16045554491235686,0.19264383398058108,0.1934833667267545,0.18806991042920498
flags,0.032099215456608085,0.03214984874926264,0.01795168300130236,0.020826439324956855,0.021602954614241134,0.01999062303487984,0.034685563299698415,0.031948226123988614,0.03375050598704852,0.03167225842724498
glass,0.02538742667004374,0.024306013729149086,0.018117605217377573,0.02376948383902794,0.01761541495122958,0.019585647820974748,0.0254503738017845,0.03230532469848325,0.030559343161588527,0.031151031459266693
haberman-survival,0.051011508194927606,0.05070323367284239,0.12911588308921268,0.10197652678477635,0.08525811102624177,0.10444455990167036,0.03703693790627839,0.10911336692412105,0.10835825422955234,0.10754480186750262
hayes-roth,0.04489829630863325,0.04579870366681952,0.036601126220348834,0.03432128721188913,0.02043539398876467,0.03715784358844864,0.06418350045476079,0.05643823212388705,0.05436360172509277,0.05027233367193551
heart-cleveland,0.022795235096180054,0.02246036804931269,0.026889499449458256,0.02639101723121146,0.01702480719576747,0.021809745937083354,0.018784333880798705,0.030151386456485334,0.029862040891385975,0.02947408351745712
heart-hungarian,0.021870251872857845,0.022269121249702258,0.06833456746039439,0.047495943697990844,0.04436686321050481,0.057251407087316464,0.02564869537731812,0.047591393152363555,0.0473550895875227,0.047095514408093946
heart-switzerland,0.0624645955029278,0.061324846473061946,0.06096848320190456,0.033468795850185015,0.08342339219662767,0.048592024474236314,0.04751688398153222,0.06442792092878127,0.06032959117966602,0.062694904907782
heart-va,0.04490615245889836,0.04398691534535376,0.04987453690969178,0.026399477639528622,0.026438427911836215,0.03613999559989741,0.03942772725552711,0.05322626043724553,0.05375557554384129,0.05173931841802171
hepatitis,0.052386927665862844,0.04296622396971194,0.17869926393445593,0.08273063581918559,0.13994610000567376,0.1813162131537143,0.05542075205322448,0.08051252537410593,0.08182318022904717,0.07987861575228683
hill-valley,0.028643137021662744,0.023197722124025842,0.05462309381245853,0.035142736373777204,0.03933419039559256,0.05199667413822456,0.02595900598337501,0.03305908506849311,0.03354965603866765,0.025215136562419718
horse-colic,0.02249213928188637,0.022713273784102116,0.052834793828901216,0.030129115436426337,0.05193751713950536,0.043882048406224096,0.023836756473109327,0.03015098805708957,0.03023193546583519,0.03083431973904761
ilpd-indian-liver,0.029063272034595578,0.02509564503679029,0.10966606649581745,0.09933109761860924,0.11105258125971214,0.08529260709978297,0.03913580848505059,0.10674221925419781,0.10631774821043888,0.10261929732452925
image-segmentation,8.994271447010719E-4,8.532224015950743E-4,2.6871111004016766E-4,8.007957100650344E-4,7.226141677891445E-4,8.798206962816967E-4,0.0019897148456103565,0.0016626903392459786,0.0016609210200840376,0.0016357199104818417
ionosphere,0.013116229781600533,0.012352898265640516,0.03931766879109972,0.029312710818708176,0.036275644238361944,0.03396022351049138,0.024717981334088087,0.02908148150141144,0.02907271590227489,0.02812827744612552
iris,0.003914018424826973,0.0030026093377675763,0.002394988381737798,0.007044670458199086,0.0016677605605590925,0.004552898954390371,0.005440276456051026,0.012968069638172215,0.013025162013048241,0.01298519915866878
led-display,0.004849724577699507,0.0046837415468720285,0.00618365664222009,0.004056013140537374,0.0032390326626732116,0.003036889366672454,0.004393511035509431,0.010514023100978915,0.010524806809960189,0.010524915438739972
lenses,0.19050871656602064,0.17846338396863204,0.1396950260191137,0.08943295184611064,0.09378822062691027,0.31451845213047047,0.16043959573897207,0.1884915807847261,0.186446864664084,0.19982083880083107
letter,3.718230002752467E-4,2.799901786295488E-4,5.214287340240919E-5,1.3126114970285805E-4,1.508625201064987E-4,1.9162431089842703E-4,2.991492373893827E-4,7.632887175406053E-4,7.684044407732168E-4,7.651258686272701E-4
libras,0.007572740533851895,0.007562255503575396,0.002590680183077041,0.0020585697939383423,0.0018729373708600248,0.002692037965190066,0.00724466246498383,0.012379908978139216,0.01234324251145232,0.012340842434177777
low-res-spect,0.004466540865380937,0.004249106888980163,0.0022899122990245003,0.004622016383588016,0.004559699177726519,0.004368465743418085,0.005216351819652792,0.0057626318475919825,0.005913921414259875,0.005831414555736519
lung-cancer,0.13572945975401068,0.1353659096179531,0.03037962240659905,0.053012876843070975,0.1309057328610784,0.16194285422444996,0.12314232588366131,0.14785338220834882,0.1503699407224419,0.15036887879873115
lymphography,0.025893137219446888,0.027658572038789523,0.03223706618009884,0.023648586144133902,0.02339335605358863,0.026402244611739893,0.03343976037485729,0.021661384036823415,0.021441479661621157,0.022165298003897823
magic,0.0032914332944626967,0.0026313104149067036,0.008074922401150769,0.007665036779869218,0.007570308369044662,0.007638610804726653,0.0037220219155231445,0.007685787732189927,0.007680063978083104,0.0074057230647077005
mammographic,0.012696910766389806,0.013051959503936323,0.027201240266328953,0.020797280228195374,0.02637345058491788,0.023273446245920783,0.022157721405918387,0.020789398495690354,0.02088492960972451,0.0207936223026404
miniboone,0.003141561669230718,0.002094480663417577,0.0065882951454467875,0.006053629371681236,0.007432299974670377,0.00799339801224264,9.354980103146616E-4,0.006032551012412697,0.005575345611980813,0.005668740375078151
molec-biol-promoter,0.0494771351840959,0.049293398323605894,0.08663147210266754,0.060995903337528,0.07341398886279651,0.07943321039272601,0.05711113633260472,0.06067680175222644,0.06054433652888169,0.0655150723726642
molec-biol-splice,0.005779105447438784,0.003322794290220847,0.004714260050057483,0.0047791004288296034,0.0032749067193151428,0.00386511970393392,0.004925766216821401,0.004389392597330784,0.0042707458771366865,0.0047443369159750285
monks-1,0.03672399759847915,0.036217832177722745,0.08167335488007792,0.05245982454491029,0.07217083960438053,0.07181719117457687,0.02316890127716288,0.04180894696896084,0.04193085879427623,0.037251457541222666
monks-2,0.03176959768479135,0.03090310738027931,0.061593201941031926,0.05250188834074082,0.04899349157145248,0.05867840606554568,0.03675985894099159,0.05259441947037375,0.052163805353897676,0.049514710903673126
monks-3,0.009867057262864782,0.008431083287633897,0.019261641511317613,0.011828208128847382,0.019531218962283037,0.020583997267097875,0.021507990841001374,0.01209019226152798,0.012147082938789938,0.014517773721211739
mushroom,1.196588194702864E-6,7.847183597774314E-6,1.909939214271903E-4,0.0,1.5583686243556796E-4,1.5583686243556796E-4,0.00854480992770068,9.767955976741815E-6,9.767955976741815E-6,1.70496967426804E-4
musk-1,0.014748711934534968,0.015319590587953987,0.05334173372844934,0.02180734149097682,0.036276860334285004,0.04050483659089088,0.02191168701970215,0.021662075014372707,0.021591074456080973,0.02301009709116696
musk-2,0.002671247817691502,0.0023138637977354955,0.011162199958116443,0.007835501770869103,0.010013510277247076,0.011080939649185495,0.005111662342176536,0.0078390891557914,0.00782071887930878,0.007427195204364717
nursery,4.374660424425405E-4,2.0459073626743584E-4,5.828370801973168E-5,4.3074095653645983E-4,2.155052868175571E-4,1.696822292853894E-4,8.306225519362315E-4,5.984306560462046E-4,5.948574623270665E-4,5.891410811493392E-4
oocytes_merluccius_nucleus_4d,0.01169731827016137,0.011670510590636694,0.04050136302421855,0.024093467166245684,0.026016908245385596,0.030974774403282137,0.020170884804554874,0.023841434911952678,0.024386856024769227,0.023313061422554394
oocytes_merluccius_states_2f,0.003393234944036348,0.0032727099022783804,0.003668480575826177,0.006909441953914443,0.0032649702846893644,0.0035693249460105516,0.003913501107241046,0.007102097705201759,0.007072099455289296,0.007209263192937027
oocytes_trisopterus_nucleus_2f,0.013271730877746237,0.013099648125655337,0.028215014757569736,0.019184957341395994,0.030299350516396376,0.027574628661232815,0.014556106952513623,0.019244744046251625,0.018940469414556276,0.019870789028187123
oocytes_trisopterus_states_5b,0.005095553061157179,0.004957145262048385,0.004496873959175011,0.006641435983867969,0.00533180467752378,0.004726253603710284,0.006677677413071678,0.006564552340440493,0.006498811140997816,0.006596211537882527
