TRAINAUROCSTDDEVS:,ES-S,CAWPE-S,SMM5-S,NBC-S,SMLRE-S,SMLR-S,PB-S,WMV-S,RC-S,MV-S
optical,2.2114214354925353E-4,2.24691108707724E-4,7.682958870875448E-5,1.8608702098263423E-4,1.2651729723244824E-4,1.2009342781250831E-4,3.928468530462235E-4,9.768485430572957E-4,9.79295174187756E-4,9.667841584480084E-4
ozone,0.04195000512976793,0.04031382837260185,0.09327896370406119,0.10377593891111178,0.08924179572641448,0.07614475869536143,0.04166796457587591,0.10381069642048751,0.10340014122456122,0.10214756383692265
page-blocks,0.002040778138752584,0.002032683495415906,9.995089973219035E-4,0.002147814197243806,0.001618217907433946,0.002033868677108137,0.005271954675715962,0.0019758059702935475,0.0019966453013345337,0.001981695194687785
parkinsons,0.023443505480106642,0.024514518067294593,0.06713369910089396,0.04856980706762411,0.05409793087257371,0.07316942493062814,0.04060132618015286,0.046516121512079574,0.046944750215208296,0.04635546712091208
pendigits,1.5537927096666578E-4,1.5585580354996638E-4,5.666115489086318E-5,1.3512763123746046E-4,1.0923694245656096E-4,1.6221220272470008E-4,2.2107584614404997E-4,2.1873541877851727E-4,2.16704832169138E-4,2.1831009063479575E-4
pima,0.016432194662586525,0.017568651755998446,0.02451002045115923,0.03356281506303579,0.03295287933820849,0.025288727739964937,0.015063122141787476,0.033488858916880686,0.03366061399810384,0.033259325400583045
pittsburg-bridges-MATERIAL,0.05463384481945526,0.04800224961078798,0.020714622566273558,0.06356572182500154,0.03393978390209613,0.03996403241534187,0.03381978532728919,0.06062297702192863,0.06135391324491757,0.05982559568618834
pittsburg-bridges-REL-L,0.053868379969167976,0.0528991241386113,0.049580964076942576,0.036487421459122364,0.058056365270352614,0.048795425073334266,0.04550480916703976,0.051373598726155524,0.05038880372892745,0.05085035120388903
pittsburg-bridges-SPAN,0.04562529522455007,0.04841236100070888,0.05159419473481843,0.052045436139375324,0.05525753468329049,0.0595605161591697,0.04617637432255348,0.05341083159185211,0.05360156738747081,0.05269135065760696
pittsburg-bridges-T-OR-D,0.10744246041817766,0.10641498248214039,0.22241519561425413,0.1988900054413662,0.22788595749509463,0.2356962886320664,0.09941104874918058,0.2006647547144061,0.200043548231507,0.1981672363332744
pittsburg-bridges-TYPE,0.04853385780381585,0.04825062743483461,0.01897743795388625,0.03977703659424395,0.031214721291597046,0.030064910589506923,0.04619863870531754,0.05464851632590266,0.05798346286059247,0.05416395383567783
planning,0.08616369444441659,0.08843544729335352,0.11228667393506617,0.04588116607812247,0.10970567321820324,0.09088266057702345,0.07622740902735049,0.08144668863500937,0.08064391553197202,0.07496252729977523
plant-margin,8.023950893926679E-4,8.08698251090452E-4,2.535203143838051E-4,2.4984816923679997E-4,0.062205661839284346,3.560342167392083E-5,6.085440463357336E-4,0.006021771275415393,0.006018048635000732,0.006000777057292598
plant-shape,0.00208812120536526,0.002098848776982749,3.37004092825638E-4,3.7408086870959677E-4,0.02041175264892213,3.880421078700133E-5,0.0018614165317396964,0.008458953865323585,0.008432687462725583,0.00844158145559397
plant-texture,0.0015339094427664277,0.0015007747633567787,4.1373685651730207E-4,3.782191698905106E-4,7.825721786302291E-4,3.189280728570569E-5,0.0017001482627076114,0.00474247287639236,0.004740958369971499,0.0047543641287329215
post-operative,0.11086326866943293,0.11357449443729642,0.08078742864845924,0.06071682519013769,0.10266989369486842,0.07734931048969215,0.10467263294162041,0.08311050491200468,0.07990318448661832,0.08086783992448683
primary-tumor,0.015368904685366246,0.01628042078858575,0.006548022369405938,0.008717414469436502,0.007470644597912857,0.008693952033971108,0.01578790589911021,0.02177909583749036,0.022883612805901808,0.02106535326055441
ringnorm,0.004321550456539954,0.00250534928162421,0.009028660968139994,0.00532808272058782,0.00836358323205002,0.007447578611586215,0.0036137707881209267,0.004180689111213054,0.004170828847811097,0.004242949861576813
seeds,0.004941888646338283,0.004370043371768785,0.0044207761566683644,0.007344482550759305,0.003072974210232579,0.0065853067113217055,0.006725670455740377,0.008479279571875699,0.008609856431318124,0.008394438316214982
semeion,0.0013827658222594818,0.0013089796160065932,2.4451923583138617E-4,0.0010830878391286474,8.788067670750563E-4,8.806836843957356E-4,0.0018799121480187508,0.0038361963095084346,0.0038573983574825706,0.0038286418531401924
soybean,0.0021334875946849223,0.001940848324877899,6.200544072436476E-4,0.0015461213296905558,0.001220016143394452,0.0013249048207495987,0.0026862604769982176,0.006320358624553626,0.006282180798285543,0.006152507609643757
spambase,0.0018735302146248827,0.001822818817739862,0.011220774458200293,0.005397933236060716,0.008199523742569336,0.008763699769071029,0.0030993448962539556,0.005389026044005622,0.005378552532855293,0.0055641040681835615
spect,0.043168306672411116,0.04207291179583645,0.0714176116424694,0.04978267235684754,0.06458584099541567,0.06614817463881699,0.04563881491733898,0.04993899345694762,0.05027414677133614,0.05327741114776509
spectf,0.04254027343597786,0.04424187265038652,0.1315307514424076,0.05449171345032004,0.09967234197358499,0.11696208806813761,0.033935808335322136,0.05514971651655203,0.05391197130787323,0.06103925593523908
statlog-australian-credit,0.03655596141148672,0.03335611833382861,0.0872590935472826,0.03937104256763049,0.07067911908096927,0.06345385662360313,0.03734043249941575,0.042803772925818565,0.043342450595014716,0.037315310112458096
statlog-german-credit,0.01741147282485376,0.016617317083214032,0.040330183388267084,0.03042340253137818,0.04558536411426235,0.040580680089523646,0.017649889472141696,0.030500299365259647,0.03013336696287885,0.02878377095208017
statlog-heart,0.02261642191169904,0.023188450024945337,0.04840989605487411,0.028144329915126935,0.049953328579641444,0.04842987583675214,0.023157877087056675,0.02812262572164594,0.028336320679916142,0.028904769188672602
statlog-image,6.454232060643235E-4,5.995132159476184E-4,2.074508822264549E-4,5.257587861349696E-4,5.588577206227481E-4,5.719657183928701E-4,8.8105168226419E-4,0.0016364804578592063,0.00164649832061261,0.001652064526242932
statlog-landsat,6.102999404560972E-4,4.639478148570433E-4,0.0013869000881837153,0.0012179737444380214,7.888992788214961E-4,6.568393500028536E-4,8.223966105560919E-4,0.0022578340850154333,0.0022521906353978197,0.002196574398711938
statlog-shuttle,4.1432384741586605E-5,4.277250734181018E-5,1.237024451554537E-6,2.4147444139118252E-5,3.3947976793069E-5,4.046734536012947E-5,0.0020459898465406703,2.933210077155705E-5,4.718083412984612E-5,2.9416612066118316E-5
statlog-vehicle,0.005440863572259174,0.0056687119372596205,0.010819512211131607,0.004971122348127316,0.004237173772872409,0.0042739754303703055,0.007992424716157331,0.007923576114867313,0.007619533620664936,0.007886463759270549
steel-plates,0.005313168923664652,0.005279030010309699,0.013172435734733427,0.005479763287150992,0.004572748468418477,0.00476121349395326,0.00524374983735594,0.007507604634585061,0.007367287028120553,0.007436964134882333
synthetic-control,1.580856097990618E-4,1.7550714692194665E-4,8.194818161488354E-5,5.788394607559014E-4,1.0782891704550012E-5,4.2069091137287367E-5,8.182252232510607E-4,0.0017083313839816514,0.001723660366044049,0.0017853969869532087
teaching,0.04011729443532991,0.04029871511905545,0.05805106491579141,0.031412110513842566,0.03517595383523322,0.035553148600252535,0.04513556436832254,0.040394684803738444,0.03833486536673822,0.04116523819981932
thyroid,0.0012957823360391538,0.0012741410103966138,2.9072139041597214E-4,0.005616908216759755,8.702369682733486E-4,0.0011177807339111184,0.003277764745863748,0.005644572527007231,0.005633847664003867,0.0058813140527169535
tic-tac-toe,0.0018851967955082112,0.0017866322919350898,0.003277652896804381,0.0032211674208730843,0.005654937831926001,0.005654937831926001,0.009684341786565966,0.0032211674208730843,0.0032211674208730843,0.0033258724581499443
titanic,0.01777847525840083,0.01687965227041133,0.03737570244355154,0.016564220350021988,0.038505849084858525,0.03717618592723688,0.01228747052436428,0.016527436593217603,0.01661141437180857,0.01660602664873121
trains,0.4472135954999579,0.4139277798077241,0.09128709291752767,0.0,0.0,0.3051285766293646,0.4289287645489298,0.47833823939171727,0.47833823939171727,0.36906218520965284
twonorm,3.9082965170493387E-4,4.1109499019439434E-4,0.0037679289756499747,0.0025115708744948085,0.0034663600407342974,0.003312753580364489,2.662148249047078E-4,0.0025114323417614447,0.002512209831133961,0.0025090031538049585
vertebral-column-2clases,0.02075685651907573,0.02234936433242664,0.05831894477550067,0.039247842089229455,0.058147845213192766,0.059621092172528,0.032089938639859865,0.03937447987055525,0.0390205227250251,0.041634949661117825
vertebral-column-3clases,0.009309969666246008,0.009346140437803626,0.009168010793195836,0.012593636596170648,0.008409447339126092,0.0074495681160456784,0.021518843073020877,0.0140502639224315,0.014253514906566966,0.01427891223404771
wall-following,0.0026565842211510268,5.644527545748136E-4,2.142811723120687E-4,9.412410304909828E-4,4.428972276053715E-4,3.9004226614066317E-4,0.0038110293707991003,0.0011820489959935374,0.0012063220259061252,0.0016390586651166814
waveform,0.001343721617883656,0.0014388901052502909,0.0014590375072477144,0.002544459385378823,0.0011489355656495153,0.0011418366253324044,0.001382711366467859,0.0020713628107390867,0.0020716626834492856,0.0020797678942818657
waveform-noise,0.0016997487045437255,0.0017672663109073096,0.001882266350870058,0.003128865395544472,0.001740377893471998,0.0016976442990643437,0.0020448816232897984,0.0027643954633019426,0.002743725857900423,0.0028042404312707213
wine,0.0022431840277037022,0.0028354687774246375,0.002790738741455555,0.00571030543836011,0.003772811657444061,0.003392153290975896,0.008997454989486082,0.005582099822329297,0.005584227224059697,0.005576400583893309
wine-quality-red,0.011060272409533249,0.01131445369096999,0.033911774539649324,0.01471282411085415,0.011312066057958781,0.010916268957730858,0.008811948188798612,0.012872916408607432,0.013330453281552072,0.012723628982717207
wine-quality-white,0.0068268836297381,0.005497949667914166,0.008050389168430823,0.006827610388827669,0.0050970449751881735,0.004900218238922405,0.007449733599229529,0.006266520038705896,0.005777362442718162,0.005394307812748464
yeast,0.007102748914168308,0.007938905909822228,0.033174068037672325,0.008967828675629114,0.0073882664222356,0.007043149655238881,0.007465742632779252,0.010776387667964469,0.010617667897418217,0.010483796726697787
zoo,0.008801321618723398,0.008648672159304458,0.001604737853612956,0.002484537572436612,0.001626302770987557,0.0045538902482517955,0.01315241187927611,0.018757532499194617,0.018634122697355683,0.018885839808889422
