CAWPE_alpha=12,CAWPE_alpha=13,CAWPE_alpha=9,CAWPE_alpha=15,CAWPE_alpha=10,CAWPE_alpha=11,CAWPE_alpha=8,CAWPE_alpha=14,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq,CAWPE_pb
0.6516084401458121,0.652009257229031,0.6500172910102849,0.6528327838756276,0.650672281413558,0.6515149217972989,0.6491002257304566,0.6524659987546342,0.6485952637405419,0.6475915803412267,0.6468511024939521,0.6462144352506723,0.6456621524368891,0.6448062360999625,0.6435424528180606,0.642340901208847,0.6281276454434347
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7589752891331114,0.7590359824817635,0.758604604822452,0.7593665792292407,0.7587703657249222,0.758865282208413,0.758509915228262,0.7592034433653724,0.7583698216769217,0.7582600695805319,0.7581128933373192,0.7578936823506057,0.7576819694566105,0.757553377872655,0.7574729479179815,0.757321286082491,0.743321402885963
0.8193994954707031,0.8208899208806328,0.8335877307648205,0.8190396284829723,0.8324068799449603,0.8279873867675727,0.830764316018805,0.820988533425066,0.8293993808049535,0.8245564728815502,0.8219602797844282,0.8212428620571034,0.8199968352253182,0.8169223254213965,0.8141889920880633,0.8123460841646601,0.6746317165462675
0.3754913770823715,0.37336293870815446,0.3749219821246088,0.37095031485087765,0.3754141603653798,0.375249517107866,0.3760489301192866,0.37139083857564165,0.37476382289796917,0.3724213633979112,0.3724702475968893,0.3714467237994443,0.3692834889729824,0.3657392606351331,0.3634837753449386,0.36057037781897067,0.3527652542371117
0.5465895061728394,0.5457815066933425,0.556018355861351,0.5408319304152637,0.5500108980302217,0.5463960458042585,0.5613584110021307,0.5457646716765073,0.5647176881536785,0.5699473804063176,0.5766633118625873,0.578257799411181,0.579241549960149,0.5800005896322321,0.579945021877389,0.5803219391987507,0.5061648083085282
0.7545432098765431,0.758679012345679,0.7418827160493826,0.7630864197530864,0.747043209876543,0.7505617283950617,0.7369722222222221,0.7613271604938272,0.7287777777777779,0.718728395061728,0.7093549382716048,0.6968888888888889,0.6920956790123455,0.6821820987654321,0.6758425925925926,0.6649043209876544,0.8408796296296295
0.605,0.605,0.6133333333333334,0.605,0.6133333333333334,0.605,0.6133333333333334,0.605,0.6258333333333334,0.6300000000000001,0.6300000000000001,0.6341666666666667,0.6241666666666668,0.6275,0.6300000000000001,0.6116666666666667,0.6091666666666666
0.6047592911877394,0.6045371966794381,0.6057865261813535,0.6044039591315452,0.6053173371647508,0.6051257662835248,0.6054589080459769,0.6045871966794378,0.6057531928480203,0.6054644316730522,0.605694859514687,0.6060696679438057,0.6057892401021711,0.6059808109833971,0.6060751915708813,0.6060501915708814,0.6038985312899108
