TRAINTESTDIFFSAUROCRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_pb,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
conn-bench-sonar-mines-rocks,10.0,7.0,8.0,4.0,3.0,1.0,2.0,5.0,6.0,9.0,11.0,17.0,12.0,13.0,14.0,16.0,15.0
conn-bench-vowel-deterding,11.0,9.0,12.0,8.0,7.0,6.0,5.0,4.0,1.0,2.0,3.0,17.0,10.0,13.0,14.0,15.0,16.0
connect-4,10.0,13.0,14.0,16.0,17.0,15.0,12.0,11.0,9.0,8.0,7.0,1.0,6.0,5.0,4.0,3.0,2.0
contrac,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,15.0,12.0,13.0,14.0,16.0,17.0
credit-approval,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
cylinder-bands,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
dermatology,1.0,6.0,4.0,3.0,5.0,2.0,11.0,8.0,9.0,10.0,7.0,17.0,14.0,12.0,13.0,15.0,16.0
echocardiogram,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
ecoli,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
energy-y1,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,1.0,6.0,3.0,2.0,4.0,5.0
energy-y2,11.0,10.0,7.0,6.0,8.0,5.0,1.0,2.0,3.0,4.0,9.0,17.0,12.0,13.0,14.0,15.0,16.0
fertility,1.0,2.0,3.0,6.0,5.0,11.0,7.0,4.0,10.0,8.0,12.0,13.0,17.0,16.0,15.0,9.0,14.0
flags,15.0,16.0,14.0,13.0,11.0,10.0,9.0,8.0,6.0,5.0,3.0,17.0,4.0,1.0,2.0,7.0,12.0
glass,1.0,2.0,5.0,4.0,3.0,6.0,7.0,9.0,10.0,11.0,12.0,8.0,13.0,14.0,15.0,16.0,17.0
haberman-survival,2.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0,12.0,13.0,1.0,14.0,11.0,15.0,16.0,17.0
hayes-roth,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
heart-cleveland,1.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,7.0,13.0,14.0,15.0,16.0,17.0
heart-hungarian,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
heart-switzerland,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
heart-va,1.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,14.0,12.0,13.0,15.0,16.0,17.0
hepatitis,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
hill-valley,17.0,16.0,15.0,14.0,13.0,12.0,11.0,9.0,8.0,7.0,6.0,10.0,5.0,4.0,2.0,1.0,3.0
horse-colic,2.0,1.0,3.0,4.0,5.0,7.0,8.0,10.0,9.0,11.0,12.0,6.0,13.0,14.0,15.0,16.0,17.0
ilpd-indian-liver,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
image-segmentation,2.0,3.0,4.0,5.0,6.0,9.0,8.0,10.0,7.0,11.0,14.0,1.0,12.0,15.0,17.0,13.0,16.0
ionosphere,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
iris,2.5,5.0,1.0,7.0,4.0,2.5,6.0,9.0,8.0,11.0,10.0,17.0,12.0,13.0,14.0,15.0,16.0
led-display,3.0,4.0,7.0,5.0,6.0,2.0,8.0,9.0,11.0,10.0,12.0,1.0,14.0,15.0,16.0,13.0,17.0
lenses,2.0,3.0,4.0,7.0,6.0,5.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
letter,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,6.0,5.0,17.0,3.0,2.0,1.0,4.0,7.0
libras,1.0,4.0,2.0,3.0,5.0,7.0,8.0,6.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
low-res-spect,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,6.0,2.0,17.0,4.0,5.0,1.0,3.0,7.0
lung-cancer,3.0,6.0,7.0,10.0,8.0,9.0,12.0,11.0,4.0,1.0,2.0,17.0,5.0,13.0,14.0,15.0,16.0
lymphography,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
magic,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,1.0,6.0,5.0,4.0,3.0,2.0
mammographic,2.0,3.0,4.0,5.0,6.0,12.0,8.0,7.0,11.0,10.0,14.0,1.0,9.0,13.0,15.0,17.0,16.0
miniboone,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,17.0,5.0,4.0,3.0,2.0,1.0
molec-biol-promoter,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
molec-biol-splice,12.0,10.0,8.0,6.0,4.0,2.0,1.0,3.0,5.0,7.0,11.0,9.0,13.0,14.0,15.0,16.0,17.0
monks-1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
monks-2,2.0,4.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
monks-3,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,2.0,13.0,14.0,15.0,16.0,17.0
mushroom,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
musk-1,1.0,3.0,2.0,4.0,6.0,5.0,7.0,8.0,9.0,11.0,10.0,17.0,12.0,13.0,14.0,15.0,16.0
musk-2,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
nursery,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
oocytes_merluccius_nucleus_4d,1.0,2.0,3.0,4.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,6.0,13.0,14.0,15.0,16.0,17.0
