TRAINTESTDIFFSAUROC:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_pb,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
blood,-0.007899336355870975,-0.007972928576122014,-0.008117484723043659,-0.008166108154280868,-0.008410539457257412,-0.008501215585780967,-0.008620802943688843,-0.008732505420855512,-0.008799526907155535,-0.008807411787896735,-0.008926999145804608,-0.0037860569025560454,-0.008905972797161458,-0.008971680136671312,-0.009076811879886999,-0.009168802155200783,-0.009381693935212617
breast-cancer,0.016645346096071673,0.01622670489640352,0.0160682360594866,0.01605105643454735,0.015819232919969985,0.015259922005489842,0.014798559257919407,0.0137719428088991,0.012521013563150597,0.011696497556732681,0.010711422138891888,-0.010004539324364119,0.00984758176814384,0.008743981374881938,0.007559970615001957,0.006694659166913623,0.005757919147396703
breast-cancer-wisc,-0.001697823811757837,-0.0017197480962863442,-0.0017307152509613269,-0.0017416723808148515,-0.0017394268208082689,-0.0017504240499476114,-0.0018013802174182728,-0.0018329985042965864,-0.0018403366736037855,-0.001853749884714495,-0.0018684663226147555,-4.6127210974366005E-4,-0.0018590129159799073,-0.001812257148700125,-0.0018184725380040604,-0.0018162069283545652,-0.0018308431676831345
breast-cancer-wisc-diag,-3.3793533354733454E-4,-6.050957174197532E-4,-6.035757979873139E-4,-5.370447791951949E-4,-5.407360121025051E-4,-7.623876394624807E-4,-7.257516593769868E-4,-6.995478535776866E-4,-6.52302046285295E-4,-6.506242131456008E-4,-8.845141528186273E-4,-8.279218279774995E-4,-8.478584335197178E-4,-7.374866217481254E-4,-7.112729463421267E-4,-6.851579670031619E-4,-6.924417367507596E-4
breast-cancer-wisc-prog,0.018351131451818114,0.01760440503432513,0.016425375031782537,0.014371090770404422,0.01261130180523788,0.011517353165522649,0.008830631833206377,0.006120995423341125,0.0033945779303332793,0.0012352847698959169,-0.0016341851004320728,0.01714801042461235,-0.004550851767098722,-0.0081667620137298,-0.011095855580981261,-0.013568681667937761,-0.016330917874395952
breast-tissue,-0.0025998657012345086,-0.002962402364563621,-0.003483999622700703,-0.0038650274613325894,-0.004279919094378789,-0.004732969387211206,-0.005437336570921514,-0.00611829576763557,-0.007180147425357349,-0.008322285903993016,-0.009496687572814673,-0.010838802594827857,-0.010845115523092785,-0.012335282359800049,-0.013452744764010238,-0.014243843014946545,-0.015106588423077239
car,-2.753689282616434E-4,-2.764656423305145E-4,-2.870103737401486E-4,-3.0031764993216915E-4,-3.0947549228253676E-4,-3.2632248904322924E-4,-3.5896366819794246E-4,-3.939918632903476E-4,-4.2708275507085113E-4,-4.7151065740317353E-4,-5.017924208626789E-4,-0.00447756634241155,-5.298823053328516E-4,-5.496081918809274E-4,-5.887761222535685E-4,-6.43170822575867E-4,-6.944794194299682E-4
cardiotocography-3clases,-3.1385363096412264E-4,-3.521575519851513E-4,-4.0127159513281643E-4,-4.4496326406055683E-4,-4.926051361698954E-4,-5.216059059014825E-4,-5.596796929201527E-4,-5.883917649928238E-4,-6.245789217732407E-4,-6.73345608211325E-4,-7.118180849816562E-4,-0.002579978305563861,-7.487903502590617E-4,-7.885203939395883E-4,-8.273641257396898E-4,-8.766131697487856E-4,-9.041776711760466E-4
cardiotocography-10clases,-0.0016420200674381066,-0.0016470341096616861,-0.0016466069427326572,-0.0016422027895821479,-0.001648621777164901,-0.0016556037788172902,-0.001652907621577171,-0.0016573793357623915,-0.0016687636559208797,-0.0016887397875674356,-0.0017071272752509266,-0.002308529376159733,-0.001721174689409292,-0.001733944019552273,-0.0017451198022121362,-0.0017731810238283852,-0.0017882215195803872
chess-krvk,-0.005227255931895999,-0.005170498501687078,-0.005100112085291686,-0.005027090962387322,-0.004913132336709662,-0.004822499188434515,-0.004717880940759097,-0.004627691707238679,-0.004538340508831947,-0.004458582989440007,-0.004381158996055319,-0.001655967042009358,-0.004304346870177952,-0.00421363824587262,-0.004085963006664102,-0.0039595862193733235,-0.0038818336754283997
