TRAINTESTDIFFSAUROC:,CAWPE-S,PB-S
abalone,-0.0030342197820873553,-0.0036793243534163395
acute-inflammation,0.0,0.0
acute-nephritis,0.0,0.0
adult,-0.0011057963395713817,-0.0011429023806198738
annealing,-0.007015044202639812,-0.01621298424138045
arrhythmia,-0.011250133539695928,-0.022704591479110126
audiology-std,-0.0382602771192022,-0.07291773319011188
balance-scale,-0.0024593981527951114,-0.0024806573557738594
balloons,-0.0288888888888889,0.22055555555555553
bank,-0.004489785587979167,-1.7480204342679902E-4
blood,-0.00890728694395165,-0.0037860569025560454
breast-cancer,0.00984758176814384,-0.010004539324364119
breast-cancer-wisc,-0.0018590129159799073,-4.6127210974366005E-4
breast-cancer-wisc-diag,-0.001095565822578437,-8.279218279774995E-4
breast-cancer-wisc-prog,-0.004550851767098722,0.01714801042461235
breast-tissue,-0.010845115523092785,-0.010838802594827857
car,-5.298823053328516E-4,-0.00447756634241155
cardiotocography-3clases,-7.485825984947662E-4,-0.002579978305563861
cardiotocography-10clases,-0.0017208332623360227,-0.002308529376159733
chess-krvk,-0.004302492463936247,-0.001655967042009358
chess-krvkp,-2.978415655636539E-4,-0.0015811437395775471
congressional-voting,0.0994055189501832,0.09517218775438975
conn-bench-sonar-mines-rocks,-3.9432223105708336E-4,-0.006269767647318839
conn-bench-vowel-deterding,-9.191170968948836E-4,-0.0030225215114103774
connect-4,-0.004025467480917747,-0.0019270366798494329
contrac,-0.008888638038995044,-0.009971521363015117
credit-approval,-0.009448890564877506,-0.06193703641949549
cylinder-bands,-0.025591880341880282,-0.01932905982905981
dermatology,-1.1358158810756969E-4,-0.0013262594791497533
echocardiogram,-0.009978027023481233,0.0022497704315889416
ecoli,-0.008448830608236335,-0.012744173919490284
energy-y1,3.52284001715227E-4,0.007301094872922901
energy-y2,-0.001769266057736226,-0.0034963592353051427
fertility,-0.07891414141414138,-0.0776515151515151
flags,-0.01118614661649259,-0.01519097250692747
glass,-0.023528804781074043,-0.022249941173847623
haberman-survival,0.005386408516029332,0.012724500670654997
hayes-roth,-0.028995716577999563,-0.048947884990022526
heart-cleveland,-0.0013862057257822598,3.381055125274683E-4
heart-hungarian,-0.02914492171818544,-0.0334136223738793
heart-switzerland,0.015775265269006272,-0.009347348809327081
heart-va,-0.021468639511039923,-0.02511308506756054
hepatitis,0.0046514190022925745,0.005112484576063137
hill-valley,-0.040627462086143054,-0.039115627734390944
horse-colic,-0.0017368154158215392,-2.7890466531447594E-4
ilpd-indian-liver,-0.0025153268752656182,-0.007538763111051383
image-segmentation,-3.1556546708055855E-4,-1.4721529872926039E-5
ionosphere,-0.012418979391167317,-0.005419559662607028
iris,-8.711111111111077E-4,-0.006257777777777774
led-display,-0.004355371113187004,-0.004032226568051641
lenses,-0.06492747992748003,-0.032432012432012526
letter,-3.801874078628531E-4,-4.770242779145432E-4
libras,-0.0061673280423279984,-0.00852513227513226
low-res-spect,-0.0053703277195844635,-0.006804343186868119
lung-cancer,-0.020090380933518233,-0.09814306463326077
lymphography,-0.02287771641927279,-0.028973768243657997
