CAWPE(RandTie)_VS_CAWPE(RandTie)
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

CAWPE(RandTie)_VS_CAWPE(ConTie)
Wins(87):,abalone,adult,annealing,arrhythmia,balance-scale,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvkp,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,echocardiogram,energy-y1,energy-y2,flags,hayes-roth,heart-cleveland,heart-hungarian,hill-valley,horse-colic,image-segmentation,ionosphere,led-display,letter,libras,low-res-spect,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-SPAN,planning,plant-margin,plant-shape,plant-texture,primary-tumor,ringnorm,semeion,soybean,spambase,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine-quality-red,yeast
Draws(1):,chess-krvk
Losses(33):,acute-inflammation,acute-nephritis,audiology-std,balloons,bank,breast-tissue,congressional-voting,credit-approval,cylinder-bands,dermatology,ecoli,fertility,glass,haberman-survival,heart-switzerland,heart-va,hepatitis,ilpd-indian-liver,iris,lenses,lung-cancer,lymphography,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,post-operative,seeds,spect,vertebral-column-2clases,wine,wine-quality-white,zoo

CAWPE(RandTie)_VS_CAWPE(alpha=4)
