TRAINTrainTimes,CAWPE-A,TunedXGBoost,TunedSVM,TunedMLP,TunedRandF
AvgTRAINTrainTimesOverDsets:,71.84615384615384,5691140.444444444,2.5770001891452992E8,4.1291791666666664E7,5.9597320136752136E7
AvgTRAINTrainTimesRankOverDsets:,1.0,2.5042735042735043,3.1623931623931623,3.7948717948717947,4.538461538461538
StddevOfTRAINTrainTimesOverDsets:,91.18100749235532,1.5440370509085402E7,1.889977758434465E9,9.356412983648835E7,9.566946620969164E7
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,11.910418156468541,992743.3875230786,6481275.288691322,6349392.779024761,8052580.253711309
StddevsOfTRAINTrainTimesRanksOverDsets:,0.0,0.5963095068828113,1.0582782451183503,0.8957607202286268,0.6890580969758339

flat,CAWPE-A,TunedXGBoost,TunedSVM,TunedMLP,TunedRandF
CAWPE-A,0|117|0,0|0|117,0|0|117,0|0|117,0|0|117
TunedXGBoost,117|0|0,0|117|0,37|0|80,19|0|98,3|0|114
TunedSVM,117|0|0,80|0|37,0|117|0,33|0|84,23|0|94
TunedMLP,117|0|0,98|0|19,84|0|33,0|117|0,28|0|89
TunedRandF,117|0|0,114|0|3,94|0|23,89|0|28,0|117|0



p=0.01,CAWPE-A,TunedXGBoost,TunedSVM,TunedMLP,TunedRandF
CAWPE-A,0|117|0,0|1|116,0|0|117,0|6|111,0|3|114
TunedXGBoost,116|1|0,0|117|0,29|26|62,18|8|91,2|12|103
TunedSVM,117|0|0,62|26|29,0|117|0,28|13|76,20|7|90
TunedMLP,111|6|0,91|8|18,76|13|28,0|117|0,18|15|84
TunedRandF,114|3|0,103|12|2,90|7|20,84|15|18,0|117|0



p=0.05,CAWPE-A,TunedXGBoost,TunedSVM,TunedMLP,TunedRandF
CAWPE-A,0|117|0,0|0|117,0|0|117,0|3|114,0|2|115
TunedXGBoost,117|0|0,0|117|0,32|19|66,19|5|93,2|10|105
TunedSVM,117|0|0,66|19|32,0|117|0,28|10|79,20|7|90
TunedMLP,114|3|0,93|5|19,79|10|28,0|117|0,22|8|87
TunedRandF,115|2|0,105|10|2,90|7|20,87|8|22,0|117|0



T TEST,CAWPE-A,TunedXGBoost,TunedSVM,TunedMLP,TunedRandF
CAWPE-A,0.0,1.1747E-4,0.14295938,5.32E-6,0.0
TunedXGBoost,0.0,0.0,0.15081134,9.374E-5,1.0E-8
TunedSVM,0.0,0.0,0.0,0.21916583,0.2607688
TunedMLP,0.0,0.0,0.0,0.0,0.08178867
TunedRandF,0.0,0.0,0.0,0.0,0.0

SIGN TEST,CAWPE-A,TunedXGBoost,TunedSVM,TunedMLP,TunedRandF
CAWPE-A,0.0,0.0,0.0,0.0,0.0
TunedXGBoost,0.0,0.0,7.028E-5,0.0,0.0
TunedSVM,0.0,0.0,0.0,2.42E-6,0.0
TunedMLP,0.0,0.0,0.0,0.0,2.0E-8
TunedRandF,0.0,0.0,0.0,0.0,0.0

SIGN RANK TEST,CAWPE-A,TunedXGBoost,TunedSVM,TunedMLP,TunedRandF
CAWPE-A,0.0,0.0,0.0,0.0,0.0
TunedXGBoost,0.0,0.0,0.0,0.0,0.0
TunedSVM,0.0,0.0,0.0,0.02946536,1.5395E-4
TunedMLP,0.0,0.0,0.0,0.0,1.99E-5
TunedRandF,0.0,0.0,0.0,0.0,0.0

NOSIGDIFFERENCE,CAWPE-A,TunedXGBoost,TunedSVM,TunedMLP,TunedRandF
CAWPE-A,true,false,false,false,false
TunedXGBoost,false,true,false,false,false
TunedSVM,false,false,true,true,false
TunedMLP,false,false,true,true,false
TunedRandF,false,false,false,false,true



cliques = [0 0 1 1 0 
]

