SMLRE-A_VS_SMLRE-A
Wins(0):
Draws(121):,abalone,acute-inflammation,acute-nephritis,adult,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-sonar-mines-rocks,conn-bench-vowel-deterding,connect-4,contrac,credit-approval,cylinder-bands,dermatology,echocardiogram,ecoli,energy-y1,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ilpd-indian-liver,image-segmentation,ionosphere,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,magic,mammographic,miniboone,molec-biol-promoter,molec-biol-splice,monks-1,monks-2,monks-3,mushroom,musk-1,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,spambase,spect,spectf,statlog-australian-credit,statlog-german-credit,statlog-heart,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine,wine-quality-red,wine-quality-white,yeast,zoo
Losses(0):

SMLRE-A_VS_SMM5-A
Wins(30):,abalone,arrhythmia,audiology-std,balloons,bank,congressional-voting,conn-bench-vowel-deterding,contrac,ecoli,flags,glass,heart-cleveland,ilpd-indian-liver,lenses,libras,low-res-spect,lymphography,pittsburg-bridges-MATERIAL,pittsburg-bridges-TYPE,planning,plant-margin,plant-shape,plant-texture,post-operative,primary-tumor,soybean,statlog-australian-credit,synthetic-control,titanic,zoo
Draws(71):,acute-inflammation,acute-nephritis,adult,annealing,blood,breast-cancer,breast-cancer-wisc,breast-cancer-wisc-diag,breast-cancer-wisc-prog,breast-tissue,cardiotocography-3clases,chess-krvkp,conn-bench-sonar-mines-rocks,connect-4,credit-approval,cylinder-bands,dermatology,echocardiogram,energy-y1,energy-y2,fertility,haberman-survival,hayes-roth,heart-hungarian,heart-switzerland,heart-va,hepatitis,hill-valley,horse-colic,ionosphere,iris,led-display,lung-cancer,magic,mammographic,miniboone,molec-biol-promoter,monks-1,monks-2,monks-3,mushroom,musk-1,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,ozone,parkinsons,pima,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,ringnorm,seeds,spambase,spect,spectf,statlog-german-credit,statlog-heart,statlog-image,statlog-shuttle,teaching,tic-tac-toe,trains,twonorm,vertebral-column-2clases,vertebral-column-3clases,waveform,waveform-noise,wine
Losses(20):,balance-scale,car,cardiotocography-10clases,chess-krvk,image-segmentation,letter,molec-biol-splice,musk-2,optical,page-blocks,pendigits,semeion,statlog-landsat,statlog-vehicle,steel-plates,thyroid,wall-following,wine-quality-red,wine-quality-white,yeast

SMLRE-A_VS_SMLR-A
Wins(89):,abalone,annealing,arrhythmia,audiology-std,balance-scale,balloons,bank,blood,breast-cancer,breast-cancer-wisc-diag,breast-cancer-wisc-prog,car,cardiotocography-3clases,cardiotocography-10clases,chess-krvk,chess-krvkp,congressional-voting,conn-bench-vowel-deterding,contrac,ecoli,energy-y2,fertility,flags,glass,haberman-survival,hayes-roth,heart-cleveland,heart-switzerland,heart-va,hepatitis,horse-colic,ilpd-indian-liver,image-segmentation,iris,led-display,lenses,letter,libras,low-res-spect,lung-cancer,lymphography,mammographic,molec-biol-promoter,molec-biol-splice,monks-1,monks-3,musk-2,nursery,oocytes_merluccius_nucleus_4d,oocytes_merluccius_states_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_states_5b,optical,ozone,page-blocks,parkinsons,pendigits,pima,pittsburg-bridges-MATERIAL,pittsburg-bridges-REL-L,pittsburg-bridges-SPAN,pittsburg-bridges-T-OR-D,planning,plant-texture,post-operative,primary-tumor,ringnorm,seeds,semeion,soybean,statlog-australian-credit,statlog-image,statlog-landsat,statlog-shuttle,statlog-vehicle,steel-plates,synthetic-control,teaching,thyroid,tic-tac-toe,titanic,vertebral-column-2clases,vertebral-column-3clases,wall-following,waveform,waveform-noise,wine-quality-red,wine-quality-white,yeast
