TRAINTrainTimesSTDDEVS:,PB-A,MV-A,RC-A,SMLR-A,SMLRE-A,NBC-A,CAWPE-A,SMM5-A,WMV-A,ES-A
abalone,3.3972605596781698,4.9670176532619745,4.661532479504059,43.281702220758795,40.34591805187082,25.990360724212977,19.723490866325445,116.93519671119154,22.359034790920855,35.44056056742518
acute-inflammation,0.507416263404925,0.5872202195147035,0.607425318241987,0.8603661343041525,1.6060231457944765,0.668675135459372,2.0625283000496615,1.0504514628777804,0.7611243951073874,6.7399137072821045
acute-nephritis,0.461133037377414,1.1788363637137238,0.4806604651504226,0.7611243951073876,1.0416609195243756,0.7183954022841381,4.306637486111597,0.6686751354593717,0.5959634332684376,10.238309846148784
adult,6.0534021971879195,19.9528467130388,22.83999818829632,22.36057696703845,63.36891619895267,37.562346639387044,80.9158495762337,280.39816517674075,23.766609437147977,81.67660507202754
annealing,0.817200154156877,1.4142135623730951,1.5465943304527223,17.490752893503736,35.77104717634017,1.2887666740841357,13.994908762273795,4.890055590498017,0.9948141396330241,12.75358863177364
arrhythmia,1.8827712516944,1.2429109325317307,1.2887666740841357,21.231618148304246,93.46670069030486,1.1724814044061258,40.026442409412596,9.579431989496001,0.9371024061116422,56.91232418095541
audiology-std,1.3796551293211174,1.2340942045675147,0.9714309861845773,39.60529396867075,159.37149906003796,1.0531834608931392,11.967196543194579,2.9329675843034315,1.0954451150103321,21.078970290451736
balance-scale,1.0080138659874618,0.6814453874610599,0.9643054793328018,1.8285727114117007,2.822121155459481,15.980447823627417,7.164808633775275,1.7878902998053128,0.5683207771559353,7.064644039319946
balloons,1.0148325268098497,0.43018306715207627,0.466091599699399,0.8976341829703132,0.7302967433402215,3.104316609045443,3.3051683665184868,1.02216808119159,0.6477192523656045,5.939251858919452
bank,1.149212624004981,1.4781939897267766,1.142692927446732,4.698373404028053,6.846510983243813,3.559671946656895,2.82761424152068,8.22415841343024,1.6543220995910686,8.232609675489632
blood,0.9714309861845773,0.5560534167675355,0.8995528902176071,1.290549201456229,1.5992095748737298,2.8251741885063115,2.858542350187607,2.3537692930823684,13.563643087058264,6.994250512376938
breast-cancer,0.68144538746106,1.1492126240049811,0.5560534167675354,0.7279320417946061,2.157318471738873,1.8925139881655557,1.954658449748297,1.3879613761229799,2.0535923108811907,7.298244159802544
breast-cancer-wisc,0.9802650357071221,0.5560534167675356,0.6914918072835212,1.048260737942924,1.8473342085721574,1.7366899418212194,1.7356968854500252,1.6060231457944765,1.5521583045227214,7.681968737124677
breast-cancer-wisc-diag,0.7279320417946064,0.7396799556440673,0.773854362727667,0.9523111632886271,1.042212500669477,3.1126364624103533,3.0505322693649353,1.668160250302607,2.5427381385780388,6.470090336735434
breast-cancer-wisc-prog,0.546672273590534,1.1351236704106016,0.5683207771559355,0.8087168778415269,0.784915252764901,1.696514344041992,1.401559066215889,1.5297809925141153,1.5477087254553343,6.158444347528781
breast-tissue,0.855005545454894,0.546672273590534,0.6288102248298566,1.5742175578808124,3.471559323694618,2.3034207445529318,2.284631311587289,1.1167481527997298,2.0956989342433,8.022167563308132
car,1.4125870942531558,1.1566896880679618,1.2780193008453875,4.071769927786636,6.227580478860924,11.564909270581488,11.196469065747017,2.4485510611074823,11.666880129410048,14.857213117176299
cardiotocography-3clases,0.6789105539243627,1.1724814044061256,1.0063019815944516,4.871332985689981,4.866021056216283,16.3885648386692,16.19649458313771,4.931834192848249,17.515313496953226,19.077699564928032
cardiotocography-10clases,1.5521583045227219,2.7628487713469463,2.6749154031096203,30.975054850451933,195.54124414281387,35.88533783126985,32.550738466471756,12.949459670083785,30.787536663284765,42.5890412756804
chess-krvk,22.770216481638677,69.51067891165084,53.81237092312338,2510.640513595235,51801.61967640443,67.02533403347462,82.29362204864395,1455.056426997636,73.21880293646079,98.62314199989288
